election_cycle_id,cycle_year,calendar_year,semester,is_pre_election_semester,months_until_election,active_politicians,avg_attendance_rate,total_ballots,total_votes,avg_win_rate,avg_rebel_rate,violation_count,avg_ma_absence,avg_approval_rate,total_decisions,avg_committee_productivity,rank_by_attendance,percent_rank_attendance,ntile_performance,prev_semester_attendance,prev_semester_decisions,next_semester_attendance,stddev_attendance,stddev_win_rate,stddev_decisions,change_attendance_pct,change_decisions_pct,attendance_trend,overall_performance_score,volatility_assessment,forecast_trend
2010-2014,1,2010,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,1,2010,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,2,2007,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,3,2004,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,1,2018,spring,f,55,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,2,2007,autumn,f,36,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,4,2009,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,4,2001,spring,t,19,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,3,2028,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,3,2004,autumn,f,24,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,2,2015,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,2,1995,autumn,f,36,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,4,2029,spring,t,19,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2030-2034,1,2030,autumn,f,48,0,,,,,,,,,,,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,2,1999,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,2,2027,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,4,2005,spring,t,19,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,4,2001,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,2,1995,spring,f,43,0,,,,,,,,,,,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,3,1996,spring,f,31,0,,,,,,,,,,,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,4,2025,autumn,f,12,0,,,,,,,,,,,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
