election_cycle_id,cycle_year,calendar_year,semester,party,performance_score,active_members,party_violations,party_win_rate,party_participation_rate,documents_last_year,party_avg_rebel_rate,committees_active,rank_by_performance,rank_by_discipline,percent_rank_performance,ntile_party_tier,prev_cycle_performance,prev_cycle_documents,stddev_performance,cycle_party_count,change_performance_pct,change_documents_pct,performance_trend,discipline_score,competitiveness_index
1994-1998,2,1995,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,2,2027,annual,KrVP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,2,1995,annual,KrVP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,1,1994,annual,C,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
2014-2018,4,2017,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,2,2015,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,3,2004,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,4,2017,annual,JL,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,4,2017,annual,V,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,3,2024,annual,M,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,3,2004,annual,DjuP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,3,1996,annual,SJP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,4,2029,annual,ENH,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,2,2003,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,4,2001,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,2,1999,annual,C,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,2,2019,annual,SD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,3,2028,annual,SPI,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,4,2017,annual,KLP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,2,2023,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,3,2012,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,4,2021,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,3,2012,annual,L,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,4,2021,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,2,2023,annual,KrVP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,4,2025,annual,KLP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,4,2005,annual,K,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,1,2018,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
2010-2014,2,2011,annual,C,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,4,1997,annual,L,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,1,1998,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2026-2030,4,2029,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,2,2003,annual,M,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,2,2007,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,4,2013,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,2,2007,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,4,2017,annual,FI,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,2,2015,annual,DjuP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,4,2025,annual,---,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,1,2018,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2026-2030,3,2028,annual,ENH,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,4,2021,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,3,2016,annual,JL,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,4,2029,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,3,2012,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,4,2013,annual,ENH,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,1,2014,annual,KLP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,120,,,baseline,14.00,0.83
2006-2010,3,2008,annual,DjuP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,2,2027,annual,NorrS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,3,2024,annual,C,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,4,2029,annual,V,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,1,2026,annual,K,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,120,,,baseline,14.00,0.83
2026-2030,3,2028,annual,L,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,1,2006,annual,ENH,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
1998-2002,4,2001,annual,M,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,3,2004,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,2,2011,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,1,2002,annual,---,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
2018-2022,1,2018,annual,C,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
2026-2030,1,2026,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2018-2022,2,2019,annual,KrVP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,4,2029,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,4,2017,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,2,2023,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,2,2015,annual,NorrS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,1,2018,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
1998-2002,1,1998,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2002-2006,4,2005,annual,JL,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,1,2026,annual,SPI,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
2014-2018,2,2015,annual,SJP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,1,2002,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2026-2030,4,2029,annual,L,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,4,2009,annual,SOC.P,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,3,2024,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,4,2005,annual,---,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,2,2023,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,1,2002,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
1994-1998,3,1996,annual,SPI,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,2,2023,annual,SD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,4,2009,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,3,2004,annual,M,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,2,2023,annual,DjuP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,1,1998,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
2030-2034,1,2030,annual,FP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,30,,,baseline,14.00,3.33
2022-2026,4,2025,annual,DjuP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,3,2012,annual,ENH,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,4,1997,annual,C,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,2,2015,annual,KD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2030-2034,1,2030,annual,SPI,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,30,,,baseline,14.00,3.33
2014-2018,2,2015,annual,K,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,1,2022,annual,SJP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
1998-2002,1,1998,annual,KLP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,120,,,baseline,14.00,0.83
2018-2022,1,2018,annual,SPI,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
2002-2006,4,2005,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,1,2010,annual,KD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,120,,,baseline,14.00,0.83
2006-2010,1,2006,annual,SKÅ,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
2010-2014,2,2011,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,2,2003,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,1,1998,annual,SOC.P,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
2010-2014,3,2012,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,3,2028,annual,V,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,2,1999,annual,V,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,1,2018,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
2022-2026,4,2025,annual,SKÅ,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,3,2024,annual,JL,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2030-2034,1,2030,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,30,,,baseline,14.00,3.33
2022-2026,3,2024,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,3,2000,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,2,2015,annual,FP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,3,2012,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,4,2005,annual,SJP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,2,1999,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,4,2001,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,1,2026,annual,C,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
2010-2014,4,2013,annual,SJP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,2,2007,annual,SOC.P,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,4,2001,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,3,2000,annual,KD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,1,2014,annual,JL,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,120,,,baseline,14.00,0.83
2002-2006,4,2005,annual,SOC.P,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,4,2021,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,4,2021,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,3,2016,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,1,2006,annual,SOC.P,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
1994-1998,4,1997,annual,SJP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,2,1995,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,3,2020,annual,NorrS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,2,2003,annual,L,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,1,2018,annual,NorrS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2010-2014,1,2010,annual,FP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,120,,,baseline,14.00,0.83
2018-2022,3,2020,annual,C,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,1,2010,annual,KrVP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,120,,,baseline,14.00,0.83
2014-2018,4,2017,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,4,1997,annual,M,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,3,1996,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,3,2024,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,3,2028,annual,SOC.P,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,1,2014,annual,---,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
2026-2030,4,2029,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,4,2009,annual,KLP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,3,2008,annual,KLP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,2,2027,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,3,2000,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,1,2022,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2002-2006,1,2002,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2006-2010,3,2008,annual,SOC.P,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,2,1999,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,3,1996,annual,L,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,1,2026,annual,V,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
