id,author,filename,dateexecuted,orderexecuted,exectype,md5sum,description,comments,tag,liquibase,contexts,labels,deployment_id
1414872417007-113,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.138104,113,EXECUTED,9:9008e44a163d1c21e27bfc226f5f3637,"addPrimaryKey constraintName=language_content_data_pkey, tableName=language_content_data","",,5.0.1,,,8446037746
1414872417007-46,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.52321,46,EXECUTED,9:9a28a213df35828e2be714b4d835e8d7,createTable tableName=person_container_data,"",,5.0.1,,,8446037746
1.65-010-fix-election-cycle-cartesian-join,performance-engineer,db-changelog-1.65.xml,2026-01-24 15:25:45.391437,591,EXECUTED,9:583f964341e5f4eac044bbb6ef6b5ca3,sql,"Fix CRITICAL Cartesian join in view_election_cycle_anomaly_pattern.
        
        Issue: Two LEFT JOINs use ON (1 = 1) causing Cartesian product explosion.
        - LEFT JOIN view_riksdagen_voting_anomaly_detection vad ON (1 = 1)
        - LEF...",,5.0.1,,,9264743943
1.35-ministry-decision-impact-index-002,intelligence-operative,db-changelog-1.35.xml,2026-01-15 04:00:43.540372,406,EXECUTED,9:73ef6912726a17535c1aa90fb2427261,sql,"Create indexes for performance optimization of ministry decision impact queries
        
        Index on document_data.org (ministry_code) and document_type for efficient
        ministry-specific and government proposal queries.",,5.0.1,,,8446037746
1414872417007-153,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.490923,153,EXECUTED,9:5d7d31451a54ac259a8da618470e3019,"addForeignKeyConstraint baseTableName=against_proposal_data, constraintName=fk_5u5u77qsrpa2qy6umqrph4tyf, referencedTableName=against_proposal_container","",,5.0.1,,,8446037746
1.52-drop-decision,intelligence-operative-analytics,db-changelog-1.52.xml,2026-01-15 04:00:44.16978,476,EXECUTED,9:2188e8b401150b744ff73f0b717339a7,sql,"",,5.0.1,,,8446037746
1.69-004-01-index-behavioral_person_period,performance-engineer,db-changelog-1.69.xml,2026-01-24 15:25:45.534439,626,EXECUTED,9:0c2ec965339ddcbda65bc7816a310c37,"createIndex indexName=idx_behavioral_person_period, tableName=view_politician_behavioral_trends",Create index idx_behavioral_person_period on view_politician_behavioral_trends for query optimization,,5.0.1,,,9264743943
1414872417007-28,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.3577,28,EXECUTED,9:eb4858110e94dda8090c4a09e2f019f3,createTable tableName=document_data,"",,5.0.1,,,8446037746
8774122723-enhance-party,pethers,db-changelog-1.25.xml,2026-01-15 04:00:42.714353,342,EXECUTED,9:c7d05218977bc2edb5f16e8d878af5c3,createView viewName=view_riksdagen_party,Add indexes to improve party view,,5.0.1,,,8446037746
new_changeset_id_3,pether,db-changelog-1.24.xml,2026-01-15 04:00:42.391484,326,EXECUTED,9:79aafee120630bbaa7c54b9a557bc740,dropView viewName=view_application_action_event_page_element_annual_summary; createView viewName=view_application_action_event_page_element_annual_summary,"",,5.0.1,,,8446037746
2414872417007-320,javersDefaultValue,db-changelog-1.22.xml,2026-01-15 04:00:42.23448,310,EXECUTED,9:4e7a8dfeb87f3809922803b64ceded57,"addDefaultValue columnName=commit_date_instant, tableName=jv_commit","",,5.0.1,,,8446037746
create-election-year-anomalies-view-1.60-003,intelligence-operative,db-changelog-1.60.xml,2026-01-21 00:44:39.649823,521,EXECUTED,9:688d553035c20f1c20070cf95848756e,createView viewName=view_riksdagen_election_year_anomalies,"Create view_riksdagen_election_year_anomalies to identify statistically 
        unusual patterns in election years.
        
        Purpose: Identify election years with statistically unusual behavioral 
        patterns compared to typical elec...",,5.0.1,,,8952677820
ministry-2025111704-performance-indexes,intelligence-operative,db-changelog-1.31.xml,2026-01-15 04:00:43.299945,371,EXECUTED,9:5186a2215528e93478d78b12fc23941b,sql,"Performance Indexes for Ministry Intelligence Queries
        
        These indexes optimize the most common temporal queries used in
        ministry intelligence analysis and government effectiveness dashboards.",,5.0.1,,,8446037746
role-evolution-1.56-002,intelligence-operative,db-changelog-1.56.xml,2026-01-21 00:44:39.415066,498,EXECUTED,9:4d9b6569f4d7641f51c98e71f0466302,sqlFile path=view_riksdagen_politician_role_evolution_v1.56.sql,"Create view_riksdagen_politician_role_evolution to track politician career progression
        through different positions. Classifies roles into tiers (minister/speaker/party leader/
        committee chair/member/substitute), assigns role weight...",,5.0.1,,,8952677820
1.53-drop-electoral-trends,intelligence-operative,db-changelog-1.53.xml,2026-01-21 00:44:39.227168,483,EXECUTED,9:f28b6a24f0a201f2afc5bd026db93a75,sql,"",,5.0.1,,,8952677820
1.54-create-government-body-data-table,intelligence-operative-analytics,db-changelog-1.54.xml,2026-01-21 00:44:39.293187,487,EXECUTED,9:ececfb8343eaa00195e944896c729962,createTable tableName=government_body_data,Create government_body_data table to store Swedish government body information from ESV,,5.0.1,,,8952677820
1.63-completion,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.341324,578,EXECUTED,9:094384036a2254c066d83dec05d62db1,sql,"Completion changeset: Updates table statistics after index creation.
        
        Running ANALYZE ensures PostgreSQL's query planner is aware of the new indexes
        and can use them effectively in query plans. This is critical for achievin...",,5.0.1,,,9264743943
1.54-add-government-body-indexes,intelligence-operative-analytics,db-changelog-1.54.xml,2026-01-21 00:44:39.304063,488,EXECUTED,9:d4611e87e7ecd3c83c57c45009042471,"createIndex indexName=idx_gov_body_year, tableName=government_body_data; createIndex indexName=idx_gov_body_name, tableName=government_body_data; createIndex indexName=idx_gov_body_ministry, tableName=government_body_data; createIndex indexName=id...",Add indexes to government_body_data table for query performance,,5.0.1,,,8952677820
1.35-preflight,intelligence-operative,db-changelog-1.35.xml,2026-01-15 04:00:43.455644,395,EXECUTED,9:b1f1b765b24f30a4b717ee0da5b5e940,sql,Pre-flight: Verify source data exists before creating view,,5.0.1,,,8446037746
1.61-drop-party-summary,copilot,db-changelog-1.61.xml,2026-01-24 15:25:45.175857,537,EXECUTED,9:8b553bbf244cc44cf1bc5719856af1ce,sql,Drop view_riksdagen_party_summary if exists before recreation,,5.0.1,,,9264743943
1414872417007-283,pether (generated),db-changelog-1.7.xml,2026-01-24 15:25:45.12686,528,EXECUTED,9:3db9a552cdc9cc50f060dd5a467243db,"addForeignKeyConstraint baseTableName=USER_ACCOUNT_GOOGLE_AUTH_SCR_0, constraintName=fk_8931ymg13vy6vfkrichdsd4, referencedTableName=user_account","",,5.0.1,,,9264743943
1414872417007-102,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.044449,102,EXECUTED,9:2d9aaf92aee97b16ac125a5fc0e8dfcb,"addPrimaryKey constraintName=document_detail_container_pkey, tableName=document_detail_container","",,5.0.1,,,8446037746
1414872417007-315,documentSummaryViews,db-changelog-1.21.xml,2026-01-15 04:00:42.201531,305,EXECUTED,9:6bd6a54409a0ca14cd36aaaa54ae8b58,createView viewName=view_riksdagen_person_signed_document_summary; createView viewName=view_riksdagen_party_signatures_document_summary,"",,5.0.1,,,8446037746
1414872417007-90,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.941208,90,EXECUTED,9:40ccd4df593a2a66cd59300c2f5c7f15,"addPrimaryKey constraintName=country_element_pkey, tableName=country_element","",,5.0.1,,,8446037746
1.68-summary,stack-specialist,db-changelog-1.68.xml,2026-01-24 15:25:45.482238,614,EXECUTED,9:d41d8cd98f00b204e9800998ecf8427e,empty,"Database Changelog v1.68 - Summary
        
        Views Created: 1 new view
        - view_riksdagen_ministry: Ministry aggregation view
        
        Materialized Views to Populate (operational task):
        - view_riksdagen_committee_decis...",,5.0.1,,,9264743943
1414872417007-133,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.313221,133,EXECUTED,9:95d0312014ad80f98a928a2e1ab77b6c,"addPrimaryKey constraintName=sweden_election_type_contain_0_pkey, tableName=sweden_election_type_contain_0","",,5.0.1,,,8446037746
1.64-002-idx-vote-data-party-date,performance-engineer,db-changelog-1.64.xml,2026-01-24 15:25:45.352415,581,EXECUTED,9:7d6a0863d3b74a640059e9a7c459c928,sql,"Create composite index on vote_data (party, vote_date) for temporal party analysis.
        
        Benefits:
        - Optimizes party summary views with temporal filtering
        - Supports party voting trend analysis over time
        - Enabl...",,5.0.1,,,9264743943
1414872417007-288,quartz.generated,db-changelog-1.9.xml,2026-01-24 15:25:45.150295,533,EXECUTED,9:9e05c11d0073fe498c1b8efa9fc189ac,"addForeignKeyConstraint baseTableName=QRTZ_CRON_TRIGGERS, constraintName=FK_QRTZ_CRON_TRIGGERS_QRTZ_TRIGGERS, referencedTableName=QRTZ_TRIGGERS; addForeignKeyConstraint baseTableName=QRTZ_SIMPLE_TRIGGERS, constraintName=FK_QRTZ_SIMPLE_TRIGGERS_QRT...","",,5.0.1,,,9264743943
1414872417007-227,pether,db-changelog-1.1.xml,2026-01-15 04:00:41.118746,227,EXECUTED,9:0e86f855ff9c4aef94315ddd54a3023d,createView viewName=view_riksdagen_goverment_role_member; createView viewName=view_riksdagen_committee_role_member,"",,5.0.1,,,8446037746
career-path-10level-1.58-001,intelligence-operative,db-changelog-1.58.xml,2026-01-21 00:44:39.499389,506,EXECUTED,9:f877b25c7cfedc83354e30be65bffb9d,createView viewName=view_riksdagen_politician_career_path_10level,"Create view_riksdagen_politician_career_path_10level with comprehensive 10-level 
        hierarchical role classification system.
        
        Framework: Predictive Intelligence (Framework 4) + Temporal Analysis (Framework 1)
        
       ...",,5.0.1,,,8952677820
1414872417007-232,pether,db-changelog-1.1.xml,2026-01-15 04:00:41.163274,232,EXECUTED,9:8c5e85cc7b9722b6cf11cc1e2370af47,dropView viewName=view_riksdagen_party_summary; createView viewName=view_riksdagen_party_summary,"",,5.0.1,,,8446037746
fix-crisis-resilience-indicators-1.33-003,intelligence-analyst,db-changelog-1.33.xml,2026-01-15 04:00:43.362408,380,EXECUTED,9:a9fb314829a17674f001f82a1d233f70,sql; createView viewName=view_riksdagen_crisis_resilience_indicators,"Fix view_riksdagen_crisis_resilience_indicators to return data
        
        Root Cause: The view filters vote values using exact case matches like
        'Ja', 'Nej', 'Frånvarande', but the actual data contains 'JA', 'NEJ', 
        'FRÅNVARA...",,5.0.1,,,8446037746
1414872417007-112,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.130579,112,EXECUTED,9:94c16cc4cb00a952a848f47b4d537f35,"addPrimaryKey constraintName=indicators_element_pkey, tableName=indicators_element","",,5.0.1,,,8446037746
1.51-election-cycle-pattern-003,intelligence-operative,db-changelog-1.51.xml,2026-01-15 04:00:44.042507,460,EXECUTED,9:215e67e21fa62af1719d7925d2b94cd9,createView viewName=view_election_cycle_anomaly_pattern,"REVISED: Enhanced with view_riksdagen_voting_anomaly_detection and view_politician_risk_summary
        
        Framework: Pattern Recognition (23 supporting views, 12/13 risk rules)
        
        Source Views (COMPREHENSIVE):
        - view_r...",,5.0.1,,,8446037746
extend-view-riksdagen-politician-party-20231223,pethers,db-changelog-1.24.xml,2026-01-15 04:00:42.468621,330,EXECUTED,9:892d39a59b866cdaf0366544ffb0d3bd,dropView viewName=view_riksdagen_party; dropView viewName=view_riksdagen_party_summary; dropView viewName=view_riksdagen_party_document_summary; dropView viewName=view_riksdagen_politician; dropView viewName=view_riksdagen_party_member; createView...,"",,5.0.1,,,8446037746
1.34-intro,database-architect,db-changelog-1.34.xml,2026-01-15 04:00:43.391147,384,EXECUTED,9:619faeb099abb68856d15be29569099b,sql,"Database Changelog v1.34 - Comprehensive Empty View Fixes with Validation
        
        Consolidates fixes from issues #7882-#7885 for 12 empty views.
        Adds pre-flight and post-flight validation for data availability.",,5.0.1,,,8446037746
1414872417007-11,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.191504,11,EXECUTED,9:e2a725018be9c645cc40cee1bf741de4,createTable tableName=assignment_element,"",,5.0.1,,,8446037746
1414872417007-26,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.339394,26,EXECUTED,9:363d579e1857630034ab68bb1ba09a54,createTable tableName=document_container_element,"",,5.0.1,,,8446037746
1414872417007-136,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.336194,136,EXECUTED,9:a9b60ba996dfcc86c556ecefd9434d07,"addPrimaryKey constraintName=sweden_municipality_election_0_pkey, tableName=sweden_municipality_election_0","",,5.0.1,,,8446037746
1414872417007-95,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.98623,95,EXECUTED,9:1f5717b882823e279aab6ce2f3e14ff5,"addPrimaryKey constraintName=document_activity_container_pkey, tableName=document_activity_container","",,5.0.1,,,8446037746
1414872417007-287,quartz.generated,db-changelog-1.9.xml,2026-01-24 15:25:45.145924,532,EXECUTED,9:33c854d56c17f442b136d767015a4026,createTable tableName=QRTZ_CALENDARS; createTable tableName=QRTZ_CRON_TRIGGERS; createTable tableName=QRTZ_FIRED_TRIGGERS; createTable tableName=QRTZ_PAUSED_TRIGGER_GRPS; createTable tableName=QRTZ_SCHEDULER_STATE; createTable tableName=QRTZ_LOCKS...,"",,5.0.1,,,9264743943
1414872417007-302,encryptedValueTableAddColumns,db-changelog-1.18.xml,2026-01-15 04:00:42.136628,298,EXECUTED,9:9b23ce1c3d7f2d32d2cb725996846872,addColumn tableName=encrypted_value; addColumn tableName=encrypted_value,"",,5.0.1,,,8446037746
1414872417007-105,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.069685,105,EXECUTED,9:646fe77744ba782ad29a05f9758c726b,"addPrimaryKey constraintName=document_person_reference_co_0_pkey, tableName=document_person_reference_co_0","",,5.0.1,,,8446037746
1414872417007-101,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.036508,101,EXECUTED,9:b32a6f1fe5048a5e0e85a05e111727e5,"addPrimaryKey constraintName=document_data_pkey, tableName=document_data","",,5.0.1,,,8446037746
1.34-verify-others-006,intelligence-analyst,db-changelog-1.34.xml,2026-01-15 04:00:43.435195,391,EXECUTED,9:7f86a1ea0b6dacdf6ce2eef8ce19ad8d,sql,Verify other politician and intelligence views exist (from v1.33),,5.0.1,,,8446037746
1.63-021-idx-doc-person-ref-list-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.305679,569,EXECUTED,9:c16ebdad0101145e692972a071c6ce21,"createIndex indexName=idx_doc_person_ref_list_fk, tableName=document_person_reference_da_0","Create index on document_person_reference_da_0.document_person_reference_li_1 foreign key.
        Improves JOIN performance with document_person_reference_list table.",,5.0.1,,,9264743943
1414872417007-284,pether (generated),db-changelog-1.7.xml,2026-01-24 15:25:45.131086,529,EXECUTED,9:68a1690b5c267ec324fb414df94fef1c,addColumn tableName=user_account; addColumn tableName=user_account,"",,5.0.1,,,9264743943
1414872417007-150,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.462486,150,EXECUTED,9:a42e80d7f82938b0012152684357dfbd,"addForeignKeyConstraint baseTableName=country_element, constraintName=fk_3k0s1gih1msbej3bp2iotg52y, referencedTableName=countries_element","",,5.0.1,,,8446037746
1.69-003-02-index-effectiveness_score,performance-engineer,db-changelog-1.69.xml,2026-01-24 15:25:45.523429,624,EXECUTED,9:38f342b8d2f631829604386260db0925,"createIndex indexName=idx_effectiveness_score, tableName=view_party_effectiveness_trends",Create index idx_effectiveness_score on view_party_effectiveness_trends for query optimization,,5.0.1,,,9264743943
1.53-party-electoral-003,intelligence-operative,db-changelog-1.53.xml,2026-01-21 00:44:39.2577,484,EXECUTED,9:141eb5d459791ae1848b861a93771dff,createView viewName=view_riksdagen_party_electoral_trends,"Party Electoral Trends View (2002-2026) - OPTIMIZED & ENHANCED
        
        Framework: Comparative Analysis, Predictive Intelligence
        
        OPTIMIZATIONS:
        - Builds on view_party_performance_metrics (active members, documents)...",,5.0.1,,,8952677820
1414872417007-186,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.789636,186,EXECUTED,9:cc82b3c05a5e51eedf05c87248cea759,"addForeignKeyConstraint baseTableName=document_status_container, constraintName=fk_ng4kjnv3cm4e6ud3fikwi6p7i, referencedTableName=document_person_reference_co_0","",,5.0.1,,,8446037746
1.51-intro,intelligence-operative,db-changelog-1.51.xml,2026-01-15 04:00:44.013953,457,EXECUTED,9:0a83ea96daebcd37c1daac41ec5e5e71,sql,"Database Changelog v1.51 - Historical Election Cycle Trend Views (REVISED)
        
        Creates 6 META/META-level views aggregating existing advanced analytics
        with Swedish parliamentary election cycle temporal dimensions.
        
   ...",,5.0.1,,,8446037746
1.63-022-idx-doc-proposal-container-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.309489,570,EXECUTED,9:8bea548867ca7f3a99619b4816770388,"createIndex indexName=idx_doc_proposal_container_fk, tableName=document_proposal_container","Create index on document_proposal_container.proposal_document_proposal_c_0 foreign key.
        Improves JOIN performance with proposal table.",,5.0.1,,,9264743943
document-fixes-1.33-005,intelligence-analyst,db-changelog-1.33.xml,2026-01-15 04:00:43.387438,383,EXECUTED,9:a18f424c14dc0f2c6d7754d7e378a882,sql,"Documentation for v1.33 fixes
        
        This changeset documents the fixes applied to 4 empty intelligence views
        for inclusion in TROUBLESHOOTING_EMPTY_VIEWS.md.
        
        Summary of Changes:
        1. view_riksdagen_member_...",,5.0.1,,,8446037746
1.51-validation,intelligence-operative,db-changelog-1.51.xml,2026-01-15 04:00:44.073442,464,EXECUTED,9:19fe339fc7201bece36ae3a24021f556,sql,"Validate that all 6 election cycle views were created successfully
        with enhanced comprehensive META/META-level integration.",,5.0.1,,,8446037746
1.65-999-verification,performance-engineer,db-changelog-1.65.xml,2026-01-24 15:25:45.39523,592,EXECUTED,9:393b4f2ca2b02b96fa6e5b33050e477b,sql,"Verification queries for pattern recognition performance optimization.
        
        This changeset documents verification steps but doesn't execute them.
        Run these queries manually to verify optimization effectiveness:
        
       ...",,5.0.1,,,9264743943
1414872417007-2,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.090479,2,EXECUTED,9:bebfee0168369dd117b920db419f5ba0,createTable tableName=against_proposal_container,"",,5.0.1,,,8446037746
1.63-017-idx-doc-activity-list-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.287989,565,EXECUTED,9:9085a65de2ec859d6230d13758c413bd,"createIndex indexName=idx_doc_activity_list_fk, tableName=document_activity_data","Create index on document_activity_data.document_activities_document_0 foreign key.
        Improves JOIN performance with document_activities table.",,5.0.1,,,9264743943
1414872417007-99,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.018526,99,EXECUTED,9:2bfd0b28a7b11c92c03453704e522bda,"addPrimaryKey constraintName=document_container_element_pkey, tableName=document_container_element","",,5.0.1,,,8446037746
1414872417007-149,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.451551,149,EXECUTED,9:91b8623f7717a1df4b4a2e6ca8b36512,"addForeignKeyConstraint baseTableName=application_view, constraintName=fk_2ivjcdwosa63ant7jc5c6cojj, referencedTableName=target_profile_content","",,5.0.1,,,8446037746
20241227-enhance-party-summary-performance,pethers,db-changelog-1.25.xml,2026-01-15 04:00:42.670677,340,EXECUTED,9:d14911091c781dc9028e99cac0c0e9b8,"createIndex indexName=idx_assignment_data_type_dates, tableName=assignment_data; sql",Add indexes to improve party summary view performance,,5.0.1,,,8446037746
ministry-2025111702-productivity-matrix,intelligence-operative,db-changelog-1.31.xml,2026-01-15 04:00:43.265191,369,EXECUTED,9:179ccaf2df5469f386c4f0586073cea7,createView viewName=view_ministry_productivity_matrix,"Ministry Productivity Matrix View
        
        Intelligence Purpose:
        - Benchmark ministry performance against peers
        - Identify most and least productive ministries
        - Normalize metrics for fair comparison
        - Suppo...",,5.0.1,,,8446037746
1.67-summary,performance-engineer,db-changelog-1.67.xml,2026-01-24 15:25:45.466223,610,EXECUTED,9:d41d8cd98f00b204e9800998ecf8427e,empty,"Database Changelog v1.67 - Predictive Intelligence Performance Summary
        
        Indexes Created: 10 indexes across 4 core tables
        - vote_data: 5 indexes (temporal, party, window, ballot analysis)
        - assignment_data: 3 indexes...",,5.0.1,,,9264743943
1414872417007-12,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.201714,12,EXECUTED,9:539351894788ad2df1f65ed4d9dc6394,createTable tableName=committee_document_data,"",,5.0.1,,,8446037746
1414872417007-69,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.753339,69,EXECUTED,9:74df0d4b5c616a83e5949698a4e5a8cc,createTable tableName=topics,"",,5.0.1,,,8446037746
1.69-002-02-index-influence_score,performance-engineer,db-changelog-1.69.xml,2026-01-24 15:25:45.511317,621,EXECUTED,9:1b483bcaff2740af26ea459fa8ac8638,"createIndex indexName=idx_influence_score, tableName=view_riksdagen_politician_influence_metrics",Create index idx_influence_score on view_riksdagen_politician_influence_metrics for query optimization,,5.0.1,,,9264743943
1414872417007-13,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.211929,13,EXECUTED,9:0740ea87d5e697e23d68d86cded379f6,createTable tableName=committee_proposal_component_0,"",,5.0.1,,,8446037746
intops-2025111103-anomaly-detection,intelligence-ops,db-changelog-1.29.xml,2026-01-15 04:00:42.932169,354,EXECUTED,9:07a8006b3987714bbaf9a757605df73a,createView viewName=view_riksdagen_voting_anomaly_detection,"Political Anomaly Detection View
        
        Intelligence Purpose:
        - Detect unusual voting behavior by politicians
        - Identify party discipline breakdowns
        - Flag potential defection risks
        - Monitor conscience vo...",,5.0.1,,,8446037746
1414872417007-75,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.809185,75,EXECUTED,9:5f830995c29a8f2e62b79c93b739826a,"addPrimaryKey constraintName=against_proposal_container_pkey, tableName=against_proposal_container","",,5.0.1,,,8446037746
1.35-party-decision-flow-001,intelligence-operative,db-changelog-1.35.xml,2026-01-15 04:00:43.464678,396,EXECUTED,9:1055961759e4cdf793808144bc58b684,createView viewName=view_riksdagen_party_decision_flow,"Create view_riksdagen_party_decision_flow
        
        Aggregates proposal decision data by party, committee, decision type, and time period.
        Provides comprehensive party-level decision intelligence including:
        - Total proposals...",,5.0.1,,,8446037746
1414872417007-27,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.349172,27,EXECUTED,9:9cac16f6bb7fb5311b1c8210c62e8c6b,createTable tableName=document_content_data,"",,5.0.1,,,8446037746
1.68-intro,stack-specialist,db-changelog-1.68.xml,2026-01-24 15:25:45.470309,611,EXECUTED,9:d41d8cd98f00b204e9800998ecf8427e,empty,"Database Changelog v1.68 - Fix Unpopulated Materialized Views + Create Ministry View
        
        Creates missing view_riksdagen_ministry to achieve 100% Comparative Analysis
        framework coverage (26/26 views). Documents population requi...",,5.0.1,,,9264743943
1414872417007-168,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.624592,168,EXECUTED,9:120cbf4620307c3f7962a3727eea6d93,"addForeignKeyConstraint baseTableName=person_detail_element, constraintName=fk_a6syxeadcisfnnfjqemog93qd, referencedTableName=detail_element","",,5.0.1,,,8446037746
1414872417007-57,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.633032,57,EXECUTED,9:c2b1be2b1568b0adffeadb4e60e07aa4,createTable tableName=sweden_county_electoral_regi_0,"",,5.0.1,,,8446037746
1.34-documentation,database-architect,db-changelog-1.34.xml,2026-01-15 04:00:43.448232,393,EXECUTED,9:215e4217ceea39d393d357dfab47613b,sql,"Documentation for v1.34 comprehensive view fixes
        
        Summary:
        - Pre-flight validation checks source data
        - Ministry views verified (expected empty without ministry data)
        - Government proposals view fixed (broad...",,5.0.1,,,8446037746
fix-politician-risk-summary-1.32-001,intelligence-analyst,db-changelog-1.32.xml,2026-01-15 04:00:43.31101,372,EXECUTED,9:a5bd4210d7968d1004790f7d482867e8,dropView viewName=view_politician_risk_summary; createView viewName=view_politician_risk_summary,"Fix view_politician_risk_summary to return data
        
        Root Cause: The JOIN condition on view_riksdagen_vote_data_ballot_politician_summary_annual
        was filtering on an exact date (date_trunc('year', CURRENT_DATE - INTERVAL '1 year...",,5.0.1,,,8446037746
1414872417007-20,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.284105,20,EXECUTED,9:409c0b3f5c827c4bf3c7421647dadb6a,createTable tableName=detail_data,"",,5.0.1,,,8446037746
fix-coalition-alignment-1.38-0022,intelligence-operative,db-changelog-1.38.xml,2026-01-15 04:00:43.66699,421,EXECUTED,9:8dda1ad871d012db9cd2a4d950e07152,sql; createView viewName=view_riksdagen_coalition_alignment_matrix,"Transformed coalition alignment view to match existing Java entity structure.
        Maps new analytical logic to legacy column names for backwards compatibility.
        
        Mapping:
        - total_votes -> shared_votes
        - aligned_v...",,5.0.1,,,8446037746
1414872417007-182,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.753793,182,EXECUTED,9:7300fd0907004ada150fc96cb7a0c74c,"addForeignKeyConstraint baseTableName=assignment_element, constraintName=fk_ks1811fwuno6vqof0lskerpib, referencedTableName=person_assignment_element","",,5.0.1,,,8446037746
