person_id,person_name,party,total
0401968752713,Stina Bergström,MP,269
0622185335615,Carl Bildt ,M,1
0368245926011,Conny Öhman,S,30
0634122058105,Per Erik Granström ,S,4
0196024739401,Margareta B Kjellin,M,162
0461756329828,Karin Granbom Ellison,L,46
0544137999406,Björn von der Esch ,KD,1
0371688419616,Lars Ohly,V,566
0538777624511,Christer Akej,M,61
0970427364222,Anna Wallén,S,271
061124537800,Birgitta Ahlqvist,S,207
088849148003,Elver Jonsson ,L,16
0689360934600,Sven Britton,S,33
0371414788216,Lars Lindblad ,M,5
0341628241813,Marianne Pettersson,S,46
0324815829026,Johan Linander,C,305
0409540163215,Hans Rothenberg,M,251
0841428824218,Camilla Sköld Jansson,V,200
0182190010218,Esabelle Reshdouni,MP,51
0877853587410,Lina Axelsson Kihlblom,S,1
0936723349517,Christer Engelhardt,S,376
0695579897102,Ingvar Eriksson ,M,4
0138741628520,Angelika Bengtsson,SD,200
0622185335615,Carl Bildt,M,16
0996640018922,Yasmine Larsson,S,24
0444616389415,Mats Johansson,M,19
0820673454606,Inger Davidson ,KD,14
0241675049710,Otto von Arnold,KD,89
0838210948212,Henrik Landerholm ,M,15
0891897903314,Sven-Erik Sjöstrand,V,253
019625586527,Johnny Munkhammar,M,17
0290003389021,Chris Dahlqvist,SD,2
0456070504608,Berit Adolfsson,M,123
0584659199514,Göran Hägglund ,KD,20
0970259744617,Margareta Cederfelt,M,502
0586690122908,Johan Lönnroth,V,92
0188653245302,Bengt Berg,V,201
0615338062910,Lena Olsson ,V,2
0700424025906,Mats Odell ,KD,20
0238588409223,Gustav Fridolin,MP,402
0462541496508,Rigmor Stenmark ,C,5
0604811710522,Ida Drougge,M,116
0913965980315,Christina Axelsson ,S,5
0455256796113,Christer Winbäck,L,381
0468775142013,Christina Oskarsson,S,318
0791588767213,Staffan Werme,L,3
0710595759638,Aida Birinxhiku,S,81
0775091111217,Britta Lejon,S,21
017523200206,Karin Olsson,S,31
0256716955026,Serkan Köse,S,120
0322827326923,Arman Teimouri,L,13
0309480686522,Leila Ali Elmi,MP,127
0738969851001,Karl-Göran Biörsmark ,L,2
098329342620,Jennie Wernäng,M,45
0954072997110,Carl Schlyter,MP,69
086684470825,Tobias Andersson,SD,58
0758217192418,Sven Gunnar Persson,KD,265
0729710260118,Helena Bouveng,M,165
0658668232410,Per Bill,M,301
0181478122414,Anne Marie Brodén,M,389
0157618290428,Rashid Farivar,SD,36
0135730306412,Tommy Waidelich ,S,1
0500493436208,Kristina Persson,S,5
0140985614421,Peder Björk,S,86
0191823608408,Ulla-Britt Hagström ,KD,14
0652944607906,Cristina Husmark Pehrsson ,M,20
0618560932311,Hillevi Engström,M,213
0928964569700,Margareta Andersson,c,542
0218878014918,Stefan Löfven,S,710
038604236714,Mia Franzén,L,132
0397377293714,Göran Lindell,C,64
075043103804,Per Lager,MP,147
0214302391005,Rinaldo Karlsson ,S,1
0238095659621,Linda Modig,C,5
0285631067215,Robert Halef,KD,159
0165732384110,Ulrica Messing,S,15
0553513261108,Barbro Feltzing,MP,342
0891731772016,Mats Gerdau,M,69
0425391168202,Liselotte Wågö,M,61
0537484650407,Bo Lundgren,M,78
0890152141226,Nadja Awad,V,52
0716036604716,Elisabet Knutsson,MP,3
0699354970600,Tredje vice talman Rose-Marie Frebran ,KD,3
0739152363302,Göran Lennmarker ,M,14
0889860537413,Krister Hammarbergh,M,317
0333193598116,Bo Broman,SD,76
0604604418610,Jacob Risberg,MP,148
0996403729104,Tone Tingsgård ,S,1
0825004049003,Göran Persson i Stjärnhov,S,1
0992420223820,Jessica Rosencrantz,M,58
0758217192418,Sven-Gunnar Persson,KD,2
0338088431726,Sara Gille,SD,19
0671241874717,Elisabeth Björnsdotter Rahm,M,80
0600069352021,Fredrik Kärrholm,M,13
0996373560505,Runar Patriksson ,L,11
0931369291903,Fanny Rizell ,KD,12
0194021108712,Mikael Strandman,SD,15
0163254848207,andre vice talman Eva Zetterberg ,V,1
0386912710815,Mats Arkhem,SD,4
0965245623824,Nicklas Attefjord,MP,3
0779781772919,Kristina Nilsson,S,121
0381853591928,Malte Roos,MP,1
0470861746302,Mariann Ytterberg,s,70
0544046588414,Jan-Olof Larsson,S,259
0770363683317,Malin Björk,C,61
0336920874106,Bertil Persson ,M,7
0743081365718,Irene Oskarsson,KD,109
0954999878706,Kenth Skårvik ,L,7
0611350076611,Susanne Nordström,M,10
0766496753128,Fredrik Malm,L,190
0399430895200,Sven Hulterström,S,6
0914133868703,Barbro Hietala Nordlund ,S,3
0957794828205,Agneta Lundberg,s,397
0274462857213,Petter Löberg,S,85
0977592683711,Magnus Jacobsson,KD,303
0482927154110,Leif Jakobsson,S,202
0999976269027,Amanda Palmstierna,MP,61
0456373360003,Louise Edlind-Friberg,L,7
0652497579621,Johanna Haraldsson,S,178
0505931201806,Rolf Kenneryd,c,120
078822921217,Nalin Pekgul,S,13
010343930918,Cecilie Tenfjord-Toftby,M,129
037063714405,Anders Björck ,M,17
0133282248705,Helena Bargholtz,L,250
0452755722723,Björn Söder,SD,410
0339624201100,Hans Dahlgren,S,6
0964379974219,Christina Zedell,S,166
0878075468027,Hillevi Larsson,S,1134
0150118366721,Linda Snecker,V,93
0974061238314,Paula Holmqvist,S,98
064601872511,Catharina Elmsäter-Svärd,m,245
0992604658114,Cecilia Nilsson Wigström,L,16
0549025722425,Amanda Agestav,kd,160
0363228965800,Barbro Westerholm,L,307
0930305890123,Sara-Lena Bjälkö,SD,185
0526748040023,Ludvig Aspling,SD,24
0464639640213,Ola Karlsson ,M,11
0934639939611,Ola Johansson,C,210
0887345842319,Gunilla Tjernberg,kd,467
0661583406713,Eva Nordmark,S,4
0281670919717,Jörgen Grubb,SD,47
0838085832923,Ann-Sofie Lifvenhage,M,554
051207517226,Jimmie Åkesson,SD,48
0843345349823,Anders Hansson,M,368
0469626830920,Karl Sigfrid,M,33
0111479807829,Anna Wallentheim,S,149
0883392691612,Anneli Särnblad,S,252
0117613859601,Erling Bager,L,109
0590881101608,Åke Sandström,c,181
0440497495914,Tomas Högström ,M,6
0197306878612,Greger Tidlund,S,2
0210444373111,Katarina Luhr,MP,190
0878075468027,Hillevi Larsson ,S,1
0252641216303,Britt-Marie Lindkvist,s,107
0163254848207,Eva Zetterberg ,V,3
0645111757928,Elin Gustafsson,S,16
0750092881021,Joanna Lewerentz,M,32
0997123540801,Agneta Brendt,s,75
0262017901513,Beatrice Ask ,M,17
0817058516814,Ina Järlesjö,KD,1
0194498232620,Roza Güclü Hedin,S,321
0849219210615,Jabar Amin,MP,208
0135730306412,Tommy Waidelich,S,196
0393332254704,Inga Berggren ,M,9
0507199415917,Matz Hammarström ,MP,3
0639398547124,Bassem Nasr,MP,1
0441279609311,Torbjörn Lövendahl,S,3
0136801772915,Maria Strömkvist,S,82
0468775142013,Christina Nenes,S,149
0548843588006,Ingemar Vänerlöv ,KD,1
0479355987014,Christina Pettersson,S,15
0778725756419,Lisbeth Sundén Andersson,M,57
0677210453318,Pernilla Zethraeus,V,38
0700714424203,Lars Wegendal,S,299
0665485817222,Daniel Bäckström,C,210
0249261021627,Hannes Hervieu,C,1
0836001490919,Ulrika Carlsson i Skövde,C,141
0493288854424,Niklas Wykman,M,61
069534526423,Mathias Bengtsson,KD,51
04571388712,Adam Reuterskiöld,M,38
0132698667318,Thoralf Alfsson,SD,129
0533104339313,Merit Frost Lindberg,M,33
0903307301618,Peter Persson,S,144
051870309210,Anna Sibinska,MP,1
0412502344925,Ida Ekeroth Clausson,S,24
0517869568019,Mikael Johansson,MP,252
0600928907216,Carina Hägg,S,979
0913965980315,Christina Axelsson,s,253
0376353897112,Leif Nysmed,S,92
0521844714515,Christina Höj Larsen,V,310
0155487380917,Kerstin Lundgren,C,494
0522054204918,Mattias Karlsson,M,6
0747852417614,Maria Stenberg,S,232
0944338157703,Karin Wegestål,s,20
0287315215921,Mona Smedman,C,20
0185498861416,Lena Sommestad,S,94
0506857137319,Mikael Rosén,M,1
0702674089702,Carl-Axel Roslund,M,127
0464639640213,Ola Karlsson,m,132
0395613047500,Linnéa Darell,L,171
0254695027922,Malcolm Momodou Jallow,V,63
0628190530410,Ulla Andersson,V,590
0598792324417,Ulrika Jörgensen,M,26
0371882294919,Carita Boulwén,SD,51
0548314774911,Veronica Palm,S,327
0456522027421,Linnéa Wickman,S,137
0235494367806,Ingegerd Saarinen ,MP,7
0828001951212,Ingemar Kihlström,KD,50
0371688419616,Lars Ohly ,V,2
0899112324519,Elisabeth Svantesson,M,260
0874331493311,Helena Frisk ,S,6
0959102638818,Roger Tiefensee,C,191
0245468368228,Yusuf Aydin,KD,26
0798631972204,Rune Berglund,S,77
0283117091429,Emanuel Öz,S,62
0449003924218,Kalle Larsson,V,465
0222234581210,Claes Västerteg,C,238
0186490041606,Kerstin-Maria Stalin,MP,229
0409655917321,Jakob Olofsgård,L,10
0722683622001,Lars Jilmstad,M,17
0115607185214,Gunnar Nordmark,L,139
0773312517000,Gustaf von Essen ,M,4
0997123540801,Agneta Brendt ,S,2
0719332223713,Juno Blom,L,6
0203071331400,Yvonne Ångström,L,375
0599331666806,Tom Heyman,M,40
0512424416400,Inger Lundberg,S,183
0955635879822,Dan Nilsson,S,27
0388994689418,Malin Östh,V,32
0347247788013,Claes Stockhaus ,V,3
0500463008008,Hans Andersson ,V,8
0388920259006,Inger René,m,379
0699787174310,Lotta Nilsson-Hedström,MP,6
025877594729,John Widegren,M,35
0427695165918,Kew Nordqvist,MP,131
0249314098519,Boel Lindén,V,2
0166790812128,Hanif Bali,M,51
0280087199210,Valter Mutt,MP,280
0455086201022,Johnny Skalin,SD,453
0506806850221,Linus Bylund,SD,79
0897304708905,Sinikka Bohlin ,S,3
0859909330720,Sanna Backeskog,S,134
0972636989226,Dzenan Cisija,S,69
0107123682905,Berndt Sköldestig,S,72
0475643059428,Jonny Cato,C,92
0781520322912,Jörgen Hellman,S,325
037508021018,Torbjörn Björlund,V,478
0599736947819,Ola Sundell ,M,12
0277853016020,Simona Mohamsson,L,1
0682674527208,Anita Jönsson,s,96
0387494457202,Catharina Hagen,M,76
0281408160607,Gunnar Goude ,MP,2
016950536026,Hanna Wigh,SD,78
0947134226212,Markus Kauppinen,S,19
0200003128803,Lennart Daléus ,C,6
0247856302113,Thomas Nihlén,MP,247
0457213878205,Jan Erik Ågren,KD,90
0512357753412,Britt Bohlin,S,7
0249730539015,Anders Karlsson,C,85
0697941234716,Margareta Sandstedt,SD,47
0737824098113,Magnus Berntsson,KD,56
0508589337602,Harald Bergström,kd,131
0494431859015,Anders Sellström,KD,45
0604459858621,Emilia Töyrä,S,71
0747667590310,Marina Pettersson,S,412
0352254228107,Staffan Danielsson,C,444
0437269990517,Anna Steele,L,58
0671571847522,Mattias Eriksson Falk,SD,164
0737073162411,Emma Carlsson Löfdahl,L,384
0397924710612,Ulrika Karlsson i Uppsala,M,191
0418929039326,Patrik Lundqvist,S,95
0946889218011,Jan-Evert Rådhström,m,333
0446541913415,Allan Widman,L,345
0973566938927,Elisabet Lann,KD,2
0704744533715,Pernilla Stålhammar,MP,11
0773506435611,Anders Larsson,C,64
0667220767927,Erik Ezelius,S,68
0964730940415,Johan Andersson,S,480
0251136832626,Muharrem Demirok,C,18
0558392779801,Ester Lindstedt-Staaf ,KD,14
0363608290410,Per Landgren,KD,321
0405594274208,Ewa Pihl Krabbe,S,56
0891897903314,Sven-Erik Sjöstrand ,V,4
0810201628512,Ann-Charlotte Hammar Johnsson,M,553
0547805254924,Jessica Thunander,V,25
0995355603410,Wiwi-Anne Johansson,V,617
0618583795602,Sören Lekberg,S,10
0875693083423,Romina Pourmokhtari,L,16
049290762318,ClasGöran Carlsson,S,15
0977860675311,Gunilla Carlsson i Tyresö,M,80
0806338394516,Mona Sahlin,S,36
0446973363306,Lennart Nilsson,S,33
0116603319117,Josefin Brink,V,354
0781029778411,Cecilia Dalman Eek,S,48
0299768872013,Per-Samuel Nisser ,M,5
0236597884217,Rose-Marie Carlsson,S,124
09812885803,Jan Ertsborn,L,373
0705556766027,Karla López,MP,96
0828721176319,Sten Bergheden,M,1236
0729731578904,Lisbet Calner,s,24
0893004490313,Cecilia Widegren,M,602
0538404901718,Malin Löfsjögård,M,28
0899701619804,Nikos Papadopoulos,S,112
0992800527915,Ann Linde,S,12
0105797223918,Mikael Cederbratt,M,157
0442629549320,Adnan Dibrani,S,233
0502174718806,Carin Runeson,S,430
0229350341619,Ilona Szatmari Waldau,V,10
0708483204009,Lennart Klockare,S,132
057390531612,Laila Bäck,S,67
0116712544316,Eva Wallin,KD,2
023451344303,Patrik Norinder,M,207
0355151001911,Aleksander Gabelic,S,103
0235326752716,Lennart Pettersson,C,69
0409551181119,Stefan Caplan,M,23
0648161048508,Margareta Nachmanson,M,19
0697255175510,Willy Söderdahl ,V,1
0810673119603,Marianne Carlström,S,132
0785143384002,Rolf Gunnarsson ,M,10
0814945477312,Gunilla Wahlén,V,593
0395042560705,Kerstin Heinemann ,L,8
0607691439013,Karin Enström ,M,7
0789353702707,Mats Lindberg,S,3
0387691310906,Jan Bergqvist,S,9
036926802512,Blåvitt Elofsson,S,13
0469084171710,Ulrika Westerlund,MP,243
0485476395125,Christian Holm,M,109
0828198456420,Lise Nordin,MP,181
0691468495629,Axel Darvik,L,129
0292756653724,Henrik von Sydow,M,152
0937572393290,Tullia von Sydow,S,29
043972220518,Jasenko Omanovic,S,369
0288805051019,Lars Johansson,S,228
0980092192122,Joar Forssell,L,46
0754692641206,Marianne Andersson,c,166
0181942435301,Ingela Thalén,S,7
012053331219,Anna Kinberg Batra,M,41
0361652802700,Lennart Fridén ,M,7
0925968558417,Lennart Sacrédeus,KD,89
0647668663722,Parisa Liljestrand,M,8
0110600080618,Håkan Juholt,S,202
0727772954327,Ludvig Ceimertz,M,45
013322783509,Dag Ericson,s,3
079095006519,Jan Björkman,S,229
0263304349100,Christina Andersson,C,1
010611244716,Åsa Regnér,S,13
0851966755011,Hans Stenberg,s,404
0331967573912,Maria Larsson ,KD,27
0721657655513,Finn Bengtsson,M,796
0837501934208,Ola Rask,S,73
0163254848207,Eva Zetterberg,V,84
0664794700308,Jerry Martinger ,M,1
0222968585611,Peter Norman,M,1
0825441263617,Birger Lahti,V,162
0610573125306,Berndt Ekholm,S,56
0697895317615,Maud Ekendahl,M,277
0831039938224,Adam Marttinen,SD,151
0793372891224,Noria Manouchi,M,81
0148424181819,Ann-Christine Frohm Utterstedt,SD,1
0568055205114,Gustav Nilsson,M,145
0250583732424,Jesper Skalberg Karlsson,M,173
0442872782509,Harald Nordlund,L,115
0348584595917,Cinnika Beiming,s,94
0973782197017,Mikael Oscarsson ,KD,18
0956595590924,Tobias Billström,M,352
0101299073819,Karin Pilsäter ,L,10
039371311407,Marianne Watz,M,39
0468206532916,Inger Segelström ,S,2
0435740736429,Hampus Hagman,KD,15
0925652297119,Per Ramhorn,SD,309
0166402877505,Ulla Hoffmann ,V,7
0987147242812,Johnny Gylling ,KD,9
0628005785225,Jörgen Berglund,M,33
0190801883908,Britt-Marie Danestig,V,121
0589561178823,Peter Hedberg,S,84
0796312429425,Viktor Wärnick,M,42
0530361204603,Rolf Åbjörnsson ,KD,3
0321224145104,Sören Wibe,S,23
0220064764318,Camilla Brunsberg,M,63
0738969851001,Karl-Göran Biörsmark,L,50
0161597857912,Tuve Skånberg,KD,830
0664751846104,Göte Jonsson ,M,2
0296384583518,Åsa Eriksson,S,70
0864542495614,Sten Tolgfors ,M,12
019623784404,Viviann Gerdin,c,317
0198031297912,Anette Åkesson,M,160
0483316376813,Mikael odenberg ,M,1
0640774576009,Inger Jarl Beck,S,260
0125165702713,Marietta de Pourbaix-Lundin,M,845
0362924695201,Birgitta Eriksson,S,147
0989755177525,Mattias Ingeson,KD,2
0478371872009,Helena Rivière,M,3
0816380242014,Anders Berglöv,S,11
0916272051100,Staffan Anger,M,140
0331791853028,Yasmine Eriksson,SD,45
0749416304126,Marie Nicholson,M,46
0291542732518,Marie Nordén,S,595
0108109641223,Carl-Oskar Bohlin,M,121
0485476395125,Christian Holm Barenfeld,M,100
0741005094627,Gustav Blix,M,39
0410640630411,Ulrik Nilsson,M,21
0115834246514,Emma Wallrup,V,97
0483338990013,Roland Gustbée,M,17
0663851410627,Beatrice Timgren,SD,10
0900533740700,Marianne Samuelsson,MP,163
0529963707818,Martin Nilsson ,S,1
0122987223112,Lotta Johnsson Fornarve,V,237
0748447264503,Margit Gennser,M,91
0323000187920,Solange Olame Bayibsa,S,3
0875425244515,Ronny Olander,s,383
0252067342313,Åsa Lindestam,S,577
0958072321310,Anders Borg,M,1
0513020576128,Erik Bengtzboe,M,199
0378597308227,Camilla Brodin,KD,34
0340418158820,Daniel Persson,SD,40
0461756329828,Karin Granbom,L,122
072019517020,Amir Adan,M,87
0125036219125,Nina Larsson,L,38
0599331666806,Tom Heyman ,M,7
0274710563201,Agne Hansson,c,488
0592345073323,Anna af Sillén,M,61
0494843794418,Martin Ådahl,C,63
0807866053922,Anna König Jerlmyr,M,62
058426570914,Sven Bergström,c,484
010643534813,Eric Westroth,SD,68
0475778011711,Hans Ekström,S,215
0136268785826,Nima Gholam Ali Pour,SD,39
0552112259207,Bosse Ringholm,S,31
0132818093422,Rickard Nordin,C,383
0879055385113,Jeppe Johnsson,m,378
0406831930624,Henrik Vinge,SD,5
0112524608217,Petra Gardos,M,4
0228027853620,Vasiliki Tsouplaki,V,191
025967059622,Magnus Manhammar,S,248
0892012091809,Sten Andersson,M,62
083921164513,Abdirizak Waberi,M,15
0273506284025,Edward Riedl,M,439
0836813859011,Martin Andreasson,L,194
0440673458216,Ulrika Liljeberg,C,48
0648224557612,Åsa Karlsson,S,71
0477013214601,Carl B Hamilton,L,75
0425391168202,Liselotte Wågö ,M,2
08644719105,Anna Lilliehöök,M,254
0783033318602,Rezene Tesfazion,S,31
0332067570917,Berit Andnor ,S,2
0888126424314,Leif Pagrotsky,S,71
0837501934208,Ola Rask ,S,1
0321274454602,Lisbeth Grönfeldt Bergman,M,44
0237055280513,Roland Utbult,KD,207
0327857385513,Kenneth Johansson ,C,13
0468775142013,Christina Nenes ,S,2
0820673454606,Inger Davidson,KD,533
0703309898919,Charlotta L Bjälkebring,v,120
0637784834317,Diana Laitinen Carlsson,S,16
0508589337602,Harald Bergström ,KD,19
0742883909221,John E Weinerhall,M,34
0880018341619,Thomas Morell,SD,20
0962854674801,Gudrun Lindvall ,MP,3
0926002991620,Pontus Andersson,SD,2
0475092656901,Lennart Hedquist ,M,8
0567842515701,Monica Öhman,s,35
0489591175704,Ingemar Josefsson,s,49
0959236354417,Anders Sundström,S,30
0618938634020,Marcus Wennerström,S,11
0000000000000,Karin Jeppsson,S,24
0387494457202,Catharina Hagen ,M,12
0193303720505,Anita Johansson,S,84
0489096664719,Sten Lundström,V,289
0720250789315,Mats Wiking,S,49
0285527517421,Caroline Nordengrip,SD,6
0512510717328,Ebba Busch,KD,55
013162757105,elizabeth Nyström ,M,1
0133149500010,Björn Lind,S,23
0837394708917,Anders Ådahl,C,95
