election_cycle_id,cycle_year,calendar_year,semester,is_pre_election_semester,months_until_election,active_politicians,avg_attendance_rate,total_ballots,total_votes,avg_win_rate,avg_rebel_rate,violation_count,avg_ma_absence,avg_approval_rate,total_decisions,avg_committee_productivity,rank_by_attendance,percent_rank_attendance,ntile_performance,prev_semester_attendance,prev_semester_decisions,next_semester_attendance,stddev_attendance,stddev_win_rate,stddev_decisions,change_attendance_pct,change_decisions_pct,attendance_trend,overall_performance_score,volatility_assessment,forecast_trend
2022-2026,4,2025,spring,t,19,363,84.91,255501504,89170024896,56.26,0.11,0,14.93,41.74,12172832,18.35,5,0.5714285714285714,3,85.68,9049600,,0.50093246384451201121,2.5621567520786511,51860620.0324,-0.90,34.51,stable,70.59,stable,stable_forecast
2006-2010,2,2007,autumn,f,36,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,2,2027,autumn,f,36,0,,,,,,,,,,18.35,2,0.14285714285714285,1,84.75,,,0,0,,,,stable,,stable,stable_forecast
1994-1998,4,1997,spring,t,19,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,2,2023,spring,f,43,364,85.94,210066432,73313184768,58.04,0.03,0,14.37,43.74,8521728,18.35,1,0,1,85.29,95548512,84.93,0.50093246384451201121,2.5621567520786511,51860620.0324,0.76,-91.08,stable,71.99,stable,stable_forecast
1998-2002,2,1999,autumn,f,36,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,4,2025,autumn,f,12,360,85.68,22345312,7798513888,62.81,0.16,0,14.17,33.04,9049600,18.35,2,0.14285714285714285,1,84.45,9480224,84.91,0.50093246384451201121,2.5621567520786511,51860620.0324,1.46,-4.54,stable,74.25,stable,stable_forecast
2022-2026,3,2024,spring,f,31,363,84.45,183869952,64170613248,57.01,0.11,0,15.32,44.78,9480224,18.35,6,0.7142857142857143,3,84.93,148405920,85.68,0.50093246384451201121,2.5621567520786511,51860620.0324,-0.57,-93.61,stable,70.73,stable,stable_forecast
2018-2022,2,2019,spring,f,43,0,,,,,,,,,,18.35,1,0,2,,,,,,64752.00000000,,,baseline,,stable,stable_forecast
2018-2022,2,2019,autumn,f,36,0,,,,,,,,,,18.35,1,0,2,,,,,,64752.00000000,,,baseline,,stable,stable_forecast
2002-2006,1,2002,autumn,f,48,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2030-2034,1,2030,spring,f,55,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2022-2026,1,2022,spring,f,55,0,,,,,,,,48.97,16576,18.35,7,0.8571428571428571,4,,74336,85.29,0.50093246384451201121,2.5621567520786511,51860620.0324,,-77.70,baseline,,stable,stable_forecast
2026-2030,3,2028,spring,f,31,0,,,,,,,,,,18.35,2,0.14285714285714285,3,,,,0,0,,,,baseline,,stable,stable_forecast
2006-2010,4,2009,spring,t,19,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2030-2034,1,2030,autumn,f,48,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,3,1996,autumn,f,24,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2010-2014,1,2010,autumn,f,48,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,2,2003,spring,f,43,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,2,2003,autumn,f,36,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,4,2017,spring,t,19,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,1,2018,spring,f,55,0,,,,,,,,,,18.35,1,0,1,,,,,,64752.00000000,,,baseline,,stable,stable_forecast
2022-2026,3,2024,autumn,f,24,357,84.93,42025184,14666789216,61.08,0.12,0,15.24,34.01,148405920,18.35,4,0.42857142857142855,2,85.94,8521728,84.45,0.50093246384451201121,2.5621567520786511,51860620.0324,-1.18,1641.50,stable,73.01,stable,stable_forecast
2006-2010,1,2006,spring,f,55,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,4,2017,autumn,f,12,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,4,2005,autumn,f,12,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,4,1997,autumn,f,12,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,3,1996,spring,f,31,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,1,1998,spring,f,55,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,4,2001,autumn,f,12,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,1,2006,autumn,f,48,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,3,2004,autumn,f,24,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,1,2014,spring,f,55,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2002-2006,1,2002,spring,f,55,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,2,1995,spring,f,43,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,2,2007,spring,f,43,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
2018-2022,1,2018,autumn,f,48,0,,,,,,,,,,18.35,1,0,1,,,,,,64752.00000000,,,baseline,,stable,stable_forecast
1994-1998,1,1994,spring,f,55,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,1,2014,autumn,f,48,0,,,,,,,,,,18.35,1,0,1,,,,,,,,,baseline,,stable,stable_forecast
2006-2010,4,2009,autumn,f,12,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
1994-1998,2,1995,autumn,f,36,0,,,,,,,,,,18.35,1,0,2,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,3,2000,autumn,f,24,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
2026-2030,4,2029,spring,t,19,0,,,,,,,,,,18.35,2,0.14285714285714285,4,,,,0,0,,,,baseline,,stable,stable_forecast
2002-2006,4,2005,spring,t,19,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
2014-2018,3,2016,spring,f,31,0,,,,,,,,,,18.35,1,0,3,,,,,,,,,baseline,,stable,stable_forecast
1998-2002,4,2001,spring,t,19,0,,,,,,,,,,18.35,1,0,4,,,,,,,,,baseline,,stable,stable_forecast
