person_id,first_name,last_name,previous_party,new_party,transition_date,months_until_next_election,pre_transition_attendance,post_transition_attendance,attendance_change,docs_before,docs_after,defection_timing
0938901612810,Fredrik,Reinfeldt,KD,M,2003-10-25,34,65.87,4.53,-61.34,456,526,NORMAL_DEFECTION
0744993950910,Anders,Ygeman,KD,S,2017-08-08,13,,89.20,89.20,0,564,NORMAL_DEFECTION
0803753212716,Richard,Jomshof,KD,SD,2015-02-26,42,100.00,82.72,-17.28,368,380,MID_TERM_DEFECTION
0836001490919,Ulrika,Heie,C,KD,2014-10-14,46,76.84,73.46,-3.38,480,306,MID_TERM_DEFECTION
0406831930624,Henrik,Vinge,KD,SD,2019-04-01,41,100.00,92.13,-7.87,178,477,MID_TERM_DEFECTION
0922497728524,Ardalan,Shekarabi,S,KD,2022-10-11,47,,83.33,83.33,0,384,MID_TERM_DEFECTION
0781648625615,Peter,Rådberg,KD,MP,2010-10-25,46,79.46,94.10,14.64,334,432,MID_TERM_DEFECTION
0939158389321,Samuel,Gonzalez Westling,V,RS,2022-10-04,47,,82.81,82.81,0,384,MID_TERM_DEFECTION
0199751900210,Annelie,Karlsson,S,KD,2019-01-31,43,89.39,93.97,4.58,508,476,MID_TERM_DEFECTION
0482927154110,Leif,Jakobsson,RS,S,2008-06-05,27,82.42,75.73,-6.69,362,337,NORMAL_DEFECTION
0721509806321,Nooshi,Dadgostar,KD,V,2020-10-31,22,16.98,1.73,-15.25,316,577,NORMAL_DEFECTION
0522460069116,Cecilia,Magnusson,M,KD,2010-10-19,46,84.27,89.80,5.53,335,432,MID_TERM_DEFECTION
0802546764724,Åsa,Westlund,KD,RS,2022-10-04,47,91.18,85.16,-6.02,703,384,MID_TERM_DEFECTION
012053331219,Anna,Kinberg Batra,M,RS,2010-10-12,47,71.26,78.77,7.51,339,429,MID_TERM_DEFECTION
0483316376813,Mikael,Odenberg,RS,KD,2003-11-24,33,80.43,71.03,-9.40,506,532,NORMAL_DEFECTION
0638497389621,Julia,Kronlid,KD,RS,2018-10-02,47,93.40,95.87,2.47,560,455,MID_TERM_DEFECTION
0628005785225,Jörgen,Berglund,M,RS,2024-10-18,22,90.15,78.48,-11.67,406,460,NORMAL_DEFECTION
0457308547314,Karin,Svensson Smith,V,MP,2006-11-14,46,82.35,76.83,-5.52,490,312,MID_TERM_DEFECTION
0819601620927,Annika,Hirvonen,MP,KD,2021-03-05,18,18.71,37.12,18.41,447,598,NORMAL_DEFECTION
0199751900210,Annelie,Karlsson,RS,KD,2019-01-31,43,89.39,93.97,4.58,508,476,MID_TERM_DEFECTION
0946889218011,Jan-Evert,Rådhström,RS,KD,2010-10-19,46,68.55,82.77,14.22,335,432,MID_TERM_DEFECTION
0819601620927,Annika,Hirvonen,MP,RS,2019-11-29,33,100.00,38.82,-61.18,66,405,NORMAL_DEFECTION
0534173087404,Carin,Lundberg,KD,RS,2002-10-24,46,100.00,98.27,-1.73,2,459,MID_TERM_DEFECTION
0463606088610,Bertil,Kjellberg,M,RS,2008-04-04,29,90.51,89.30,-1.21,291,397,NORMAL_DEFECTION
0980681611418,Hans,Wallmark,KD,M,2015-01-20,43,83.08,84.82,1.74,391,366,MID_TERM_DEFECTION
0284192765516,Tomas,Eneroth,KD,RS,2014-10-07,47,86.07,97.73,11.66,480,305,MID_TERM_DEFECTION
0584659199514,Göran,Hägglund,RS,S,2006-10-06,47,1.32,,-1.32,528,0,MID_TERM_DEFECTION
039655712615,Margareta,Pålsson,RS,KD,2006-10-17,47,92.37,88.93,-3.44,521,295,MID_TERM_DEFECTION
011731125914,Ylva,Johansson,S,KD,2007-05-11,40,79.57,76.35,-3.22,234,330,MID_TERM_DEFECTION
0962841101917,Annika,Qarlsson,RS,C,2006-10-11,47,77.40,90.60,13.20,528,295,MID_TERM_DEFECTION
0899112324519,Elisabeth,Svantesson,KD,RS,2021-02-04,19,30.02,28.81,-1.21,451,545,NORMAL_DEFECTION
0992420223820,Jessica,Rosencrantz,M,KD,2022-11-15,45,78.13,68.42,-9.71,695,38,MID_TERM_DEFECTION
0951854268017,Åsa,Romson,MP,M,2015-01-01,44,76.29,,-76.29,362,0,MID_TERM_DEFECTION
0371414788216,Lars,Lindblad,RS,KD,2006-10-17,47,88.55,72.82,-15.73,521,295,MID_TERM_DEFECTION
0334816698724,Karolina,Skog,MP,RS,2021-02-25,18,20.41,9.96,-10.45,434,502,NORMAL_DEFECTION
0463606088610,Bertil,Kjellberg,KD,RS,2008-04-04,29,90.51,89.30,-1.21,291,397,NORMAL_DEFECTION
0956595590924,Tobias,Billström,KD,M,2017-10-03,11,77.34,82.35,5.01,478,560,PRE_ELECTION_DEFECTION
0222691314314,Ulf,Kristersson,M,KD,2017-12-14,8,68.64,16.93,-51.71,504,513,PRE_ELECTION_DEFECTION
0667220767927,Erik,Ezelius,S,KD,2022-06-10,3,80.28,87.07,6.79,710,147,PRE_ELECTION_DEFECTION
0193303720505,Anita,Johansson,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0819601620927,Annika,Hirvonen,RS,KD,2021-03-05,18,18.71,37.12,18.41,447,598,NORMAL_DEFECTION
0475643059428,Jonny,Cato,C,RS,2025-09-01,12,91.83,86.49,-5.34,465,37,PRE_ELECTION_DEFECTION
0745549193810,Stefan,Attefall,KD,S,2010-10-06,47,72.78,,-72.78,347,0,MID_TERM_DEFECTION
0183788551910,Åsa,Torstensson,KD,C,2010-10-25,46,,84.13,84.13,0,432,MID_TERM_DEFECTION
0388920259006,Inger,René,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0607691439013,Karin,Enström,RS,M,2022-10-19,46,89.02,78.91,-10.11,701,384,MID_TERM_DEFECTION
0796071663617,Acko,Ankarberg Johansson,KD,S,2022-10-18,46,96.01,,-96.01,701,0,MID_TERM_DEFECTION
0665485817222,Daniel,Bäckström,RS,KD,2022-10-11,47,95.02,77.34,-17.68,703,384,MID_TERM_DEFECTION
0652944607906,Cristina,Husmark Pehrsson,KD,S,2006-10-06,47,81.73,,-81.73,528,0,MID_TERM_DEFECTION
0603490586517,Jan,Björklund,FP,KD,2014-10-14,46,,50.81,50.81,0,306,MID_TERM_DEFECTION
0875221317013,Gunilla,Carlsson,KD,RS,2022-10-04,47,92.03,86.72,-5.31,703,384,MID_TERM_DEFECTION
0130789484021,Mattias,Bäckström Johansson,SD,KD,2020-04-08,29,99.77,25.11,-74.66,438,458,NORMAL_DEFECTION
0284192765516,Tomas,Eneroth,KD,S,2014-10-04,47,86.07,97.73,11.66,480,305,MID_TERM_DEFECTION
0462699892622,Maria,Ferm,RS,KD,2014-10-14,46,91.19,97.06,5.87,480,235,MID_TERM_DEFECTION
0371688419616,Lars,Ohly,KD,V,2004-02-20,30,89.61,37.20,-52.41,534,497,NORMAL_DEFECTION
0618560932311,Hillevi,Engström,RS,KD,2008-05-09,28,72.89,65.80,-7.09,328,381,NORMAL_DEFECTION
0331967573912,Maria,Larsson,S,KD,2006-10-17,47,49.62,,-49.62,521,0,MID_TERM_DEFECTION
0224712677012,Johan,Pehrson,RS,L,2019-06-28,38,69.13,30.49,-38.64,455,408,MID_TERM_DEFECTION
0502770250503,Göran,Magnusson,RS,KD,2002-10-15,47,,78.77,78.77,0,453,MID_TERM_DEFECTION
0110600080618,Håkan,Juholt,KD,S,2011-03-25,41,73.90,21.60,-52.30,314,452,MID_TERM_DEFECTION
0130789484021,Mattias,Bäckström Johansson,SD,RS,2020-10-01,23,78.07,1.39,-76.68,413,575,NORMAL_DEFECTION
0462699892622,Maria,Ferm,MP,KD,2014-10-14,46,91.19,97.06,5.87,480,235,MID_TERM_DEFECTION
0731442709013,Christer,Nylander,L,KD,2016-06-09,27,94.47,92.10,-2.37,431,476,NORMAL_DEFECTION
0787533297400,Björn,von Sydow,KD,RS,2002-10-24,46,,,0.00,0,0,MID_TERM_DEFECTION
0504851635310,Daniel,Helldén,MP,KD,2024-01-01,32,90.75,70.69,-20.06,389,423,NORMAL_DEFECTION
039655712615,Margareta,Pålsson,KD,M,2008-03-12,30,90.07,91.79,1.72,289,408,NORMAL_DEFECTION
0956444284814,Per,Bolund,MP,M,2021-02-05,19,,52.83,52.83,0,53,NORMAL_DEFECTION
0836001490919,Ulrika,Heie,RS,KD,2014-10-14,46,76.84,73.46,-3.38,480,306,MID_TERM_DEFECTION
069436402021,Tomas,Tobé,KD,M,2012-09-01,24,94.69,87.47,-7.22,442,474,NORMAL_DEFECTION
0275724540919,Erik,Ullenhag,KD,L,2015-11-24,33,75.53,80.70,5.17,328,425,NORMAL_DEFECTION
0430865615328,Linda,Lindberg,RS,SD,2022-10-25,46,77.57,80.62,3.05,700,387,MID_TERM_DEFECTION
0584659199514,Göran,Hägglund,KD,S,2006-10-06,47,1.32,,-1.32,528,0,MID_TERM_DEFECTION
0853395328224,Lena,Hallengren,KD,S,2018-03-08,6,90.58,0.00,-90.58,529,10,PRE_ELECTION_DEFECTION
0980316377627,Lars,Hjälmered,RS,KD,2018-10-09,47,89.48,88.96,-0.52,560,153,MID_TERM_DEFECTION
0415959965211,Mia,Sydow Mölleby,V,KD,2014-10-14,46,96.93,92.56,-4.37,480,306,MID_TERM_DEFECTION
037063714405,Anders,Björck,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0760437424714,Magdalena,Andersson,KD,RS,2006-12-15,45,87.32,91.16,3.84,424,325,MID_TERM_DEFECTION
0602744999917,Elisabeth,Thand Ringqvist,C,RS,2024-01-01,32,82.52,73.05,-9.47,389,423,NORMAL_DEFECTION
0332067570917,Berit,Andnor,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0529963707818,Martin,Nilsson,RS,KD,2002-10-15,47,,78.43,78.43,0,404,MID_TERM_DEFECTION
0473783431010,Morgan,Johansson,S,RS,2006-10-10,47,,70.99,70.99,0,290,MID_TERM_DEFECTION
0824721092613,Carina,Moberg,S,RS,2011-05-03,40,84.98,58.86,-26.12,421,428,MID_TERM_DEFECTION
0224712677012,Johan,Pehrson,RS,FP,2006-10-11,47,58.73,55.70,-3.03,484,295,MID_TERM_DEFECTION
0718034011110,Jessika,Roswall,RS,KD,2018-10-09,47,93.76,98.48,4.72,560,455,MID_TERM_DEFECTION
0482927154110,Leif,Jakobsson,RS,KD,2002-02-15,7,,99.29,99.29,0,138,PRE_ELECTION_DEFECTION
0925652297119,Per,Ramhorn,SD,RS,2014-10-07,47,98.57,76.30,-22.27,480,305,MID_TERM_DEFECTION
0198917587520,Maj,Karlsson,V,RS,2018-10-02,47,83.24,98.26,15.02,560,455,MID_TERM_DEFECTION
0888807074321,Amanda,Lind,MP,KD,2025-11-25,9,68.58,32.07,-36.51,471,290,PRE_ELECTION_DEFECTION
0612916684825,Johan,Löfstrand,KD,S,2022-10-07,47,87.20,85.68,-1.52,703,384,MID_TERM_DEFECTION
0202577142527,Matheus,Enholm,KD,RS,2025-02-14,18,86.28,88.15,1.87,430,464,NORMAL_DEFECTION
0692076685824,Camilla,Hansén,MP,RS,2022-11-10,46,76.65,93.51,16.86,698,385,MID_TERM_DEFECTION
0962841101917,Annika,Qarlsson,C,KD,2006-10-17,47,77.10,90.60,13.50,521,295,MID_TERM_DEFECTION
0980681611418,Hans,Wallmark,KD,RS,2015-01-28,43,82.69,84.99,2.30,382,370,MID_TERM_DEFECTION
0332067570917,Berit,Andnor,RS,S,2002-09-30,47,,,0.00,0,0,MID_TERM_DEFECTION
0522054204918,Mattias,Karlsson,RS,KD,2022-11-15,45,89.78,77.06,-12.72,695,388,MID_TERM_DEFECTION
0202577142527,Matheus,Enholm,SD,RS,2025-02-14,18,86.28,88.15,1.87,430,464,NORMAL_DEFECTION
0714307225418,Sven-Erik,Österberg,KD,S,2008-06-03,27,66.02,67.72,1.70,357,342,NORMAL_DEFECTION
0383111552218,Jonas,Sjöstedt,V,KD,2012-02-14,31,82.07,52.52,-29.55,424,488,NORMAL_DEFECTION
042839539117,Alice,Åström,V,KD,2006-10-17,47,48.47,70.47,22.00,521,295,MID_TERM_DEFECTION
0665485817222,Daniel,Bäckström,C,RS,2022-10-04,47,95.02,77.34,-17.68,703,384,MID_TERM_DEFECTION
0430865615328,Linda,Lindberg,SD,KD,2023-04-18,40,72.23,66.82,-5.41,551,443,MID_TERM_DEFECTION
0758652610,Maria,Arnholm,L,KD,2018-10-09,47,82.53,81.30,-1.23,560,455,MID_TERM_DEFECTION
0430865615328,Linda,Lindberg,RS,KD,2023-04-18,40,72.23,66.82,-5.41,551,443,MID_TERM_DEFECTION
0222691314314,Ulf,Kristersson,S,KD,2017-12-14,8,68.64,16.93,-51.71,504,513,PRE_ELECTION_DEFECTION
014744660015,Mikael,Damberg,KD,RS,2012-02-24,30,82.39,74.03,-8.36,449,480,NORMAL_DEFECTION
0512357753412,Britt,Bohlin Olsson,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0463606088610,Bertil,Kjellberg,M,KD,2006-10-24,46,85.00,91.00,6.00,517,297,MID_TERM_DEFECTION
0229760896014,Anders,W Jonsson,C,KD,2011-10-19,34,82.65,77.33,-5.32,429,440,NORMAL_DEFECTION
0959102638818,Roger,Tiefensee,C,KD,2006-10-17,47,77.86,89.85,11.99,521,196,MID_TERM_DEFECTION
0630824497414,Jessica,Polfjärd,RS,M,2015-01-13,43,91.84,74.73,-17.11,387,369,MID_TERM_DEFECTION
0694917698222,Michael,Rubbestad,RS,SD,2023-04-26,40,65.45,87.58,22.13,550,443,MID_TERM_DEFECTION
0199751900210,Annelie,Karlsson,S,RS,2018-04-10,4,92.43,90.56,-1.87,501,514,PRE_ELECTION_DEFECTION
0452755722723,Björn,Söder,SD,KD,2010-10-19,46,,99.32,99.32,0,432,MID_TERM_DEFECTION
0522460069116,Cecilia,Magnusson,RS,KD,2010-10-19,46,84.27,89.80,5.53,335,432,MID_TERM_DEFECTION
0911916463828,Fredrik,Lundh Sammeli,KD,RS,2025-04-22,16,94.16,79.65,-14.51,445,521,NORMAL_DEFECTION
0316505710324,Janine,Alm Ericson,KD,RS,2019-02-15,42,79.19,86.86,7.67,494,482,MID_TERM_DEFECTION
0824721092613,Carina,Moberg,KD,RS,2011-05-03,40,84.98,58.86,-26.12,421,428,MID_TERM_DEFECTION
0847676507229,Stina,Larsson,RS,C,2026-01-07,8,90.27,72.32,-17.95,452,271,PRE_ELECTION_DEFECTION
0814945477312,Gunilla,Wahlén,V,KD,2006-10-17,47,87.40,81.88,-5.52,521,295,MID_TERM_DEFECTION
0956595590924,Tobias,Billström,KD,RS,2017-10-13,10,77.66,82.35,4.69,476,560,PRE_ELECTION_DEFECTION
0552248175312,Berit,Högman,KD,S,2012-02-29,30,85.93,85.10,-0.83,451,501,NORMAL_DEFECTION
0612916684825,Johan,Löfstrand,KD,RS,2022-10-04,47,87.20,85.68,-1.52,703,384,MID_TERM_DEFECTION
TEST_PERSON_002,Anna,Testsson,V,MP,2015-04-01,41,,,0.00,0,0,MID_TERM_DEFECTION
0607691439013,Karin,Enström,KD,M,2022-10-19,46,89.02,78.91,-10.11,701,384,MID_TERM_DEFECTION
0522054204918,Mattias,Karlsson,M,RS,2022-10-27,46,89.89,76.88,-13.01,702,385,MID_TERM_DEFECTION
0505599928316,Carl Fredrik,Graf,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0893004490313,Cecilia,Widegren,RS,KD,2010-10-19,46,72.40,87.76,15.36,335,432,MID_TERM_DEFECTION
0745549193810,Stefan,Attefall,RS,KD,2002-10-15,47,,95.62,95.62,0,453,MID_TERM_DEFECTION
0224712677012,Johan,Pehrson,RS,KD,2006-10-17,47,59.58,55.70,-3.88,477,295,MID_TERM_DEFECTION
0452755722723,Björn,Söder,SD,RS,2018-10-02,47,62.39,80.22,17.83,560,455,MID_TERM_DEFECTION
0229760896014,Anders,W Jonsson,C,RS,2014-10-07,47,94.06,78.90,-15.16,480,305,MID_TERM_DEFECTION
0411459873625,Hanna,Gunnarsson,RS,KD,2022-04-29,4,91.49,92.95,1.46,646,539,PRE_ELECTION_DEFECTION
0938901612810,Fredrik,Reinfeldt,RS,M,2003-10-25,34,65.87,4.53,-61.34,456,526,NORMAL_DEFECTION
0228027853620,Vasiliki,Tsouplaki,RS,KD,2022-10-11,47,83.07,75.78,-7.29,703,384,MID_TERM_DEFECTION
0475643059428,Jonny,Cato,C,KD,2025-09-04,12,91.83,86.49,-5.34,465,37,PRE_ELECTION_DEFECTION
0638497389621,Julia,Kronlid,KD,SD,2022-01-01,8,10.41,89.62,79.21,557,684,PRE_ELECTION_DEFECTION
0460690753617,Pia,Nilsson,RS,KD,2014-10-14,46,93.03,89.97,-3.06,480,306,MID_TERM_DEFECTION
0996403729104,Tone,Tingsgård,KD,RS,2006-10-10,47,78.53,61.74,-16.79,528,295,MID_TERM_DEFECTION
0640669898710,Gunvor,G Ericson,MP,RS,2011-09-19,35,82.95,68.21,-14.74,425,443,NORMAL_DEFECTION
0901257862125,Hans,Linde,V,KD,2010-10-19,46,91.99,93.65,1.66,335,432,MID_TERM_DEFECTION
0292756653724,Henrik,von Sydow,KD,RS,2012-11-01,22,80.17,94.86,14.69,357,481,NORMAL_DEFECTION
0462699892622,Maria,Ferm,MP,RS,2014-10-07,47,91.19,97.06,5.87,480,235,MID_TERM_DEFECTION
0718034011110,Jessika,Roswall,KD,M,2020-09-29,23,34.06,10.02,-24.04,409,579,NORMAL_DEFECTION
069436402021,Tomas,Tobé,RS,M,2012-09-01,24,94.69,87.47,-7.22,442,474,NORMAL_DEFECTION
0545733815610,Patrick,Reslow,M,SD,2018-11-07,46,99.28,93.64,-5.64,552,467,MID_TERM_DEFECTION
039655712615,Margareta,Pålsson,RS,M,2008-03-12,30,90.07,91.79,1.72,289,408,NORMAL_DEFECTION
0602744999917,Elisabeth,Thand Ringqvist,C,KD,2024-01-01,32,82.52,73.05,-9.47,389,423,NORMAL_DEFECTION
0202577142527,Matheus,Enholm,SD,KD,2022-10-11,47,84.92,84.64,-0.28,703,384,MID_TERM_DEFECTION
0475643059428,Jonny,Cato,RS,KD,2025-09-04,12,91.83,86.49,-5.34,465,37,PRE_ELECTION_DEFECTION
0224712677012,Johan,Pehrson,FP,KD,2006-10-17,47,59.58,55.70,-3.88,477,295,MID_TERM_DEFECTION
0584659199514,Göran,Hägglund,KD,RS,2000-07-01,26,,,0.00,0,0,NORMAL_DEFECTION
0781520322912,Jörgen,Hellman,S,KD,2016-11-09,22,91.65,97.36,5.71,450,489,NORMAL_DEFECTION
0552248175312,Berit,Högman,S,RS,2012-03-23,29,93.52,80.57,-12.95,452,485,NORMAL_DEFECTION
0928223863802,Berit,Jóhannesson,KD,RS,2002-10-08,47,,88.08,88.08,0,449,MID_TERM_DEFECTION
014744660015,Mikael,Damberg,S,RS,2012-02-24,30,82.39,74.03,-8.36,449,480,NORMAL_DEFECTION
TEST_PERSON_001,Test,Partibytare,S,M,2011-07-01,38,,,0.00,0,0,MID_TERM_DEFECTION
0603753860213,Carina,Ståhl Herrstedt,SD,RS,2022-10-04,47,82.50,79.69,-2.81,703,384,MID_TERM_DEFECTION
012053331219,Anna,Kinberg Batra,M,KD,2010-10-19,46,70.92,78.23,7.31,335,432,MID_TERM_DEFECTION
0992420223820,Jessica,Rosencrantz,M,RS,2022-10-27,46,77.92,65.71,-12.21,702,35,MID_TERM_DEFECTION
0980681611418,Hans,Wallmark,M,RS,2015-01-28,43,82.69,84.99,2.30,382,370,MID_TERM_DEFECTION
0630824497414,Jessica,Polfjärd,RS,KD,2016-03-18,29,74.04,84.01,9.97,414,413,NORMAL_DEFECTION
0800956862429,Gulan,Avci,L,KD,2022-11-17,45,82.12,75.00,-7.12,699,384,MID_TERM_DEFECTION
0522460069116,Cecilia,Magnusson,M,RS,2010-10-12,47,84.46,89.73,5.27,339,429,MID_TERM_DEFECTION
0198917587520,Maj,Karlsson,KD,RS,2018-10-02,47,83.24,98.26,15.02,560,455,MID_TERM_DEFECTION
0665485817222,Daniel,Bäckström,C,KD,2022-10-11,47,95.02,77.34,-17.68,703,384,MID_TERM_DEFECTION
0224712677012,Johan,Pehrson,KD,L,2019-06-28,38,69.13,30.49,-38.64,455,408,MID_TERM_DEFECTION
0384833975200,Bo,Könberg,RS,KD,2002-10-15,47,,74.62,74.62,0,453,MID_TERM_DEFECTION
0959102638818,Roger,Tiefensee,RS,KD,2006-10-17,47,77.86,89.85,11.99,521,196,MID_TERM_DEFECTION
0552248175312,Berit,Högman,KD,RS,2012-03-23,29,93.52,80.57,-12.95,452,485,NORMAL_DEFECTION
0638497389621,Julia,Kronlid,RS,SD,2022-01-01,8,10.41,89.62,79.21,557,684,PRE_ELECTION_DEFECTION
0745549193810,Stefan,Attefall,RS,S,2010-10-06,47,72.78,,-72.78,347,0,MID_TERM_DEFECTION
0938901612810,Fredrik,Reinfeldt,RS,KD,2002-10-15,47,,66.30,66.30,0,453,MID_TERM_DEFECTION
098412828516,Magdalena,Andersson,S,KD,2022-10-11,47,,29.69,29.69,0,384,MID_TERM_DEFECTION
0371414788216,Lars,Lindblad,M,KD,2006-10-17,47,88.55,72.82,-15.73,521,295,MID_TERM_DEFECTION
0338458649710,Anti,Avsan,RS,KD,2015-03-12,41,92.98,71.65,-21.33,351,393,MID_TERM_DEFECTION
0939158389321,Samuel,Gonzalez Westling,V,KD,2022-10-11,47,,82.81,82.81,0,384,MID_TERM_DEFECTION
0714307225418,Sven-Erik,Österberg,S,RS,2008-06-05,27,65.38,68.42,3.04,362,337,NORMAL_DEFECTION
0334816698724,Karolina,Skog,M,RS,2021-02-25,18,20.41,9.96,-10.45,434,502,NORMAL_DEFECTION
0473783431010,Morgan,Johansson,S,KD,2010-10-19,46,60.89,77.70,16.81,223,135,MID_TERM_DEFECTION
0628005785225,Jörgen,Berglund,KD,M,2022-11-24,45,91.98,86.13,-5.85,698,382,MID_TERM_DEFECTION
0452755722723,Björn,Söder,KD,RS,2018-10-02,47,62.39,80.22,17.83,560,455,MID_TERM_DEFECTION
0251136832626,Muharrem,Demirok,C,KD,2023-02-09,43,66.67,64.14,-2.53,45,396,MID_TERM_DEFECTION
