embedded_id_public_date,embedded_id_document_type,total
2020-05-14,ds,1
2001-05-15,frs,1
2023-03-02,mot,1
2022-02-15,ip,1
2020-04-16,kammakt,13
2006-04-05,ip,3
2003-10-30,prop,1
2020-10-23,frs,1
2020-10-20,frs,1
2022-01-04,fr,5
2017-09-27,frs,12
2013-11-26,frs,6
2005-04-29,fr,10
2024-03-14,"",5
2024-10-22,prop,1
2016-11-17,f-lista,1
2023-10-04,sou,1
2024-09-10,skflista,2
2022-12-08,prot,1
2023-10-03,prot,1
2003-04-03,votering,19
2004-02-05,ip,3
2019-11-18,kalakt,1
2006-07-03,frs,2
2009-05-25,frs,3
2003-11-20,prot,1
2016-04-28,mot,5
2010-12-07,fpm,1
2012-11-19,frs,1
2002-12-18,prot,1
2011-10-04,samtr,1
2017-03-28,mot,1
2008-06-12,fr,16
2003-01-24,ip,1
2006-11-21,frs,2
2025-09-08,prop,4
2004-08-19,frs,1
2002-04-24,frs,35
2025-05-06,yttr,3
2009-08-12,f-lista,1
2024-03-21,votering,12
2003-01-28,ip,2
2006-06-08,f-lista,1
2014-11-06,fr,3
2025-10-11,komm,4
2024-06-03,"",1
2011-06-03,frs,1
2018-02-13,skflista,1
2009-04-22,fr,7
2008-05-09,t-lista,1
2012-11-13,utskottsdokument,11
2023-09-07,frs,3
2023-03-14,"",1
2016-11-25,f-lista,1
2018-11-13,prot,1
2006-04-03,frs,6
2010-04-14,kammakt,4
2001-12-17,frs,4
2022-12-13,mot,1
2005-09-30,prot,1
2004-06-03,dir,1
2004-11-17,frs,43
2019-12-11,eunprot,1
2024-11-26,sou,1
2023-10-10,utskottsdokument,1
2017-02-28,kammakt,1
2025-01-10,frs,5
2001-03-05,frs,4
2023-01-16,bet,2
2013-10-29,fpm,2
2004-08-09,frs,1
2023-10-05,frs,4
2007-09-26,prot,1
2026-01-28,fr,5
2021-10-12,rir,1
2022-12-30,sfs,1
2009-12-04,fpm,4
2026-02-25,votering,35
2008-02-01,frs,1
2018-01-31,prot,2
2018-10-24,prop,1
2007-06-04,fpm,3
2019-03-12,utskottsmöte,26
2004-05-04,fr,2
2014-03-04,prot,1
2015-03-19,prop,2
2021-03-24,f-lista,1
2017-02-01,kammakt,6
2003-01-20,prop,1
2020-04-16,prop,2
2016-08-26,bet,7
2011-10-20,dir,3
2018-12-19,rfr,1
2018-02-01,prot,1
2015-04-14,utskottsmöte,12
2018-05-02,prot,1
2012-10-25,frs,1
2014-05-23,fr,1
2004-04-28,ip,1
2015-05-05,fr,3
2022-07-25,kammakt,7
2006-04-18,bet,4
2016-09-27,frs,6
2011-11-09,mot,2
2013-03-14,ds,2
2004-09-28,prot,1
2005-11-30,bet,5
2013-03-21,f-lista,1
2021-06-02,frs,74
2025-03-25,skflista,2
2013-12-03,fr,2
2016-12-13,kammakt,6
2020-09-08,fr,1
2015-01-22,t-lista,1
2026-03-20,prot,1
2020-11-23,fr,13
2025-02-04,frs,2
2020-03-05,utskottsmöte,18
2014-02-06,prot,1
2008-03-25,frs,4
2007-03-26,fpm,1
2022-05-11,ip,4
2020-02-06,dir,3
2004-01-14,frs,33
2019-12-18,ip,10
2012-03-14,fr,1
2008-01-18,fr,14
2012-02-29,f-lista,1
2009-06-11,utskottsdokument,6
2022-05-05,utskottsmöte,20
2021-10-15,fr,4
2006-05-04,prot,1
2023-10-12,prop,1
2007-04-11,t-lista,1
2013-06-12,ds,2
2005-02-10,utskottsdokument,3
2013-06-18,frs,2
2021-02-19,eunprot,1
2022-08-31,bet,1
2006-11-20,f-lista,1
2025-05-22,rskr,4
2004-04-26,prot,1
2011-11-15,sou,1
2013-10-10,t-lista,1
2023-11-16,fr,11
2001-12-17,fr,8
2007-02-14,prot,1
2011-10-26,mot,1
2017-04-23,fr,1
2022-06-09,kammakt,15
2023-06-10,komm,1
2016-04-27,t-lista,1
2014-02-06,fr,12
2015-06-10,rskr,15
2007-11-22,votering,5
2025-04-24,bet,9
2017-03-10,ip,1
2017-05-09,frs,6
2016-03-16,utskottsdokument,1
2007-11-28,rskr,6
2006-10-20,ip,4
2022-05-10,samtr,1
2011-09-22,prop,1
2013-05-13,prop,3
2001-11-09,fr,7
2014-04-02,prop,6
2017-04-03,mot,2
2009-11-26,rskr,9
2008-03-26,votering,13
2018-05-03,prop,1
2014-02-18,fpm,1
2017-10-19,dir,3
2025-04-02,mot,23
2021-10-26,bet,3
2023-09-28,utskottsmöte,22
2017-06-26,fr,12
2023-09-13,frs,18
2022-12-17,f-lista,1
2019-09-13,ip,3
2013-09-17,frs,7
2024-02-15,votering,16
2010-12-03,f-lista,1
2006-05-10,f-lista,1
2011-06-22,kammakt,11
2004-04-21,prop,4
2013-02-26,fr,1
2013-06-05,sou,1
2025-06-11,mot,2
2015-03-03,ip,4
2005-07-19,fr,1
2003-04-07,ip,2
2009-10-13,bet,1
2015-09-18,yttr,4
2008-04-07,ip,5
2001-09-17,prop,1
2008-03-19,kf-lista,2
2024-01-24,rskr,4
2014-06-13,bet,5
2011-04-14,f-lista,1
2004-06-10,fr,2
2008-03-25,mot,2
2023-07-20,fr,1
2021-05-27,utskottsmöte,20
2014-10-28,kf-lista,1
2023-05-30,prot,1
2010-03-23,ip,1
2014-07-03,frs,1
2024-12-11,mot,7
2009-05-11,mot,2
2020-09-25,bet,1
2012-03-15,rfr,1
2004-09-23,mot,171
2011-03-31,kammakt,4
2001-01-03,fr,5
2018-05-23,utskottsmöte,8
2021-04-30,eunprot,1
2007-03-22,bet,4
2019-01-22,rir,1
2012-02-23,samtr,2
2016-08-25,ip,1
2000-02-16,sou,1
2006-12-19,t-lista,1
2020-01-15,rskr,1
2003-03-05,frs,26
2006-03-28,fr,5
2011-11-24,samtr,1
2015-11-09,eunbil,10
2003-04-25,utskottsmöte,1
2009-06-02,fr,1
2016-12-01,kammakt,8
2024-03-08,"",1
2008-12-10,prot,1
2007-05-22,fr,4
2003-05-19,prot,1
2001-10-16,prop,3
2004-02-05,frs,2
2015-10-16,fr,1
2009-12-17,bet,2
2009-10-15,fr,7
2012-08-02,frs,1
2019-01-17,prot,1
2020-02-20,eunprot,1
2006-05-30,minråd,2
2012-04-12,rskr,4
2012-12-18,frs,2
2011-09-07,t-lista,1
2008-08-14,fr,10
2009-05-07,utskottsdokument,5
2015-06-15,fr,4
2017-02-02,fr,16
2016-11-30,ip,1
2004-11-26,fr,25
2025-01-03,kammakt,8
2006-02-23,frs,1
2011-01-26,f-lista,2
2005-03-08,prot,1
2013-11-19,samtr,1
2011-09-24,utskottsmöte,8
2011-11-30,fpm,2
2023-04-17,fr,4
2019-03-26,skflista,2
2024-09-23,mot,71
2005-06-30,dir,4
2010-04-09,fpm,1
2020-12-15,kammakt,7
2016-04-06,fr,2
2009-03-14,utskottsmöte,5
2016-06-29,bet,2
2015-03-10,prop,4
2020-04-02,prop,1
2020-04-24,utskottsmöte,4
2022-07-14,sou,1
2022-03-10,skflista,2
2017-10-18,frs,23
2021-06-21,fr,7
2025-06-25,rfr,1
2003-11-19,frs,40
2022-12-08,kammakt,3
2021-02-22,frsrdg,1
2016-12-16,kammakt,1
2015-03-12,prop,2
2013-01-17,fr,6
2022-02-24,utskottsmöte,16
2016-11-24,dir,5
2004-05-06,dir,5
2025-12-10,prot,2
2020-02-11,frsrdg,1
2010-03-31,ds,1
2026-03-04,sfs,17
2024-02-22,fr,15
2023-03-30,dir,10
2016-12-13,eunprot,1
2007-05-30,t-lista,1
2007-03-21,f-lista,1
2015-06-17,ip,8
2003-01-31,fr,6
2011-09-29,kammakt,1
2007-04-17,t-lista,1
2003-02-18,frs,1
2019-03-29,utskottsmöte,2
2019-12-23,fr,5
2023-05-10,mot,1
2025-04-30,komm,1
2020-01-30,prot,1
2016-11-02,mot,6
2021-12-20,yttr,1
2003-12-17,frs,59
2018-05-18,ip,4
2018-05-18,f-lista,1
2000-05-24,bet,1
2020-04-09,prot,1
2013-06-27,f-lista,1
2003-12-11,ip,8
2010-02-12,ip,1
2007-10-17,mot,18
2009-11-30,prot,1
2008-02-12,prop,1
2004-05-26,frs,18
2022-02-21,fr,16
2014-03-24,bet,1
2007-09-19,prop,2
2017-03-17,prop,2
2016-01-01,eunbil,123
2024-11-12,prop,5
2022-01-12,bet,23
2005-03-17,prop,3
2012-05-31,rskr,3
2008-04-17,frs,2
2007-09-05,frs,1
2016-09-22,rir,1
2025-09-17,t-lista,1
2021-06-01,frs,1
2019-10-01,ds,1
2016-04-28,yttr,3
2018-09-10,bet,2
2021-02-02,frsrdg,1
2010-05-19,ip,6
2010-10-12,prot,1
2019-04-29,fr,8
2008-06-11,frs,25
2006-05-15,frs,3
2010-03-04,prot,1
2016-11-04,komm,60
2023-06-07,mot,4
2009-09-10,fpm,1
2016-04-18,sou,2
2017-02-16,utskottsmöte,10
2010-11-26,fr,8
2009-12-15,f-lista,1
2011-03-23,mot,1
2019-05-13,bet,1
2018-06-18,rskr,1
2020-12-22,samtr,2
2023-03-21,f-lista,1
2009-12-07,utskottsmöte,2
2012-11-03,utskottsmöte,12
2017-11-27,prop,1
2010-10-23,utskottsmöte,2
2011-04-28,prop,1
2016-04-05,prop,2
2009-07-16,fpm,4
2016-04-25,fr,5
2024-02-07,f-lista,1
2022-10-27,utskottsmöte,23
2010-02-17,t-lista,1
2020-11-10,eundok,1
2024-07-22,ip,1
2006-02-28,mot,1
2002-11-21,dir,4
2013-06-17,sou,1
2009-05-06,ip,4
2016-02-16,fr,2
2016-05-29,ip,2
2023-01-10,fr,3
2013-02-11,fr,6
2016-02-09,ip,8
2023-11-07,frs,10
2013-12-09,sou,1
2010-06-16,t-lista,1
2021-10-12,prop,4
2006-02-27,fr,8
2024-03-27,skflista,2
2000-11-08,fr,8
2011-11-10,dir,1
2014-08-28,frs,7
2019-07-19,dir,4
2012-06-02,utskottsmöte,1
2004-02-16,ip,2
2012-10-25,prot,1
2009-04-15,votering,10
2007-11-12,mot,6
2009-03-20,ip,4
2019-01-25,fr,15
2005-09-05,fr,6
2017-11-09,fr,10
2020-05-14,utskottsmöte,2
2007-05-15,prot,1
2023-10-27,yttr,1
2010-04-21,prop,1
2015-10-27,prop,1
2019-01-15,bet,11
2024-05-29,f-lista,1
2025-04-04,utskottsmöte,1
2014-03-18,f-lista,1
2025-06-23,utskottsmöte,21
2025-01-24,eunprot,1
2005-12-13,prot,1
2012-05-21,utskottsmöte,10
2025-09-03,frs,21
2023-01-23,fr,8
2018-11-21,prot,1
2005-10-25,fr,22
2008-12-05,utskottsdokument,2
2013-01-30,eunbil,1
2013-11-22,fpm,1
2001-04-05,prot,1
2007-10-10,dir,1
2012-11-08,votering,10
2024-05-02,t-lista,1
2016-06-14,prop,1
2015-04-27,mot,1
2013-01-15,mot,43
2022-04-19,skflista,2
2009-01-28,f-lista,1
2022-06-21,prot,1
2010-05-19,f-lista,1
2010-01-18,prot,1
2002-04-24,ds,1
2012-04-18,kammakt,7
2021-03-05,frsrdg,1
2013-08-02,fr,4
2006-05-04,fr,13
2021-09-01,fr,20
2008-11-03,sou,1
2002-03-19,frs,1
2020-01-22,kf-lista,1
2003-01-16,dir,2
2023-11-08,fr,6
2021-11-15,bet,7
2025-12-09,fr,3
2016-03-03,eunbil,1
2018-02-07,f-lista,1
2008-01-30,ip,14
2022-05-30,kammakt,16
2024-11-13,kammakt,10
2007-01-19,mot,4
2007-10-30,utskottsdokument,8
2022-10-19,t-lista,1
2007-06-05,f-lista,1
2010-05-04,frs,1
2024-10-24,fr,15
2013-09-26,prot,1
2015-12-07,t-lista,1
2001-04-04,fr,4
2006-04-19,bet,1
2020-08-06,frs,10
2011-10-05,prop,2
2000-11-15,frs,25
2002-11-04,frs,1
2024-01-16,t-lista,1
2018-03-21,rskr,10
2007-05-09,minråd,1
2013-04-03,fr,2
2006-06-20,utskottsdokument,5
2022-01-19,bet,6
2015-05-20,t-lista,1
2017-07-11,eunprot,1
2017-11-22,fr,8
2006-11-24,utskottsdokument,6
2010-09-10,kf-lista,1
2020-01-07,fr,2
2004-10-11,prop,1
2011-11-24,mot,3
2013-11-22,fr,5
2013-03-11,fpm,3
2002-12-04,fr,4
2019-11-19,kammakt,1
2020-07-29,fr,13
2018-12-11,kammakt,1
2023-11-01,komm,1
2018-10-03,samtr,7
2020-12-11,bet,2
2018-10-18,yttr,1
2021-01-26,skflista,2
2023-06-15,prot,1
2022-02-16,prot,1
2021-10-01,samtr,2
2023-04-25,yttr,1
2008-11-04,eunbil,4
2017-03-29,mot,2
2005-08-15,frs,18
2010-01-12,fpm,2
2013-12-19,f-lista,1
2016-11-22,ip,9
2022-09-13,fr,1
2007-08-17,fr,4
2024-07-03,"",1
2017-11-28,prot,1
2013-12-17,sou,1
2019-01-22,f-lista,1
2009-11-12,fr,11
2007-02-12,eunbil,23
2011-11-22,prop,1
2013-02-07,dir,2
2017-10-25,prot,1
2008-02-07,dir,6
2011-04-19,rir,1
2006-03-27,ip,2
2018-10-12,utskottsmöte,2
2011-11-07,eundok,1
2025-10-15,"",6
2017-06-27,fr,1
2006-02-02,fr,13
2025-02-21,eunprot,1
2001-03-21,prop,1
2017-06-07,fr,3
2008-03-14,eundok,2
2007-10-18,f-lista,1
2012-03-13,utskottsdokument,5
2022-01-21,utskottsdokument,1
2004-09-19,dir,1
2003-01-30,ip,3
2009-01-13,f-lista,1
2017-09-01,ds,2
2007-01-22,frs,4
2025-02-05,utskottsmöte,2
2016-06-23,fr,16
2006-11-20,frs,13
2009-04-15,utskottsdokument,3
2010-12-17,t-lista,1
2023-12-12,prot,1
2025-06-04,votering,11
2024-04-24,frs,13
2017-11-14,prot,1
2000-08-21,fr,4
2012-08-27,ip,2
2010-11-16,frs,8
2014-03-06,t-lista,3
2013-07-08,fpm,1
2004-01-27,frs,6
2013-10-11,f-lista,1
2014-06-11,fr,1
2024-05-17,utskottsmöte,1
2017-04-25,skflista,1
2025-04-14,"",3
2025-09-25,ip,6
2007-11-14,utskottsdokument,1
2017-09-19,utskottsmöte,12
2009-05-04,prot,1
2017-05-18,rskr,1
2016-10-12,fr,1
2015-12-03,fr,15
2002-04-26,prot,1
2004-03-31,votering,32
2004-09-21,fr,5
2019-11-21,dir,2
2017-10-04,bilaga,1
2023-09-20,ip,4
2012-05-24,fpm,1
2023-04-28,kammakt,3
2017-01-14,dir,1
2012-04-16,bet,1
2024-01-18,ds,1
2004-03-25,dir,2
2010-12-16,t-lista,1
2006-05-09,utskottsdokument,9
2021-04-15,bet,3
2009-02-02,bet,5
2025-03-12,fr,7
2010-07-27,fr,1
2024-06-14,f-lista,1
2012-03-21,utskottsdokument,21
2017-08-23,fr,3
2009-09-29,ds,1
2023-06-02,komm,7
2018-06-21,fr,3
2005-10-11,f-lista,1
2006-06-01,bet,4
2022-03-15,utskottsmöte,26
2008-09-17,eunbil,11
2013-09-26,prop,2
2003-07-03,fr,3
2017-09-20,f-lista,1
2009-01-10,utskottsmöte,3
2015-02-23,sou,1
2018-03-15,mot,2
2013-02-13,ip,5
2026-02-20,frsrdg,1
2020-04-27,ip,1
2016-01-21,kammakt,1
2022-05-20,mot,7
2013-04-16,skflista,1
2002-12-11,ip,1
2006-10-19,prot,1
2025-09-18,"",1
2019-06-07,kalakt,1
2023-12-11,f-lista,1
2009-10-15,ds,1
2023-10-11,sou,1
2016-10-04,frs,8
2020-10-14,bet,5
2001-03-29,prot,1
2019-10-24,yttr,3
2025-10-06,"",3
2006-10-11,minråd,3
2024-09-13,f-lista,1
2014-12-14,ip,1
2016-12-01,yttr,1
2021-08-03,frs,9
2019-05-10,yttr,1
2017-06-17,dir,1
2016-12-07,utskottsmöte,1
2011-10-19,bet,1
2019-02-26,skflista,2
2021-11-11,fr,5
2017-03-15,kammakt,13
2026-03-09,kammakt,1
2009-11-25,frs,20
2019-10-18,bet,2
2024-12-12,rskr,3
2013-03-27,mot,3
2015-04-23,kammakt,3
2005-03-16,ip,4
2017-02-20,prop,1
2012-11-20,yttr,3
2022-03-08,frs,1
2025-09-12,samtr,2
2009-02-04,utskottsdokument,9
2015-02-27,eunprot,2
2004-05-27,frs,1
2012-01-17,bet,1
2025-05-22,"",7
2024-01-24,fr,9
2013-11-21,fpm,2
2021-11-10,t-lista,1
2010-06-17,kammakt,12
2010-04-05,utskottsmöte,13
2008-01-28,eundok,2
2011-02-18,fpm,1
2004-05-03,prop,1
2012-06-25,eundok,1
2020-04-01,rskr,4
2021-03-24,rskr,8
2024-05-29,prot,1
2018-01-12,frs,3
2014-03-10,prot,1
2011-09-26,mot,20
2021-11-23,f-lista,1
2010-11-29,fpm,1
2021-06-28,kf-lista,1
2008-02-06,ip,1
2000-11-28,frs,3
2018-05-21,eunprot,3
2022-10-31,mot,4
2010-09-07,frs,2
2024-03-19,frs,3
2012-03-06,rir,1
2015-04-14,rir,1
2008-10-06,fr,2
2019-02-15,mot,1
2001-07-02,frs,6
2007-10-26,ip,3
2023-10-26,"",2
2013-09-25,f-lista,1
2021-10-13,utskottsmöte,2
2011-02-28,prot,1
2017-03-30,skflista,1
2024-01-19,prot,1
2011-12-19,mot,1
2025-02-06,frs,1
2011-11-30,votering,25
2018-07-31,prop,1
2016-03-25,dir,6
2025-06-05,prop,1
2022-02-17,dir,2
2013-01-09,utskottsdokument,1
2010-02-02,fr,10
2005-09-26,frsrdg,4
2008-05-16,f-lista,1
2020-06-11,kammakt,6
2007-08-27,f-lista,1
2024-10-12,komm,1
2011-04-13,frs,18
2024-01-12,frs,5
2018-05-30,rskr,27
2021-06-01,skflista,2
2025-09-10,utskottsmöte,1
2008-05-12,f-lista,1
2017-03-09,fr,4
2024-11-20,frs,34
2019-05-03,prot,1
2005-09-01,frs,6
2019-12-02,kammakt,1
2008-01-28,eunprot,1
2018-09-25,bet,3
2019-11-20,t-lista,1
2019-02-18,frsrdg,5
2005-01-17,ip,3
2023-01-19,dir,5
2017-10-30,yttr,1
2014-01-10,f-lista,1
2024-09-26,"",3
2001-08-28,frs,2
2007-03-15,ip,3
2006-12-14,utskottsdokument,8
2002-12-10,prot,1
2020-11-26,bet,1
2023-09-29,f-lista,1
2004-02-17,frs,1
2001-05-17,fr,10
2023-12-11,kammakt,1
2009-10-22,utskottsdokument,4
2022-05-04,utskottsdokument,1
2004-03-27,utskottsmöte,10
2012-04-11,sou,1
2021-02-15,frsrdg,5
2012-10-02,frs,4
2004-04-01,ip,6
2018-03-27,sou,2
2011-03-07,utskottsmöte,9
2010-12-14,frs,5
2018-07-02,rfr,1
2001-10-05,mot,3577
2011-08-22,ip,1
2009-10-07,f-lista,1
2007-10-03,mot,507
2007-11-12,ip,2
2016-04-27,kammakt,8
2024-01-25,"",1
2007-05-14,eunbil,20
2007-08-20,utskottsdokument,2
2006-05-15,ip,1
2000-02-21,frs,1
2014-02-07,eunprot,2
2012-09-17,fr,1
2007-06-14,mot,3
2012-10-25,fr,2
2018-01-23,skflista,1
2023-03-09,prot,1
2025-01-16,mot,3
2011-10-26,f-lista,1
2011-10-05,fr,2
2024-10-18,eunprot,1
2020-02-06,utskottsmöte,18
2012-11-22,bet,1
2025-09-19,"",2
2007-06-26,frs,3
2021-08-20,ip,5
2014-01-09,dir,2
2009-02-11,kf-lista,1
2006-01-18,frs,2
2013-06-11,frs,1
2009-10-01,sou,1
2010-04-14,utskottsdokument,3
2007-05-15,f-lista,1
2021-04-21,ip,3
2020-11-25,kammakt,4
2001-10-25,sou,1
2017-12-12,votering,21
2010-12-15,votering,14
2012-02-14,frs,2
2023-02-14,fr,4
2024-06-13,votering,3
2017-12-05,kammakt,1
2017-01-10,skflista,1
2017-05-31,sou,1
2008-07-31,fr,1
2009-12-11,utskottsdokument,2
2014-11-04,utskottsmöte,8
2006-03-07,utskottsdokument,1
2019-10-29,ip,8
2004-06-16,prop,1
2017-11-21,kammakt,3
2015-06-25,fr,2
2024-05-27,"",4
2008-08-21,fr,9
2016-04-14,t-lista,1
2017-02-09,bet,2
2011-10-04,rskr,1
2025-06-25,bet,3
2025-02-27,rskr,4
2013-01-09,fr,1
2020-02-13,mot,1
2019-11-14,prop,1
2025-11-25,samtr,1
2008-11-05,mot,5
2003-01-01,sou,1
2015-09-24,fr,14
2018-02-28,sou,5
2012-05-18,f-lista,1
2017-03-14,ip,2
2025-11-29,komm,1
2016-01-19,f-lista,1
2009-12-11,ip,2
2018-04-27,frs,8
2000-06-06,frs,1
2014-04-29,rskr,5
2025-04-22,"",5
2016-03-16,t-lista,1
2008-11-19,bet,8
2012-04-25,samtr,1
2018-03-08,prot,1
2002-05-21,fr,14
2007-08-30,dir,2
2002-01-23,fr,16
2017-05-29,prot,1
2003-03-04,frs,3
2003-11-25,fr,8
2025-01-23,dir,5
2005-08-25,fr,4
2025-09-03,bet,9
2013-06-17,f-lista,1
2005-09-22,fr,4
2023-05-10,frs,17
2019-11-25,ip,6
2010-06-16,utskottsdokument,2
2010-02-23,frs,2
2008-07-03,fr,11
2023-02-21,"",2
2017-01-10,f-lista,1
2024-08-21,kalakt,1
2012-11-06,frs,3
2018-01-25,f-lista,1
2008-09-18,prop,1
2011-08-08,ip,2
2015-06-05,fr,4
2023-10-10,ip,1
2022-11-22,ip,3
2008-01-29,eunprot,1
2024-04-29,kammakt,1
2024-10-25,yttr,1
2025-10-24,"",2
2022-10-14,prot,1
2008-10-16,fpm,1
2013-09-19,utskottsdokument,5
2024-12-18,f-lista,1
2019-06-19,eunprot,2
2009-01-01,bet,5
2014-11-11,fr,4
2019-12-23,samtr,4
2017-09-29,yttr,1
2010-10-15,eunprot,1
2009-11-03,t-lista,1
2013-03-07,skflista,1
2024-10-01,sou,1
2021-04-22,rir,1
2003-06-26,dir,5
2009-04-29,mot,8
2004-04-02,ip,7
2021-01-26,ip,1
2014-01-14,fr,5
2001-02-16,ip,5
2019-02-06,t-lista,1
2015-07-07,ip,1
2004-10-13,prot,1
2010-11-16,ip,8
2013-07-10,ds,1
2004-02-25,fr,5
2008-02-21,ip,8
2014-04-07,ip,3
2014-08-26,utskottsmöte,2
2009-06-22,t-lista,1
2013-10-02,mot,87
2010-03-24,frs,16
2013-02-19,utskottsdokument,2
2021-03-09,fr,12
2007-01-31,bet,2
2008-04-01,ds,1
2007-01-10,ip,3
2017-01-13,fr,17
2012-08-06,frs,9
2026-03-09,mot,2
2015-10-19,kf-lista,1
2025-01-22,t-lista,1
2010-06-23,prop,2
2020-10-14,prop,3
2010-11-30,ds,1
2010-03-17,ip,3
2018-05-08,utskottsmöte,2
2017-04-18,mot,1
2023-12-13,utskottsmöte,9
2017-10-06,ip,2
2015-05-06,yttr,2
2024-01-08,fr,1
2013-03-06,bet,3
2004-11-17,votering,8
2008-03-19,minråd,1
2008-04-07,rskr,6
2012-11-12,f-lista,1
2011-02-01,utskottsdokument,11
2010-11-16,fpm,3
2001-03-28,ip,6
2009-07-29,fr,2
2005-09-20,prop,3
2020-09-09,prot,1
2010-05-19,prot,1
2021-09-02,mot,1
2021-09-20,f-lista,1
2001-03-06,prot,1
2018-04-16,frs,1
2024-05-03,f-lista,1
2007-11-06,bet,3
2024-09-11,mot,15
2011-09-29,ds,1
2007-09-11,fr,3
2005-06-07,prot,1
2016-09-26,eunbil,1
2023-04-13,votering,12
2011-06-06,utskottsmöte,9
2026-03-03,kammakt,1
2003-07-10,sou,1
2011-03-04,f-lista,1
2000-10-26,fr,4
2008-05-05,prop,3
2011-03-23,bet,3
2010-04-03,utskottsmöte,3
2024-05-03,sou,1
2020-07-02,fr,15
2013-03-05,frs,1
2011-05-10,f-lista,1
2022-11-30,prot,1
2016-11-21,frs,2
2015-09-28,mot,37
2012-09-19,prop,4
2005-01-21,mot,13
2012-11-06,prot,1
2021-12-09,ip,3
2011-03-28,fr,1
2013-04-18,kammakt,8
2020-10-29,mot,7
2011-11-19,utskottsmöte,13
2024-01-18,fr,6
