person_id,first_name,last_name,party,status,born_year,career_start_date,career_end_date,first_activity_year,last_activity_year,total_career_days,total_career_years,age_at_career_start,age_at_career_end,election_cycles_active,total_votes_cast,total_assignments,is_currently_active,avg_votes_per_year,avg_assignments_per_year,career_continuity_score,longevity_category,activity_level,continuity_pattern,career_life_stage,retention_risk
0183544538819,Patrik,Jönsson,SD,Tjänstgörande riksdagsledamot,1972,2014-09-29,2026-09-28,2014,2026,4382,12.0,42,54,4,3397,27,t,283.1,2.25,100.0,ESTABLISHED_10_15,ACTIVE,CONTINUOUS,MATURE_ACTIVE,LOW_RISK
0969219657805,Pehr,Löfgreen,M,Tidigare riksdagsledamot,1934,1991-09-30,1994-10-03,1991,1994,1099,3.0,57,60,0,0,3,f,0.0,1.00,0.0,JUNIOR_2_5,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0406831930624,Henrik,Vinge,SD,Tjänstgörande riksdagsledamot,1988,2018-09-24,2026-10-13,2018,2026,2941,8.1,30,38,3,3373,30,t,418.9,3.73,100.0,MID_CAREER_5_10,VERY_ACTIVE,CONTINUOUS,MID_CAREER_ACTIVE,LOW_RISK
0286593079005,Leni,Björklund,S,Tidigare försvarsminister,1944,2002-09-30,2006-10-06,2002,2006,1467,4.0,58,62,0,0,2,f,0.0,0.50,0.0,JUNIOR_2_5,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0724153546015,Annika,Jonsell,M,Tidigare riksdagsledamot,1969,1994-10-03,1998-10-05,1994,1998,1463,4.0,25,29,0,0,5,f,0.0,1.25,0.0,JUNIOR_2_5,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
0526693079901,Gunnar,Andrén,L,Tidigare riksdagsledamot,1946,2002-09-30,2014-10-14,2002,2014,4397,12.0,56,68,4,4638,20,f,385.3,1.66,100.0,ESTABLISHED_10_15,VERY_ACTIVE,CONTINUOUS,RETIRED_SENIOR,NOT_ACTIVE
0215382436506,Elisabeth,Persson,V,Tidigare riksdagsledamot,1942,1988-10-03,1994-10-03,1988,1994,2191,6.0,46,52,0,0,6,f,0.0,1.00,0.0,MID_CAREER_5_10,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0845242325301,Märtha,Berglund,S,Status saknas,1943,1990-11-12,1990-12-11,1990,1990,29,0.1,47,47,0,0,2,f,0.0,25.19,0.0,NEWCOMER_UNDER_2,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
074310796828,Magnus,Resare,M,Tjänstgörande statsrådsersättare,1987,2022-10-18,2026-09-21,2022,2026,1434,3.9,35,39,2,1294,4,t,329.6,1.02,100.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,MID_CAREER_ACTIVE,LOW_RISK
0478371872009,Helena,Rivière,M,Tidigare riksdagsledamot,1940,2006-10-06,2010-10-04,2006,2010,1459,4.0,66,70,2,1284,3,f,321.4,0.75,100.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,RETIRED_SENIOR,NOT_ACTIVE
0163254848207,Eva,Zetterberg,V,Tidigare riksdagsledamot,1947,1987-11-13,2002-09-30,1987,2002,5435,14.9,40,55,0,0,26,f,0.0,1.75,0.0,ESTABLISHED_10_15,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0783069490115,Mirja,Räihä,S,Tjänstgörande riksdagsledamot,1959,2022-09-26,2026-10-31,2022,2026,1496,4.1,63,67,2,1294,9,t,315.9,2.20,100.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,SENIOR_ACTIVE,LOW_RISK
064601872511,Catharina,Elmsäter-Svärd,M,Tidigare riksdagsledamot,1965,1996-03-01,2014-12-16,1996,2014,6864,18.8,31,49,3,2255,31,f,120.0,1.65,60.0,LONG_SERVICE_15_20,MODERATE,INTERMITTENT,EXITED_EARLY,NOT_ACTIVE
0170630324419,Per,Schöldberg,C,Tidigare riksdagsledamot,1962,2019-03-12,2022-09-26,2019,2022,1294,3.5,57,60,2,1964,21,f,554.4,5.93,200.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0950203660913,Annika,Nilsson,S,Tidigare riksdagsledamot,1971,1994-10-03,2006-10-02,1994,2006,4382,12.0,23,35,2,829,17,f,69.1,1.42,50.0,ESTABLISHED_10_15,LOW_ACTIVITY,INTERMITTENT,EXITED_EARLY,NOT_ACTIVE
0442579593600,Margareta,Fogelberg,FP,Avliden  2024-06-22,1935,1985-09-30,1991-09-30,1985,1991,2191,6.0,50,56,0,0,3,f,0.0,0.50,0.0,MID_CAREER_5_10,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
064711971110,Maria,Gardfjell,MP,Tidigare riksdagsledamot,1965,2018-09-24,2022-09-26,2018,2022,1463,4.0,53,57,2,2079,22,f,519.0,5.49,100.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0134101155612,Rikard,Larsson,S,Tidigare riksdagsledamot,1966,2014-09-29,2027-12-31,2014,2027,4841,13.3,48,61,3,3825,28,f,288.6,2.11,75.0,ESTABLISHED_10_15,ACTIVE,MOSTLY_CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0686532742102,Maria,Hed,S,Status saknas,1943,1989-03-06,1991-10-04,1989,1991,942,2.6,46,48,0,0,4,f,0.0,1.55,0.0,JUNIOR_2_5,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
0525247903009,Birger,Rosqvist,S,Avliden  1993-01-22,1930,1976-10-04,1993-01-22,1976,1993,5954,16.3,46,63,0,0,11,f,0.0,0.67,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0494054455310,David,Lång,SD,Avgången riksdagsledamot,1972,2010-10-04,2024-06-19,2010,2024,5007,13.7,38,52,4,6360,36,f,463.9,2.63,100.0,ESTABLISHED_10_15,VERY_ACTIVE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0957631371811,Lars U,Granberg,S,Tidigare riksdagsledamot,1965,1994-10-03,2010-10-04,1994,2010,5845,16.0,29,45,3,2998,17,f,187.3,1.06,60.0,LONG_SERVICE_15_20,MODERATE,INTERMITTENT,EXITED_EARLY,NOT_ACTIVE
0249303256091,Nils Erik,Wååg,S,Tidigare riksdagsledamot,1921,1976-10-04,1988-10-03,1976,1988,4382,12.0,55,67,0,0,4,f,0.0,0.33,0.0,ESTABLISHED_10_15,MINIMAL,IRREGULAR,RETIRED_SENIOR,NOT_ACTIVE
0977860675311,Gunilla,Carlsson,M,Tidigare riksdagsledamot,1963,2002-09-30,2013-09-18,2002,2013,4006,11.0,39,50,2,1859,19,f,169.5,1.73,66.7,ESTABLISHED_10_15,MODERATE,INTERMITTENT,RETIRED_MATURE,NOT_ACTIVE
0361652802700,Lennart,Fridén,M,Avliden  2019-04-29,1943,1991-09-30,2011-04-05,1991,2011,7127,19.5,48,68,0,0,10,f,0.0,0.51,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_SENIOR,NOT_ACTIVE
0161616238120,Lina,Nordquist,L,Tjänstgörande riksdagsledamot,1977,2018-09-24,2026-10-13,2018,2026,2941,8.1,41,49,3,3373,28,t,418.9,3.48,100.0,MID_CAREER_5_10,VERY_ACTIVE,CONTINUOUS,MID_CAREER_ACTIVE,LOW_RISK
0675602051200,Göran R,Hedberg,M,Avliden  1995-12-15,1943,1994-10-03,1995-12-15,1994,1995,438,1.2,51,52,0,0,4,f,0.0,3.34,0.0,NEWCOMER_UNDER_2,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0194834079816,Tobias,Sjö,M,Tidigare ersättare,1972,2013-01-31,2013-03-31,2013,2013,59,0.2,41,41,1,103,2,f,637.6,12.38,100.0,NEWCOMER_UNDER_2,VERY_ACTIVE,CONTINUOUS,EXITED_EARLY,NOT_ACTIVE
0287505615601,Carl-Erik,Lundgren,"",Tidigare ersättare,1926,1976-10-03,1976-10-08,1976,1976,5,0.0,50,50,0,0,1,f,0.0,73.05,0.0,NEWCOMER_UNDER_2,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0723453743904,Per-Johan,Emtell,MP,Tidigare riksdagsledamot,1944,2014-06-24,2014-09-29,2014,2014,97,0.3,70,70,1,28,1,f,105.4,3.77,100.0,NEWCOMER_UNDER_2,MODERATE,CONTINUOUS,RETIRED_SENIOR,NOT_ACTIVE
0281408160607,Gunnar,Goude,MP,Tidigare riksdagsledamot,1932,1994-10-03,2006-03-15,1994,2004,4181,11.4,62,74,2,715,22,f,62.5,1.92,66.7,ESTABLISHED_10_15,LOW_ACTIVITY,INTERMITTENT,RETIRED_SENIOR,NOT_ACTIVE
0125056691517,Lars-Axel,Nordell,KD,Tidigare riksdagsledamot,1952,2009-01-01,2018-09-24,2009,2018,3553,9.7,57,66,4,4071,22,f,418.5,2.26,133.3,MID_CAREER_5_10,VERY_ACTIVE,CONTINUOUS,RETIRED_SENIOR,NOT_ACTIVE
0653578338415,Agneta,Nilsson,S,Tjänstgörande riksdagsledamot,1956,2023-10-14,2026-09-28,2023,2026,1080,3.0,67,70,2,396,4,t,133.9,1.35,200.0,JUNIOR_2_5,MODERATE,CONTINUOUS,SENIOR_ACTIVE,LOW_RISK
0502609471907,Margitta,Edgren,FP,Tidigare riksdagsledamot,1935,1985-09-30,1998-10-05,1985,1998,4753,13.0,50,63,0,0,13,f,0.0,1.00,0.0,ESTABLISHED_10_15,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
083921164513,Abdirizak,Waberi,M,Tidigare riksdagsledamot,1966,2010-10-04,2014-09-29,2010,2014,1456,4.0,44,48,2,1775,4,f,445.3,1.00,100.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,EXITED_EARLY,NOT_ACTIVE
0751280022025,Alexander,Ojanne,S,Tidigare ersättare,1986,2022-01-26,2022-09-26,2022,2022,243,0.7,36,36,1,620,3,f,931.9,4.51,100.0,NEWCOMER_UNDER_2,VERY_ACTIVE,CONTINUOUS,EXITED_EARLY,NOT_ACTIVE
0739152363302,Göran,Lennmarker,M,Tidigare riksdagsledamot,1943,1991-09-30,2012-02-13,1991,2012,7441,20.4,48,69,3,3143,67,f,154.3,3.29,50.0,VETERAN_20_PLUS,MODERATE,INTERMITTENT,RETIRED_SENIOR,NOT_ACTIVE
0986091320811,Catarina,Deremar,C,Tjänstgörande riksdagsledamot,1965,2021-01-01,2026-10-31,2021,2026,2129,5.8,56,61,3,2468,27,t,423.4,4.63,150.0,MID_CAREER_5_10,VERY_ACTIVE,CONTINUOUS,MATURE_ACTIVE,LOW_RISK
0600369882602,Ulf,Lönnqvist,S,Tidigare riksdagsledamot,1936,1982-10-08,1992-07-31,1982,1992,3584,9.8,46,56,0,0,9,f,0.0,0.92,0.0,MID_CAREER_5_10,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0123965657818,Göran,Dahlstrand,S,Tidigare ersättare,1950,1988-04-25,1988-05-26,1988,1988,31,0.1,38,38,0,0,3,f,0.0,35.35,0.0,NEWCOMER_UNDER_2,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
094145171913,Unni,Björnerfors,SD,Tillgänglig ersättare,1951,2024-01-16,2025-12-17,2024,2025,701,1.9,73,74,1,378,4,f,197.0,2.08,100.0,NEWCOMER_UNDER_2,MODERATE,CONTINUOUS,RETIRED_SENIOR,NOT_ACTIVE
0818989495009,Magnus,Persson,S,Avliden  2025-09-25,1935,1976-10-04,1994-10-03,1976,1994,6573,18.0,41,59,0,0,12,f,0.0,0.67,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0283117091429,Emanuel,Öz,S,Tidigare riksdagsledamot,1979,2014-09-29,2018-09-24,2014,2018,1456,4.0,35,39,2,1419,7,f,356.0,1.76,100.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,EXITED_EARLY,NOT_ACTIVE
0186490041606,Kerstin-Maria,Stalin,MP,Tidigare riksdagsledamot,1937,1998-10-05,2006-03-15,1998,2004,2718,7.4,61,69,2,925,9,f,124.3,1.21,100.0,MID_CAREER_5_10,MODERATE,CONTINUOUS,RETIRED_SENIOR,NOT_ACTIVE
0824721092613,Carina,Moberg,S,Avliden  2012-08-15,1966,1994-10-03,2012-08-15,1994,2012,6526,17.9,28,46,3,3573,31,f,200.0,1.74,60.0,LONG_SERVICE_15_20,ACTIVE,INTERMITTENT,EXITED_EARLY,NOT_ACTIVE
084624777218,Helena,Lindahl,C,Tjänstgörande riksdagsledamot,1972,2010-10-04,2026-09-21,2010,2026,5831,16.0,38,54,5,6894,28,t,431.8,1.75,100.0,LONG_SERVICE_15_20,VERY_ACTIVE,CONTINUOUS,MATURE_ACTIVE,LOW_RISK
0124035957411,Kent,Persson,V,Tidigare riksdagsledamot,1951,2006-10-02,2014-09-29,2006,2014,2919,8.0,55,63,3,3059,7,f,382.8,0.88,100.0,MID_CAREER_5_10,VERY_ACTIVE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
011548866929,Elin,Nilsson,L,Tjänstgörande riksdagsledamot,1982,2022-10-18,2026-09-28,2022,2026,1441,3.9,40,44,2,1294,5,t,328.0,1.27,100.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,MID_CAREER_ACTIVE,LOW_RISK
041436203711,Ulla,Pettersson,S,Tidigare riksdagsledamot,1953,1985-09-30,1998-12-01,1985,1998,4810,13.2,32,45,0,0,10,f,0.0,0.76,0.0,ESTABLISHED_10_15,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
014386615025,Ali,Esbati,V,Avgången riksdagsledamot,1976,2013-01-31,2026-10-13,2013,2026,5003,13.7,37,50,4,4800,40,f,350.4,2.92,100.0,ESTABLISHED_10_15,VERY_ACTIVE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0656591334119,Per,Klarberg,SD,Tidigare riksdagsledamot,1965,2014-09-29,2018-09-24,2014,2018,1456,4.0,49,53,2,1746,3,f,438.0,0.75,100.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
013600422205,Wiggo,Komstedt,M,Tidigare riksdagsledamot,1937,1976-10-04,1998-10-04,1976,1998,8035,22.0,39,61,0,0,23,f,0.0,1.05,0.0,VETERAN_20_PLUS,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0313390540217,Ingela,Nylund Watz,S,Tjänstgörande riksdagsledamot,1962,2010-10-04,2026-10-13,2010,2026,5853,16.0,48,64,5,6894,35,t,430.2,2.18,100.0,LONG_SERVICE_15_20,VERY_ACTIVE,CONTINUOUS,MATURE_ACTIVE,HIGH_RETIREMENT_RISK
0409817272107,Birgitta,Hambraeus,C,Tidigare riksdagsledamot,1930,1976-10-04,1998-10-05,1976,1998,8036,22.0,46,68,0,0,19,f,0.0,0.86,0.0,VETERAN_20_PLUS,MINIMAL,IRREGULAR,RETIRED_SENIOR,NOT_ACTIVE
0441279609311,Torbjörn,Lövendahl,S,Tidigare ersättare,1960,2009-09-24,2009-12-31,2009,2009,98,0.3,49,49,1,130,2,f,484.5,7.45,100.0,NEWCOMER_UNDER_2,VERY_ACTIVE,CONTINUOUS,EXITED_EARLY,NOT_ACTIVE
0558681738602,Lars-Ove,Hagberg,V,Tidigare riksdagsledamot,1941,1976-10-04,1992-08-31,1976,1992,5810,15.9,35,51,0,0,9,f,0.0,0.57,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0587736055221,Niels,Paarup-Petersen,C,Tjänstgörande riksdagsledamot,1978,2018-09-24,2026-10-27,2018,2026,2955,8.1,40,48,3,3025,28,t,373.9,3.46,100.0,MID_CAREER_5_10,VERY_ACTIVE,CONTINUOUS,MID_CAREER_ACTIVE,LOW_RISK
0618938634020,Marcus,Wennerström,S,Tillgänglig ersättare,1982,2022-09-26,2024-04-30,2022,2024,582,1.6,40,42,1,248,5,f,155.6,3.14,100.0,NEWCOMER_UNDER_2,MODERATE,CONTINUOUS,EXITED_EARLY,NOT_ACTIVE
0206034257412,Jacob,Sandgren,S,Tidigare riksdagsledamot,1973,2018-05-14,2018-05-17,2018,2018,3,0.0,45,45,1,15,1,f,1826.3,121.75,100.0,NEWCOMER_UNDER_2,VERY_ACTIVE,CONTINUOUS,EXITED_EARLY,NOT_ACTIVE
038177988704,Rune,Jonsson,S,Tidigare riksdagsledamot,1929,1976-10-04,1991-09-30,1976,1991,5474,15.0,47,62,0,0,6,f,0.0,0.40,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0687114079711,Hanna,Zetterberg,V,Tidigare riksdagsledamot,1973,1994-10-03,1998-10-05,1994,1998,1463,4.0,21,25,0,0,4,f,0.0,1.00,0.0,JUNIOR_2_5,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
0764949934324,Ulrika,Heindorff,M,Tjänstgörande riksdagsledamot,1983,2015-09-28,2026-09-28,2015,2026,4018,11.0,32,43,4,2416,34,t,219.6,3.09,133.3,ESTABLISHED_10_15,ACTIVE,CONTINUOUS,MID_CAREER_ACTIVE,LOW_RISK
0455312624903,Lena,Öhrsvik,S,Tidigare riksdagsledamot,1944,1976-10-04,1994-10-03,1976,1994,6573,18.0,32,50,0,0,6,f,0.0,0.33,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0284604377408,Jörgen,Johansson,C,Avliden  2010-06-13,1947,2002-09-30,2010-06-13,2002,2010,2813,7.7,55,63,3,3065,10,f,398.0,1.30,100.0,MID_CAREER_5_10,VERY_ACTIVE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0764840691205,Bengt Harding,Olson,FP,Avliden  2018-10-14,1937,1985-09-30,1998-10-05,1985,1998,4753,13.0,48,61,0,0,16,f,0.0,1.23,0.0,ESTABLISHED_10_15,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0202132308900,Majvi,Andersson,S,Tidigare ersättare,1943,1997-01-21,1997-05-30,1997,1997,129,0.4,54,54,0,0,3,f,0.0,8.49,0.0,NEWCOMER_UNDER_2,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0644864705800,Karl Gustaf,Sjödin,NYD,Tidigare riksdagsledamot,1948,1991-09-30,1994-10-03,1991,1994,1099,3.0,43,46,0,0,2,f,0.0,0.66,0.0,JUNIOR_2_5,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
0992473266516,Larry,Söder,KD,Tjänstgörande riksdagsledamot,1969,2014-09-29,2026-10-12,2014,2026,4396,12.0,45,57,4,4910,38,t,408.0,3.16,100.0,ESTABLISHED_10_15,VERY_ACTIVE,CONTINUOUS,MATURE_ACTIVE,LOW_RISK
0551013247907,Barbro,Andersson Öhrn,S,Tidigare riksdagsledamot,1945,1988-10-03,2002-09-30,1988,2002,5110,14.0,43,57,0,0,16,f,0.0,1.14,0.0,ESTABLISHED_10_15,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0447198048312,Peter,Eriksson,MP,Tidigare riksdagsledamot,1958,1994-10-03,2020-12-17,1994,2020,9572,26.2,36,62,4,4890,31,f,186.6,1.18,57.1,VETERAN_20_PLUS,MODERATE,INTERMITTENT,RETIRED_MATURE,NOT_ACTIVE
0545733815610,Patrick,Reslow,SD,Tjänstgörande riksdagsledamot,1970,2010-10-04,2028-10-31,2010,2028,6602,18.1,40,58,5,6894,28,t,381.4,1.55,100.0,LONG_SERVICE_15_20,VERY_ACTIVE,CONTINUOUS,MATURE_ACTIVE,LOW_RISK
0885483214625,John,Skoglund,S,Tidigare ersättare,1993,2015-10-29,2015-12-07,2015,2015,39,0.1,22,22,1,29,3,f,271.6,28.10,100.0,NEWCOMER_UNDER_2,ACTIVE,CONTINUOUS,EXITED_EARLY,NOT_ACTIVE
0190560012714,Pia,Hallström,M,Avliden  2016-10-11,1961,2010-10-04,2016-10-11,2010,2016,2199,6.0,49,55,2,2499,13,f,415.1,2.16,100.0,MID_CAREER_5_10,VERY_ACTIVE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0199751900210,Annelie,Karlsson,S,Tidigare riksdagsledamot,1965,2010-10-04,2026-10-13,2010,2026,5853,16.0,45,61,4,5600,42,f,349.5,2.62,80.0,LONG_SERVICE_15_20,VERY_ACTIVE,MOSTLY_CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0184968091618,Jan,Riise,MP,Tjänstgörande riksdagsledamot,1957,2022-09-26,2027-03-23,2022,2027,1639,4.5,65,70,2,1294,13,t,288.4,2.90,100.0,JUNIOR_2_5,ACTIVE,CONTINUOUS,SENIOR_ACTIVE,LOW_RISK
0897304708905,Sinikka,Bohlin,S,Tidigare riksdagsledamot,1947,1988-10-03,2010-10-19,1988,2010,8051,22.0,41,63,3,3143,34,f,142.6,1.54,50.0,VETERAN_20_PLUS,MODERATE,INTERMITTENT,RETIRED_MATURE,NOT_ACTIVE
0370147780007,Rune,Johansson,S,Tidigare riksdagsledamot,1930,1976-10-04,1991-09-30,1976,1991,5474,15.0,46,61,0,0,5,f,0.0,0.33,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
040421445103,Ulf,Adelsohn,M,Tidigare riksdagsledamot,1941,1982-10-04,1988-10-03,1982,1988,2191,6.0,41,47,0,0,10,f,0.0,1.67,0.0,MID_CAREER_5_10,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
0244552157217,Annelie,Sjöberg,SD,Tillgänglig ersättare,1967,2025-12-08,2026-01-31,2025,2026,54,0.1,58,59,2,27,2,f,182.6,13.53,200.0,NEWCOMER_UNDER_2,MODERATE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0186426023519,Arhe,Hamednaca,S,Tidigare riksdagsledamot,1953,2010-10-04,2018-09-24,2010,2018,2912,8.0,57,65,2,2634,9,f,330.4,1.13,66.7,MID_CAREER_5_10,VERY_ACTIVE,INTERMITTENT,RETIRED_SENIOR,NOT_ACTIVE
0861447317415,Thomas,Finnborg,M,Tidigare riksdagsledamot,1954,2010-10-04,2027-12-31,2010,2027,6297,17.2,56,73,3,3521,21,f,204.2,1.22,60.0,LONG_SERVICE_15_20,ACTIVE,INTERMITTENT,RETIRED_SENIOR,NOT_ACTIVE
0753292035001,Birthe,Sörestedt,S,Tidigare riksdagsledamot,1943,1982-10-04,1998-10-05,1982,1998,5845,16.0,39,55,0,0,17,f,0.0,1.06,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
