role_id,detail,role_code,first_name,last_name,from_date,to_date,person_id,party,total_days_served,active,total_documents,documents_last_year,total_motions,total_interpellations,total_written_questions,activity_level,role_type
16908,Moderaterna,Partisekreterare,Anders,Edholm,2017-07-07,2017-10-12,0521274429611,M,97,f,0,0,0,0,0,Inactive,Party Secretary
56615,Sverigedemokraterna,Kvittningsperson,Matheus,Enholm,2021-09-27,2022-02-13,0202577142527,SD,139,f,6,0,6,0,0,Inactive,Pairing Representative
17911,Centerpartiet,Gruppledare,Daniel,Bäckström,2022-09-26,2023-12-31,0665485817222,C,461,f,44,1,44,0,0,Low,Group Leader
25033,Miljöpartiet de gröna,Gruppledare,Jonas,Eriksson,2019-07-01,2019-11-03,0157062733618,MP,125,f,0,0,0,0,0,Inactive,Group Leader
16310,Socialdemokraterna,Partiledare,Magdalena,Andersson,2021-11-04,,098412828516,S,1478,t,177,0,3,0,0,Inactive,Party Leader
11829,Kristdemokraterna,Förste vice gruppledare,Anders,Andersson,2012-02-21,2014-09-29,0777657837318,KD,951,f,0,0,0,0,0,Inactive,First Deputy Group Leader
30490,Kristdemokraterna,Kvittningsperson,Yvonne,Andersson,2010-10-04,2014-09-29,0223175563813,KD,1456,f,0,0,0,0,0,Inactive,Pairing Representative
2910,Moderaterna,Partisekreterare,Gunnar,Strömmer,2017-10-12,2022-10-19,0897334717419,M,1833,f,22,7,0,0,0,Low,Party Secretary
44277,Miljöpartiet de gröna,Språkrör,Daniel,Helldén,2023-11-18,,0504851635310,MP,734,t,27,1,27,0,0,Low,Party Spokesperson
40407,Miljöpartiet de gröna,Gruppledare,Annika,Hirvonen,2020-07-15,2022-05-18,0819601620927,MP,672,f,97,7,97,0,0,Low,Group Leader
5327,Miljöpartiet de gröna,Förste vice gruppledare,Maria,Ferm,2015-01-02,2015-03-18,0462699892622,MP,75,f,0,0,0,0,0,Inactive,First Deputy Group Leader
46009,Centerpartiet,Förste vice gruppledare,Annika,Qarlsson,2006-10-11,2010-10-04,0962841101917,C,1454,f,5,0,5,0,0,Inactive,First Deputy Group Leader
25042,Miljöpartiet de gröna,Förste vice gruppledare,Jonas,Eriksson,2015-03-18,2015-05-18,0157062733618,MP,61,f,0,0,0,0,0,Inactive,First Deputy Group Leader
4290,Miljöpartiet de gröna,Kvittningsperson,Katarina,Luhr,2024-09-24,,0210444373111,MP,423,t,60,8,60,0,0,Low,Pairing Representative
31723,Liberalerna,Partiledare,Johan,Pehrson,2022-11-26,2025-06-24,0224712677012,L,941,f,30,2,26,0,0,Low,Party Leader
5317,Miljöpartiet de gröna,Gruppledare,Maria,Ferm,2018-01-16,2018-09-24,0462699892622,MP,251,f,0,0,0,0,0,Inactive,Group Leader
18353,Liberalerna,Förste vice gruppledare,Tina,Acketoft,2015-11-24,2018-09-24,0582811195313,L,1035,f,2,0,2,0,0,Inactive,First Deputy Group Leader
19057,Miljöpartiet de gröna,Förste vice gruppledare,Gunvor,G Ericson,2013-04-01,2014-09-29,0640669898710,MP,546,f,0,0,0,0,0,Inactive,First Deputy Group Leader
50366,Miljöpartiet de gröna,Förste vice gruppledare,Janine,Alm Ericson,2019-02-07,2019-02-15,0316505710324,MP,8,f,74,6,74,0,0,Low,First Deputy Group Leader
48897,Socialdemokraterna,Förste vice gruppledare,Erik,Ezelius,2019-02-07,2022-09-26,0667220767927,S,1327,f,11,0,11,0,0,Inactive,First Deputy Group Leader
19721,Vänsterpartiet,Förste vice gruppledare,Mia,Sydow Mölleby,2014-09-29,2016-02-02,0415959965211,V,491,f,23,0,23,0,0,Inactive,First Deputy Group Leader
29465,Liberalerna,Partiledare,Jan,Björklund,2015-11-24,2019-06-28,0603490586517,L,1312,f,0,0,0,0,0,Inactive,Party Leader
3348,Liberalerna,Kvittningsperson,Lars,Tysklind,2015-11-24,2018-09-24,0535526562910,L,1035,f,0,0,0,0,0,Inactive,Pairing Representative
32615,Moderaterna,Partiledare,Ulf,Kristersson,2017-10-01,,0222691314314,M,2973,t,119,26,1,0,0,High,Party Leader
12841,Kristdemokraterna,Gruppledare,Camilla,Brodin,2022-09-26,,0378597308227,KD,1152,t,24,0,24,0,0,Inactive,Group Leader
9391,Moderaterna,Kvittningsperson,Malin,Höglund,2024-11-12,,083953568015,M,374,t,5,0,5,0,0,Inactive,Pairing Representative
36737,Socialdemokraterna,Partiledare,Mona,Sahlin,2007-03-17,2011-03-25,0806338394516,S,1469,f,0,0,0,0,0,Inactive,Party Leader
45112,Centerpartiet,Kvittningsperson,Åsa,Torstensson,2010-10-25,2014-09-29,0183788551910,C,1435,f,0,0,0,0,0,Inactive,Pairing Representative
50599,Centerpartiet,Partiledare,Annie,Lööf,2011-09-23,2023-02-02,0862868280923,C,4150,f,0,0,0,0,0,Inactive,Party Leader
31722,Folkpartiet liberalerna,Gruppledare,Johan,Pehrson,2006-10-11,2010-10-04,0224712677012,L,1454,f,30,2,26,0,0,Low,Group Leader
5319,Miljöpartiet de gröna,Förste vice gruppledare,Maria,Ferm,2016-11-01,2018-01-15,0462699892622,MP,440,f,0,0,0,0,0,Inactive,First Deputy Group Leader
19722,Vänsterpartiet,Förste vice gruppledare,Mia,Sydow Mölleby,2012-02-14,2014-09-29,0415959965211,V,958,f,23,0,23,0,0,Inactive,First Deputy Group Leader
45503,Liberalerna,Förste vice gruppledare,Louise,Eklund,2022-10-20,,0111697351426,L,1128,t,0,0,0,0,0,Inactive,First Deputy Group Leader
40405,Miljöpartiet de gröna,Förste vice gruppledare,Annika,Hirvonen,2022-05-19,2022-11-07,0819601620927,MP,172,f,97,7,97,0,0,Low,First Deputy Group Leader
23355,Moderaterna,Gruppledare,Lars,Lindblad,2006-10-11,2010-10-04,0371414788216,M,1454,f,0,0,0,0,0,Inactive,Group Leader
