person_id,first_name,last_name,party,total_rebellions,strong_consensus_rebellions,very_strong_consensus_rebellions,avg_consensus_strength_rebelled_against,anomaly_classification,anomaly_assessment
0461756329828,Karin,Granbom Ellison,FP,37,10,0,66.79,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0284039893826,Jakop,Dalunde,MP,2,1,0,78.00,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0972254695405,Elina,Linna,V,32,0,0,52.42,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0214849275619,Christopher,Ödmann,MP,1,0,0,57.89,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0667054859301,Alf,Eriksson,S,17,1,0,53.42,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0802826314426,Sofia,Arkelsten,M,11,2,0,53.27,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
075747847023,Gustaf,Lantz,S,5,3,0,71.11,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0708565346310,Anne,Ludvigsson,S,22,6,0,60.75,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0544137999406,Björn,von der Esch,KD,47,12,1,68.15,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0365748677411,Mats,Nordberg,SD,6,3,2,70.16,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0227802801605,Thomas,Hammarberg,S,7,3,0,68.00,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0977860675311,Gunilla,Carlsson,M,25,11,0,63.16,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0456373360003,Louise,Edlind-Friberg,FP,4,1,0,61.46,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0922497728524,Ardalan,Shekarabi,S,6,3,0,66.79,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0548089226618,Mats,Einarsson,V,17,2,0,57.41,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0792474127508,Karl Gustav,Abramsson,S,16,3,0,49.63,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0957513768616,Johan,Johansson,M,6,6,5,91.67,FREQUENT_STRONG_REBEL,HIGH ANOMALY: Frequent rebellion against very strong party consensus (90%+)
079095006519,Jan,Björkman,S,21,2,2,57.14,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0523902030928,Aylin,Nouri,S,6,5,0,78.40,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0485476395125,Christian,Holm Barenfeld,M,8,0,0,47.40,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0280087199210,Valter,Mutt,MP,50,15,6,65.04,FREQUENT_STRONG_REBEL,HIGH ANOMALY: Frequent rebellion against very strong party consensus (90%+)
0837462035506,Lena,Ödeen,FP,3,0,0,68.06,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
025877594729,John,Widegren,M,2,0,0,45.36,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0210198640127,Fredrik,Schulte,M,28,14,3,69.20,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0630820052511,Per-Arne,Håkansson,S,8,5,0,75.09,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0939158389321,Samuel,Gonzalez Westling,V,3,1,0,59.72,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0442629549320,Adnan,Dibrani,S,33,5,0,50.04,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
055257333723,Oscar,Sjöstedt,SD,9,0,0,46.61,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0363228965800,Barbro,Westerholm,L,28,6,3,64.01,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0796312429425,Viktor,Wärnick,M,2,0,0,45.36,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0316345926026,Gustaf,Hoffstedt,M,1,1,0,88.79,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0861143074410,Torkild,Strandberg,L,31,10,1,67.78,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0489096664719,Sten,Lundström,V,18,0,0,49.19,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0911067396229,Mattias,Vepsä,S,3,1,0,80.77,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0927576375115,Kenth,Högström,S,2,2,0,85.77,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0892978334516,Michael,Anefur,KD,3,1,1,70.46,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0538494048717,Jonas,Andersson,SD,3,0,0,50.00,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0958776965517,Lennart,Axelsson,S,37,3,0,47.16,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0973474532717,Ibrahim,Baylan,S,31,2,0,49.11,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0275724540919,Erik,Ullenhag,L,34,5,1,61.83,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0512424416400,Inger,Lundberg,S,1,1,0,88.19,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0130789484021,Mattias,Bäckström Johansson,SD,19,2,1,53.64,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0446541913415,Allan,Widman,L,45,9,0,60.01,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0235974887200,Susanne,Eberstein,S,49,8,2,55.54,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0229002789006,Reynoldh,Furustrand,S,1,0,0,79.17,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
099373212513,Tobias,Krantz,FP,18,2,0,57.58,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0951854268017,Åsa,Romson,MP,20,4,0,53.60,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0173210620224,Said,Abdu,L,13,0,0,51.62,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0397073482210,Camilla,Mårtensen,L,2,1,0,61.68,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0866055333028,Alexandra,Anstrell,M,5,2,0,59.62,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0516879803714,Lars,Isovaara,SD,13,2,1,55.91,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0480007629014,Michael,Hagberg,S,16,3,0,58.19,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0530425150220,Annika,Strandhäll,S,11,9,0,77.25,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0957631371811,Lars U,Granberg,S,13,2,0,50.50,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0602744999917,Elisabeth,Thand Ringqvist,C,4,1,0,71.88,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
036926802512,Blåvitt,Elofsson,S,1,1,0,86.79,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0783033318602,Rezene,Tesfazion,S,1,1,0,85.42,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0440225263920,Robert,Olesen,S,1,1,0,84.91,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
085742305813,Patrik,Engström,S,3,1,0,68.09,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
042839539117,Alice,Åström,V,31,3,0,59.54,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0640669898710,Gunvor,G Ericson,MP,49,10,2,58.29,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0682674527208,Anita,Jönsson,S,1,0,0,75.00,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0389795960120,Martin,Marmgren,MP,1,0,0,68.75,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0955635879822,Dan,Nilsson,S,6,0,0,42.05,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0463606088610,Bertil,Kjellberg,M,22,5,0,58.87,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0395042560705,Kerstin,Heinemann,FP,27,4,0,58.45,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0631251014601,Mildred,Thulin,C,1,0,0,75.86,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0248883870202,Göran,Montan,M,1,1,0,85.57,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0397924710612,Ulrika,Karlsson,M,4,0,0,51.71,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
08188046917,Susanna,Haby,M,1,1,1,94.39,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0798417016112,Kristina,Zakrisson,S,13,0,0,47.04,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0133767709317,Phia,Andersson,S,40,2,0,47.48,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0955748436811,Robert,Stenkvist,SD,27,12,1,62.04,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0517869568019,Mikael,Johansson,MP,23,0,0,46.77,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0468765214727,Yasmine,Posio,V,8,0,0,52.41,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0126797549328,Johan,Forssell,M,16,4,1,57.01,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0938901612810,Fredrik,Reinfeldt,M,3,0,0,43.03,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0211726202212,Maria,Kornevik Jakobsson,C,2,1,0,75.87,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0879782396219,Olle,Thorell,S,43,8,0,52.04,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0345062474310,Mona,Olin,SD,3,1,0,76.75,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
067992138910,Peter,Jeppsson,S,46,6,0,53.33,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0875221317013,Gunilla,Carlsson,S,41,4,0,47.50,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0495314169413,Jonas,Jacobsson Gjörtler,M,9,1,0,51.03,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0454698803028,Sofia,Nilsson,C,4,2,0,57.26,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
058426570914,Sven,Bergström,C,43,2,0,65.56,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0384833975200,Bo,Könberg,FP,22,2,0,59.80,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0526693079901,Gunnar,Andrén,L,29,4,0,61.28,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0114065053815,Rolf,Olsson,V,18,0,0,54.41,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0196077326617,Solveig,Zander,C,14,0,0,51.11,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0235494367806,Ingegerd,Saarinen,MP,33,6,0,60.87,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0905755961314,Lars,Elinderson,M,7,4,1,78.60,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
043972220518,Jasenko,Omanovic,S,38,0,0,44.93,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
066036027425,Mikael,Damsgaard,M,3,2,0,83.33,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0252067342313,Åsa,Lindestam,S,41,4,2,49.97,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0835507837915,LiseLotte,Olsson,V,18,2,1,53.79,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0121939297619,Jamal,El-Haj,-,305,10,0,49.43,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0480384439015,Tasso,Stafilidis,V,46,11,0,65.52,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0671241874717,Elisabeth,Björnsdotter Rahm,M,2,0,0,45.36,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0731809135516,Carina,Adolfsson Elgestam,S,49,7,0,52.33,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0742251416419,Renée,Jeryd,S,8,0,0,51.64,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0606863154419,Mats,Berglund,MP,3,0,0,64.58,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0478371872009,Helena,Rivière,M,1,1,0,87.63,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0186490041606,Kerstin-Maria,Stalin,MP,26,2,0,60.18,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0101299073819,Karin,Pilsäter,FP,52,15,0,70.59,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0338088431726,Sara,Gille,SD,6,3,0,68.06,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0304498908019,Gudrun,Brunegård,KD,9,4,1,71.47,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0928223863802,Berit,Jóhannesson,V,18,0,0,55.69,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0900533740700,Marianne,Samuelsson,MP,5,0,0,53.92,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0902086611116,Eva,Olofsson,V,45,4,1,51.34,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0185503778507,Birgitta,Sellén,C,34,1,0,61.58,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0828721176319,Sten,Bergheden,M,10,0,0,43.30,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0731442709013,Christer,Nylander,L,33,0,0,49.70,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0472349361027,Kalle,Olsson,S,5,4,0,77.05,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0393583311409,Lars,Lindén,KD,22,3,0,56.72,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0992420223820,Jessica,Rosencrantz,M,8,0,0,43.19,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0466653728712,Denis,Begic,S,3,1,0,64.59,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0468775142013,Christina,Oskarsson,S,58,12,1,59.36,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0202577142527,Matheus,Enholm,SD,4,0,0,39.52,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0624040854527,Emma,Berginger,MP,4,0,0,64.24,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0541320528015,Nina,Lundström,L,28,0,0,54.19,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0457308547314,Karin,Svensson Smith,MP,129,14,0,64.00,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0287864972117,Sofia,Larsen,C,13,2,0,59.09,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0488332307829,Abraham,Halef,S,1,0,0,15.00,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0170700930812,Joe,Frans,S,4,4,0,84.73,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0807438844115,Karin,Nilsson,C,2,1,0,79.35,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0806338394516,Mona,Sahlin,S,3,0,0,57.82,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0440673458216,Ulrika,Liljeberg,C,2,1,0,77.08,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0542160909628,Andreas,Carlson,KD,14,2,0,53.66,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0871764071911,Nina,Kain,SD,2,0,0,50.51,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0773506435611,Anders,Larsson,C,4,0,0,57.96,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0510486065729,Magdalena,Streijffert,S,16,3,0,56.23,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0868286862422,Fredrick,Federley,C,6,1,0,69.77,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0992604658114,Cecilia,Wigström,FP,10,0,0,56.04,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0281670919717,Jörgen,Grubb,SD,4,1,0,58.07,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0248492534018,Pia,Trollehjelm,SD,1,0,0,66.67,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0796071663617,Acko,Ankarberg Johansson,KD,2,0,0,60.23,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0780836041816,Mats,Berglind,S,21,4,0,56.31,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0535526562910,Lars,Tysklind,L,24,1,1,48.83,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0828198456420,Lise,Nordin,MP,35,3,0,54.11,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0205071690103,Erling,Wälivaara,KD,15,0,0,47.07,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0363608290410,Per,Landgren,KD,25,8,1,67.27,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0111479807829,Anna,Wallentheim,S,2,1,0,65.75,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0787533297400,Björn,von Sydow,S,37,7,3,54.66,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0262017901513,Beatrice,Ask,M,39,5,1,54.62,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0900815713419,Olle,Sandahl,KD,15,0,0,44.85,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0729710260118,Helena,Bouveng,M,27,10,1,64.58,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0905312407726,Cassandra,Sundin,SD,8,0,0,48.42,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0279360042003,Gabriel,Romanus,FP,19,6,0,61.40,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0925968558417,Lennart,Sacrédeus,KD,5,1,0,66.67,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0460690753617,Pia,Nilsson,S,46,0,0,46.94,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0438928446810,Lena,Ek,C,19,10,5,75.36,FREQUENT_STRONG_REBEL,HIGH ANOMALY: Frequent rebellion against very strong party consensus (90%+)
0196024739401,Margareta B,Kjellin,M,6,1,0,61.43,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0852475703226,Lorena,Delgado Varas,-,70,2,1,52.19,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0600928907216,Carina,Hägg,S,51,9,0,58.57,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0146133946627,Andreas,Lennkvist Manriquez,V,6,1,1,65.62,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0391973624515,Erik,A Eriksson,C,1,1,0,82.76,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0937688366013,Peter,Hultqvist,S,42,4,1,51.12,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0117613859601,Erling,Bager,FP,40,9,0,68.59,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0256716955026,Serkan,Köse,S,5,2,0,68.53,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0272604986201,Claes-Göran,Brandin,S,31,8,0,65.06,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0545733815610,Patrick,Reslow,SD,53,1,0,34.62,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0577400273410,Ameer,Sachet,S,15,2,1,53.73,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0166790812128,Hanif,Bali,M,47,31,5,76.32,FREQUENT_STRONG_REBEL,HIGH ANOMALY: Frequent rebellion against very strong party consensus (90%+)
069309987221,Johan,Hultberg,M,13,5,1,60.01,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0951422950012,Anna,Ågerfalk,L,2,0,0,56.78,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0679228585116,Per,Åsling,C,28,6,0,64.69,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0116712544316,Eva,Wallin,KD,3,0,0,43.75,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0125165702713,Marietta,de Pourbaix-Lundin,M,26,6,0,57.94,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0199751900210,Annelie,Karlsson,S,27,0,0,43.46,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0874331493311,Helena,Frisk,S,6,1,0,56.57,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0857394544302,Henrik S,Järrel,M,21,2,0,52.25,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
072019517020,Amir,Adan,M,7,1,1,49.88,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0584386800218,Gunnar,Hökmark,M,3,0,0,45.76,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0556347007015,Peter,Pedersen,V,35,2,0,55.15,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
