embedded_id_decision_type,embedded_id_decision_date,total,committee_winner,reservation_winner
RÖSTNING,2014-03-06,5,5,0
RÖSTNING,2006-12-11,10,10,0
RÖSTNING,2018-02-20,10,9,1
ACKLAMATION,2008-02-14,1,1,0
RÖSTNING,2013-11-21,2,2,0
RÖSTNING,2007-01-31,1,1,0
RÖSTNING,2018-12-20,1,1,0
"",2025-09-19,2,0,0
-,2002-03-05,97,0,0
RÖSTNING,2016-04-06,12,12,0
ACKLAMATION,2006-11-24,5,5,0
RÖSTNING,2016-05-20,8,8,0
ACKLAMATION,2004-12-16,20,20,0
ACKLAMATION,2017-04-26,19,19,0
RÖSTNING,2017-06-15,8,8,0
RÖSTNING,2011-12-15,2,2,0
"",2001-05-31,1,0,0
ACKLAMATION,2024-06-03,29,29,0
ACKLAMATION,2007-03-16,2,2,0
RÖSTNING,2010-06-11,1,1,0
RÖSTNING,2013-11-19,4,4,0
ACKLAMATION,2015-05-08,7,7,0
ACKLAMATION,2014-04-16,4,4,0
ACKLAMATION,2025-04-23,48,48,0
-,2002-02-05,62,0,0
RÖSTNING,2011-06-30,1,1,0
ACKLAMATION,2003-10-28,1,1,0
ACKLAMATION,2009-04-15,2,2,0
RÖSTNING,2017-07-04,2,2,0
-,2002-04-26,12,0,0
RÖSTNING,2016-03-14,12,12,0
"",2025-09-23,2,0,0
ACKLAMATION,2015-09-21,5,5,0
ACKLAMATION,2014-03-26,16,16,0
ACKLAMATION,2023-04-27,36,36,0
ACKLAMATION,2002-01-17,22,22,0
ACKLAMATION,2015-03-20,41,41,0
ACKLAMATION,2010-03-16,2,2,0
ACKLAMATION,2014-03-10,10,10,0
ACKLAMATION,2012-05-28,6,6,0
RÖSTNING,2010-04-26,1,1,0
ACKLAMATION,2009-04-03,38,38,0
RÖSTNING,2003-05-08,7,7,0
RÖSTNING,2010-03-17,2,2,0
ACKLAMATION,2004-01-22,6,6,0
RÖSTNING,2005-12-15,3,3,0
RÖSTNING,2012-10-31,1,1,0
ACKLAMATION,2014-05-15,1,1,0
RÖSTNING,2009-02-18,10,10,0
RÖSTNING,2008-03-25,13,13,0
RÖSTNING,2006-02-08,1,1,0
ACKLAMATION,2015-10-01,1,1,0
RÖSTNING,2013-09-23,2,2,0
ACKLAMATION,2013-03-15,8,8,0
ACKLAMATION,2017-11-30,3,3,0
RÖSTNING,2020-03-12,3,3,0
RÖSTNING,2018-12-21,5,5,0
ACKLAMATION,2025-05-16,8,8,0
RÖSTNING,2009-06-02,14,14,0
ACKLAMATION,2016-06-07,5,5,0
ACKLAMATION,2025-09-24,1,1,0
ACKLAMATION,2014-05-28,50,50,0
ACKLAMATION,2025-10-23,4,4,0
ACKLAMATION,2008-03-14,4,4,0
ACKLAMATION,2025-03-25,6,6,0
RÖSTNING,2007-06-08,1,1,0
RÖSTNING,2007-02-06,4,4,0
ACKLAMATION,2006-02-08,4,4,0
ACKLAMATION,2012-04-16,21,21,0
RÖSTNING,2009-04-23,5,5,0
ACKLAMATION,2014-12-01,25,25,0
ACKLAMATION,2013-02-25,16,16,0
ACKLAMATION,2015-05-26,1,1,0
RÖSTNING,2007-05-25,4,4,0
ACKLAMATION,2014-12-19,1,1,0
RÖSTNING,2003-10-02,2,2,0
ACKLAMATION,2017-03-24,55,55,0
ACKLAMATION,2010-02-23,8,8,0
ACKLAMATION,2005-12-05,17,17,0
ACKLAMATION,2017-05-18,1,1,0
ACKLAMATION,2009-11-23,6,6,0
ACKLAMATION,2025-04-17,27,27,0
ACKLAMATION,2009-11-16,1,1,0
ACKLAMATION,2013-11-05,21,21,0
RÖSTNING,2014-01-31,6,6,0
RÖSTNING,2008-04-01,7,7,0
RÖSTNING,2018-10-31,3,3,0
ACKLAMATION,2024-04-12,64,64,0
RÖSTNING,2012-03-22,5,5,0
RÖSTNING,2009-03-31,3,3,0
ACKLAMATION,2013-03-26,4,4,0
ACKLAMATION,2009-05-27,1,1,0
ACKLAMATION,2004-10-21,2,2,0
RÖSTNING,2003-05-20,29,29,0
RÖSTNING,2010-03-18,6,6,0
ACKLAMATION,2022-12-16,2,2,0
RÖSTNING,2013-02-27,4,4,0
RÖSTNING,2014-02-26,5,5,0
ACKLAMATION,2008-10-14,4,4,0
ACKLAMATION,2013-06-25,1,1,0
ACKLAMATION,2010-06-16,6,6,0
ACKLAMATION,2010-05-18,7,7,0
ACKLAMATION,2025-09-30,1,1,0
ACKLAMATION,2008-05-15,41,41,0
RÖSTNING,2004-03-04,1,1,0
RÖSTNING,2009-02-10,1,1,0
RÖSTNING,2007-10-24,4,4,0
ACKLAMATION,2013-03-04,20,20,0
ACKLAMATION,2020-06-22,1,1,0
RÖSTNING,2012-10-25,9,9,0
RÖSTNING,2025-05-23,6,6,0
ACKLAMATION,2025-05-27,33,33,0
RÖSTNING,2009-03-23,9,9,0
RÖSTNING,2025-10-15,6,6,0
RÖSTNING,2011-10-05,3,3,0
RÖSTNING,2010-03-24,6,6,0
RÖSTNING,2025-03-26,5,5,0
RÖSTNING,2025-04-29,9,9,0
"",2007-04-26,1,0,0
RÖSTNING,2006-05-11,15,14,1
ACKLAMATION,2007-05-07,8,8,0
RÖSTNING,2016-11-29,1,1,0
ACKLAMATION,2006-03-28,9,9,0
ACKLAMATION,2015-11-30,5,5,0
ACKLAMATION,2017-03-31,117,117,0
ACKLAMATION,2012-11-14,18,18,0
RÖSTNING,2013-05-07,6,6,0
ACKLAMATION,2017-05-24,24,24,0
RÖSTNING,2013-05-24,6,6,0
RÖSTNING,2009-03-26,9,9,0
RÖSTNING,2009-06-03,8,8,0
RÖSTNING,2007-11-14,3,3,0
ACKLAMATION,2007-10-17,1,1,0
RÖSTNING,2009-04-27,7,7,0
ACKLAMATION,2016-06-09,7,7,0
ACKLAMATION,2014-11-28,7,7,0
RÖSTNING,2015-12-09,14,14,0
ACKLAMATION,2010-05-28,12,12,0
RÖSTNING,2011-12-06,5,5,0
RÖSTNING,2012-04-20,7,7,0
RÖSTNING,2004-04-20,20,19,1
ACKLAMATION,2023-04-25,21,21,0
ACKLAMATION,2017-03-21,1,1,0
ACKLAMATION,2009-11-26,14,14,0
ACKLAMATION,2002-03-07,26,26,0
RÖSTNING,2009-03-06,7,7,0
RÖSTNING,2016-03-08,3,3,0
RÖSTNING,2022-02-15,2,2,0
RÖSTNING,2013-02-12,2,2,0
ACKLAMATION,2013-09-12,2,2,0
RÖSTNING,2001-11-13,20,20,0
ACKLAMATION,2025-01-29,4,4,0
ACKLAMATION,2003-10-30,46,46,0
ACKLAMATION,2007-02-14,22,22,0
RÖSTNING,2009-03-17,7,7,0
RÖSTNING,2014-06-05,10,10,0
RÖSTNING,2018-12-07,7,7,0
RÖSTNING,2018-01-25,4,4,0
RÖSTNING,2007-02-22,6,6,0
ACKLAMATION,2016-05-25,4,4,0
-,2002-01-29,1,0,0
RÖSTNING,2017-03-03,11,11,0
ACKLAMATION,2013-11-18,3,3,0
RÖSTNING,2016-12-21,2,2,0
RÖSTNING,2016-01-07,4,4,0
ACKLAMATION,2011-11-30,29,29,0
ACKLAMATION,2014-04-15,33,33,0
ACKLAMATION,2013-05-24,12,12,0
ACKLAMATION,2009-11-11,35,35,0
ACKLAMATION,2016-05-20,10,10,0
ACKLAMATION,2008-11-14,3,3,0
RÖSTNING,2002-11-19,1,1,0
RÖSTNING,2009-11-18,6,6,0
ACKLAMATION,2018-01-10,6,6,0
ACKLAMATION,2016-11-29,3,3,0
ACKLAMATION,2007-05-11,16,16,0
ACKLAMATION,2010-02-25,16,16,0
ACKLAMATION,2010-03-25,2,2,0
ACKLAMATION,2015-10-27,1,1,0
RÖSTNING,2024-04-10,5,5,0
ACKLAMATION,2008-04-15,31,31,0
RÖSTNING,2010-02-23,3,3,0
RÖSTNING,2013-05-03,13,13,0
RÖSTNING,2009-03-25,2,2,0
ACKLAMATION,2009-02-27,1,1,0
ACKLAMATION,2017-04-07,91,91,0
ACKLAMATION,2010-03-18,9,9,0
ACKLAMATION,2015-02-26,11,11,0
RÖSTNING,2016-05-19,2,2,0
ACKLAMATION,2005-11-17,65,65,0
ACKLAMATION,2003-03-06,83,83,0
ACKLAMATION,2016-01-15,1,1,0
ACKLAMATION,2004-09-30,3,3,0
ACKLAMATION,2010-03-10,29,29,0
RÖSTNING,2010-05-24,6,6,0
ACKLAMATION,2025-07-21,2,2,0
RÖSTNING,2007-06-01,1,1,0
ACKLAMATION,2001-09-27,23,23,0
ACKLAMATION,2023-05-08,11,11,0
RÖSTNING,2016-02-17,7,7,0
RÖSTNING,2007-03-16,2,2,0
RÖSTNING,2025-05-21,11,11,0
ACKLAMATION,2006-01-24,5,5,0
RÖSTNING,2004-04-29,10,10,0
RÖSTNING,2011-11-28,9,9,0
RÖSTNING,2021-04-15,4,4,0
RÖSTNING,2012-11-16,5,5,0
RÖSTNING,2025-03-19,5,5,0
RÖSTNING,2008-05-23,3,3,0
ACKLAMATION,2011-11-24,16,16,0
"",2007-06-01,1,0,0
ACKLAMATION,2021-05-04,1,1,0
ACKLAMATION,2013-09-20,1,1,0
ACKLAMATION,2006-04-27,22,22,0
ACKLAMATION,2022-11-11,3,3,0
ACKLAMATION,2005-12-07,1,1,0
ACKLAMATION,2016-02-04,7,7,0
RÖSTNING,2003-04-29,27,25,2
ACKLAMATION,2014-03-13,31,31,0
RÖSTNING,2016-12-19,4,4,0
RÖSTNING,2006-04-04,5,5,0
"",2006-02-09,39,0,0
RÖSTNING,2002-04-18,19,18,0
"",2005-01-01,30,0,0
RÖSTNING,2005-06-02,23,22,1
RÖSTNING,2002-01-31,5,5,0
-,2001-05-23,4,0,0
RÖSTNING,2004-12-09,4,4,0
ACKLAMATION,2012-11-29,1,1,0
RÖSTNING,2008-04-29,2,2,0
ACKLAMATION,2015-05-27,7,7,0
RÖSTNING,2001-12-04,1,1,0
RÖSTNING,2025-04-11,15,15,0
RÖSTNING,2014-12-09,11,10,1
RÖSTNING,2017-04-03,3,3,0
ACKLAMATION,2001-11-15,36,36,0
RÖSTNING,2012-02-15,7,7,0
ACKLAMATION,2002-10-22,5,5,0
"",2025-09-16,7,0,0
ACKLAMATION,2009-03-23,21,21,0
ACKLAMATION,2008-04-25,51,51,0
"",2002-12-05,1,0,0
RÖSTNING,2024-04-09,9,9,0
ACKLAMATION,2012-10-17,6,6,0
ACKLAMATION,2010-03-17,1,1,0
RÖSTNING,2025-03-20,13,13,0
RÖSTNING,2017-10-02,1,1,0
ACKLAMATION,2017-02-17,25,25,0
ACKLAMATION,2004-03-11,60,60,0
ACKLAMATION,2009-10-05,10,10,0
RÖSTNING,2013-12-20,6,6,0
RÖSTNING,2021-04-07,4,4,0
ACKLAMATION,2016-05-09,5,5,0
RÖSTNING,2011-12-05,26,26,0
RÖSTNING,2025-01-30,4,4,0
RÖSTNING,2025-01-23,12,12,0
RÖSTNING,2007-12-03,13,13,0
RÖSTNING,2021-04-08,5,5,0
RÖSTNING,2014-06-12,21,21,0
RÖSTNING,2018-12-17,2,2,0
ACKLAMATION,2008-02-22,13,13,0
ACKLAMATION,2002-06-04,5,5,0
ACKLAMATION,2014-05-22,15,15,0
RÖSTNING,2005-10-27,6,6,0
ACKLAMATION,2015-12-07,2,2,0
RÖSTNING,2018-04-06,9,9,0
RÖSTNING,2009-09-03,3,3,0
ACKLAMATION,2008-03-17,33,33,0
ACKLAMATION,2007-03-28,3,3,0
RÖSTNING,2010-06-02,2,2,0
"",2007-03-21,1,0,0
RÖSTNING,2013-11-15,3,3,0
ACKLAMATION,2017-04-21,35,35,0
RÖSTNING,2013-10-14,3,3,0
RÖSTNING,2025-04-17,7,7,0
ACKLAMATION,2015-03-05,2,2,0
ACKLAMATION,2022-12-14,5,5,0
ACKLAMATION,2001-05-23,15,15,0
RÖSTNING,2012-03-26,5,5,0
ACKLAMATION,2005-11-22,68,68,0
ACKLAMATION,2015-11-06,16,16,0
RÖSTNING,2010-01-19,2,2,0
ACKLAMATION,2025-02-25,24,24,0
RÖSTNING,2013-11-29,5,5,0
RÖSTNING,2014-12-11,3,3,0
ACKLAMATION,2015-03-30,55,55,0
RÖSTNING,2009-04-06,5,5,0
RÖSTNING,2017-01-01,5,5,0
RÖSTNING,2012-11-06,2,2,0
ACKLAMATION,2017-11-07,1,1,0
ACKLAMATION,2008-05-12,11,11,0
RÖSTNING,2008-12-01,5,5,0
RÖSTNING,2016-04-14,13,13,0
ACKLAMATION,2023-04-28,24,24,0
ACKLAMATION,2004-01-27,4,4,0
ACKLAMATION,2013-04-19,9,9,0
ACKLAMATION,2007-11-15,3,3,0
RÖSTNING,2006-05-18,38,37,1
"",2003-03-20,20,0,0
RÖSTNING,2013-04-04,1,1,0
RÖSTNING,2015-05-11,7,7,0
ACKLAMATION,2025-10-17,9,9,0
ACKLAMATION,2007-12-03,48,48,0
RÖSTNING,2003-09-30,6,6,0
ACKLAMATION,2008-03-05,36,36,0
RÖSTNING,2013-05-23,8,8,0
RÖSTNING,2017-06-12,19,19,0
RÖSTNING,2016-05-27,11,11,0
RÖSTNING,2011-10-31,1,1,0
RÖSTNING,2014-05-12,1,1,0
ACKLAMATION,2004-01-01,34,34,0
ACKLAMATION,2012-11-12,13,13,0
ACKLAMATION,2004-01-29,17,17,0
ACKLAMATION,2006-03-16,76,76,0
ACKLAMATION,2016-03-03,33,33,0
ACKLAMATION,2015-09-22,1,1,0
ACKLAMATION,2005-12-01,135,135,0
ACKLAMATION,2004-11-30,127,127,0
RÖSTNING,2014-03-19,6,6,0
ACKLAMATION,2016-11-09,10,10,0
ACKLAMATION,2014-02-10,30,30,0
ACKLAMATION,2003-09-25,2,2,0
RÖSTNING,2009-04-28,9,9,0
ACKLAMATION,2017-02-28,1,1,0
RÖSTNING,2003-05-13,27,26,1
RÖSTNING,2008-05-14,13,13,0
ACKLAMATION,2015-12-18,4,4,0
RÖSTNING,2008-05-08,5,5,0
RÖSTNING,2017-05-30,1,1,0
RÖSTNING,2008-11-25,1,1,0
ACKLAMATION,2016-03-29,15,15,0
ACKLAMATION,2025-11-14,8,8,0
ACKLAMATION,2013-01-18,1,1,0
ACKLAMATION,2014-12-09,27,27,0
ACKLAMATION,2010-06-01,15,15,0
RÖSTNING,2008-01-01,5,5,0
ACKLAMATION,2025-02-21,11,11,0
ACKLAMATION,2025-11-04,1,1,0
RÖSTNING,2015-11-30,7,7,0
ACKLAMATION,2014-04-07,14,14,0
ACKLAMATION,2020-03-11,15,15,0
ACKLAMATION,2005-11-15,20,20,0
RÖSTNING,2012-04-02,26,26,0
ACKLAMATION,2015-03-18,7,7,0
ACKLAMATION,2015-02-04,10,10,0
ACKLAMATION,2008-12-10,72,72,0
ACKLAMATION,2014-03-07,26,26,0
ACKLAMATION,2007-06-08,2,2,0
ACKLAMATION,2011-11-08,2,2,0
RÖSTNING,2016-02-03,3,3,0
ACKLAMATION,2013-03-07,1,1,0
ACKLAMATION,2023-04-26,7,7,0
ACKLAMATION,2012-06-04,20,20,0
RÖSTNING,2018-02-01,2,2,0
RÖSTNING,2013-03-22,4,4,0
ACKLAMATION,2007-12-12,3,3,0
-,2001-11-29,18,0,0
RÖSTNING,2013-04-08,7,7,0
RÖSTNING,2025-11-06,1,1,0
RÖSTNING,2015-03-20,12,12,0
ACKLAMATION,2003-05-20,49,49,0
RÖSTNING,2018-12-18,2,2,0
RÖSTNING,2008-04-04,14,14,0
-,2001-12-12,1,0,0
RÖSTNING,2012-12-05,2,2,0
RÖSTNING,2009-10-13,2,2,0
RÖSTNING,2013-02-25,11,11,0
RÖSTNING,2002-03-14,21,20,0
ACKLAMATION,2012-01-17,1,1,0
ACKLAMATION,2016-01-11,11,11,0
ACKLAMATION,2004-11-09,18,18,0
RÖSTNING,2015-03-05,1,1,0
RÖSTNING,2011-11-23,5,5,0
-,2002-03-14,34,0,0
RÖSTNING,2017-06-16,1,1,0
ACKLAMATION,2003-11-13,40,40,0
ACKLAMATION,2010-11-11,6,6,0
RÖSTNING,2014-05-22,8,8,0
ACKLAMATION,2025-02-03,11,11,0
ACKLAMATION,2019-02-08,22,22,0
ACKLAMATION,2017-06-08,3,3,0
ACKLAMATION,2014-03-05,41,41,0
RÖSTNING,2025-02-17,8,8,0
RÖSTNING,2017-12-05,12,12,0
ACKLAMATION,2025-02-05,5,5,0
RÖSTNING,2015-04-14,9,9,0
ACKLAMATION,2025-02-24,10,10,0
RÖSTNING,2013-11-07,1,1,0
RÖSTNING,2025-02-13,11,11,0
RÖSTNING,2006-12-20,1,1,0
RÖSTNING,2010-04-13,5,5,0
RÖSTNING,2001-05-23,5,5,0
ACKLAMATION,2024-10-04,2,2,0
ACKLAMATION,2017-03-22,1,1,0
ACKLAMATION,2014-06-16,15,15,0
ACKLAMATION,2014-05-08,1,1,0
ACKLAMATION,2006-10-27,2,2,0
RÖSTNING,2016-06-13,6,6,0
ACKLAMATION,2025-02-26,8,8,0
RÖSTNING,2013-03-19,7,7,0
ACKLAMATION,2011-10-31,3,3,0
ACKLAMATION,2014-12-18,5,5,0
RÖSTNING,2016-03-31,14,14,0
RÖSTNING,2006-12-12,12,12,0
RÖSTNING,2012-05-08,1,1,0
ACKLAMATION,2018-01-02,6,6,0
ACKLAMATION,2018-10-29,2,2,0
RÖSTNING,2023-03-13,5,5,0
RÖSTNING,2015-03-06,7,7,0
ACKLAMATION,2009-04-02,12,12,0
RÖSTNING,2009-04-08,2,2,0
RÖSTNING,2003-05-22,22,21,1
RÖSTNING,2016-04-28,2,2,0
-,2001-11-09,2,0,0
RÖSTNING,2014-03-31,9,9,0
ACKLAMATION,2012-03-05,12,12,0
RÖSTNING,2007-02-09,1,1,0
RÖSTNING,2015-04-28,4,4,0
ACKLAMATION,2007-03-26,3,3,0
ACKLAMATION,2014-11-20,7,7,0
ACKLAMATION,2012-03-22,10,10,0
RÖSTNING,2003-03-25,27,26,1
RÖSTNING,2025-11-13,1,1,0
RÖSTNING,2016-12-02,1,1,0
RÖSTNING,2005-08-22,8,8,0
RÖSTNING,2003-10-16,10,10,0
RÖSTNING,2023-11-30,1,1,0
ACKLAMATION,2009-04-16,23,23,0
RÖSTNING,2016-12-07,12,12,0
ACKLAMATION,2007-05-25,7,7,0
ACKLAMATION,2018-04-06,10,10,0
ACKLAMATION,2007-11-28,27,27,0
RÖSTNING,2021-12-22,6,6,0
ACKLAMATION,2003-12-04,56,56,0
ACKLAMATION,2009-03-05,4,4,0
RÖSTNING,2011-12-12,4,4,0
ACKLAMATION,2005-11-08,65,65,0
RÖSTNING,2015-02-04,17,17,0
ACKLAMATION,2007-04-26,21,21,0
RÖSTNING,2025-01-22,1,1,0
RÖSTNING,2009-11-25,11,11,0
ACKLAMATION,2007-03-20,4,4,0
RÖSTNING,2013-06-11,2,2,0
RÖSTNING,2015-10-23,1,1,0
"",2002-03-21,1,0,0
RÖSTNING,2007-11-15,2,2,0
ACKLAMATION,2015-12-08,2,2,0
ACKLAMATION,2013-10-29,2,2,0
RÖSTNING,2017-02-15,8,8,0
ACKLAMATION,2019-10-17,2,2,0
RÖSTNING,2013-02-22,1,1,0
ACKLAMATION,2008-02-11,6,6,0
