year,party,vote_count,yes_votes,no_votes,absent
2023,S,40767,0,0,0
2023,SD,27631,0,0,0
2023,M,25908,0,0,0
2023,V,9144,0,0,0
2023,C,9144,0,0,0
2023,KD,7239,0,0,0
2023,MP,6858,0,0,0
2023,L,6096,0,0,0
2023,-,182,0,0,0
2024,S,43587,0,0,0
2024,SD,29592,0,0,0
2024,M,27948,0,0,0
2024,V,9864,0,0,0
2024,C,9864,0,0,0
2024,KD,7809,0,0,0
2024,MP,7398,0,0,0
2024,L,6576,0,0,0
2024,-,801,0,0,0
2025,S,45686,0,0,0
2025,SD,31032,0,0,0
2025,M,29308,0,0,0
2025,C,10344,0,0,0
2025,V,10249,0,0,0
2025,KD,8189,0,0,0
2025,MP,7758,0,0,0
2025,L,6896,0,0,0
2025,-,957,0,0,0
2026,S,4240,0,0,0
2026,SD,2840,0,0,0
2026,M,2720,0,0,0
2026,C,960,0,0,0
2026,V,880,0,0,0
2026,KD,760,0,0,0
2026,MP,720,0,0,0
2026,L,640,0,0,0
2026,-,200,0,0,0
