person_id,first_name,last_name,party,crisis_period_votes,crisis_absence_rate,crisis_party_discipline,normal_period_votes,normal_absence_rate,absence_rate_change,resilience_score,resilience_classification,pressure_performance_assessment
0526748040023,Ludvig,Aspling,SD,3128,36.41,99.87,534,19.66,16.75,46.7090,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0793372891224,Noria,Manouchi,M,3185,31.05,99.97,534,21.35,9.70,59.2133,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
098412828516,Magdalena,Andersson,S,1309,62.26,100.00,257,45.91,16.35,33.6531,LOW_RESILIENCE,Poor crisis response - high absence during high-activity periods
0358514648113,Marléne,Lund Kopparklint,-,3132,44.60,99.97,534,33.15,11.46,43.9060,LOW_RESILIENCE,Poor crisis response - high absence during high-activity periods
025967059622,Magnus,Manhammar,S,4121,28.22,100.00,775,18.32,9.90,61.8800,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0905254899611,Louise,Thunström,S,1309,14.29,99.77,257,11.67,2.61,82.8725,RESILIENT,Good crisis response - reliable during high-activity periods
0970709885516,Inga-Lill,Sjöblom,S,1566,33.40,100.00,384,20.83,12.56,54.0390,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0202626512110,Lars-Ingvar,Ljungman,M,250,0.00,100.00,72,0.00,0.00,100.0000,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0961483563503,Gudrun,Nordborg,V,2466,36.58,99.88,354,38.14,-1.56,61.7428,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0358278412329,Björn,Petersson,S,2335,39.70,100.00,343,25.66,14.04,46.2555,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0653578338415,Agneta,Nilsson,S,568,0.00,99.82,75,0.00,0.00,99.8239,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
028954589415,Ann-Sofie,Alm,M,3185,37.90,99.97,534,24.91,12.99,49.0822,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0744993950910,Anders,Ygeman,S,5626,9.70,99.77,1281,11.24,-1.54,88.5277,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0845133742919,Lili,André,KD,1309,9.24,100.00,257,5.84,3.41,87.3492,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0456680171315,Charlotte,Quensel,SD,3185,18.08,99.97,534,7.87,10.22,71.6642,RESILIENT,Good crisis response - reliable during high-activity periods
0389795960120,Martin,Marmgren,MP,637,21.04,100.00,16,0.00,21.04,57.9278,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0204240926023,Markus,Wiechel,SD,5469,24.30,99.95,910,23.52,0.78,74.8604,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0709911904721,Johanna,Rantsi,M,1522,4.80,100.00,257,0.00,4.80,90.4074,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0112333043027,Rasmus,Giertz,SD,1309,7.79,99.92,257,10.89,-3.10,89.0287,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0810852280213,Marie-Louise,Hänel Sandström,M,3185,26.94,100.00,534,12.73,14.20,58.8565,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0371882294919,Carita,Boulwén,SD,1309,15.36,100.00,257,17.90,-2.54,82.1012,RESILIENT,Good crisis response - reliable during high-activity periods
0990587970528,Zinaida,Kajevic,S,324,0.00,100.00,31,45.16,-45.16,70.0000,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
088461404416,Richard,Herrey,M,671,12.07,100.00,49,32.65,-20.58,67.3469,RESILIENT,Good crisis response - reliable during high-activity periods
0977592683711,Magnus,Jacobsson,KD,3185,32.06,99.97,534,26.78,5.28,62.6346,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0226631365426,Mikael,Larsson,C,3185,26.22,100.00,534,15.73,10.49,63.2971,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0144048894712,Ellen,Juntti,M,5919,16.96,99.95,1093,8.42,8.55,74.4419,RESILIENT,Good crisis response - reliable during high-activity periods
0607691439013,Karin,Enström,M,7420,22.49,99.99,1583,22.74,-0.25,77.2449,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0496341906327,Alexandra,Völker,S,4060,23.79,100.00,709,24.12,-0.33,75.8815,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0506541436524,Sanne,Lennström,S,4234,23.71,100.00,684,15.35,8.36,67.9253,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0984153507725,Gustaf,Göthberg,M,1309,23.83,100.00,257,42.41,-18.58,57.5875,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0426843954410,Ulrik,Bergman,M,12,0.00,100.00,34,0.00,0.00,100.0000,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0537400268911,Caroline,Helmersson Olsson,S,7058,15.84,99.99,1468,10.08,5.76,78.3872,RESILIENT,Good crisis response - reliable during high-activity periods
0333193598116,Bo,Broman,SD,3185,29.64,100.00,534,18.91,10.73,59.6360,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0768554866215,Katja,Nyberg,-,3107,23.40,100.00,534,15.73,7.67,68.9328,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0737824098113,Magnus,Berntsson,KD,1309,9.40,100.00,257,15.56,-6.17,84.4358,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
065701062615,Runar,Filper,SD,4695,26.24,99.98,832,12.02,14.22,59.5166,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0331791853028,Yasmine,Eriksson,SD,3185,30.17,100.00,534,20.41,9.76,60.0666,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0589561178823,Peter,Hedberg,S,1309,6.04,100.00,257,21.79,-15.75,78.2101,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0504851635310,Daniel,Helldén,MP,1309,25.90,100.00,257,26.85,-0.95,73.1518,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0509415296421,Kjell-Arne,Ottosson,KD,3185,33.09,100.00,534,22.66,10.43,56.4739,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0161616238120,Lina,Nordquist,L,3185,37.17,100.00,534,28.46,8.71,54.1159,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0980092192122,Joar,Forssell,L,3007,25.11,99.97,479,17.95,7.15,67.7047,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0469384565811,Anders,Alftberg,SD,1309,2.44,100.00,257,19.46,-17.01,80.5447,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0720250789315,Mats,Wiking,S,3185,29.73,99.97,534,16.10,13.63,56.6072,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0694917698222,Michael,Rubbestad,SD,3185,37.36,100.00,534,19.66,17.70,44.9376,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0178323535715,Johnny,Svedin,SD,1309,2.98,100.00,257,12.84,-9.86,87.1595,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0737666060225,Joakim,Järrebring,S,3185,30.24,99.97,534,19.29,10.95,58.7860,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0388994689418,Malin,Östh,V,638,5.80,100.00,149,10.74,-4.94,89.2617,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0819601620927,Annika,Hirvonen,MP,3771,24.87,99.95,699,14.02,10.85,64.2189,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0838085832923,Ann-Sofie,Lifvenhage,M,2922,31.86,100.00,485,19.59,12.27,55.8642,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0678597762924,Martin,Westmont,SD,1309,0.00,100.00,257,12.84,-12.84,87.1595,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0323000187920,Solange,Olame Bayibsa,S,520,79.23,100.00,55,32.73,46.50,20.0000,LOW_RESILIENCE,Poor crisis response - high absence during high-activity periods
0316505710324,Janine,Alm Ericson,MP,4236,25.66,99.95,799,18.15,7.51,66.7785,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0729710260118,Helena,Bouveng,M,7232,18.63,99.93,1505,13.29,5.34,75.9688,RESILIENT,Good crisis response - reliable during high-activity periods
0671571847522,Mattias,Eriksson Falk,SD,1309,26.13,100.00,257,33.85,-7.73,66.1479,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0964730940415,Johan,Andersson,S,6283,17.01,99.98,1105,10.59,6.43,76.5440,RESILIENT,Good crisis response - reliable during high-activity periods
0344222203323,Dennis,Dioukarev,SD,4695,18.79,100.00,832,7.81,10.97,70.2406,RESILIENT,Good crisis response - reliable during high-activity periods
0879782396219,Olle,Thorell,S,7071,27.51,99.96,1450,20.28,7.23,65.2200,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0283284978818,Markus,Kallifatides,S,1309,6.19,100.00,257,3.50,2.69,91.1261,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0604604418610,Jacob,Risberg,MP,1309,8.33,99.92,257,25.29,-16.96,74.6318,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0610162335824,Niklas,Sigvardsson,S,1309,2.75,99.92,257,5.45,-2.70,94.4761,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0937688366013,Peter,Hultqvist,S,3846,17.71,99.87,930,11.94,5.77,76.3921,RESILIENT,Good crisis response - reliable during high-activity periods
0304498908019,Gudrun,Brunegård,KD,3055,31.95,99.93,485,22.47,9.47,58.5135,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0538387395826,Mats,Green,M,4695,22.17,99.98,832,18.27,3.90,73.9029,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0648224557612,Åsa,Karlsson,S,3031,31.61,100.00,521,20.73,10.88,57.5159,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
086684470825,Tobias,Andersson,SD,3185,18.18,99.97,534,8.99,9.19,72.5994,RESILIENT,Good crisis response - reliable during high-activity periods
0534870997412,Åsa,Hartzell,M,306,0.00,100.00,97,4.12,-4.12,95.8763,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0641953830512,Magnus,Persson,SD,4695,14.95,99.98,832,13.34,1.61,83.4159,RESILIENT,Good crisis response - reliable during high-activity periods
0760500234712,Monica,Haider,S,4695,26.03,99.98,832,13.58,12.45,61.5051,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0452755722723,Björn,Söder,SD,6283,28.28,100.00,1105,24.98,3.31,68.4120,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0523902030928,Aylin,Nouri,S,2838,36.50,99.96,433,27.94,8.56,54.9002,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0191189790215,Peter,Ollén,M,1309,8.48,100.00,257,8.56,-0.08,91.4397,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0985426914829,Anna,Lasses,C,1309,20.17,99.92,257,10.89,9.27,70.4824,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0710595759638,Aida,Birinxhiku,S,1309,2.22,100.00,257,1.17,1.05,96.7365,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0521260619925,Sofia,Amloh,S,1946,11.25,100.00,331,12.39,-1.13,87.6133,RESILIENT,Good crisis response - reliable during high-activity periods
0766496753128,Fredrik,Malm,L,6795,25.53,99.93,1419,20.23,5.31,69.0850,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0497217816024,Markus,Selin,S,3185,18.08,99.97,534,11.99,6.10,75.7841,RESILIENT,Good crisis response - reliable during high-activity periods
0448973586529,Adrian,Magnusson,S,1309,7.41,100.00,257,5.45,1.96,90.6270,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0992473266516,Larry,Söder,KD,4529,16.25,99.98,779,12.97,3.29,80.4416,RESILIENT,Good crisis response - reliable during high-activity periods
0105632258713,Boriana,Åberg,M,6389,29.49,99.98,1151,19.11,10.37,60.1218,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0373223420310,Niclas,Malmberg,MP,1510,6.89,100.00,298,0.00,6.89,86.2252,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
071293048118,Thomas,Ragnarsson,M,1309,4.51,100.00,257,3.89,0.62,94.8765,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0803753212716,Richard,Jomshof,SD,6283,27.69,99.98,1105,17.92,9.78,62.5151,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0161597857912,Tuve,Skånberg,KD,6626,18.26,99.89,1143,11.11,7.15,74.4827,RESILIENT,Good crisis response - reliable during high-activity periods
0279488554424,Alexander,Christiansson,SD,3185,33.94,99.97,534,13.30,20.64,45.3838,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0628005785225,Jörgen,Berglund,M,3185,25.87,100.00,534,19.66,6.21,67.9204,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0525562399327,Caroline,Högström,M,1054,16.32,100.00,257,5.45,10.87,72.8099,RESILIENT,Good crisis response - reliable during high-activity periods
0174490514929,Marcus,Andersson,S,624,8.65,100.00,82,0.00,8.65,82.6923,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0653904370212,Fredrik,Olovsson,S,7605,16.42,99.91,1649,11.76,4.66,78.8258,RESILIENT,Good crisis response - reliable during high-activity periods
0492644357418,Per,Söderlund,SD,3185,29.51,100.00,485,21.24,8.28,62.2104,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0522054204918,Mattias,Karlsson,M,3185,35.32,100.00,534,21.91,13.41,51.2665,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0951905661227,Christofer,Bergenblock,C,1309,1.99,100.00,257,10.89,-8.91,89.1051,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0456522027421,Linnéa,Wickman,S,1309,15.74,100.00,257,22.57,-6.83,77.4319,RESILIENT,Good crisis response - reliable during high-activity periods
0962410717322,Sultan,Kayhan,S,2683,30.19,99.89,377,10.88,19.31,50.3833,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0519740099915,Saila,Quicklund,M,6283,10.65,99.98,1105,6.79,3.86,85.4759,RESILIENT,Good crisis response - reliable during high-activity periods
0792733370419,Magnus,Oscarsson,KD,4695,29.61,99.89,832,16.71,12.90,57.3883,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0257313105220,Arber,Gashi,S,638,10.19,100.00,149,7.38,2.81,87.0064,RESILIENT,Good crisis response - reliable during high-activity periods
0398471271026,Frida,Tånghag,V,251,0.00,100.00,26,0.00,0.00,100.0000,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0389220391128,Christian,Carlsson,KD,2166,25.48,100.00,327,14.98,10.50,64.0152,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0488332307829,Abraham,Halef,S,532,78.95,100.00,126,25.40,53.55,20.0000,LOW_RESILIENCE,Poor crisis response - high absence during high-activity periods
0866055333028,Alexandra,Anstrell,M,3234,32.37,99.97,574,17.60,14.78,52.8154,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0545733815610,Patrick,Reslow,SD,2520,12.70,99.96,1105,10.41,2.29,84.9707,RESILIENT,Good crisis response - reliable during high-activity periods
0103624617217,Helén,Pettersson,S,7232,22.23,99.99,1505,14.95,7.28,70.4673,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0899169869710,Helena,Gellerman,L,3185,35.32,100.00,534,21.72,13.60,51.0792,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0466653728712,Denis,Begic,S,3185,38.15,100.00,534,21.91,16.24,45.6150,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0170585430421,Jimmy,Ståhl,SD,4695,21.81,99.94,832,8.77,13.04,65.0893,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0395154929710,Anders,Frimert,S,637,8.63,100.00,41,0.00,8.63,82.7316,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0939158389321,Samuel,Gonzalez Westling,V,1309,17.72,100.00,257,26.07,-8.35,73.9300,RESILIENT,Good crisis response - reliable during high-activity periods
0765747165821,Marcus,Jonsson,KD,0,,,47,2.13,,,INSUFFICIENT_DATA,Insufficient crisis period data for assessment
0410231576416,Lars,Johnsson,M,1309,9.17,100.00,257,0.00,9.17,81.6654,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0236597884217,Rose-Marie,Carlsson,S,1427,13.81,99.93,306,16.34,-2.53,83.5901,RESILIENT,Good crisis response - reliable during high-activity periods
0966063008623,Leonid,Yurkovskiy,SD,1309,7.79,100.00,257,5.06,2.73,89.4740,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0972636989226,Dzenan,Cisija,S,1309,9.17,100.00,257,1.95,7.22,83.6109,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0655418111118,Laila,Olsen,S,271,13.28,100.00,31,0.00,13.28,73.4317,RESILIENT,Good crisis response - reliable during high-activity periods
0121939297619,Jamal,El-Haj,-,3153,29.91,99.94,689,10.16,19.75,50.2802,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0645111757928,Elin,Gustafsson,S,1876,41.95,100.00,277,18.77,23.18,34.8706,LOW_RESILIENCE,Poor crisis response - high absence during high-activity periods
0836001490919,Ulrika,Heie,C,7232,23.26,99.99,1505,26.38,-3.12,73.6074,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0665360289423,Fredrik,Stenberg,S,708,20.06,100.00,86,0.00,20.06,59.8870,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0859909330720,Sanna,Backeskog,S,1309,16.20,100.00,257,10.12,6.08,77.7256,RESILIENT,Good crisis response - reliable during high-activity periods
0776705932527,Ciczie,Weidby,V,3185,29.45,100.00,534,11.24,18.21,52.3349,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0606863154419,Mats,Berglund,MP,2224,35.70,100.00,348,19.54,16.16,48.1374,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0494843794418,Martin,Ådahl,C,3185,34.32,99.81,534,26.97,7.35,58.1437,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
083953568015,Malin,Höglund,M,1352,4.96,100.00,309,14.56,-9.61,85.4369,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0256716955026,Serkan,Köse,S,4430,21.58,100.00,832,13.46,8.12,70.3013,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0963046628824,Christian,Lindefjärd,SD,638,2.35,100.00,149,0.67,1.68,95.9689,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0652497579621,Johanna,Haraldsson,S,4695,18.74,100.00,832,10.58,8.17,73.0902,RESILIENT,Good crisis response - reliable during high-activity periods
030110584526,Caroline,Täljeblad,V,0,,,19,42.11,,,INSUFFICIENT_DATA,Insufficient crisis period data for assessment
0246927519019,Karin,Rågsjö,V,4695,15.36,100.00,832,13.94,1.41,83.2288,RESILIENT,Good crisis response - reliable during high-activity periods
011548866929,Elin,Nilsson,L,1309,17.19,100.00,257,14.79,2.40,80.4086,RESILIENT,Good crisis response - reliable during high-activity periods
0427321850912,Lars Mejern,Larsson,S,7379,18.24,99.96,1541,13.37,4.87,76.8454,RESILIENT,Good crisis response - reliable during high-activity periods
0472349361027,Kalle,Olsson,S,4402,24.65,99.98,708,20.90,3.74,71.5855,MODERATE_RESILIENCE,Moderate crisis engagement - some absence during critical votes
0290003389021,Chris,Dahlqvist,SD,250,0.00,100.00,72,9.72,-9.72,90.2778,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
0254695027922,Malcolm Momodou,Jallow,V,3650,43.51,100.00,634,30.76,12.75,43.7434,LOW_RESILIENCE,Poor crisis response - high absence during high-activity periods
0663840649717,Anette,Rangdag,SD,520,9.42,99.81,55,14.55,-5.12,85.2622,HIGHLY_RESILIENT,Highly engaged during crisis periods - strong institutional resilience
