embedded_id_public_date,embedded_id_party_short_code,embedded_id_document_type,distinct_documents,distinct_people,total
2014-11-04,SD,mot,16,10,21
2014-02-20,,bet,5,0,5
2016-12-13,MP,prop,1,1,1
2018-10-09,SD,mot,3,9,9
2013-05-17,,bet,4,0,4
2025-03-11,M,prop,1,1,1
2018-02-19,,bet,5,0,5
2021-04-06,C,mot,1,3,3
2014-01-22,,bet,4,0,4
2017-06-19,,bet,1,0,1
2000-04-05,C,mot,4,11,12
2013-01-23,S,mot,4,35,42
2017-12-07,SD,mot,2,5,5
2025-02-05,C,mot,2,8,9
2010-02-02,S,mot,1,8,8
2012-12-11,L,mot,7,6,10
2014-04-14,MP,mot,1,1,1
2009-10-21,,prop,5,0,5
2008-09-29,MP,mot,10,10,59
2011-01-07,SD,mot,1,2,2
2015-04-29,C,mot,3,5,5
2001-05-28,KD,mot,1,11,11
2003-05-22,,prop,3,0,3
2023-12-12,,bet,1,0,1
2000-02-24,,bet,6,0,6
2017-12-13,M,mot,2,2,2
2000-12-05,,bet,2,0,2
2016-03-30,S,prop,1,1,1
2005-06-17,,prop,1,0,1
2017-01-16,S,prop,1,2,2
2012-11-26,,bet,12,0,12
2010-10-11,S,mot,4,14,28
2015-03-10,S,prop,4,3,7
2013-11-05,,prop,2,0,2
2010-06-14,V,mot,1,1,1
2001-11-15,,bet,1,0,1
2007-10-08,MP,mot,28,19,109
2005-03-29,V,mot,2,5,5
2004-03-17,,prop,16,0,16
2017-02-28,S,prop,6,4,10
2016-04-06,M,mot,3,3,3
2001-04-05,L,mot,3,6,7
2008-12-17,S,mot,2,15,15
2015-11-11,,bet,4,0,4
2004-06-29,,prop,1,0,1
2004-04-20,,prop,1,0,1
2008-09-22,L,mot,9,4,11
2017-05-08,M,mot,1,1,1
2014-04-07,S,mot,1,7,7
2015-02-11,,bet,1,0,1
2004-09-21,,prop,1,0,1
2007-12-10,,bet,7,0,7
2009-03-05,,bet,1,0,1
2025-10-02,KD,mot,38,13,52
2025-03-25,KD,prop,1,2,2
2012-09-25,SD,mot,8,5,15
2014-03-31,,prop,2,0,2
2012-10-08,M,mot,2,2,2
2023-11-28,KD,prop,2,2,2
2008-12-04,S,mot,1,7,7
2013-11-20,M,mot,7,3,7
2009-11-10,,bet,4,0,4
2005-11-22,,bet,5,0,5
2002-04-17,C,mot,1,5,5
2001-03-05,KD,mot,1,4,4
2002-02-06,KD,mot,2,19,19
2008-09-18,,prop,1,0,1
2015-04-09,S,prop,3,2,4
2008-03-26,,bet,5,0,5
2016-10-03,KD,mot,4,1,4
2016-03-15,S,prop,8,5,15
2010-10-26,M,mot,282,80,491
2005-10-26,KD,mot,1,1,1
2015-03-31,SD,mot,1,3,3
2021-09-28,KD,mot,11,2,11
2003-10-07,L,mot,500,48,1341
2005-03-03,MP,mot,1,1,1
2014-04-11,V,mot,1,7,7
2014-01-31,,bet,1,0,1
2024-01-24,,bet,1,0,1
2009-11-18,,bet,4,0,4
2015-02-03,MP,prop,1,1,1
2016-09-28,V,mot,11,21,73
2012-12-14,M,mot,29,13,38
2011-11-09,SD,mot,1,1,1
2003-12-03,M,mot,1,8,8
2013-10-14,SD,mot,1,4,4
2006-03-22,L,mot,1,6,6
2010-05-18,,prop,1,0,1
2014-03-26,M,mot,1,1,1
2005-06-14,V,mot,3,11,12
2016-10-12,C,mot,2,2,2
2001-10-26,L,mot,3,5,5
2018-01-19,MP,mot,1,3,3
2007-12-19,,prop,2,0,2
2014-04-22,SD,mot,1,1,1
2006-02-28,V,mot,1,3,3
2015-06-15,KD,mot,1,1,1
2016-10-20,KD,mot,1,1,1
2008-09-25,,prop,4,0,4
2013-01-17,SD,mot,3,4,6
2010-04-20,,bet,6,0,6
2023-01-10,,bet,1,0,1
2014-01-13,M,mot,3,5,6
2019-02-06,C,mot,1,1,1
2013-03-13,V,mot,1,5,5
2006-04-11,,bet,2,0,2
2014-02-12,SD,mot,1,1,1
2004-05-27,M,mot,2,13,13
2006-11-08,M,mot,42,41,68
2001-04-06,S,mot,11,17,18
2011-11-22,,prop,1,0,1
2012-11-14,,bet,2,0,2
2012-01-20,V,mot,1,5,5
2008-12-04,M,mot,1,1,1
2006-05-05,,bet,6,0,6
2008-10-08,KD,mot,73,19,89
2011-11-11,,bet,1,0,1
2023-10-04,-,mot,13,1,13
2015-01-21,-,mot,3,4,6
2011-11-17,,bet,5,0,5
2007-01-01,,prop,2,0,2
2005-09-30,MP,mot,29,17,65
2018-09-25,,bet,2,0,2
2009-10-23,,bet,2,0,2
2002-11-28,KD,mot,1,1,1
2022-01-14,,bet,1,0,1
2024-01-31,MP,mot,2,17,23
2015-06-25,S,prop,6,5,11
2019-11-21,S,prop,1,2,2
2013-12-09,SD,mot,3,2,4
2025-11-28,MP,mot,1,5,5
2014-02-26,,bet,1,0,1
2004-06-23,MP,mot,1,4,4
2013-11-25,MP,mot,3,4,6
2004-10-27,KD,mot,2,15,15
2004-02-18,L,mot,1,3,3
2002-11-28,L,mot,1,1,1
2023-01-11,,mot,2,0,2
2008-11-11,,bet,2,0,2
2001-01-19,L,mot,4,9,10
2025-02-25,S,mot,1,7,7
2013-03-04,,bet,3,0,3
2006-05-31,KD,mot,1,9,9
2005-09-19,KD,mot,2,2,2
2013-11-07,V,mot,1,8,8
2003-10-28,L,mot,1,5,5
2012-10-15,S,mot,2,7,14
2003-06-12,MP,mot,3,4,8
2022-07-18,,bet,2,0,2
2009-02-12,S,mot,1,8,8
2006-03-27,M,mot,1,7,7
2008-03-31,S,mot,3,15,18
2016-01-15,SD,mot,2,4,4
2000-04-05,MP,mot,2,5,6
2006-11-23,M,mot,4,5,6
2005-02-03,C,mot,1,7,7
2012-02-01,,prop,1,0,1
2018-10-10,L,mot,3,6,7
2013-05-29,,bet,1,0,1
2007-03-05,,bet,3,0,3
2015-02-02,,bet,3,0,3
2018-09-24,,bet,11,0,11
2016-04-26,M,mot,1,2,2
2008-05-30,V,mot,1,6,6
2013-05-22,SD,mot,1,1,1
2024-04-17,S,mot,2,14,14
2001-03-27,,bet,5,0,5
2015-01-21,,bet,3,0,3
2007-06-27,,prop,1,0,1
2024-10-03,C,mot,74,23,194
2008-09-23,KD,mot,1,4,4
2009-10-08,,prop,3,0,3
2025-06-12,SD,mot,1,4,4
2001-11-07,S,mot,1,1,1
2006-04-26,,kammakt,8,0,8
2023-10-04,V,mot,1,1,1
2016-09-29,C,mot,28,15,54
2020-12-17,,bet,2,0,2
2005-12-15,,prop,1,0,1
2007-03-15,,bet,5,0,5
2003-09-25,,prop,1,0,1
2013-10-03,,bet,1,0,1
2007-11-27,S,mot,1,8,8
2007-06-14,V,mot,1,4,4
2015-09-21,M,mot,5,1,5
2010-03-18,S,mot,1,1,1
2013-05-07,V,mot,1,5,5
2009-10-05,S,mot,141,81,447
2024-09-30,S,mot,9,7,13
2011-03-29,,prop,3,0,3
2014-11-03,,bet,2,0,2
2017-10-26,C,mot,1,1,1
2017-08-31,,bet,2,0,2
2016-10-20,SD,mot,1,1,1
2014-11-07,KD,mot,115,11,131
2014-10-02,C,mot,4,3,5
2001-10-18,MP,mot,1,3,3
2013-10-14,S,mot,3,20,22
2010-05-19,,prop,1,0,1
2024-10-04,C,mot,26,24,252
2017-12-07,C,mot,1,1,1
2014-01-10,L,mot,20,8,30
2014-01-07,M,mot,18,22,37
2016-10-19,S,prop,1,2,2
2024-01-30,V,mot,1,6,6
2000-01-27,,bet,1,0,1
2017-03-23,S,prop,2,2,3
2014-04-08,,prop,5,0,5
2009-10-01,S,mot,303,103,626
2013-05-15,,bet,5,0,5
2025-03-21,V,mot,2,6,12
2017-06-27,,bet,3,0,3
2007-06-07,,bet,2,0,2
2010-10-19,S,mot,5,28,29
2012-11-07,S,mot,5,25,28
2006-11-02,S,mot,176,97,458
2012-05-07,,bet,1,0,1
2007-10-09,MP,mot,41,19,140
2008-12-03,S,mot,1,12,12
2005-11-02,M,mot,3,19,19
2011-01-01,,prop,4,0,4
2003-06-03,KD,mot,1,7,7
2023-03-13,MP,mot,1,18,18
2025-01-30,M,prop,3,3,6
2013-03-04,SD,mot,1,1,1
2001-05-28,L,mot,1,2,2
2005-05-19,S,mot,1,1,1
2010-03-12,,bet,3,0,3
2006-03-08,M,mot,2,12,13
2019-10-02,,bet,3,0,3
2016-04-06,V,mot,2,13,13
2022-04-21,SD,mot,1,7,7
2005-09-26,KD,mot,8,8,12
2006-03-28,,prop,2,0,2
2012-09-28,L,mot,1,1,1
2023-12-05,V,mot,1,6,6
2011-09-27,V,mot,5,6,30
2002-03-04,M,mot,1,8,8
2005-11-22,MP,mot,1,2,2
2005-03-02,KD,mot,1,1,1
2015-06-04,,bet,1,0,1
2013-11-22,,bet,4,0,4
2014-11-20,KD,mot,1,1,1
2013-05-22,MP,mot,1,2,2
2011-10-27,SD,mot,1,2,2
2013-10-07,V,mot,18,19,113
2016-10-05,KD,mot,173,16,435
2025-03-20,KD,prop,1,1,1
2008-10-07,S,mot,394,129,1411
2005-03-15,,prop,5,0,5
2021-10-01,SD,mot,159,51,610
2016-10-11,MP,prop,2,1,2
2019-01-29,KD,mot,1,8,8
2004-05-06,KD,mot,1,11,11
2002-03-01,C,mot,1,5,5
2013-01-08,C,mot,5,5,6
2008-11-18,V,mot,1,6,6
2015-10-07,SD,mot,3,2,3
2005-06-15,S,mot,4,7,7
2019-01-31,SD,mot,1,5,5
2025-10-07,KD,mot,113,19,127
2013-02-05,S,mot,1,7,7
2006-05-05,KD,mot,1,9,9
2017-10-31,S,prop,1,2,2
2017-12-05,S,prop,4,2,7
2016-09-05,,bet,1,0,1
2004-06-02,,prop,7,0,7
2014-09-16,,prop,1,0,1
2013-10-15,MP,mot,3,2,4
2000-09-22,KD,mot,1,17,17
2006-05-23,KD,mot,1,1,1
2010-02-01,,bet,1,0,1
2014-07-28,S,mot,5,21,21
2017-10-03,M,mot,315,59,406
2023-08-18,,bet,3,0,3
2024-10-04,V,mot,1,8,8
2022-12-15,M,prop,1,2,2
2002-05-02,M,mot,7,29,48
2014-01-08,M,mot,9,3,9
2025-09-30,KD,prop,1,1,1
2015-11-09,,bet,6,0,6
2008-09-25,S,mot,12,9,20
2005-05-10,M,mot,2,10,11
2008-05-14,,bet,4,0,4
2001-12-03,KD,mot,1,2,2
2022-01-24,,bet,4,0,4
2014-01-03,M,mot,5,6,10
2013-12-19,S,mot,58,76,172
2008-09-25,KD,mot,5,3,6
2011-10-27,S,mot,1,7,7
2006-11-24,MP,mot,1,3,3
2003-03-27,S,mot,4,14,14
2009-02-04,,bet,2,0,2
2000-10-18,kd,mot,2,1,2
2009-03-24,V,mot,3,12,12
2003-01-24,S,mot,2,5,5
2025-09-25,V,mot,10,22,72
2013-04-02,SD,mot,2,1,2
2002-06-12,L,mot,1,2,2
2007-05-02,S,mot,5,35,58
2008-10-09,V,mot,4,3,4
2020-11-02,,bet,1,0,1
2011-01-20,V,mot,1,1,1
2005-05-03,,prop,1,0,1
2015-08-17,MP,prop,1,1,1
2015-10-01,,bet,2,0,2
2008-04-22,S,mot,1,8,8
2005-11-17,,bet,2,0,2
2009-05-20,S,mot,1,8,8
2002-11-28,C,mot,1,1,1
2023-08-29,,bet,2,0,2
2013-04-19,,bet,2,0,2
2016-09-30,KD,mot,3,2,6
2008-11-19,,prop,3,0,3
2023-10-05,V,mot,37,24,280
2006-05-03,M,mot,4,22,27
2014-06-10,V,mot,1,6,6
2011-09-28,L,mot,15,9,21
2005-09-20,,prop,3,0,3
2025-04-04,,bet,1,0,1
2014-03-18,,bet,3,0,3
2010-12-15,MP,mot,2,7,9
2007-06-19,,prop,3,0,3
2017-03-28,S,prop,3,3,6
2003-11-05,L,mot,1,6,6
2019-11-20,KD,mot,1,2,2
2025-10-03,C,mot,24,10,30
2009-10-14,,prop,5,0,5
2008-06-18,V,mot,1,2,2
2023-10-05,KD,mot,36,16,37
2004-06-16,,prop,1,0,1
2024-03-18,V,mot,1,6,6
