role_id,detail,role_code,first_name,last_name,from_date,to_date,person_id,party,total_days_served,active,total_documents,documents_last_year,total_propositions,total_government_bills,activity_level,role_type
48397,Landsbygds- och infrastrukturdepartementet,Landsbygdsminister,Peter,Kullgren,2024-09-10,2026-09-21,0168348837024,KD,437,t,8,2,8,0,Low,Minister of State
36890,Utrikesdepartementet,Statsråd,Anna,Hallberg,2021-07-09,2021-11-30,0828690288413,S,144,f,5,0,5,3,Inactive,Minister of State
1805210,Finansdepartementet,Finansmarknadsminister,Niklas,Wykman,2025-09-08,2025-09-09,0493288854424,M,1,f,27,6,19,3,Low,Minister of State
51144,Utbildningsdepartementet,Statsråd,Lina,Axelsson Kihlblom,2022-10-07,2022-10-18,0877853587410,S,11,f,10,0,10,0,Inactive,Minister of State
5937,Näringsdepartementet,Statsråd,Anna,Johansson,2014-10-03,2016-05-25,0691264514114,S,600,f,1,0,0,0,Inactive,Minister of State
24562,Statsrådsberedningen,Statsminister,Stefan,Löfven,2019-01-21,2021-07-09,0218878014918,S,900,f,39,0,39,10,Inactive,Minister of State
15983,Utrikesdepartementet,Statsråd,Carin,Jämtin,2002-09-30,2006-10-02,0882001830516,S,1463,f,0,0,0,0,Inactive,Minister of State
21327,Socialdepartementet,Statsråd,Ardalan,Shekarabi,2019-10-01,2021-02-04,0922497728524,S,492,f,37,0,18,5,Inactive,Minister of State
23363,Näringsdepartementet,Statsråd,Thomas,Östros,2002-09-30,2006-10-02,0977281927618,S,1463,f,0,0,0,0,Inactive,Minister of State
22059,Utbildnings- och kulturdepartementet,Statsråd,Lena,Hallengren,2002-09-30,2006-10-02,0853395328224,S,1463,f,26,0,22,6,Inactive,Minister of State
3190,Klimat- och näringslivsdepartementet,Statsråd,Romina,Pourmokhtari,2024-09-10,2026-09-21,0875693083423,L,437,t,6,3,6,2,Low,Minister of State
29539,Statsrådsberedningen,Statsråd,Bosse,Ringholm,2004-11-01,2006-03-20,0552112259207,S,504,f,0,0,0,0,Inactive,Minister of State
2288,Miljö- och samhällsbyggnadsdepartementet,Statsråd,Lena,Sommestad,2002-09-30,2006-10-02,0185498861416,S,1463,f,0,0,0,0,Inactive,Minister of State
4475,Statsrådsberedningen,Statsminister,Göran,Persson,1996-03-22,2006-10-06,0825004049003,S,3850,f,0,0,0,0,Inactive,Minister of State
10986,Socialdepartementet,Socialminister,Berit,Andnor,2004-09-13,2006-10-06,0332067570917,S,753,f,0,0,0,0,Inactive,Minister of State
35501,Utrikesdepartementet,Statsråd,Ulf,Dinkelspiel,1991-10-04,1994-10-07,0972941768604,M,1099,f,0,0,0,0,Inactive,Minister of State
45958,Miljö- och samhällsbyggnadsdepartementet,Miljöminister,Andreas,Carlgren,2006-10-06,2006-12-31,0195228370311,C,86,f,0,0,0,0,Inactive,Minister of State
40622,Näringsdepartementet,Statsråd,Peter,Eriksson,2016-09-13,2017-07-27,0447198048312,MP,317,f,0,0,0,0,Inactive,Minister of State
48088,Utbildningsdepartementet,Utbildningsminister,Gustav,Fridolin,2014-10-03,2016-05-25,0238588409223,MP,600,f,0,0,0,0,Inactive,Minister of State
20372,Utrikesdepartementet,Statsråd,Ewa,Björling,2007-09-12,2014-10-03,0784309503313,M,2578,f,0,0,0,0,Inactive,Minister of State
25524,Arbetsmarknadsdepartementet,Statsråd,Paulina,Brandberg,2024-09-10,2025-03-31,099099202224,L,202,f,3,2,3,2,Low,Minister of State
1804721,Utrikesdepartementet,Bistånds- och utrikeshandelsminister,Benjamin,Dousa,2025-09-08,2025-09-09,0910272619521,M,1,f,1,1,1,1,Low,Minister of State
29902,Utbildningsdepartementet,Statsråd,Matilda,Ernkrans,2021-06-30,2021-07-09,0983984918111,S,9,f,19,0,10,4,Inactive,Minister of State
45113,Näringsdepartementet,Statsråd,Åsa,Torstensson,2006-10-06,2010-10-05,0183788551910,C,1460,f,0,0,0,0,Inactive,Minister of State
21329,Finansdepartementet,Statsråd,Ardalan,Shekarabi,2019-01-21,2019-09-10,0922497728524,S,232,f,37,0,18,5,Inactive,Minister of State
36694,Statsrådsberedningen,Statsråd,Jessica,Rosencrantz,2024-09-10,2025-03-31,0992420223820,M,202,f,11,0,0,0,Inactive,Minister of State
47377,Försvarsdepartementet,Försvarsminister,Anders,Björck,1991-10-04,1994-10-03,037063714405,M,1095,f,0,0,0,0,Inactive,Minister of State
23501,Försvarsdepartementet,Försvarsminister,Leni,Björklund,2006-10-02,2006-10-06,0286593079005,S,4,f,0,0,0,0,Inactive,Minister of State
4628,Finansdepartementet,Statsråd,Per,Bolund,2017-07-27,2019-01-21,0956444284814,MP,543,f,5,0,1,0,Inactive,Minister of State
34073,Utbildningsdepartementet,Statsråd,Lars,Leijonborg,2007-09-11,2009-06-17,0980725315516,L,645,f,0,0,0,0,Inactive,Minister of State
22043,Socialdepartementet,Socialminister,Lena,Hallengren,2021-11-30,2022-10-06,0853395328224,S,310,f,26,0,22,6,Inactive,Minister of State
50462,Arbetsmarknadsdepartementet,Arbetsmarknads- och jämställdhetsministe,Eva,Nordmark,2022-10-07,2022-10-18,0661583406713,S,11,f,6,0,6,2,Inactive,Minister of State
