hjid,language_name,model_object_id,model_object_version,created_date,last_modified_date,language_enabled,auto_translation_enabled,language_code,translation_status
102,Māori,,0,2025-11-23 16:56:33.89,,f,,mi,
172,Urdu,,0,2025-11-23 16:56:33.896,,f,,ur,
97,German,,0,2025-11-23 16:56:33.89,,f,,de,
57,Yiddish,,0,2025-11-23 16:56:33.883,,f,,yi,
93,Malagasy,,0,2025-11-23 16:56:33.889,,f,,mg,
62,Basque,,0,2025-11-23 16:56:33.887,,f,,eu,
131,Wolof,,0,2025-11-23 16:56:33.893,,f,,wo,
101,Hindi,,0,2025-11-23 16:56:33.89,,f,,hi,
98,Ganda,,0,2025-11-23 16:56:33.89,,f,,lg,
125,Breton,,0,2025-11-23 16:56:33.892,,f,,br,
137,Indonesian,,0,2025-11-23 16:56:33.893,,f,,id,
167,Malay,,0,2025-11-23 16:56:33.895,,f,,ms,
162,Rundi,,0,2025-11-23 16:56:33.895,,f,,rn,
109,Oromo,,0,2025-11-23 16:56:33.891,,f,,om,
148,Finnish,,0,2025-11-23 16:56:33.894,,f,,fi,
175,Ukrainian,,0,2025-11-23 16:56:33.896,,f,,uk,
60,Afrikaans,,0,2025-11-23 16:56:33.883,,f,,af,
85,Hausa,,0,2025-11-23 16:56:33.888,,f,,ha,
89,Ossetic,,0,2025-11-23 16:56:33.889,,f,,os,
58,Czech,,0,2025-11-23 16:56:33.883,,f,,cs,
150,Romansh,,0,2025-11-23 16:56:33.894,,f,,rm,
55,Hebrew,,0,2025-11-23 16:56:33.872,,f,,he,
166,Fula,,0,2025-11-23 16:56:33.895,,f,,ff,
81,Khmer,,0,2025-11-23 16:56:33.888,,f,,km,
132,Turkmen,,0,2025-11-23 16:56:33.893,,f,,tk,
124,Zulu,,0,2025-11-23 16:56:33.892,,f,,zu,
160,Punjabi,,0,2025-11-23 16:56:33.895,,f,,pa,
83,Telugu,,0,2025-11-23 16:56:33.888,,f,,te,
103,Maltese,,0,2025-11-23 16:56:33.89,,f,,mt,
182,Sango,,0,2025-11-23 16:56:33.896,,f,,sg,
114,Macedonian,,0,2025-11-23 16:56:33.891,,f,,mk,
186,Occitan,,0,2025-11-23 16:56:33.897,,f,,oc,
72,Tamil,,0,2025-11-23 16:56:33.887,,f,,ta,
117,Thai,,0,2025-11-23 16:56:33.892,,f,,th,
185,Scottish Gaelic,,0,2025-11-23 16:56:33.897,,f,,gd,
143,Estonian,,0,2025-11-23 16:56:33.894,,f,,et,
56,Latvian,,0,2025-11-23 16:56:33.883,,f,,lv,
126,Slovak,,0,2025-11-23 16:56:33.893,,f,,sk,
65,Persian,,0,2025-11-23 16:56:33.887,,f,,fa,
84,Slovenian,,0,2025-11-23 16:56:33.888,,f,,sl,
165,Turkish,,0,2025-11-23 16:56:33.895,,f,,tr,
183,Dutch,,0,2025-11-23 16:56:33.897,,f,,nl,
169,Vietnamese,,0,2025-11-23 16:56:33.895,,f,,vi,
95,Albanian,,0,2025-11-23 16:56:33.889,,f,,sq,
147,Odia,,0,2025-11-23 16:56:33.894,,f,,or,
133,Nepali,,0,2025-11-23 16:56:33.893,,f,,ne,
111,Lithuanian,,0,2025-11-23 16:56:33.891,,f,,lt,
129,Kurdish,,0,2025-11-23 16:56:33.893,,f,,ku,
174,Chuvash,,0,2025-11-23 16:56:33.896,,f,,cv,
144,Belarusian,,0,2025-11-23 16:56:33.894,,f,,be,
87,Gujarati,,0,2025-11-23 16:56:33.888,,f,,gu,
119,Igbo,,0,2025-11-23 16:56:33.892,,f,,ig,
88,Lao,,0,2025-11-23 16:56:33.889,,f,,lo,
99,Sindhi,,0,2025-11-23 16:56:33.89,,f,,sd,
74,Galician,,0,2025-11-23 16:56:33.887,,f,,gl,
91,Kinyarwanda,,0,2025-11-23 16:56:33.889,,f,,rw,
155,Chechen,,0,2025-11-23 16:56:33.895,,f,,ce,
145,Manx,,0,2025-11-23 16:56:33.894,,f,,gv,
112,English,,0,2025-11-23 16:56:33.891,,f,,en,
80,Pashto,,0,2025-11-23 16:56:33.888,,f,,ps,
170,Esperanto,,0,2025-11-23 16:56:33.896,,f,,eo,
61,Sanskrit,,0,2025-11-23 16:56:33.886,,f,,sa,
118,Danish,,0,2025-11-23 16:56:33.892,,f,,da,
127,Malayalam,,0,2025-11-23 16:56:33.893,,f,,ml,
179,Sinhala,,0,2025-11-23 16:56:33.896,,f,,si,
69,Luxembourgish,,0,2025-11-23 16:56:33.887,,f,,lb,
116,Western Frisian,,0,2025-11-23 16:56:33.892,,f,,fy,
64,Azerbaijani,,0,2025-11-23 16:56:33.887,,f,,az,
82,Spanish,,0,2025-11-23 16:56:33.888,,f,,es,
140,Lingala,,0,2025-11-23 16:56:33.894,,f,,ln,
161,Tajik,,0,2025-11-23 16:56:33.895,,f,,tg,
121,Norwegian Bokmål,,0,2025-11-23 16:56:33.892,,f,,nb,
184,Serbian,,0,2025-11-23 16:56:33.897,,f,,sr,
75,Sardinian,,0,2025-11-23 16:56:33.888,,f,,sc,
146,Japanese,,0,2025-11-23 16:56:33.894,,f,,ja,
66,North Ndebele,,0,2025-11-23 16:56:33.887,,f,,nd,
149,Uzbek,,0,2025-11-23 16:56:33.894,,f,,uz,
92,Marathi,,0,2025-11-23 16:56:33.889,,f,,mr,
181,Arabic,,0,2025-11-23 16:56:33.896,,f,,ar,
151,Bangla,,0,2025-11-23 16:56:33.894,,f,,bn,
71,Norwegian,,0,2025-11-23 16:56:33.887,,f,,no,
130,Mongolian,,0,2025-11-23 16:56:33.893,,f,,mn,
139,Cornish,,0,2025-11-23 16:56:33.894,,f,,kw,
106,Assamese,,0,2025-11-23 16:56:33.891,,f,,as,
59,Greek,,0,2025-11-23 16:56:33.883,,f,,el,
67,Kazakh,,0,2025-11-23 16:56:33.887,,f,,kk,
96,French,,0,2025-11-23 16:56:33.889,,f,,fr,
136,Kalaallisut,,0,2025-11-23 16:56:33.893,,f,,kl,
108,Sichuan Yi,,0,2025-11-23 16:56:33.891,,f,,ii,
68,Armenian,,0,2025-11-23 16:56:33.887,,f,,hy,
113,Catalan,,0,2025-11-23 16:56:33.891,,f,,ca,
