id,committee_report_url_xml,created_date,document_format,document_status_url_xml,document_type,document_url_html,document_url_text,hit,kall_id,label,made_public_date,number_value,org,related_id,rm,status,sub_title,sub_type,system_date,temp_label,title,dokument_document_container__0,domain_org,database_source,origin,lang,summary,note,note_title,debate_name,document_name,doc_type
h110204,,2013-12-05,"",,ip,//data.riksdagen.se/dokument/H110204.html,//data.riksdagen.se/dokument/H110204.text,147,"",204,2013-12-05,204,S,"",2013/14,korrekturläst,"Hultqvist, Peter (S)","",2013-12-05 14:29:08,S,"Israel, FN och EU",,rdwebb,dokument,"",sv,"den  5 december
 Interpellation  2013/14:204  Israel, FN och EU
 av  Peter  Hultqvist (S)
 till utrikesminister Carl Bildt (M)
 Israels bosättningspolitik på Västbanken, i östra Jerusalem och på  Golanhöjderna strider mot internationell lag och folkrätt. EU-kommissionen har  under sommaren 2013 utfärdat riktlinjer där inga","den  5 december
 Interpellation  2013/14:204  Israel, FN och EU
 av  Peter  Hultqvist (S)
 till utrikesminister Carl Bildt (M)
 Israels bosättningspolitik på Västbanken, i östra Jerusalem och på  Golanhöjderna strider mot internationell lag och folkrätt. EU-kommissionen har  under sommaren 2013 utfärdat riktlinjer där inga","Israel, FN och EU",Interpellationsdebatt,Interpellation,ip
gs02t359,,2004-10-02,"",,mot,//data.riksdagen.se/dokument/GS02T359.html,//data.riksdagen.se/dokument/GS02T359.text,86,"",T359,2004-10-06 15:08:57,359,TU,"",2004/05,Trycklov,av Karin Thorborg m.fl. (v),Kommittémotion,2004-10-02,v235,Opinionsbildning för att nå de transportpolitiska målen,,rdwebb,dokument,"","","Motion till riksdagen
 2004/05:T359
 av Karin Thorborg m.fl. (v)
 Opinionsbildning för att nå de transportpolitiska målen
 Förslag till riksdagsbeslut
 Riksdagen tillkännager för regeringen som sin mening att NTF:s befintliga anslag i större utsträckning fördelas som allmänna verksamhetsbidrag i stället för projektbundna","Motion till riksdagen
 2004/05:T359
 av Karin Thorborg m.fl. (v)
 Opinionsbildning för att nå de transportpolitiska målen
 Förslag till riksdagsbeslut
 Riksdagen tillkännager för regeringen som sin mening att NTF:s befintliga anslag i större utsträckning fördelas som allmänna verksamhetsbidrag i stället för projektbundna",Opinionsbildning för att nå de transportpolitiska målen,Motion,Motion,mot
gu02u258,,2006-10-30,"",,mot,//data.riksdagen.se/dokument/GU02U258.html,//data.riksdagen.se/dokument/GU02U258.text,550,{1D7E8DC7-A019-4A4E-B5EE-EEE3861042ED},U258,2006-11-01 17:12:31,258,UU,"",2006/07,Trycklov,av Lars Ohly m.fl. (v),Partimotion,2007-02-28 10:52:33,v613,Folkrätt och mänskliga rättigheter,,rdwebb,dokument,"","","Motion till riksdagen
 2006/07:U258
 av Lars Ohly m.fl. (v)
 Folkrätt och mänskliga rättigheter
 1	Förslag till riksdagsbeslut
 Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om att Sverige i FN bör verka för en tydligare och mer distinkt tolkning av vad som avses med självförsvar i internationella","Motion till riksdagen
 2006/07:U258
 av Lars Ohly m.fl. (v)
 Folkrätt och mänskliga rättigheter
 1	Förslag till riksdagsbeslut
 Riksdagen tillkännager för regeringen som sin mening vad i motionen anförs om att Sverige i FN bör verka för en tydligare och mer distinkt tolkning av vad som avses med självförsvar i internationella",Folkrätt och mänskliga rättigheter,Motion,Motion,mot
h5a1uu27p,,2018-03-20,"",,utskottsdokument,//data.riksdagen.se/dokument/H5A1UU27p.html,//data.riksdagen.se/dokument/H5A1UU27p.text,101,"","",1900-01-01,27,UU,"",2017/18,"","",Protokoll,2018-03-23 09:12:01,"",Protokoll utskottssammanträde 2017/18:27,,rdwebb,dokument,Q,"","RIKSDAGEN
 UTRIKESUTSKOTTET
 PROTOKOLL  UTSKOTTSSAMMANTRÄDE 2017/18:27
 DATUM
 2018-03-20
 TID
 11:00-12:55
 NÄRVARANDE
 Se bilaga 1
 1
 Biståndet till den Palestinska myndigheten
 Information om biståndet till den Palestinska myndigheten från statssekreterare Ulrika Modéer, kansliråd Jamal Alassaad, kansilråd Peter Meirik,","RIKSDAGEN
 UTRIKESUTSKOTTET
 PROTOKOLL  UTSKOTTSSAMMANTRÄDE 2017/18:27
 DATUM
 2018-03-20
 TID
 11:00-12:55
 NÄRVARANDE
 Se bilaga 1
 1
 Biståndet till den Palestinska myndigheten
 Information om biståndet till den Palestinska myndigheten från statssekreterare Ulrika Modéer, kansliråd Jamal Alassaad, kansilråd Peter Meirik,",Protokoll utskottssammanträde 2017/18:27,Utskottens protokoll,Utskottens protokoll,uprotokoll
hca3juu37,,2025-06-03 11:00:00,"",,utskottsmöte,//data.riksdagen.se/dokument/HCA3JuU37.html,//data.riksdagen.se/dokument/HCA3JuU37.text,62,c501f48e-fe7b-4739-9520-6556509e8e2a-143,JuU37,2025-03-21 10:14:30,37,JuU,"",2024/25,planerat,tisdag 2025-06-03 kl. 11:00,Sammanträde,2025-06-10 16:08:36,"",Justitieutskottets sammanträde,,rdwebb,dokument,UtskottensKallelser,"","Kallelse till justitieutskottets sammanträde 2024/25:37
 Datum och tid: Tisdag 2025-06-03 kl. 11:00
 Plats: RÖ7-44
 Föredragningslista
 1.
 Justering av protokoll
 2.
 Information inför RIF-råd den 12–13 juni 2025
 Information
 Statssekreterare Mikael Kullberg, Justitiedepartementet
 3.
 EU-information
 Information om direktivet","Kallelse till justitieutskottets sammanträde 2024/25:37
 Datum och tid: Tisdag 2025-06-03 kl. 11:00
 Plats: RÖ7-44
 Föredragningslista
 1.
 Justering av protokoll
 2.
 Information inför RIF-råd den 12–13 juni 2025
 Information
 Statssekreterare Mikael Kullberg, Justitiedepartementet
 3.
 EU-information
 Information om direktivet",Justitieutskottets sammanträde,Utskottens kallelser och föredragningslistor,Utskottens kallelser och föredragningslistor,utskottsmöte
h412686,,2017-02-01,"",,frs,//data.riksdagen.se/dokument/H412686.html,//data.riksdagen.se/dokument/H412686.text,94,"",686,2017-02-01,686,"","",2016/17,Inkommen,Statsrådet Sven-Erik Bucht (S),"",2017-02-01 11:33:38,"",Godkännande av genmodifierade grödor,,rdwebb,dokument,Frips,"","Dnr N2017/00436/SK
 Näringsdepartementet
 Landsbygdsministern
 Till riksdagen
 Svar på fråga 2016/17:686 av Åsa Coenraads (M) Godkännande av genmodifierade grödor
 Åsa Coenraads har frågat mig när riksdagen kommer att få möjlighet att ta ställning till frågan om genmodifierade grödor (GMO) som ministerrådet ska besluta","Dnr N2017/00436/SK
 Näringsdepartementet
 Landsbygdsministern
 Till riksdagen
 Svar på fråga 2016/17:686 av Åsa Coenraads (M) Godkännande av genmodifierade grödor
 Åsa Coenraads har frågat mig när riksdagen kommer att få möjlighet att ta ställning till frågan om genmodifierade grödor (GMO) som ministerrådet ska besluta",Godkännande av genmodifierade grödor,Svar på skriftlig fråga,Svar på skriftlig fråga,frs
gy0k114,,2010-12-15 17:47:36,"",,rskr,//data.riksdagen.se/dokument/GY0K114.html,//data.riksdagen.se/dokument/GY0K114.text,180,"",114,2010-12-15 17:47:36,114,"","",2010/11,"","","",2010-12-15 17:47:35,"",Riksdagsskrivelse,,rdwebb,dokument,"","","Riksdagsskrivelse
 Riksdagsskrivelse
 2010/11:114
 Regeringen
 Integrations- och jämställdhetsdepartementet
 1
 Med överlämnande av kulturutskottets betänkande 2010/11:KrU1 Utgiftsområde 17 Kultur, medier, trossamfund och fritid får jag anmäla att riksdagen denna dag bifallit utskottets förslag till riksdagsbeslut. Stockholm","Riksdagsskrivelse
 Riksdagsskrivelse
 2010/11:114
 Regeringen
 Integrations- och jämställdhetsdepartementet
 1
 Med överlämnande av kulturutskottets betänkande 2010/11:KrU1 Utgiftsområde 17 Kultur, medier, trossamfund och fritid får jag anmäla att riksdagen denna dag bifallit utskottets förslag till riksdagsbeslut. Stockholm",Riksdagsskrivelse,Riksdagsskrivelse,Riksdagsskrivelse,rskr
gt02sf408,,2005-09-28,"",,mot,//data.riksdagen.se/dokument/GT02Sf408.html,//data.riksdagen.se/dokument/GT02Sf408.text,832,"",Sf408,2005-10-05 16:50:34,408,SfU,"",2005/06,Trycklov,av Inger Lundberg m.fl. (s),Enskild motion,2005-12-23 14:05:59,s3328,Samordning av sjukpenning,,rdwebb,dokument,"","","Förslag till riksdagsbeslut
 Riksdagen tillkännager för regeringen som sin mening vad som i motionen anförs om att regeringen bör överväga olika möjligheter för att förhindra lång väntetid vid prövning av sjukpenning.
 Riksdagen tillkännager för regeringen som sin mening vad som i motionen anförs om vikten av samarbete","Förslag till riksdagsbeslut
 Riksdagen tillkännager för regeringen som sin mening vad som i motionen anförs om att regeringen bör överväga olika möjligheter för att förhindra lång väntetid vid prövning av sjukpenning.
 Riksdagen tillkännager för regeringen som sin mening vad som i motionen anförs om vikten av samarbete",Samordning av sjukpenning,Motion,Motion,mot
h0b118,,2012-03-15,"",,dir,//data.riksdagen.se/dokument/H0B118.html,//data.riksdagen.se/dokument/H0B118.text,115,2012:18,18,2012-03-15,18,Socialdepartementet,"",2012,"",kommittébeteckning: S 2011:01,"",2025-10-17 05:12:28,S 2011:01,Tilläggsdirektiv till Utredningen om översyn av de statliga verksamheterna inom vård- och omsorgssystemet (S 2011:01),,rdwebb,dokument,RKFTP,"","Tilläggsdirektiv till Utredningen om översyn av de statliga verksamheterna inom vård- och omsorgssystemet (S 2011:01)
 Innehåll
 Förlängd tid för uppdraget
 Beslut vid regeringssammanträde den 15 mars 2012
 Förlängd tid för uppdraget
 Med stöd av regeringens bemyndigande den 27 januari 2011 gav chefen för Socialdepartementet","Tilläggsdirektiv till Utredningen om översyn av de statliga verksamheterna inom vård- och omsorgssystemet (S 2011:01)
 Innehåll
 Förlängd tid för uppdraget
 Beslut vid regeringssammanträde den 15 mars 2012
 Förlängd tid för uppdraget
 Med stöd av regeringens bemyndigande den 27 januari 2011 gav chefen för Socialdepartementet",Tilläggsdirektiv till Utredningen om översyn av de statliga verksamheterna inom vård- och omsorgssystemet (S 2011:01),Kommittédirektiv,Kommittédirektiv,dir
gz0j20111214,,2011-12-14,"",,t-lista,//data.riksdagen.se/dokument/GZ0J20111214.html,//data.riksdagen.se/dokument/GZ0J20111214.text,136,"",20111214,2011-12-13 16:36:06,0,"","",2011/12,slutlig,"","",2011-12-13 16:38:51,"",Onsdagen den 14 december 2011,,rdwebb,dokument,"","","Onsdagen den 14 december 2011
 Kl. 09.00
 Arbetsplenum
 16.00
 Votering
 Nr
 Anmäld tid min.Ackumulerad tid
 23
 Trafikutskottets betänkande TU1
 Utgiftsområde 22 Kommunikationer
 1  Anders Ygeman S 10
 2  Stina Bergström MP 12
 3  Tony Wiklander SD 6
 4  Siv Holma V 12
 5  Jan-Evert Rådhström M 12
 6  Lars Tysklind FP","Onsdagen den 14 december 2011
 Kl. 09.00
 Arbetsplenum
 16.00
 Votering
 Nr
 Anmäld tid min.Ackumulerad tid
 23
 Trafikutskottets betänkande TU1
 Utgiftsområde 22 Kommunikationer
 1  Anders Ygeman S 10
 2  Stina Bergström MP 12
 3  Tony Wiklander SD 6
 4  Siv Holma V 12
 5  Jan-Evert Rådhström M 12
 6  Lars Tysklind FP",Onsdagen den 14 december 2011,Talarlista,Talarlista,t-lista
h6c220190320os1,,2019-03-20 10:00:00,"",,samtr,//data.riksdagen.se/dokument/H6C220190320os1.html,//data.riksdagen.se/dokument/H6C220190320os1.text,97,107295,20190320os1,2019-03-08 15:19:19,1,eun,"",2018/19,"","",os,2021-07-01 19:03:55,H6C220190320os,Öppet sammanträde i EU-nämnden,,rdwebb,alla,CMS,sv,"EU-nämnden håller öppet sammanträde med statsminister Stefan Löfven S inför möte i Europeiska rådet den 2122 mars. Tid: Klockan 1011.30
 Plats: Skandiasalen, ingång från Västerlånggatan 1
 Sammanträdet är öppet för allmänhet och media och sänds via webb-tv. ","EU-nämnden håller öppet sammanträde med statsminister Stefan Löfven S inför möte i Europeiska rådet den 2122 mars. Tid: Klockan 1011.30
 Plats: Skandiasalen, ingång från Västerlånggatan 1
 Sammanträdet är öppet för allmänhet och media och sänds via webb-tv. ",Öppet sammanträde i EU-nämnden,Öppet samråd,Öppet samråd,sam-os
h9022375,,2021-10-01,"",,mot,//data.riksdagen.se/dokument/H9022375.html,//data.riksdagen.se/dokument/H9022375.text,2149,34daaeb9-74ad-4dc7-914d-598be7a473a7,2375,2021-10-01,2375,JuU,"",2021/22,Klar,av Noria Manouchi (M),Enskild motion,2023-03-23 13:46:43,1764,Sänkt straffbarhetsålder,,rdwebb,dokument,Filur,"","Motion till riksdagen
 2021/22:2375
 av Noria Manouchi (M)
 Sänkt straffbarhetsålder
 Förslag till riksdagsbeslut
 Riksdagen ställer sig bakom det som anförs i motionen om sänkt straffbarhetsålder och tillkännager detta för regeringen.
 Motivering
 Sänkning av svensk straffbarhetsålder är viktigt framförallt ur två perspektiv.","Motion till riksdagen
 2021/22:2375
 av Noria Manouchi (M)
 Sänkt straffbarhetsålder
 Förslag till riksdagsbeslut
 Riksdagen ställer sig bakom det som anförs i motionen om sänkt straffbarhetsålder och tillkännager detta för regeringen.
 Motivering
 Sänkning av svensk straffbarhetsålder är viktigt framförallt ur två perspektiv.",Sänkt straffbarhetsålder,Motion,Motion,mot
h912401,,2021-12-08,"",,frs,//data.riksdagen.se/dokument/H912401.html,//data.riksdagen.se/dokument/H912401.text,142,"",401,2021-12-08,401,"","",2021/22,Inkommen,Statsrådet Khashayar Farmanbar (S),"",2021-12-08 13:28:16,"",Elbilar och laddning,,rdwebb,dokument,Frips,"","Svar på fråga 2021/22:401 av Lotta Olsson (M) Elbilar och laddning
 Lotta Olsson har frågat mig om jag avser att vidta några åtgärder för att påskynda utbyggnaden av elinfrastrukturen i våra bostadsorter.  Frågan som Lotta Olsson ställer är relevant då tillgång till hemmaladdning är viktig för att elektrifiera fordonsflottan","Svar på fråga 2021/22:401 av Lotta Olsson (M) Elbilar och laddning
 Lotta Olsson har frågat mig om jag avser att vidta några åtgärder för att påskynda utbyggnaden av elinfrastrukturen i våra bostadsorter.  Frågan som Lotta Olsson ställer är relevant då tillgång till hemmaladdning är viktig för att elektrifiera fordonsflottan",Elbilar och laddning,Svar på skriftlig fråga,Svar på skriftlig fråga,frs
gp121216,,2002-05-29,"",,frs,//data.riksdagen.se/dokument/GP121216.html,//data.riksdagen.se/dokument/GP121216.text,80,"",1216,2002-05-29,1216,"","",2001/02,"",finansminister Bosse Ringholm,"",2026-01-12 10:53:31,"",andelsbyteslagen,,rdwebb,dokument,"","","den 29 maj  Svar på fråga 2001/02:1216 om andelsbyteslagen
 Finansminister Bosse Ringholm
 Catharina Hagen har frågat mig vad jag avser att vidta för åtgärder för att undanröja oklarheterna när det gäller att kontantersättningen vid andelsbyte maximalt får uppgå till 10 av nominellt värde på mottagna andelar. Catharina","den 29 maj  Svar på fråga 2001/02:1216 om andelsbyteslagen
 Finansminister Bosse Ringholm
 Catharina Hagen har frågat mig vad jag avser att vidta för åtgärder för att undanröja oklarheterna när det gäller att kontantersättningen vid andelsbyte maximalt får uppgå till 10 av nominellt värde på mottagna andelar. Catharina",andelsbyteslagen,Svar på skriftlig fråga,Svar på skriftlig fråga,frs
