hjid,address,city,co_address,email,fax_number,party_id,party_name,phone_number,post_code,registered_date,short_code,website,parties_sweden_election_regi_0,id,born_year,election_region,first_name,gender,hangar_guid,image_url_192,image_url_80,image_url_max,last_name,party,person_url_xml,place,status,person_assignment_data_perso_0,person_detail_data_person_da_0,total_documents,party_motions,individual_motions,committee_motions,multi_party_motions,documents_last_year,activity_level,activity_profile,collaboration_percentage
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,017025148404,1924,"",Doris,KVINNA,51742fb7-01f9-479b-8b39-6728b6267c76,https://data.riksdagen.se/filarkiv/bilder/ledamot/749228a7-0088-44d6-9535-f463c7cb0b66_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/749228a7-0088-44d6-9535-f463c7cb0b66_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/749228a7-0088-44d6-9535-f463c7cb0b66_max.jpg,Håvik,S,https://data.riksdagen.se/person/749228a7-0088-44d6-9535-f463c7cb0b66,"",Tidigare riksdagsledamot,30977,30990,0,0,0,0,0,0,Inactive,None,0
6,Box 2200,Stockholm,"",centerpartiet@centerpartiet.se,08-617 38 10,4,Centerpartiet,08-617 38 00,10315,1995-05-18,C,www.centerpartiet.se,,0274710563201,1938,Kalmar län,Agne,MAN,c4613426-2fbc-412c-80f3-2a17043c3240,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c318b7-83e4-11d4-ae60-0050040c9b55_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c318b7-83e4-11d4-ae60-0050040c9b55_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c318b7-83e4-11d4-ae60-0050040c9b55_max.jpg,Hansson,C,https://data.riksdagen.se/person/d7c318b7-83e4-11d4-ae60-0050040c9b55,"",Tidigare riksdagsledamot,4851,4899,509,77,184,200,17,0,Very High,Committee-focused,3.3
24,Box 2080,Stockholm,"",info@moderat.se,08-676 81 30,1,Moderaterna,08-676 80 00,10312,2013-09-06,M,www.moderat.se,,0702674089702,1948,Malmö kommun,Carl-Axel,MAN,11d9562c-180a-4d2f-a04e-ca7b354bff48,https://data.riksdagen.se/filarkiv/bilder/ledamot/37dfb1e7-4ad3-451a-9141-b94b21e333dd_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/37dfb1e7-4ad3-451a-9141-b94b21e333dd_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/37dfb1e7-4ad3-451a-9141-b94b21e333dd_max.jpg,Roslund,M,https://data.riksdagen.se/person/37dfb1e7-4ad3-451a-9141-b94b21e333dd,"",Tidigare riksdagsledamot,9445,9452,127,0,71,50,6,0,High,Individual-focused,4.7
38,Box 20085,Stockholm,"",info@sverigedemokraterna.se,08-50 00 00 68,110,Sverigedemokraterna,08-50 00 00 50,10460,1991-02-08,SD,www.sverigedemokraterna.se,,0563922839001,1943,Stockholms län,Katarina,KVINNA,ea9567ca-e695-46a9-84a2-4774710ce5eb,https://data.riksdagen.se/filarkiv/bilder/ledamot/df9d157c-fdf1-4c0d-b090-9af53a2edd52_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/df9d157c-fdf1-4c0d-b090-9af53a2edd52_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/df9d157c-fdf1-4c0d-b090-9af53a2edd52_max.jpg,Olofsson,SD,https://data.riksdagen.se/person/df9d157c-fdf1-4c0d-b090-9af53a2edd52,"",Tillgänglig ersättare,29471,29479,0,0,0,0,0,0,Inactive,None,0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0913695315308,1925,"",Hans Göran,MAN,30d68227-7a56-4b82-b22f-ed632834a07f,https://data.riksdagen.se/filarkiv/bilder/ledamot/981f23ec-62c0-4e49-b318-4916e5c1eb7e_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/981f23ec-62c0-4e49-b318-4916e5c1eb7e_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/981f23ec-62c0-4e49-b318-4916e5c1eb7e_max.jpg,Franck,S,https://data.riksdagen.se/person/981f23ec-62c0-4e49-b318-4916e5c1eb7e,"",Tidigare riksdagsledamot,31283,31293,0,0,0,0,0,0,Inactive,None,0
20,Box 2253,Stockholm,"",info@liberalerna.se,08-509 116 60,3,Liberalerna,08-410 242 00,10316,2015-11-30,L,www.liberalerna.se,,0951422950012,1968,Örebro län,Anna,KVINNA,23a9039d-271e-469f-bf60-13de0836d95f,https://data.riksdagen.se/filarkiv/bilder/ledamot/b643cc67-ab7c-4268-9ef8-1c64c69fffd5_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/b643cc67-ab7c-4268-9ef8-1c64c69fffd5_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/b643cc67-ab7c-4268-9ef8-1c64c69fffd5_max.jpg,Ågerfalk,L,https://data.riksdagen.se/person/b643cc67-ab7c-4268-9ef8-1c64c69fffd5,"",Tidigare ersättare,41424,41430,2,1,0,1,0,0,Low,Party-focused,0.0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0311892218602,1943,"",Ingegerd,KVINNA,acd67d9b-435d-40eb-91c2-c7542d0292f3,https://data.riksdagen.se/filarkiv/bilder/ledamot/96b213d6-b9eb-4246-bb08-b1383f4ed7bf_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/96b213d6-b9eb-4246-bb08-b1383f4ed7bf_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/96b213d6-b9eb-4246-bb08-b1383f4ed7bf_max.jpg,Sahlström,S,https://data.riksdagen.se/person/96b213d6-b9eb-4246-bb08-b1383f4ed7bf,"",Tidigare riksdagsledamot,16170,16189,0,0,0,0,0,0,Inactive,None,0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0277648711624,1981,Stockholms kommun,Anders,MAN,bf7eeb63-df16-4989-99f2-ba28011ed614,https://data.riksdagen.se/filarkiv/bilder/ledamot/df3988c4-9541-465c-b02e-1410c3d31155_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/df3988c4-9541-465c-b02e-1410c3d31155_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/df3988c4-9541-465c-b02e-1410c3d31155_max.jpg,Österberg,S,https://data.riksdagen.se/person/df3988c4-9541-465c-b02e-1410c3d31155,"",Tidigare riksdagsledamot,11907,11938,69,0,69,0,0,0,Medium,Individual-focused,0.0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,d4526171-7191-479c-946d-b7d2c0c1b278,1916,"Fyrstadskretsen 1971-1978/79
Ledamot av Andra ka",Erik,MAN,d4526171-7191-479c-946d-b7d2c0c1b278,https://data.riksdagen.se/filarkiv/bilder/ledamot/d4526171-7191-479c-946d-b7d2c0c1b278_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d4526171-7191-479c-946d-b7d2c0c1b278_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d4526171-7191-479c-946d-b7d2c0c1b278_max.jpg,Adamsson,S,https://data.riksdagen.se/person/d4526171-7191-479c-946d-b7d2c0c1b278,"",Inga uppdrag,54594,54595,0,0,0,0,0,0,Inactive,None,0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0314880166319,1962,Stockholms län,Agneta,KVINNA,78d309e1-7545-46b6-862c-ef0892ea077c,https://data.riksdagen.se/filarkiv/bilder/ledamot/c8fd3a7a-0a24-4694-96e0-491028bf2b5d_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/c8fd3a7a-0a24-4694-96e0-491028bf2b5d_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/c8fd3a7a-0a24-4694-96e0-491028bf2b5d_max.jpg,Karlsson,S,https://data.riksdagen.se/person/c8fd3a7a-0a24-4694-96e0-491028bf2b5d,"",Tidigare ersättare,20023,20029,0,0,0,0,0,0,Inactive,None,0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0802546764724,1976,Stockholms län,Åsa,KVINNA,310bb2ac-0e53-4df9-b339-62d1fcca399c,https://data.riksdagen.se/filarkiv/bilder/ledamot/73281fee-b276-4150-8cf0-fd3368b3c5c6_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/73281fee-b276-4150-8cf0-fd3368b3c5c6_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/73281fee-b276-4150-8cf0-fd3368b3c5c6_max.jpg,Westlund,S,https://data.riksdagen.se/person/73281fee-b276-4150-8cf0-fd3368b3c5c6,"",Tjänstgörande riksdagsledamot,19939,19983,125,4,110,10,0,15,High,Individual-focused,0.0
23,Pustegränd 1-3,Stockholm,"","",08-545 224 60,55,Miljöpartiet de gröna,08-545 224 50,11820,1985-02-04,MP,www.mp.se,,0381231495405,1939,Värmlands län,Leif,MAN,b30c3282-d6a7-49da-baef-f3971930e10c,https://data.riksdagen.se/filarkiv/bilder/ledamot/28535a60-4698-43e5-aa4f-c572d5c0303e_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/28535a60-4698-43e5-aa4f-c572d5c0303e_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/28535a60-4698-43e5-aa4f-c572d5c0303e_max.jpg,Björnlod,MP,https://data.riksdagen.se/person/28535a60-4698-43e5-aa4f-c572d5c0303e,"",Tidigare riksdagsledamot,14114,14121,128,44,53,28,3,0,High,Individual-focused,2.3
40,Box 12660,Stockholm,"",info@vansterpartiet.se,08-653 23 85,5,Vänsterpartiet,08-654 08 20,11293,1990-06-15,V,www.vansterpartiet.se,,014386615025,1976,Stockholms kommun,Ali,MAN,5b6c0b08-8b7c-4a6d-b719-0f9fd3bb7d77,https://data.riksdagen.se/filarkiv/bilder/ledamot/979e9852-69ed-4077-8140-52ab99414a6c_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/979e9852-69ed-4077-8140-52ab99414a6c_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/979e9852-69ed-4077-8140-52ab99414a6c_max.jpg,Esbati,V,https://data.riksdagen.se/person/979e9852-69ed-4077-8140-52ab99414a6c,"",Avgången riksdagsledamot,25770,25811,154,11,0,141,0,0,High,Party-focused,0.0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0262124593702,1948,Dalarnas län,Kurt,MAN,07cb493b-5dfc-45a8-b66e-d1aa58bcf6bc,https://data.riksdagen.se/filarkiv/bilder/ledamot/b7633201-73d2-11d6-8959-0040ca15020f_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/b7633201-73d2-11d6-8959-0040ca15020f_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/b7633201-73d2-11d6-8959-0040ca15020f_max.jpg,Kvarnström,S,https://data.riksdagen.se/person/b7633201-73d2-11d6-8959-0040ca15020f,"",Tidigare riksdagsledamot,9335,9354,577,3,510,59,4,0,Very High,Individual-focused,0.7
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0810105099207,1925,"",Lars,MAN,2f3ac339-f0a6-492d-8c93-83fedb007e79,https://data.riksdagen.se/filarkiv/bilder/ledamot/5d1ac250-ae44-4077-88ae-853d6190cc97_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/5d1ac250-ae44-4077-88ae-853d6190cc97_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/5d1ac250-ae44-4077-88ae-853d6190cc97_max.jpg,Gustafsson,S,https://data.riksdagen.se/person/5d1ac250-ae44-4077-88ae-853d6190cc97,"",Tidigare riksdagsledamot,31141,31149,0,0,0,0,0,0,Inactive,None,0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,0746654685605,1947,"",Ingegerd,KVINNA,89f18e00-716c-4d29-a6a4-464f2771e8c2,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c31b2c-83e4-11d4-ae60-0050040c9b55_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c31b2c-83e4-11d4-ae60-0050040c9b55_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c31b2c-83e4-11d4-ae60-0050040c9b55_max.jpg,Wärnersson,S,https://data.riksdagen.se/person/d7c31b2c-83e4-11d4-ae60-0050040c9b55,"",Tidigare riksdagsledamot,17766,17779,0,0,0,0,0,0,Inactive,None,0
6,Box 2200,Stockholm,"",centerpartiet@centerpartiet.se,08-617 38 10,4,Centerpartiet,08-617 38 00,10315,1995-05-18,C,www.centerpartiet.se,,0391973624515,1969,Värmlands län,Erik,MAN,fdad0945-bc60-42ba-8e68-1aafe2b94b4f,https://data.riksdagen.se/filarkiv/bilder/ledamot/767eb0fc-ed36-49ca-8801-0b9b5a68fdf7_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/767eb0fc-ed36-49ca-8801-0b9b5a68fdf7_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/767eb0fc-ed36-49ca-8801-0b9b5a68fdf7_max.jpg,A Eriksson,C,https://data.riksdagen.se/person/767eb0fc-ed36-49ca-8801-0b9b5a68fdf7,"",Tidigare riksdagsledamot,5760,5780,37,0,36,0,1,0,Low,Individual-focused,2.7
24,Box 2080,Stockholm,"",info@moderat.se,08-676 81 30,1,Moderaterna,08-676 80 00,10312,2013-09-06,M,www.moderat.se,,0870805820217,1950,Göteborgs kommun,Göran,MAN,7e1d17bc-7dee-4f8a-b81d-7d032a5e88a2,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c31f3a-83e4-11d4-ae60-0050040c9b55_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c31f3a-83e4-11d4-ae60-0050040c9b55_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c31f3a-83e4-11d4-ae60-0050040c9b55_max.jpg,Lindblad,M,https://data.riksdagen.se/person/d7c31f3a-83e4-11d4-ae60-0050040c9b55,"",Tidigare riksdagsledamot,10249,10273,277,0,137,123,7,0,Very High,Individual-focused,2.5
21,Box 2253,Stockholm,"",info@liberal.se,08-509 116 60,3,Folkpartiet liberalerna,08-410 242 00,10316,1990-12-17,FP,www.folkpartiet.se,,5f90f371-1333-442e-a52a-984562e000ae,1943,Bohuslän,Torkel,MAN,5f90f371-1333-442e-a52a-984562e000ae,https://data.riksdagen.se/filarkiv/bilder/ledamot/5f90f371-1333-442e-a52a-984562e000ae_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/5f90f371-1333-442e-a52a-984562e000ae_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/5f90f371-1333-442e-a52a-984562e000ae_max.jpg,Lindahl,FP,https://data.riksdagen.se/person/5f90f371-1333-442e-a52a-984562e000ae,"",Inga uppdrag,46278,46279,0,0,0,0,0,0,Inactive,None,0
24,Box 2080,Stockholm,"",info@moderat.se,08-676 81 30,1,Moderaterna,08-676 80 00,10312,2013-09-06,M,www.moderat.se,,0833552896828,1992,Stockholms län,Jasmin,KVINNA,a44687b0-ddb2-4899-9489-21f46591ad2a,https://data.riksdagen.se/filarkiv/bilder/ledamot/38c1274b-b3d9-470e-b324-89f229e8e931_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/38c1274b-b3d9-470e-b324-89f229e8e931_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/38c1274b-b3d9-470e-b324-89f229e8e931_max.jpg,Farid,M,https://data.riksdagen.se/person/38c1274b-b3d9-470e-b324-89f229e8e931,"",Tidigare ersättare,43427,43430,0,0,0,0,0,0,Inactive,None,0
24,Box 2080,Stockholm,"",info@moderat.se,08-676 81 30,1,Moderaterna,08-676 80 00,10312,2013-09-06,M,www.moderat.se,,0229037492514,1954,"",Margareta E,KVINNA,783d7f20-a76d-4c15-9d4f-e64b5b77c71b,https://data.riksdagen.se/filarkiv/bilder/ledamot/10862e5a-91f4-499a-bc7b-33a402246cf5_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/10862e5a-91f4-499a-bc7b-33a402246cf5_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/10862e5a-91f4-499a-bc7b-33a402246cf5_max.jpg,Nordenvall,M,https://data.riksdagen.se/person/10862e5a-91f4-499a-bc7b-33a402246cf5,"",Tidigare riksdagsledamot,28008,28012,0,0,0,0,0,0,Inactive,None,0
21,Box 2253,Stockholm,"",info@liberal.se,08-509 116 60,3,Folkpartiet liberalerna,08-410 242 00,10316,1990-12-17,FP,www.folkpartiet.se,,fbcf9fdf-e775-474f-83f7-c9a5c89e59ac,1935,Örebro län,Bert,MAN,fbcf9fdf-e775-474f-83f7-c9a5c89e59ac,https://data.riksdagen.se/filarkiv/bilder/ledamot/fbcf9fdf-e775-474f-83f7-c9a5c89e59ac_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/fbcf9fdf-e775-474f-83f7-c9a5c89e59ac_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/fbcf9fdf-e775-474f-83f7-c9a5c89e59ac_max.jpg,Stålhammar,FP,https://data.riksdagen.se/person/fbcf9fdf-e775-474f-83f7-c9a5c89e59ac,"",Inga uppdrag,47222,47223,0,0,0,0,0,0,Inactive,None,0
21,Box 2253,Stockholm,"",info@liberal.se,08-509 116 60,3,Folkpartiet liberalerna,08-410 242 00,10316,1990-12-17,FP,www.folkpartiet.se,,b5840d3a-f408-4a5e-8797-7c8698dbda4e,1911,Stockholms kommun,Daniel,MAN,b5840d3a-f408-4a5e-8797-7c8698dbda4e,https://data.riksdagen.se/filarkiv/bilder/ledamot/b5840d3a-f408-4a5e-8797-7c8698dbda4e_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/b5840d3a-f408-4a5e-8797-7c8698dbda4e_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/b5840d3a-f408-4a5e-8797-7c8698dbda4e_max.jpg,Wiklund,FP,https://data.riksdagen.se/person/b5840d3a-f408-4a5e-8797-7c8698dbda4e,"",Inga uppdrag,46484,46485,0,0,0,0,0,0,Inactive,None,0
