party,party_name,registration_date,active_members,inactive_members,total_violations,members_with_violations,violation_rate_percentage,latest_member_violation,total_votes_last_year,avg_absence_rate,avg_win_rate,avg_rebel_rate,avg_participation_rate,documents_last_year,motions_last_year,propositions_last_year,docs_per_member,current_ministers,current_committee_chairs,performance_score,performance_level,strengths,weaknesses
NorrS,Norrländska Samlingspartiet,2010-02-26,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
SJP,Sjöbopartiet,1991-03-27,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
---,Frihetspartiet,2010-02-15,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
PP,Piratpartiet,2006-02-15,0,2,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
---,Direktdemokraterna,2014-07-01,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
K,Kommunistiska Partiet,2005-01-12,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
---,Permalogiskt Samhälle,,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
LBPO,Landsbygdspartiet Oberoende,2012-10-31,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
ENH,Enhet,2014-03-12,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
C,Centerpartiet,1995-05-18,29,202,170,27,93.10,2026-04-19 00:00:00,3785952,14.68,44.53,0.06,85.32,414,414,0,14.28,0,1,67.45,GOOD,High participation | Strong discipline | High productivity,Low effectiveness | Multiple violations
---,Sociala Partiet (SP),2009-02-11,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
EAP,Europeiska Arbetarpartiet-EAP,1985-03-22,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
MP,Miljöpartiet de gröna,1985-02-04,24,106,149,22,91.67,2026-04-19 00:00:00,2839464,14.63,29.65,0.04,85.37,253,253,0,10.54,0,0,63.75,GOOD,High participation | Strong discipline | High productivity,Low effectiveness | Multiple violations
VägV,Vägvalet,2014-02-21,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
RS,Rättvisepartiet Socialisterna,1998-03-31,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
SD,Sverigedemokraterna,1991-02-08,79,37,382,71,89.87,2026-04-19 00:00:00,11357856,14.71,63.79,0.02,85.29,685,685,0,8.67,0,5,72.27,GOOD,High participation | Effective voting | Strong discipline | High productivity,Multiple violations
SKÅ,Skånepartiet,1979-05-15,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
---,Spritpartiet,2010-03-04,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
---,Mosebackedemokraterna,2010-01-22,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
DjuP,Djurens parti,2014-02-19,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
-,Politiskt Vilde,1971-01-01,8,20,51,8,100.00,2026-04-19 00:00:00,315496,14.72,43.25,14.38,85.28,304,304,0,38.00,0,0,64.26,GOOD,High participation | High productivity,Low effectiveness | Discipline concerns | Multiple violations
---,Högerpartiet de konservativa,2004-03-11,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
ALP,Allianspartiet/Medborgarens röst,2009-06-12,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
S,Arbetarepartiet-Socialdemokraterna,1956-08-02,132,624,613,118,89.39,2026-04-19 00:00:00,16721288,14.73,43.15,0.06,85.27,886,886,0,6.71,0,0,67.09,GOOD,High participation | Strong discipline | High productivity,Low effectiveness | Multiple violations
---,LOTTOKRATIN,2015-11-13,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
KLP,Klassiskt liberala partiet,2015-03-25,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
NYD,NyDemokrati,1991-02-15,0,22,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
V,Vänsterpartiet,1990-06-15,24,101,200,25,104.17,2026-04-19 00:00:00,3785952,14.71,35.10,0.07,85.29,150,150,0,6.25,0,0,65.09,GOOD,High participation | Strong discipline | High productivity,Low effectiveness | Multiple violations
---,Nordiska motståndsrörelsen,2015-07-09,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,35.00,BELOW_AVERAGE,Strong discipline,Low participation | Low effectiveness | Low productivity
