hjid,assignment_type,detail,from_date,intressent_id,order_number,org_code,role_code,status,to_date,assignment_list_person_assig_0
50335,uppdrag,Arbetsmarknadsutskottet,2021-02-03,019430605328,9,AU,Ledamot,"",2022-01-28,50316
14497,kammaruppdrag,"",1988-10-03,0688961392304,75,kam,Riksdagsledamot,Tjänstgörande,1991-09-30,14494
4714,Riksdagsorgan,Riksdagsstyrelsen,2012-02-24,0699506181311,7,RS,Ledamot,"",2014-09-29,4701
24213,uppdrag,Justitieutskottet,2020-03-18,0884738092723,131,JuU,Suppleant,"",2022-09-26,24204
5235,uppdrag,EU-nämnden,2005-03-03,0115057914316,0,EUN,Suppleant,"",2006-10-10,5213
6052,Riksdagsorgan,Krigsdelegationen,2002-10-15,0371688419616,0,KD,Ledamot,"",2006-10-16,6019
43202,uppdrag,Justitieutskottet,2022-11-10,0576122429317,26,JuU,Suppleant,"",2023-04-30,43189
32586,uppdrag,Försvarsutskottet,2020-03-20,0955748436811,315,FöU,Suppleant,"",2020-09-03,32569
22267,kammaruppdrag,"",2010-10-04,0264838147315,42,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,22265
52977,uppdrag,EU-nämnden,2020-03-18,0861521539920,276,EUN,Suppleant,"",2022-10-04,52939
7456,Riksdagsorgan,Utrikesnämnden,1998-10-20,0838210948212,0,UN,Suppleant,"",2002-09-30,7437
36038,uppdrag,Socialutskottet,2020-03-18,0564126739422,45,SoU,Suppleant,"",2022-09-26,36020
3633,partiuppdrag,Socialdemokraterna,2010-10-04,0468775142013,0,S,Kvittningsperson,"",2014-09-29,3631
20614,Riksdagsorgan,Valprövningsnämnden,2023-03-23,0161597857912,5,VPN,Suppleant,"",2027-03-23,20563
48108,kammaruppdrag,"",2010-10-04,0506482805418,203,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,48103
48959,uppdrag,Konstitutionsutskottet,2010-10-19,0224712677012,20,KU,Suppleant,"",2014-09-29,48915
23515,Departement,Försvarsdepartementet,2012-03-30,064601872511,19,Fö,Infrastruktur- och försvarsminister,"",2012-04-17,23513
18311,uppdrag,Utrikesutskottet,2006-10-10,0319703582208,20,UU,Ledamot,"",2007-05-21,18305
30626,uppdrag,Trafikutskottet,2018-10-02,0758652610,14,TU,Suppleant,"",2018-10-09,30612
21262,kammaruppdrag,"",2010-10-04,0958776965517,232,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,21258
52214,uppdrag,Näringsutskottet,2022-11-12,0663840649717,0,NU,Extra suppleant,"",2022-12-12,52191
42886,uppdrag,Civilutskottet,2020-03-18,0875221317013,159,CU,Suppleant,"",2022-09-26,42872
6410,uppdrag,EU-nämnden,1995-01-01,0286118205611,0,EUN,Suppleant,"",1995-10-02,6397
20242,kammaruppdrag,Göran Hägglund,2013-08-22,0526874284718,50,kam,Statsrådsersättare,Ersättare,2014-02-28,20240
48349,uppdrag,Utrikesutskottet,2020-03-19,0542160909628,26,UU,Suppleant,"",2022-09-26,48325
15016,kammaruppdrag,"",1985-09-30,0112791482908,0,kam,Riksdagsledamot,Tjänstgörande,1985-10-14,15006
38432,kammaruppdrag,Morgan Johansson,2018-09-24,0645111757928,15,kam,Statsrådsersättare,Ersättare,2022-09-26,38430
7919,kammaruppdrag,Roland Bäckman 2006-10-02 - 2006-10-06,2006-10-02,0165732384110,77,kam,Riksdagsledamot,Ledig,2006-10-06,7915
30804,uppdrag,Socialförsäkringsutskottet,2020-03-18,0277648711624,138,SfU,Suppleant,"",2022-09-26,30790
10352,kammaruppdrag,Ingvar Carlsson,1983-03-01,0913695315308,0,kam,Ersättare,Ersättare,1985-09-30,10348
26579,Riksdagsorgan,Utrikesnämnden,2012-06-20,0802826314426,3,UN,Ledamot,"",2014-10-07,26543
12726,uppdrag,Näringsutskottet,1994-10-11,0110409174800,0,NU,Ledamot,"",1994-10-20,12723
18416,kammaruppdrag,"",1988-10-03,0320093489709,171,kam,Riksdagsledamot,Tjänstgörande,1991-09-30,18414
38949,uppdrag,Miljö- och jordbruksutskottet,2015-09-17,0132818093422,9,MJU,Suppleant,"",2018-09-24,38921
15183,uppdrag,Arbetsmarknadsutskottet,1988-10-03,0972721265901,0,AU,Suppleant,"",1989-10-04,15173
11736,kammaruppdrag,Birgit Friggebo,1991-10-05,0393108743200,14,kam,Ersättare,Ersättare,1992-06-30,11727
12144,uppdrag,Konstitutionsutskottet,1985-09-30,0540309351004,0,KU,Ledamot,"",1988-10-02,12132
41853,uppdrag,Utrikesutskottet,2022-10-27,0980681611418,29,UU,Suppleant,"",2024-08-20,41844
44672,uppdrag,Finansutskottet,2021-10-13,0692076685824,323,FiU,Suppleant,"",2022-09-26,44657
10568,kammaruppdrag,"",1991-09-30,0853366412307,328,kam,Riksdagsledamot,Tjänstgörande,1992-10-14,10565
28273,uppdrag,Miljö- och jordbruksutskottet,2020-03-18,0860429409414,318,MJU,Suppleant,"",2021-02-11,28256
4875,uppdrag,Utrikesutskottet,2010-12-20,045666679112,28,UU,Suppleant,"",2014-09-29,4868
32536,uppdrag,Sammansatta utrikes- och försvarsutskottet,2006-10-10,0393583311409,0,UFöU,Suppleant,"",2006-10-13,32526
41967,kammaruppdrag,"Anna Lindh 1982-10-08 - 1985-09-30, Mats O Karlsson 1985-09-30 - 1988-05-03, Björn Kaaling 1988-05-04 - 1988-06-03, Mats O Karlsson 1988-06-04 - 1988-10-03",1985-09-30,0567830387107,0,kam,Riksdagsledamot,Ledig,1988-10-03,41960
49579,Riksdagsorgan,Nordiska rådets svenska delegation,2022-10-11,0148424181819,15,NR,Ledamot,"",2023-10-19,49548
31264,uppdrag,EU-nämnden,2016-06-14,0387358739126,65,EUN,Suppleant,"",2017-05-04,31254
24465,uppdrag,Trafikutskottet,2016-01-14,0266517781926,14,TU,Ledamot,"",2016-09-08,24457
24320,uppdrag,Konstitutionsutskottet,2020-03-18,0873650166625,211,KU,Suppleant,"",2020-09-03,24304
51487,uppdrag,Försvarsutskottet,2020-03-18,0682989845822,238,FöU,Suppleant,"",2020-09-06,51463
27774,uppdrag,Sammansatta utrikes- och försvarsutskottet,2013-04-23,0252067342313,6,UFöU,Deputerad,"",2013-06-18,27733
15686,kammaruppdrag,"",1998-10-05,0395042560705,285,kam,Riksdagsledamot,Tjänstgörande,2002-09-30,15684
51933,uppdrag,Skatteutskottet,2015-10-12,0412502344925,0,SkU,Extra suppleant,"",2015-12-31,51926
21619,uppdrag,Justitieutskottet,2014-10-07,0105797223918,7,JuU,Suppleant,"",2018-09-24,21614
53493,kammaruppdrag,"",2025-11-21,0211757295524,203,kam,Riksdagsledamot,Tjänstgörande,2026-09-28,53492
48945,uppdrag,Justitieutskottet,2019-09-05,0224712677012,14,JuU,Ledamot,"",2022-04-13,48915
28927,uppdrag,Skatteutskottet,2020-03-18,0136801772915,190,SkU,Suppleant,"",2022-09-26,28915
40148,Riksdagsorgan,Krigsdelegationen,2012-02-24,0973474532717,30,KD,Ledamot,"",2014-10-14,40121
23643,Riksdagsorgan,Systembolaget AB,2014-03-26,0936723349517,2,Systembolaget,Revisorssuppleant,"",2015-03-25,23642
23724,Riksdagsorgan,Valberedningen,2010-10-04,0951854268017,17,VB,Ledamot,"",2011-09-26,23704
52389,Riksdagsorgan,Nordiska rådets svenska delegation,2025-10-15,0611350076611,3,NR,Suppleant,"",2026-10-31,52382
45978,uppdrag,Finansutskottet,1994-10-11,0700424025906,0,FiU,Ledamot,"",1998-10-04,45954
20140,kammaruppdrag,"",2002-09-30,0780836041816,75,kam,Riksdagsledamot,Tjänstgörande,2006-10-02,20138
4869,kammaruppdrag,"",2010-10-04,045666679112,226,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,4868
47966,Riksdagsorgan,Valberedningen,2016-10-26,0108109641223,10,VB,Suppleant,"",2018-09-24,47911
26563,uppdrag,Arbetsmarknadsutskottet,2006-10-10,0802826314426,13,AU,Suppleant,"",2010-10-04,26543
40465,Departement,Socialdepartementet,2025-09-09,0781623040415,5,S,Socialtjänstminister,"",2026-09-28,40464
16358,uppdrag,Försvarsutskottet,1988-10-11,0806172169007,0,FöU,Suppleant,"",1991-09-29,16343
46362,uppdrag,Skatteutskottet,2020-03-18,0456680171315,254,SkU,Suppleant,"",2022-09-26,46349
27535,uppdrag,Konstitutionsutskottet,2012-10-01,0787533297400,2,KU,Ledamot,"",2014-09-29,27521
16076,Riksdagsorgan,Riksdagens delegation till Interparlamentariska unionen,1998-10-21,0754692641206,0,IPU,Suppleant,"",2002-12-18,16048
50737,uppdrag,Sammansatta utrikes- och försvarsutskottet,2022-10-20,0879782396219,8,UFöU,Deputerad,"",2022-12-21,50699
16321,kammaruppdrag,"",1995-11-16,0817472556307,309,kam,Riksdagsledamot,Tjänstgörande,1998-10-05,16313
22652,kammaruppdrag,"",2010-10-04,0558039843819,175,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,22650
12869,kammaruppdrag,"",1988-10-03,0695579897102,144,kam,Riksdagsledamot,Tjänstgörande,1991-09-30,12865
4848,Riksdagsorgan,Besvärsnämnden,2002-10-24,0871076471012,0,BN,Ledamot,"",2003-07-01,4834
17223,Riksdagsorgan,Valprövningsnämnden,1991-12-18,0311892218602,0,VPN,Suppleant,"",1994-11-15,17205
20423,uppdrag,EU-nämnden,2010-10-19,0269067253614,19,EUN,Suppleant,"",2014-10-07,20403
23773,uppdrag,Skatteutskottet,2010-10-12,0548314774911,2,SkU,Ledamot,"",2010-10-12,23764
50332,uppdrag,Skatteutskottet,2020-03-18,019430605328,68,SkU,Suppleant,"",2022-09-26,50316
30295,uppdrag,Miljö- och jordbruksutskottet,2018-10-02,089246126523,6,MJU,Suppleant,"",2022-09-26,30286
28652,uppdrag,Utbildningsutskottet,2006-10-10,0136310791918,2,UbU,Vice ordförande,"",2010-10-04,28632
26991,uppdrag,Socialutskottet,1994-10-11,0708639889502,0,SoU,Suppleant,"",1998-10-04,26981
9601,kammaruppdrag,"",1976-10-04,0828672375390,0,kam,Riksdagsledamot,Tjänstgörande,1979-10-01,9597
35597,uppdrag,Kulturutskottet,2021-07-29,0987246082523,156,KrU,Suppleant,"",2021-12-17,35587
39870,kammaruppdrag,Lennart Thörnlund 1996-09-18 - 1997-04-30,1996-09-18,0661583406713,307,kam,Riksdagsledamot,Ledig,1997-04-30,39860
50084,uppdrag,Civilutskottet,2020-03-18,0256716955026,211,CU,Suppleant,"",2022-09-26,50075
49036,uppdrag,Justitieutskottet,2020-03-18,037561614928,184,JuU,Suppleant,"",2022-09-26,49026
31572,uppdrag,Försvarsutskottet,2020-03-20,0194021108712,307,FöU,Suppleant,"",2020-09-03,31556
1067,talmansuppdrag,"",1998-10-05,0163254848207,30,kam,Andre vice talman,"",2002-09-30,1065
49268,uppdrag,EU-nämnden,2025-09-09,0999976269027,48,EUN,Suppleant,"",2026-09-28,49232
9919,kammaruppdrag,"Sven-Åke Nygårds 1988-10-03 - 1988-11-08, Barbro Evermo Palmerlund 1988-11-08 - 1991-09-30",1988-11-08,0160374603998,4,kam,Riksdagsledamot,Ledig,1991-09-30,9914
51037,uppdrag,EU-nämnden,2018-10-09,028954589415,28,EUN,Suppleant,"",2019-02-13,51005
28371,Riksdagsorgan,Krigsdelegationen,2018-10-09,0415959965211,20,KD,Ledamot,"",2022-09-26,28341
6083,uppdrag,Konstitutionsutskottet,1998-10-13,0600928907216,0,KU,Suppleant,"",2002-09-30,6072
22119,uppdrag,Socialutskottet,2015-12-18,0721657655513,4,SoU,Suppleant,"",2018-01-19,22112
10670,uppdrag,Utbildningsutskottet,1988-10-11,0744066990009,0,UbU,Suppleant,"",1989-10-04,10667
28241,Riksdagsorgan,Ledamotsrådet,2018-10-10,0750518623913,2,LR,Suppleant,"",2021-01-31,28211
17992,uppdrag,Försvarsutskottet,1979-10-01,0193303720505,0,FöU,Suppleant,"",1982-10-03,17967
8481,Riksdagsorgan,Riksdagens delegation till Interparlamentariska unionen,2004-04-14,0222234581210,0,IPU,Suppleant,"",2006-12-12,8469
43522,uppdrag,Sammansatta utrikes- och försvarsutskottet,2013-02-21,0257612529618,12,UFöU,Suppleant,"",2013-03-06,43468
11104,kammaruppdrag,"",1976-10-04,0409817272107,0,kam,Riksdagsledamot,Tjänstgörande,1979-10-01,11093
38709,uppdrag,Kulturutskottet,2020-03-18,0475778011711,163,KrU,Suppleant,"",2022-09-26,38695
15118,Riksdagsorgan,Krigsdelegationen,1993-10-07,0332721987700,0,KD,Ledamot,"",1994-10-03,15100
49933,uppdrag,Näringsutskottet,2020-03-18,0648224557612,222,NU,Suppleant,"",2022-09-26,49921
40330,uppdrag,Arbetsmarknadsutskottet,2022-10-04,0521260619925,4,AU,Suppleant,"",2024-03-05,40326
17524,uppdrag,Skatteutskottet,2014-10-07,0114869877121,3,SkU,Ledamot,"",2016-09-29,17520
24405,uppdrag,Civilutskottet,2020-03-18,0228167770927,100,CU,Suppleant,"",2022-09-26,24399
1330,kammaruppdrag,"",1998-10-05,0792474127508,338,kam,Riksdagsledamot,Tjänstgörande,2002-09-30,1327
19168,uppdrag,Socialförsäkringsutskottet,1994-10-11,0785143384002,0,SfU,Suppleant,"",1996-02-06,19156
41169,uppdrag,Kulturutskottet,2020-03-18,0194498232620,212,KrU,Suppleant,"",2022-09-26,41155
23705,Departement,Miljö- och energidepartementet,2015-01-01,0951854268017,2,M,Klimat- och miljöminister,"",2016-05-25,23704
53185,partiuppdrag,Centerpartiet,2021-01-01,0986091320811,0,C,Kvittningsperson,"",,53184
23946,uppdrag,Sammansatta utrikes- och försvarsutskottet,2017-11-14,0404025497421,14,UFöU,Suppleant,"",2017-12-15,23930
14280,Riksdagsorgan,Valberedningen,2002-09-30,0567810897103,0,VB,Ledamot,"",2006-10-02,14269
29866,uppdrag,EU-nämnden,2014-10-14,0666958447826,43,EUN,Suppleant,"",2018-09-24,29850
43651,uppdrag,Miljö- och jordbruksutskottet,2020-03-18,0603366539729,96,MJU,Suppleant,"",2022-09-26,43635
44467,kammaruppdrag,"",2016-01-01,0612916684825,8,kam,Riksdagsledamot,Tjänstgörande,2017-02-26,44460
50318,kammaruppdrag,Leif Gripestam 2025-11-03 - 2026-02-27,2025-11-03,019430605328,246,kam,Riksdagsledamot,Ledig,2026-02-27,50316
10622,uppdrag,Miljö- och jordbruksutskottet,1982-10-04,0275356156309,0,MJU,Ledamot,"",1985-09-29,10608
8375,uppdrag,Arbetsmarknadsutskottet,1995-01-26,0950203660913,0,AU,Suppleant,"",1998-10-04,8361
50419,uppdrag,Försvarsutskottet,2022-10-19,0937688366013,2,FöU,Ledamot,"",2022-10-19,50402
28013,uppdrag,Utbildningsutskottet,2020-03-18,0909948830718,140,UbU,Suppleant,"",2022-09-26,27995
14275,uppdrag,Näringsutskottet,1994-10-11,0567810897103,0,NU,Suppleant,"",1998-10-04,14269
47840,uppdrag,Finansutskottet,2017-10-13,0493288854424,11,FiU,Ledamot,"",2018-09-24,47812
9364,uppdrag,EU-nämnden,2012-09-01,0350758939722,0,EUN,Extra suppleant,"",2012-12-31,9361
448,uppdrag,Näringsutskottet,1999-01-01,0235494367806,0,NU,Ledamot,"",2002-09-30,442
52199,uppdrag,Arbetsmarknadsutskottet,2024-04-03,0663840649717,0,AU,Extra suppleant,"",2024-06-30,52191
52976,uppdrag,Sammansatta civil- och kulturutskottet,2018-03-13,0861521539920,13,CKrU,Deputerad,"",2018-05-24,52939
30198,kammaruppdrag,"",2013-02-01,066769783310,196,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,30195
44596,kammaruppdrag,"",2018-09-24,0940980416614,20,kam,Riksdagsledamot,Tjänstgörande,2022-09-26,44592
21344,uppdrag,Trafikutskottet,2014-10-07,0573136138218,17,TU,Suppleant,"",2018-09-24,21330
23692,uppdrag,EU-nämnden,2012-03-20,0836813859011,0,EUN,Extra suppleant,"",2012-06-20,23684
47040,kammaruppdrag,Phia Andersson,2010-02-16,0274462857213,303,kam,Ersättare,Ersättare,2010-03-31,47036
12655,kammaruppdrag,"",1994-10-03,0502353466300,116,kam,Riksdagsledamot,Tjänstgörande,1998-10-05,12652
30420,uppdrag,Skatteutskottet,2020-03-18,0313210809828,117,SkU,Suppleant,"",2021-09-13,30406
7845,kammaruppdrag,"",1998-10-05,0782242286018,105,kam,Riksdagsledamot,Tjänstgörande,2002-09-30,7841
26518,kammaruppdrag,"",1985-09-30,0213606215200,0,kam,Riksdagsledamot,Tjänstgörande,1988-10-03,26515
38197,uppdrag,Socialförsäkringsutskottet,1982-10-04,0872218435908,0,SfU,Suppleant,"",1985-09-29,38176
44470,kammaruppdrag,"",2010-10-04,0612916684825,32,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,44460
22401,kammaruppdrag,"",2010-10-04,0338458649710,174,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,22399
11500,kammaruppdrag,"",1994-10-03,0566638963807,251,kam,Riksdagsledamot,Tjänstgörande,1998-10-05,11499
47290,uppdrag,EU-nämnden,2022-10-12,0729710260118,32,EUN,Suppleant,"",2026-09-28,47248
25082,uppdrag,Konstitutionsutskottet,2020-03-18,0853831481615,127,KU,Suppleant,"",2020-09-03,25064
16346,kammaruppdrag,"",1998-10-05,0806172169007,177,kam,Riksdagsledamot,Tjänstgörande,2000-11-20,16343
33215,uppdrag,Sammansatta utrikes- och försvarsutskottet,2022-10-20,0497217816024,6,UFöU,Suppleant,"",2022-12-21,33190
37761,uppdrag,Socialutskottet,2014-10-14,0237055280513,21,SoU,Suppleant,"",2018-09-24,37734
17976,kammaruppdrag,"",1991-09-30,0193303720505,34,kam,Riksdagsledamot,Tjänstgörande,1994-10-03,17967
30190,uppdrag,Konstitutionsutskottet,2017-08-31,0923797859612,0,KU,Extra suppleant,"",2018-01-21,30185
53498,kammaruppdrag,Anette Rangdag 2024-01-26 - 2024-03-31,2024-01-26,0211757295524,203,kam,Riksdagsledamot,Ledig,2024-03-31,53492
6002,kammaruppdrag,"",2010-10-04,0181478122414,96,kam,Riksdagsledamot,Tjänstgörande,2014-09-29,6001
44957,uppdrag,Konstitutionsutskottet,2020-03-18,0638497389621,272,KU,Suppleant,"",2020-09-03,44927
22297,uppdrag,Utrikesutskottet,2011-09-20,0781648625615,14,UU,Suppleant,"",2014-09-29,22289
9237,kammaruppdrag,"",1991-09-30,0396368639900,129,kam,Riksdagsledamot,Tjänstgörande,1994-10-03,9236
43486,uppdrag,Skatteutskottet,2020-03-18,0257612529618,181,SkU,Suppleant,"",2022-09-26,43468
32696,uppdrag,Försvarsutskottet,2020-03-18,0494843794418,131,FöU,Suppleant,"",2020-09-03,32678
19047,uppdrag,Konstitutionsutskottet,1983-10-04,0618583795602,0,KU,Ledamot,"",1985-09-29,19029
42457,uppdrag,Trafikutskottet,2008-05-15,0828721176319,13,TU,Ledamot,"",2010-10-04,42425
