person_id,first_name,last_name,previous_party,new_party,transition_date,next_election,months_until_next_election,total_subsequent_assignments,total_days_served_after_switch,continued_as_active_mp,served_in_next_election,attained_leadership_post_switch,post_switch_roles,current_status
0584659199514,Göran,Hägglund,RS,S,2006-10-06,2010-09-19,47,8,9350,1,1,0,"Ledamot, Riksdagsledamot, Socialminister, Suppleant",Tidigare riksdagsledamot
0334816698724,Karolina,Skog,MP,RS,2021-02-25,2022-09-11,18,1,319,0,0,0,Ersättare,Tidigare riksdagsledamot
0229760896014,Anders,W Jonsson,KD,RS,2014-10-07,2018-09-09,47,14,26314,1,1,0,"Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0475643059428,Jonny,Cato,C,KD,2025-09-04,2026-09-13,12,1,86,0,0,0,Ledamot,Avgången riksdagsledamot
0202577142527,Matheus,Enholm,SD,RS,2025-02-14,2026-09-13,18,7,936,0,1,0,"Deputerad, Ersättare, Förste vice gruppledare, Suppleant",Tjänstgörande riksdagsledamot
037063714405,Anders,Björck,KD,RS,2000-07-01,2002-09-15,26,3,1328,1,1,0,"Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
014744660015,Mikael,Damberg,KD,S,2012-02-23,2014-09-14,30,21,15921,1,1,1,"Finansminister, Gruppledare, Ledamot, Närings- och innovationsminister, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0792716417210,Lars,Bäckström,KD,RS,2000-07-01,2002-09-15,26,5,6751,1,1,0,"Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0371688419616,Lars,Ohly,KD,V,2004-02-20,2006-09-17,30,16,19147,1,1,1,"Gruppledare, Ledamot, Partiledare, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0452755722723,Björn,Söder,SD,RS,2018-10-02,2022-09-11,47,29,32382,1,1,1,"Deputerad, Ersättare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0463606088610,Bertil,Kjellberg,M,KD,2006-10-24,2010-09-19,46,4,5982,0,1,0,"Ersättare, Ledamot, Suppleant",Tidigare riksdagsledamot
0316505710324,Janine,Alm Ericson,MP,RS,2019-02-15,2022-09-11,42,24,24938,1,1,1,"Deputerad, Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0796071663617,Acko,Ankarberg Johansson,KD,S,2022-10-18,2026-09-13,46,4,2120,1,0,0,"Riksdagsledamot, Sjukvårdsminister, Statsråd",Avgången riksdagsledamot
0406831930624,Henrik,Vinge,SD,RS,2020-10-01,2022-09-11,23,8,7478,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0251136832626,Muharrem,Demirok,C,KD,2023-02-09,2026-09-13,43,2,2108,0,1,0,Ledamot,Tjänstgörande riksdagsledamot
0602744999917,Elisabeth,Thand Ringqvist,C,RS,2024-01-01,2026-09-13,32,6,2755,0,1,1,"Andre vice gruppledare, Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Partiledare",Tjänstgörande riksdagsledamot
0462699892622,Maria,Ferm,RS,KD,2014-10-14,2018-09-09,46,22,15842,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0951854268017,Åsa,Romson,MP,M,2015-01-01,2018-09-09,44,4,1717,1,0,1,"Klimat- och miljöminister, Ledamot, Ordförande, Riksdagsledamot",Tidigare riksdagsledamot
0457308547314,Karin,Svensson Smith,V,MP,2006-11-14,2010-09-19,46,2,2904,1,0,1,"Ledamot, Ordförande, Riksdagsledamot",Tidigare riksdagsledamot
0384833975200,Bo,Könberg,S,RS,2002-10-08,2006-09-17,47,2,7066,0,0,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0462699892622,Maria,Ferm,MP,KD,2014-10-14,2018-09-09,46,22,15842,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0415959965211,Mia,Sydow Mölleby,KD,RS,2018-10-02,2022-09-11,47,7,16387,0,1,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0199751900210,Annelie,Karlsson,S,RS,2018-04-10,2018-09-09,4,13,26645,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
031414803913,Maria,Wetterstrand,MP,KD,2002-10-15,2006-09-17,47,13,11968,1,1,1,"Ledamot, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0938901612810,Fredrik,Reinfeldt,RS,M,2003-10-25,2006-09-17,34,9,12628,1,1,1,"Ledamot, Partiledare, Riksdagsledamot, Statsminister",Tidigare riksdagsledamot
0744993950910,Anders,Ygeman,KD,RS,2017-08-31,2018-09-09,12,20,9740,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0875221317013,Gunilla,Carlsson,KD,S,2022-09-26,2026-09-13,47,9,9556,1,1,1,"Ersättare, Gruppledare, Ledamot, Personlig suppleant, Riksdagsledamot, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0888807074321,Amanda,Lind,MP,KD,2025-11-25,2026-09-13,9,1,322,0,1,0,Ledamot,Tjänstgörande riksdagsledamot
0473783431010,Morgan,Johansson,RS,KD,2010-10-19,2014-09-14,46,25,18855,1,1,1,"Deputerad, Justitie- och inrikesminister, Justitie- och migrationsminister, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0831636664429,Mattias,Karlsson,RS,KD,2014-10-14,2018-09-09,46,27,33977,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0331967573912,Maria,Larsson,RS,S,2006-10-06,2010-09-19,47,4,8738,0,1,0,"Ledamot, Riksdagsledamot, Statsråd",Tidigare riksdagsledamot
0482927154110,Leif,Jakobsson,KD,S,2008-06-05,2010-09-19,27,10,10640,1,1,1,"Förste vice gruppledare, Ledamot, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0793372891224,Noria,Manouchi,RS,KD,2022-11-15,2026-09-13,45,6,4314,0,1,0,"Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0104804820009,Per,Unckel,KD,RS,2000-07-01,2002-09-15,26,8,1712,1,1,1,"Deputerad, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Avliden  2011-09-20
0275724540919,Erik,Ullenhag,KD,L,2015-11-24,2018-09-09,33,1,196,0,0,1,Gruppledare,Tidigare riksdagsledamot
0116084827614,Mehmet,Kaplan,RS,MP,2010-10-19,2014-09-14,46,8,6849,0,1,1,"Förste vice gruppledare, Gruppledare, Ledamot, Statsråd, Suppleant",Tidigare riksdagsledamot
0334816698724,Karolina,Skog,M,MP,2021-02-22,2022-09-11,18,2,641,0,0,0,"Ersättare, Förste vice gruppledare",Tidigare riksdagsledamot
0781520322912,Jörgen,Hellman,S,KD,2016-11-09,2018-09-09,22,8,16409,1,1,1,"Ledamot, Ordförande, Revisor, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
012053331219,Anna,Kinberg Batra,M,KD,2010-10-19,2014-09-14,46,13,10173,1,1,1,"Gruppledare, Ledamot, Partiledare, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0430865615328,Linda,Lindberg,RS,KD,2023-04-18,2026-09-13,40,6,6599,0,1,1,"Gruppledare, Ledamot, Suppleant",Tjänstgörande riksdagsledamot
039655712615,Margareta,Pålsson,RS,KD,2006-10-17,2010-09-19,47,5,6476,1,1,1,"Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0530425150220,Annika,Strandhäll,S,M,2021-11-30,2022-09-11,9,9,5058,1,1,0,"Klimat- och miljöminister, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0228027853620,Vasiliki,Tsouplaki,V,RS,2022-10-04,2026-09-13,47,2,5836,0,1,0,"Ersättare, Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0522054204918,Mattias,Karlsson,M,RS,2022-10-27,2026-09-13,46,4,3578,0,1,1,"Ledamot, Ordförande",Tjänstgörande riksdagsledamot
0446541913415,Allan,Widman,RS,FP,2006-10-11,2010-09-19,47,47,39409,1,1,1,"Deputerad, Ersättare, Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0665485817222,Daniel,Bäckström,C,RS,2022-10-04,2026-09-13,47,13,6495,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0228027853620,Vasiliki,Tsouplaki,RS,KD,2022-10-11,2026-09-13,47,1,1463,0,1,0,Ledamot,Tjänstgörande riksdagsledamot
0475643059428,Jonny,Cato,C,RS,2025-09-01,2026-09-13,12,2,264,0,0,0,"Ersättare, Förste vice gruppledare, Ledamot",Avgången riksdagsledamot
0911490574010,Isabella,Lövin,MP,M,2019-01-21,2022-09-11,43,3,2570,0,0,0,"Ledamot, Miljö- och klimatminister",Europaparlamentariker
0607691439013,Karin,Enström,KD,RS,2018-10-02,2022-09-11,47,21,30559,1,1,1,"Ersättare, Ledamot, Ordförande, Partisekreterare, Riksdagsledamot, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0411459873625,Hanna,Gunnarsson,V,RS,2020-02-07,2022-09-11,31,25,21439,1,1,0,"Deputerad, Ersättare, Kvittningsperson, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0634917636517,Margareta,Israelsson,RS,KD,2006-10-17,2010-09-19,47,1,1448,0,1,0,Ledamot,Tidigare riksdagsledamot
0199751900210,Annelie,Karlsson,RS,KD,2019-01-31,2022-09-11,43,8,21671,0,1,1,"Ersättare, Gruppledare, Ledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0505599928316,Carl Fredrik,Graf,KD,RS,2000-07-01,2002-09-15,26,1,821,0,1,0,Suppleant,Tidigare riksdagsledamot
0628005785225,Jörgen,Berglund,M,RS,2024-10-18,2026-09-13,22,5,854,0,1,0,"Deputerad, Ledamot",Tjänstgörande riksdagsledamot
0667220767927,Erik,Ezelius,RS,KD,2022-06-10,2022-09-11,3,14,8445,1,1,1,"Deputerad, Ersättare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0284192765516,Tomas,Eneroth,KD,RS,2014-10-07,2018-09-09,47,25,15636,1,1,1,"Ersättare, Infrastrukturminister, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Avgången riksdagsledamot
0962841101917,Annika,Qarlsson,RS,C,2006-10-11,2010-09-19,47,15,29540,1,1,0,"Förste vice gruppledare, Förste vice ordförande, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0332067570917,Berit,Andnor,KD,RS,2000-07-01,2002-09-15,26,11,10408,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Socialminister, Statsråd, Vice ordförande",Tidigare riksdagsledamot
0956595590924,Tobias,Billström,KD,RS,2017-10-13,2018-09-09,10,13,22495,1,1,0,"Ledamot, Riksdagsledamot, Suppleant, Utrikesminister",Avgången riksdagsledamot
0482927154110,Leif,Jakobsson,RS,S,2008-06-05,2010-09-19,27,10,10640,1,1,1,"Förste vice gruppledare, Ledamot, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0824721092613,Carina,Moberg,KD,S,2011-04-12,2014-09-14,41,6,1660,0,0,1,"Gruppledare, Ledamot, Suppleant, Vice ordförande",Avliden  2012-08-15
0332067570917,Berit,Andnor,KD,S,2002-09-30,2006-09-17,47,10,9567,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Socialminister, Statsråd, Vice ordförande",Tidigare riksdagsledamot
0638497389621,Julia,Kronlid,RS,SD,2022-01-01,2022-09-11,8,6,6112,1,1,0,"Andre vice gruppledare, Andre vice ordförande, Andre vice talman, Ledamot, Riksdagsledamot, Suppleant",Andre vice talman (tjänstgörande riksdagsledamot)
0222691314314,Ulf,Kristersson,S,M,2017-10-01,2018-09-09,11,11,23949,1,1,1,"Ledamot, Partiledare, Riksdagsledamot, Statsminister, Suppleant",Statsminister
0224712677012,Johan,Pehrson,RS,FP,2006-10-11,2010-09-19,47,32,45151,1,1,1,"Arbetsmarknads- och integrationsminister, Gruppledare, Ledamot, Partiledare, Personlig suppleant, Riksdagsledamot, Suppleant, Tillförordnad partiledare, Utbildningsminister",Avgången riksdagsledamot
0199751900210,Annelie,Karlsson,S,KD,2019-01-31,2022-09-11,43,8,21671,0,1,1,"Ersättare, Gruppledare, Ledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0836001490919,Ulrika,Heie,RS,KD,2014-10-14,2018-09-09,46,12,28924,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0522054204918,Mattias,Karlsson,M,KD,2022-11-15,2026-09-13,45,3,2138,0,1,1,"Ledamot, Ordförande",Tjänstgörande riksdagsledamot
0721509806321,Nooshi,Dadgostar,KD,V,2020-10-31,2022-09-11,22,7,8739,1,1,1,"Ledamot, Partiledare, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0824721092613,Carina,Moberg,KD,RS,2011-05-03,2014-09-14,40,5,1343,0,0,1,"Ledamot, Suppleant, Vice ordförande",Avliden  2012-08-15
0718034011110,Jessika,Roswall,RS,KD,2018-10-09,2022-09-11,47,18,20144,1,1,1,"Andre vice ordförande, Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant",Avgången riksdagsledamot
0504851635310,Daniel,Helldén,MP,KD,2024-01-01,2026-09-13,32,1,2161,0,1,0,"Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0714307225418,Sven-Erik,Österberg,KD,S,2008-06-03,2010-09-19,27,11,9982,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Vice ordförande",Tidigare riksdagsledamot
0638497389621,Julia,Kronlid,KD,SD,2022-01-01,2022-09-11,8,6,6112,1,1,0,"Andre vice gruppledare, Andre vice ordförande, Andre vice talman, Ledamot, Riksdagsledamot, Suppleant",Andre vice talman (tjänstgörande riksdagsledamot)
014744660015,Mikael,Damberg,KD,RS,2012-02-24,2014-09-14,30,20,14972,1,1,1,"Finansminister, Gruppledare, Ledamot, Närings- och innovationsminister, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0853395328224,Lena,Hallengren,S,RS,2022-10-11,2026-09-13,47,5,5308,1,1,1,"Ledamot, Riksdagsledamot, Vice ordförande",Tjänstgörande riksdagsledamot
0371414788216,Lars,Lindblad,RS,M,2006-10-11,2010-09-19,47,4,5350,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0939158389321,Samuel,Gonzalez Westling,RS,KD,2022-10-11,2026-09-13,47,8,5101,0,1,0,"Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0522460069116,Cecilia,Magnusson,M,KD,2010-10-19,2014-09-14,46,8,12940,1,1,0,"Deputerad, Ersättare, Kvittningsperson, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0430865615328,Linda,Lindberg,SD,KD,2023-04-18,2026-09-13,40,6,6599,0,1,1,"Gruppledare, Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0831636664429,Mattias,Karlsson,SD,RS,2014-10-07,2018-09-09,47,28,37240,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
039655712615,Margareta,Pålsson,RS,M,2008-03-12,2010-09-19,30,4,5013,1,1,1,"Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0665485817222,Daniel,Bäckström,C,KD,2022-10-11,2026-09-13,47,12,5333,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0284192765516,Tomas,Eneroth,KD,S,2014-10-04,2018-09-09,47,26,16663,1,1,1,"Ersättare, Gruppledare, Infrastrukturminister, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Avgången riksdagsledamot
0939158389321,Samuel,Gonzalez Westling,V,KD,2022-10-11,2026-09-13,47,8,5101,0,1,0,"Ledamot, Suppleant",Tjänstgörande riksdagsledamot
0534173087404,Carin,Lundberg,KD,RS,2002-10-24,2006-09-17,46,2,2902,0,1,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0406831930624,Henrik,Vinge,KD,RS,2020-10-01,2022-09-11,23,8,7478,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0714307225418,Sven-Erik,Österberg,KD,RS,2008-06-05,2010-09-19,27,10,9129,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Vice ordförande",Tidigare riksdagsledamot
0529963707818,Martin,Nilsson,RS,KD,2002-10-15,2006-09-17,47,5,4357,1,1,0,"Deputerad, Ledamot, Riksdagsledamot",Tidigare riksdagsledamot
0238588409223,Gustav,Fridolin,MP,KD,2011-09-19,2014-09-14,35,12,5586,1,1,0,"Ledamot, Riksdagsledamot, Utbildningsminister",Tidigare riksdagsledamot
0744993950910,Anders,Ygeman,KD,S,2017-08-08,2018-09-09,13,21,10281,1,1,1,"Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0612916684825,Johan,Löfstrand,KD,S,2022-10-07,2026-09-13,47,2,2823,0,1,0,"Förste vice gruppledare, Ledamot",Tjänstgörande riksdagsledamot
0157062733618,Jonas,Eriksson,RS,KD,2014-10-14,2018-09-09,46,21,9986,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0157062733618,Jonas,Eriksson,MP,RS,2014-10-07,2018-09-09,47,22,11555,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0745549193810,Stefan,Attefall,RS,KD,2002-10-15,2006-09-17,47,12,17956,1,1,1,"Gruppledare, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant",Tidigare riksdagsledamot
0628005785225,Jörgen,Berglund,KD,RS,2024-10-18,2026-09-13,22,5,854,0,1,0,"Deputerad, Ledamot",Tjänstgörande riksdagsledamot
0831636664429,Mattias,Karlsson,SD,KD,2014-10-14,2018-09-09,46,27,33977,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0718034011110,Jessika,Roswall,KD,M,2020-09-29,2022-09-11,23,7,2278,1,1,1,"Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant",Avgången riksdagsledamot
0992420223820,Jessica,Rosencrantz,RS,KD,2022-11-15,2026-09-13,45,11,3494,1,1,1,"EU-minister, Ledamot, Ordförande, Riksdagsledamot, Statsråd, Suppleant",EU-minister
0411459873625,Hanna,Gunnarsson,RS,KD,2022-04-29,2022-09-11,4,15,8712,1,1,0,"Deputerad, Kvittningsperson, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0959102638818,Roger,Tiefensee,RS,KD,2006-10-17,2010-09-19,47,16,13633,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0980681611418,Hans,Wallmark,KD,M,2015-01-20,2018-09-09,43,49,35166,1,1,1,"Deputerad, Ersättare, Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Avgången riksdagsledamot
011731125914,Ylva,Johansson,S,KD,2007-05-11,2010-09-19,40,9,9221,1,1,1,"Arbetsmarknads- och etableringsminister, Arbetsmarknadsminister, Ledamot, Riksdagsledamot, Vice ordförande",Tidigare riksdagsledamot
0692076685824,Camilla,Hansén,MP,RS,2022-11-10,2026-09-13,46,7,5968,0,1,0,"Ersättare, Förste vice gruppledare, Kvittningsperson, Suppleant",Tjänstgörande riksdagsledamot
0202577142527,Matheus,Enholm,SD,KD,2022-10-11,2026-09-13,47,14,7298,0,1,1,"Deputerad, Ersättare, Förste vice gruppledare, Ledamot, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0411459873625,Hanna,Gunnarsson,V,KD,2022-04-29,2022-09-11,4,15,8712,1,1,0,"Deputerad, Kvittningsperson, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0819601620927,Annika,Hirvonen,MP,KD,2021-03-05,2022-09-11,18,18,15070,1,1,1,"Ersättare, Förste vice gruppledare, Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0395613047500,Linnéa,Darell,RS,KD,2002-10-15,2006-09-17,47,1,2896,0,1,0,"Ledamot, Suppleant",Tidigare riksdagsledamot
0956444284814,Per,Bolund,MP,KD,2020-01-23,2022-09-11,31,11,4697,1,1,0,"Ledamot, Miljö- och klimatminister, Riksdagsledamot, Suppleant",Avgången riksdagsledamot
012053331219,Anna,Kinberg Batra,M,RS,2010-10-12,2014-09-14,47,14,14533,1,1,1,"Gruppledare, Ledamot, Ordförande, Partiledare, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0956595590924,Tobias,Billström,KD,M,2017-10-03,2018-09-09,11,15,24684,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant, Utrikesminister",Avgången riksdagsledamot
0956595590924,Tobias,Billström,M,RS,2017-10-13,2018-09-09,10,13,22495,1,1,0,"Ledamot, Riksdagsledamot, Suppleant, Utrikesminister",Avgången riksdagsledamot
0665485817222,Daniel,Bäckström,RS,KD,2022-10-11,2026-09-13,47,12,5333,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0222691314314,Ulf,Kristersson,S,KD,2017-12-14,2018-09-09,8,9,20441,1,1,0,"Ledamot, Riksdagsledamot, Statsminister, Suppleant",Statsminister
0714307225418,Sven-Erik,Österberg,S,RS,2008-06-05,2010-09-19,27,10,9129,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Vice ordförande",Tidigare riksdagsledamot
0658668232410,Per,Bill,RS,KD,2010-10-19,2014-09-14,46,4,3473,1,1,1,"Ersättare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0630824497414,Jessica,Polfjärd,RS,KD,2016-03-18,2018-09-09,29,9,6115,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Europaparlamentariker
0452755722723,Björn,Söder,KD,RS,2018-10-02,2022-09-11,47,29,32382,1,1,1,"Deputerad, Ersättare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0482927154110,Leif,Jakobsson,RS,KD,2002-02-15,2002-09-15,7,18,22604,1,1,1,"Förste vice gruppledare, Ledamot, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0383111552218,Jonas,Sjöstedt,V,KD,2012-02-14,2014-09-14,31,16,19007,1,1,0,"Ledamot, Riksdagsledamot, Suppleant",Europaparlamentariker
0612916684825,Johan,Löfstrand,RS,S,2022-10-07,2026-09-13,47,2,2823,0,1,0,"Förste vice gruppledare, Ledamot",Tjänstgörande riksdagsledamot
0628005785225,Jörgen,Berglund,KD,M,2022-11-24,2026-09-13,45,9,3005,0,1,0,"Deputerad, Förste vice gruppledare, Kvittningsperson, Ledamot",Tjänstgörande riksdagsledamot
TEST_PERSON_001,Test,Partibytare,S,M,2011-07-01,2014-09-14,38,1,1279,0,1,0,Ledamot,Tidigare riksdagsledamot
