person_id,first_name,last_name,party,status,total_violations,latest_violation_date,absenteeism_violations,effectiveness_violations,discipline_violations,productivity_violations,collaboration_violations,annual_absence_rate,annual_rebel_rate,annual_vote_count,documents_last_year,risk_score,risk_level,risk_assessment
0492644357418,Per,Söderlund,SD,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,4,1,0,0,0,14.36,0.10,954,0,26.33,MEDIUM,Moderate risk - monitor for declining performance
0174490514929,Marcus,Andersson,S,Tillgänglig ersättare,0,,0,0,0,0,0,7.50,0.00,400,0,12.25,LOW,Low risk - performing within acceptable standards
0838085832923,Ann-Sofie,Lifvenhage,M,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,3,1,1,0,0,13.84,0.00,954,0,26.15,MEDIUM,Moderate risk - monitor for declining performance
0682989845822,Håkan,Svenneling,V,Tjänstgörande riksdagsledamot,11,2026-06-06 00:00:00,8,1,1,0,0,24.53,0.63,954,0,39.49,MEDIUM,Moderate risk - monitor for declining performance
0546731406922,Rebecka,Le Moine,MP,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,3,1,1,0,0,13.94,0.00,954,0,26.18,MEDIUM,Moderate risk - monitor for declining performance
0970259744617,Margareta,Cederfelt,M,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,1,1,1,0,0,40.36,0.10,954,0,32.13,MEDIUM,Moderate risk - monitor for declining performance
0831636664429,Mattias,Karlsson,SD,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,19.60,0.00,954,0,29.88,MEDIUM,Moderate risk - monitor for declining performance
0607691439013,Karin,Enström,M,Tjänstgörande riksdagsledamot,12,2026-06-06 00:00:00,8,1,1,1,0,24.00,0.00,954,0,41.20,MEDIUM,Moderate risk - monitor for declining performance
0360187680814,Mats,Hellhoff,SD,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,2,1,1,0,0,0.00,0.11,899,0,22.02,LOW,Low risk - performing within acceptable standards
0388994689418,Malin,Östh,V,Tjänstgörande riksdagsledamot,12,2026-06-06 00:00:00,8,1,1,1,0,5.90,0.22,899,0,35.81,MEDIUM,Moderate risk - monitor for declining performance
0244552157217,Annelie,Sjöberg,SD,Tillgänglig ersättare,0,,0,0,0,0,0,0.00,3.57,28,0,10.71,LOW,Low risk - performing within acceptable standards
025967059622,Magnus,Manhammar,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,3,1,0,0,0,17.09,0.00,954,0,25.13,MEDIUM,Moderate risk - monitor for declining performance
0877778793323,Johan,Büser,S,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,3,1,1,0,0,21.07,0.00,954,0,28.32,MEDIUM,Moderate risk - monitor for declining performance
0254695027922,Malcolm Momodou,Jallow,-,Tjänstgörande riksdagsledamot,11,2026-06-06 00:00:00,8,1,0,1,0,32.39,8.70,954,0,43.46,MEDIUM,Moderate risk - monitor for declining performance
023767922422,Mats,Persson,L,Tjänstgörande riksdagsledamot,8,2026-06-06 00:00:00,5,1,1,0,0,21.89,0.00,434,0,32.57,MEDIUM,Moderate risk - monitor for declining performance
0576122429317,Martin,Melin,L,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,13.52,0.00,954,0,24.06,LOW,Low risk - performing within acceptable standards
012547905113,Christina,Nilsson,SD,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0376395541120,Joakim,Sandell,S,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,10.48,0.31,954,0,27.21,MEDIUM,Moderate risk - monitor for declining performance
0497217816024,Markus,Selin,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,2.10,0.21,954,0,20.67,LOW,Low risk - performing within acceptable standards
0121015874810,Torsten,Elofsson,KD,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,0,0,0,16.04,0.00,954,0,24.81,LOW,Low risk - performing within acceptable standards
0986091320811,Catarina,Deremar,C,Tjänstgörande riksdagsledamot,12,2026-06-06 00:00:00,8,1,1,1,0,13.31,0.10,954,0,38.01,MEDIUM,Moderate risk - monitor for declining performance
0369212790927,Sofia,Skönnbrink,S,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,16.56,0.10,954,0,20.99,LOW,Low risk - performing within acceptable standards
0990587970528,Zinaida,Kajevic,S,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0737824098113,Magnus,Berntsson,KD,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,5,1,1,0,0,12.47,0.00,954,0,27.74,MEDIUM,Moderate risk - monitor for declining performance
0903081277919,Helena,Vilhelmsson,C,Tjänstgörande riksdagsledamot,11,2026-06-06 00:00:00,8,1,1,0,0,22.85,0.00,954,0,38.86,MEDIUM,Moderate risk - monitor for declining performance
0373223420310,Niclas,Malmberg,MP,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0853395328224,Lena,Hallengren,S,Tjänstgörande riksdagsledamot,13,2026-06-06 00:00:00,9,1,1,1,0,15.62,0.21,954,0,40.73,MEDIUM,Moderate risk - monitor for declining performance
0937688366013,Peter,Hultqvist,S,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,1,1,1,0,1,17.19,0.10,954,0,27.18,MEDIUM,Moderate risk - monitor for declining performance
010643534813,Eric,Westroth,SD,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,1,1,1,0,1,10.48,0.00,954,0,23.14,LOW,Low risk - performing within acceptable standards
0488332307829,Abraham,Halef,S,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0146133946627,Andreas,Lennkvist Manriquez,V,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,3,1,1,0,1,5.66,0.31,954,0,25.76,MEDIUM,Moderate risk - monitor for declining performance
0204443909416,Johan,Hedin,C,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0256716955026,Serkan,Köse,S,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,14.78,0.10,954,0,28.45,MEDIUM,Moderate risk - monitor for declining performance
065701062615,Runar,Filper,SD,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,4,1,0,0,0,8.39,0.00,954,0,24.52,LOW,Low risk - performing within acceptable standards
0911067396229,Mattias,Vepsä,S,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,1,1,1,0,0,19.08,0.00,954,1,23.72,LOW,Low risk - performing within acceptable standards
0970709885516,Inga-Lill,Sjöblom,S,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,1,1,0,0,0,25.89,0.10,954,0,25.79,MEDIUM,Moderate risk - monitor for declining performance
0880018341619,Thomas,Morell,SD,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,2,1,0,0,1,10.59,0.00,954,0,25.18,MEDIUM,Moderate risk - monitor for declining performance
0476362590123,Louise,Mörk,S,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0509830681123,Ida,Karkiainen,S,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,5,1,0,0,0,6.60,0.00,954,0,25.98,MEDIUM,Moderate risk - monitor for declining performance
0409655917321,Jakob,Olofsgård,L,Tjänstgörande riksdagsledamot,8,2026-06-06 00:00:00,5,1,1,0,0,15.41,0.00,954,0,30.62,MEDIUM,Moderate risk - monitor for declining performance
0378597308227,Camilla,Brodin,KD,Tjänstgörande riksdagsledamot,9,2026-06-06 00:00:00,5,1,1,1,0,12.58,0.00,954,0,31.77,MEDIUM,Moderate risk - monitor for declining performance
07012286624,Daniel,Riazat,-,Tjänstgörande riksdagsledamot,8,2026-06-06 00:00:00,5,1,0,1,0,10.38,23.17,954,0,33.75,MEDIUM,Moderate risk - monitor for declining performance
0256404677510,Cecilia,Engström,KD,Tjänstgörande riksdagsledamot,10,2026-06-06 00:00:00,7,1,1,0,0,19.81,0.00,954,0,35.94,MEDIUM,Moderate risk - monitor for declining performance
0452784937426,Christopher,Lindvall,S,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0427836082425,Fredrik,Lindstål,C,Tillgänglig ersättare,0,,0,0,0,0,0,4.23,1.41,71,0,11.55,LOW,Low risk - performing within acceptable standards
027964311318,Karin,Sundin,S,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,4,1,0,0,0,13.52,0.21,954,0,26.10,MEDIUM,Moderate risk - monitor for declining performance
0472349361027,Kalle,Olsson,S,Tjänstgörande riksdagsledamot,10,2026-06-06 00:00:00,8,1,0,0,0,6.15,0.12,829,0,31.87,MEDIUM,Moderate risk - monitor for declining performance
0624040854527,Emma,Berginger,MP,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,29.25,0.34,588,0,28.84,MEDIUM,Moderate risk - monitor for declining performance
0316505710324,Janine,Alm Ericson,MP,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,19.81,0.21,954,0,29.99,MEDIUM,Moderate risk - monitor for declining performance
0296384583518,Åsa,Eriksson,S,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,3,1,1,0,0,15.51,0.31,954,0,26.72,MEDIUM,Moderate risk - monitor for declining performance
0345062474310,Mona,Olin,SD,Tjänstgörande riksdagsledamot,2,2026-06-06 00:00:00,1,1,0,0,0,12.47,0.21,954,0,17.78,LOW,Low risk - performing within acceptable standards
0663840649717,Anette,Rangdag,SD,Tillgänglig ersättare,0,,0,0,0,0,0,8.33,0.00,84,0,12.50,LOW,Low risk - performing within acceptable standards
0362779191527,Erik,Hellsborn,SD,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,1,1,1,0,0,3.98,0.10,954,0,19.21,LOW,Low risk - performing within acceptable standards
0984153507725,Gustaf,Göthberg,M,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,1,1,1,0,0,31.76,0.00,954,0,27.53,MEDIUM,Moderate risk - monitor for declining performance
0599661454115,Lena,Bäckelin,S,Tillgänglig ersättare,0,,0,0,0,0,0,0.00,0.00,125,0,10.00,LOW,Low risk - performing within acceptable standards
0855286184126,Jessica,Rodén,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,15.20,0.10,954,0,24.58,LOW,Low risk - performing within acceptable standards
0523902030928,Aylin,Nouri,S,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,2,1,0,0,0,17.63,0.23,862,0,23.34,LOW,Low risk - performing within acceptable standards
0371882294919,Carita,Boulwén,SD,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,2,1,0,0,0,19.08,0.00,954,0,23.72,LOW,Low risk - performing within acceptable standards
0103624617217,Helén,Pettersson,S,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,3,1,1,0,0,20.34,0.00,954,0,28.10,MEDIUM,Moderate risk - monitor for declining performance
0502490570219,Kristina,Axén Olin,M,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,3.98,0.00,954,0,17.19,LOW,Low risk - performing within acceptable standards
0645111757928,Elin,Gustafsson,S,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0410640630411,Ulrik,Nilsson,M,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,8.39,0.00,954,0,22.52,LOW,Low risk - performing within acceptable standards
0229350341619,Ilona,Szatmári Waldau,V,Tjänstgörande riksdagsledamot,11,2026-06-06 00:00:00,8,1,1,0,0,1.68,0.21,954,0,32.55,MEDIUM,Moderate risk - monitor for declining performance
0602744999917,Elisabeth,Thand Ringqvist,C,Tjänstgörande riksdagsledamot,11,2026-06-06 00:00:00,7,1,1,1,0,30.92,0.21,954,0,41.32,MEDIUM,Moderate risk - monitor for declining performance
0273506284025,Edward,Riedl,M,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,2,1,1,0,1,10.59,0.00,954,0,25.18,MEDIUM,Moderate risk - monitor for declining performance
025158809026,Ida,Gabrielsson,V,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,31.24,0.84,954,0,33.54,MEDIUM,Moderate risk - monitor for declining performance
0274462857213,Petter,Löberg,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,3,1,0,0,0,4.19,0.10,954,0,21.28,LOW,Low risk - performing within acceptable standards
0721509806321,Nooshi,Dadgostar,V,Tjänstgörande riksdagsledamot,9,2026-06-06 00:00:00,5,1,1,1,0,44.03,0.42,954,0,41.29,MEDIUM,Moderate risk - monitor for declining performance
0226631365426,Mikael,Larsson,C,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,10.59,0.00,954,0,27.18,MEDIUM,Moderate risk - monitor for declining performance
0911916463828,Fredrik,Lundh Sammeli,S,Tjänstgörande riksdagsledamot,10,2026-06-06 00:00:00,6,1,1,0,1,13.21,0.10,954,0,33.98,MEDIUM,Moderate risk - monitor for declining performance
0866055333028,Alexandra,Anstrell,M,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,14.15,0.00,954,0,28.25,MEDIUM,Moderate risk - monitor for declining performance
0598792324417,Ulrika,Jörgensen,M,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0926002991620,Pontus,Andersson Garpvall,SD,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,6,1,0,0,0,1.99,0.00,954,0,24.60,LOW,Low risk - performing within acceptable standards
0227531635413,Lars,Püss,M,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,25.68,0.00,954,0,23.70,LOW,Low risk - performing within acceptable standards
0765747165821,Marcus,Jonsson,KD,Tillgänglig ersättare,0,,0,0,0,0,0,0,0,0,0,10.00,LOW,Low risk - performing within acceptable standards
0985426914829,Anna,Lasses,C,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,16.98,0.31,954,0,25.16,MEDIUM,Moderate risk - monitor for declining performance
0835066063627,Daniel,Spiik,SD,Tjänstgörande riksdagsledamot,2,2026-06-06 00:00:00,1,0,0,0,0,0.00,0.00,21,0,14.00,LOW,Low risk - performing within acceptable standards
0144048894712,Ellen,Juntti,M,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,0,0,0,13.00,0.21,954,0,23.94,LOW,Low risk - performing within acceptable standards
0376353897112,Leif,Nysmed,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,3,1,0,0,0,16.56,0.00,954,0,24.97,LOW,Low risk - performing within acceptable standards
0860364634014,Mattias,Ottosson,S,Tjänstgörande riksdagsledamot,8,2026-06-06 00:00:00,6,1,0,0,0,1.57,0.21,954,0,26.51,MEDIUM,Moderate risk - monitor for declining performance
0837394708917,Anders,Ådahl,C,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,2,1,1,1,1,12.26,0.00,954,0,27.68,MEDIUM,Moderate risk - monitor for declining performance
071293048118,Thomas,Ragnarsson,M,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,4.61,0.00,954,0,17.38,LOW,Low risk - performing within acceptable standards
025877594729,John,Widegren,M,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,3,1,1,0,0,10.59,0.00,954,0,25.18,MEDIUM,Moderate risk - monitor for declining performance
0191189790215,Peter,Ollén,M,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,1,1,1,0,0,12.68,0.00,954,0,23.80,LOW,Low risk - performing within acceptable standards
0506541436524,Sanne,Lennström,S,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,10.69,0.10,954,0,27.23,MEDIUM,Moderate risk - monitor for declining performance
0706528359123,Linus,Sköld,S,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,10.59,0.21,954,0,19.22,LOW,Low risk - performing within acceptable standards
0522240580423,Arin,Karapet,-,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,0,1,0,12.58,1.05,954,0,23.98,LOW,Low risk - performing within acceptable standards
0294138886823,Martin,Kinnunen,SD,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,4,1,1,0,0,12.05,0.00,954,0,27.62,MEDIUM,Moderate risk - monitor for declining performance
0717363246311,Jessica,Stegrud,SD,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,4,1,0,0,0,17.71,0.00,954,0,27.31,MEDIUM,Moderate risk - monitor for declining performance
0440225263920,Robert,Olesen,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,3,1,0,0,0,7.90,0.16,633,0,22.40,LOW,Low risk - performing within acceptable standards
086684470825,Tobias,Andersson,SD,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,2,1,0,0,1,9.85,0.00,954,0,24.96,LOW,Low risk - performing within acceptable standards
0406831930624,Henrik,Vinge,SD,Tjänstgörande riksdagsledamot,7,2026-06-06 00:00:00,3,1,1,0,1,29.25,0.00,954,0,32.78,MEDIUM,Moderate risk - monitor for declining performance
0122987223112,Lotta,Johnsson Fornarve,V,Tjänstgörande riksdagsledamot,13,2026-06-06 00:00:00,8,2,1,0,0,13.42,0.52,954,0,40.13,MEDIUM,Moderate risk - monitor for declining performance
0251136832626,Muharrem,Demirok,C,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,3,1,0,0,0,25.89,0.00,954,0,25.77,MEDIUM,Moderate risk - monitor for declining performance
0803753212716,Richard,Jomshof,SD,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,25.26,0.10,954,0,23.60,LOW,Low risk - performing within acceptable standards
0138741628520,Angelika,Bengtsson,SD,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,3,1,1,0,0,27.42,0.12,868,0,30.25,MEDIUM,Moderate risk - monitor for declining performance
0121939297619,Jamal,El-Haj,-,Tjänstgörande riksdagsledamot,8,2026-06-06 00:00:00,4,1,0,1,0,5.77,33.23,954,0,34.38,MEDIUM,Moderate risk - monitor for declining performance
0973782197017,Mikael,Oscarsson,KD,Tjänstgörande riksdagsledamot,8,2026-06-06 00:00:00,5,1,1,0,0,21.07,0.21,954,1,32.36,MEDIUM,Moderate risk - monitor for declining performance
0810201628512,Ann-Charlotte,Hammar Johnsson,M,Tjänstgörande riksdagsledamot,6,2026-06-06 00:00:00,2,1,1,1,0,4.82,0.00,954,0,23.45,LOW,Low risk - performing within acceptable standards
0283284978818,Markus,Kallifatides,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,3,1,0,0,0,3.14,0.00,954,0,20.94,LOW,Low risk - performing within acceptable standards
0358514648113,Marléne,Lund Kopparklint,-,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,0,1,0,27.46,0.94,954,0,28.43,MEDIUM,Moderate risk - monitor for declining performance
0834510274913,Charlotte,Nordström,M,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,14.47,0.00,954,0,20.34,LOW,Low risk - performing within acceptable standards
0448973586529,Adrian,Magnusson,S,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,6.08,0.00,954,0,17.82,LOW,Low risk - performing within acceptable standards
0512645510895,Jonathan,Svensson,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,0,0,0,0.00,0.00,954,0,20.00,LOW,Low risk - performing within acceptable standards
0710595759638,Aida,Birinxhiku,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,1,1,1,0,0,3.35,0.00,954,0,21.01,LOW,Low risk - performing within acceptable standards
0127744006318,Cecilia,Gustafsson,M,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,17.28,0.00,434,0,21.18,LOW,Low risk - performing within acceptable standards
0313390540217,Ingela,Nylund Watz,S,Tjänstgörande riksdagsledamot,5,2026-06-06 00:00:00,2,1,1,0,0,27.04,0.00,954,0,28.11,MEDIUM,Moderate risk - monitor for declining performance
0534870997412,Åsa,Hartzell,M,Tillgänglig ersättare,0,,0,0,0,0,0,0.00,0.00,64,0,10.00,LOW,Low risk - performing within acceptable standards
0170585430421,Jimmy,Ståhl,SD,Tjänstgörande riksdagsledamot,4,2026-06-06 00:00:00,2,1,0,0,0,11.01,0.00,954,0,21.30,LOW,Low risk - performing within acceptable standards
0340418158820,Daniel,Persson,SD,Tjänstgörande riksdagsledamot,3,2026-06-06 00:00:00,1,1,0,0,0,10.38,0.21,954,0,19.16,LOW,Low risk - performing within acceptable standards
