person_id,first_name,last_name,party,born_year,gender,status,election_region,total_votes,yes_percentage,no_percentage,absence_rate,rebel_rate,success_rate,voting_days,first_vote_date,last_vote_date,voting_participation_rate,loyalty_rate,voting_consistency_score,analysis_comment
0930305890123,Sara-Lena,Bjälkö,-,1976,KVINNA,Tjänstgörande riksdagsledamot,Hallands län,1063752,61.88,17.01,13.99,0.79,53.94,10,2014-01-01,2026-01-01,86.01,99.21,53.51,Generally aligned
0638330195202,Kaj,Larsson,S,1938,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0583257327619,Kerstin,Haglö,S,1955,KVINNA,Avliden  2025-09-07,Blekinge län,1736973,58.96,21.55,15.31,0.06,58.53,13,2002-01-01,2014-01-01,84.69,99.94,58.49,Generally aligned
0706974423606,Inge,Garstedt,M,1947,KVINNA,Tidigare riksdagsledamot,Malmö kommun,452304,53.16,26.81,17.56,0.00,93.21,5,2006-01-01,2010-01-01,82.44,100.00,93.21,Often on winning side
019623784404,Viviann,Gerdin,C,1944,KVINNA,Tidigare riksdagsledamot,Värmlands län,654026,58.70,19.31,17.05,0.27,38.26,5,2002-01-01,2006-01-01,82.95,99.73,38.16,Generally aligned
0185498861416,Lena,Sommestad,S,1957,KVINNA,Tidigare riksdagsledamot,Uppsala län,229642,64.50,19.24,11.60,0.00,47.11,3,2012-01-01,2014-01-01,88.40,100.00,47.11,Generally aligned
0267879616300,Jan-Olof,Franzén,M,1935,MAN,Avliden  2018-03-31,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0480182220803,Lennart,Bolander,M,1944,MAN,Tidigare riksdagsledamot,Västernorrlands län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0663840649717,Anette,Rangdag,SD,1962,KVINNA,Tillgänglig ersättare,Jämtlands län,195789,59.26,17.37,14.44,0.36,64.35,4,2022-01-01,2025-01-01,85.56,99.64,64.12,Generally aligned
0834510274913,Charlotte,Nordström,M,1963,KVINNA,Tjänstgörande riksdagsledamot,Västra Götalands läns östra,451606,59.15,17.20,14.54,0.00,89.02,5,2022-01-01,2026-01-01,85.46,100.00,89.02,Often on winning side
0590881101608,Åke,Sandström,C,1940,MAN,Tidigare riksdagsledamot,Västerbottens län,452304,53.16,26.81,17.56,0.00,73.61,5,2006-01-01,2010-01-01,82.44,100.00,73.61,Often on winning side
059100119006,Olof,Johansson,C,1937,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
046426524512,Olle,Felten,-,1953,MAN,Tidigare riksdagsledamot,Södermanlands län,613193,63.91,16.86,13.59,0.40,48.27,5,2014-01-01,2018-01-01,86.41,99.60,48.08,Generally aligned
c858b5ef-43eb-4d7a-ae44-27c43e4a8d17,Nils,Hörberg,L,1920,MAN,Inga uppdrag,Göteborgs kommun,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
e22fc5d1-46ab-4e45-bee0-fd48b133b96b,Per-Axel,Nilsson,S,1920,MAN,Inga uppdrag,Gotlands län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0294883731700,Margareta,Wallin-Johansson,M,1945,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
17912a0e-a20f-40db-906f-ffde6e043af2,Karl-Erik,Strömberg,L,1926,MAN,Inga uppdrag,Stockholms län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
4e51dedd-3728-4f04-9e91-1eca8dd804e6,Sven,Ekström,S,1912,MAN,Inga uppdrag,Gävleborgs län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0891971250317,Urban,Ahlin,S,1964,MAN,Tidigare riksdagsledamot,Västra Götalands läns östra,1736973,58.96,21.55,15.31,0.08,38.36,13,2002-01-01,2014-01-01,84.69,99.92,38.33,Generally aligned
0682674527208,Anita,Jönsson,S,1947,KVINNA,Tidigare riksdagsledamot,Skåne läns södra,654026,58.70,19.31,17.05,0.00,78.66,5,2002-01-01,2006-01-01,82.95,100.00,78.66,Often on winning side
0149554070404,Birgitta,Gidblom,S,1946,KVINNA,Tidigare riksdagsledamot,Norrbottens län,50605,60.28,19.70,14.38,0.00,95.86,1,2004-01-01,2004-01-01,85.62,100.00,95.86,Often on winning side
b5840d3a-f408-4a5e-8797-7c8698dbda4e,Daniel,Wiklund,L,1911,MAN,Inga uppdrag,Stockholms kommun,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0462541496508,Rigmor,Stenmark,C,1940,KVINNA,Tidigare riksdagsledamot,Uppsala län,654026,58.70,19.31,17.05,0.59,42.64,5,2002-01-01,2006-01-01,82.95,99.41,42.39,Generally aligned
dbab054e-2f95-45d8-a0e4-f807855384c6,Maj,Pehrsson,C,1914,KVINNA,Inga uppdrag,Älvsborgs läns södr,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
069787178810,Widar,Andersson,S,1955,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
211a0d6f-2c76-439d-9d44-86b28b775573,Anders,Dahlgren,C,1925,MAN,Inga uppdrag,Östergötlands län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0381915897316,Gunhild,Wallin,C,1949,KVINNA,Tidigare ersättare,Örebro län,30014,55.70,24.33,17.13,0.00,98.84,2,2007-01-01,2008-01-01,82.87,100.00,98.84,Often on winning side
0750518623913,Lotta,Finstorp,M,1958,KVINNA,Tidigare riksdagsledamot,Södermanlands län,1569802,59.50,17.18,17.91,0.02,68.36,12,2010-01-01,2021-01-01,82.09,99.98,68.35,Generally aligned
012481285121,Amne,Ali,S,1990,KVINNA,Tidigare ersättare,Stockholms kommun,114472,60.52,16.15,15.96,0.00,95.12,1,2018-01-01,2018-01-01,84.04,100.00,95.12,Often on winning side
0200943027702,Rosa-Lill,Wåhlstedt,S,1946,KVINNA,Avliden  1991-05-26,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0929270135300,Carl G,Nilsson,M,1938,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
48bfc786-faf0-4417-87ef-00a03c12de77,Gunnar,Hyltander,L,1915,MAN,Inga uppdrag,Skaraborgs län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0783069490115,Mirja,Räihä,S,1959,KVINNA,Tjänstgörande riksdagsledamot,Stockholms kommun,451606,59.15,17.20,14.54,0.15,47.61,5,2022-01-01,2026-01-01,85.46,99.85,47.54,Generally aligned
057390531612,Laila,Bäck,S,1963,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
134b2aad-f7b7-4fda-bc18-42b817f7e397,Gördis,Hörnlund,S,1924,KVINNA,Inga uppdrag,Älvsborgs läns södr,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0252645348808,Jens,Eriksson,M,1925,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0500493436208,Kristina,Persson,S,1945,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0113077554312,Raimo,Pärssinen,S,1956,MAN,Tidigare riksdagsledamot,Gävleborgs län,2350166,60.25,20.32,14.87,0.01,61.43,17,2002-01-01,2018-01-01,85.13,99.99,61.42,Generally aligned
a7b37ede-7d40-4b3f-a6af-4f9ef2693be0,Wilhelm,Gustafsson,L,1918,MAN,Inga uppdrag,Älvsborgs läns södr,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0601997731720,Christian,Sonesson,M,1980,MAN,Avgången riksdagsledamot,Skåne läns södra,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0664384557700,Liisa,Rulander,KD,1948,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0257313105220,Arber,Gashi,S,1994,MAN,Tjänstgörande riksdagsledamot,Hallands län,186366,58.51,17.19,14.68,0.00,47.00,3,2024-01-01,2026-01-01,85.32,100.00,47.00,Generally aligned
031414803913,Maria,Wetterstrand,MP,1973,KVINNA,Tidigare riksdagsledamot,Stockholms kommun,1099350,56.86,22.82,16.55,0.25,18.25,10,2002-01-01,2011-01-01,83.45,99.75,18.20,Generally aligned
0274710563201,Agne,Hansson,C,1938,MAN,Tidigare riksdagsledamot,Kalmar län,654026,58.70,19.31,17.05,0.48,42.64,5,2002-01-01,2006-01-01,82.95,99.52,42.44,Generally aligned
12b16f1d-af08-4f0f-959b-4864595f784c,Erik,Svedberg,S,1909,MAN,Inga uppdrag,Gävleborgs län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0108109641223,Carl-Oskar,Bohlin,M,1986,MAN,Minister för civilt försvar,Dalarnas län,1924386,55.95,16.55,22.08,0.11,58.49,13,2010-01-01,2022-01-01,77.92,99.89,58.43,Generally aligned
3f0e0e76-e9c0-4309-bb18-eb20a6e599b8,Olle,Eriksson,C,1925,MAN,Inga uppdrag,Älvsborgs läns norr,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0816308745507,Gullan,Lindblad,M,1932,KVINNA,Avliden  2023-09-06,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0543481046604,Bo,Forslund,S,1939,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0870568167702,Sylvia,Pettersson,S,1934,KVINNA,Avliden  2016-08-24,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0962410717322,Sultan,Kayhan,S,1988,KVINNA,Tillgänglig ersättare,Stockholms kommun,1038275,47.19,13.95,32.98,0.14,67.16,6,2017-01-01,2022-01-01,67.02,99.86,67.07,Frequently absent
0882989698904,Ingrid,Hemmingsson,M,1934,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
019430605328,Josefin,Malmqvist,M,1987,KVINNA,Tjänstledig riksdagsledamot,Stockholms län,1062356,46.48,14.09,32.59,0.00,47.47,8,2018-01-01,2025-01-01,67.41,100.00,47.47,Frequently absent
0322827326923,Arman,Teimouri,L,1980,MAN,Tidigare riksdagsledamot,Värmlands län,728014,40.74,12.65,40.83,0.00,42.47,5,2018-01-01,2022-01-01,59.17,100.00,42.47,Frequently absent
0780214960516,Eva,Lindh,S,1971,KVINNA,Tjänstgörande riksdagsledamot,Östergötlands län,1415195,50.38,14.93,27.78,0.00,53.71,12,2015-01-01,2026-01-01,72.22,100.00,53.71,Frequently absent
0105689536302,Eva,Selin Lindgren,C,1936,KVINNA,Avliden  2011-09-03,Göteborgs kommun,452304,53.16,26.81,17.56,0.15,86.19,5,2006-01-01,2010-01-01,82.44,99.85,86.06,Often on winning side
02910042914,Carina,Ödebrink,S,1961,KVINNA,Tjänstgörande riksdagsledamot,Jönköpings län,1179620,47.79,14.39,30.76,0.00,52.04,9,2018-01-01,2026-01-01,69.24,100.00,52.04,Frequently absent
d8aba5e5-5b53-4842-b5e8-726c7d54b6d6,Gunnar,Olsson,S,1920,MAN,Inga uppdrag,Värmlands län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0193378456716,Ulf,Berg,M,1957,MAN,Tidigare riksdagsledamot,Dalarnas län,1338415,60.43,21.68,13.95,0.03,89.13,11,2006-01-01,2016-01-01,86.05,99.97,89.10,Often on winning side
0567810897103,Lilian,Virgin,S,1939,KVINNA,Tidigare riksdagsledamot,Gotlands län,654026,58.70,19.31,17.05,0.00,92.69,5,2002-01-01,2006-01-01,82.95,100.00,92.69,Often on winning side
0627371646324,William,Petzäll,-,1988,MAN,Avliden  2012-09-01,Dalarnas län,299093,62.39,21.43,11.90,0.11,28.94,3,2010-01-01,2012-01-01,88.10,99.89,28.91,Generally aligned
ee2aefa3-2eea-4e58-8e20-25d966e94ec5,Göte,Pettersson,L,1929,MAN,Inga uppdrag,Norrbottens län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
048970816012,Eva-Lena,Jansson,S,1963,KVINNA,Tidigare riksdagsledamot,Örebro län,1935554,60.38,20.57,14.25,0.07,53.25,15,2006-01-01,2022-01-01,85.75,99.93,53.21,Generally aligned
0320950917801,Inger,Nordlander,S,1938,KVINNA,Tidigare riksdagsledamot,Stockholms kommun,654026,58.70,19.31,17.05,0.11,90.66,5,2002-01-01,2006-01-01,82.95,99.89,90.56,Often on winning side
56578615-ff84-44da-af6a-cfa6cc49dd79,Lars,Andersson,S,1941,MAN,Inga uppdrag,Södermanlands län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0958769374801,Bengt A,Klang,FP,1936,MAN,Status saknas,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0408672730600,Christel,Anderberg,M,1943,KVINNA,Tidigare riksdagsledamot,Dalarnas län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0401289742306,Britta,Sundin,S,1934,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0704b0b8-cb9a-4727-86aa-f3a8bd09a460,Karl,Rask,S,1911,MAN,Inga uppdrag,Jönköpings län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0764422217512,Lars,Engsund,M,1968,MAN,Tjänstgörande riksdagsledamot,Kalmar län,451606,59.15,17.20,14.54,0.00,97.37,5,2022-01-01,2026-01-01,85.46,100.00,97.37,Often on winning side
093487175616,Roy,Resare,MP,1954,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0286498639614,Willemo,Carlsson,M,1956,KVINNA,Tidigare ersättare,Kronobergs län,85854,52.15,27.35,17.80,0.00,97.56,2,2008-01-01,2009-01-01,82.20,100.00,97.56,Often on winning side
0466653728712,Denis,Begic,S,1970,MAN,Tjänstgörande riksdagsledamot,Örebro län,1179620,47.79,14.39,30.76,0.00,45.65,9,2018-01-01,2026-01-01,69.24,100.00,45.65,Frequently absent
0372414474424,Oskar,Svärd,M,1995,MAN,Tjänstgörande riksdagsledamot,Örebro län,451606,59.15,17.20,14.54,0.00,93.51,5,2022-01-01,2026-01-01,85.46,100.00,93.51,Often on winning side
0771287795114,Marie-Louise,Rönnmark,S,1954,KVINNA,Tidigare riksdagsledamot,Västerbottens län,265938,62.34,16.97,14.45,0.00,82.42,3,2016-01-01,2018-01-01,85.55,100.00,82.42,Often on winning side
1cb65e1b-0f20-4dbf-b549-f35d1427ecfd,Per,Ahlmark,L,1939,MAN,Inga uppdrag,Stockholms kommun,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0463606088610,Bertil,Kjellberg,M,1953,MAN,Tidigare riksdagsledamot,Västernorrlands län,1106330,56.43,22.38,17.26,0.10,61.86,9,2002-01-01,2010-01-01,82.74,99.90,61.80,Generally aligned
0184922809505,Ingvar,Johnsson,S,1942,MAN,Avliden  2011-06-03,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0348268153001,Thage G,Peterson,S,1933,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0972254695405,Elina,Linna,V,1947,KVINNA,Avliden  2023-04-05,Södermanlands län,1106330,56.43,22.38,17.26,0.13,40.54,9,2002-01-01,2010-01-01,82.74,99.87,40.49,Generally aligned
0913138972707,Birgit,Henriksson,M,1932,KVINNA,Avliden  2022-09-29,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0395416536118,Siv,Holma,V,1952,KVINNA,Avliden  2016-10-24,Norrbottens län,1736973,58.96,21.55,15.31,0.26,31.50,13,2002-01-01,2014-01-01,84.69,99.74,31.42,Generally aligned
0691264514114,Anna,Johansson,S,1971,KVINNA,Tidigare riksdagsledamot,Göteborgs kommun,921709,45.22,13.49,35.40,0.00,67.85,6,2017-01-01,2022-01-01,64.60,100.00,67.85,Frequently absent
0386912710815,Mats,Arkhem,SD,1966,MAN,Tjänstgörande riksdagsledamot,Stockholms län,451606,59.15,17.20,14.54,0.00,71.64,5,2022-01-01,2026-01-01,85.46,100.00,71.64,Often on winning side
0747852417614,Maria,Stenberg,S,1966,KVINNA,Tidigare riksdagsledamot,Norrbottens län,1736973,58.96,21.55,15.31,0.06,51.18,13,2002-01-01,2014-01-01,84.69,99.94,51.15,Generally aligned
0911490574010,Isabella,Lövin,MP,1963,KVINNA,Europaparlamentariker,Stockholms kommun,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
43be0c2f-bc3f-4c58-8532-e38dfa33dbcd,Gunnar,Biörck,M,1916,MAN,Inga uppdrag,Stockholms län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0885771106404,Anna-Greta,Leijon,S,1939,KVINNA,Avliden  2024-04-11,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0631624321702,Olle,Ludvigsson,S,1948,MAN,Tidigare europaparlamentariker,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
a4b6084a-d6f1-437e-bb2d-61d0912e20bb,Kerstin,Andersson,S,1932,KVINNA,Inga uppdrag,Örebro län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0110548017702,Mona,Saint Cyr,M,1934,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0176437434123,Jenny,Petersson,M,1981,KVINNA,Tidigare riksdagsledamot,Hallands län,1094464,63.81,18.84,12.41,0.06,75.77,9,2010-01-01,2018-01-01,87.59,99.94,75.72,Often on winning side
0640627133410,Elisabeth,Falkhaven,MP,1955,KVINNA,Tillgänglig ersättare,Hallands län,728014,40.74,12.65,40.83,0.00,51.87,5,2018-01-01,2022-01-01,59.17,100.00,51.87,Frequently absent
0273506284025,Edward,Riedl,M,1976,MAN,Tjänstgörande riksdagsledamot,Västerbottens län,2423456,55.93,16.50,21.51,0.06,66.83,17,2010-01-01,2026-01-01,78.49,99.94,66.79,Generally aligned
0937372967816,Hanna,Broberg,M,1967,KVINNA,Tidigare ersättare,Stockholms kommun,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0630824497414,Jessica,Polfjärd,M,1971,KVINNA,Europaparlamentariker,Västmanlands län,1850049,61.08,20.38,13.70,0.06,68.12,14,2006-01-01,2019-01-01,86.30,99.94,68.08,Generally aligned
0503363679811,Stefan,Plath,SD,1970,MAN,Tillgänglig ersättare,Malmö kommun,238716,57.02,19.52,15.83,0.15,42.54,2,2021-01-01,2022-01-01,84.17,99.85,42.48,Generally aligned
0153777875118,Anders,Johnson,FP,1955,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0249314098519,Boel,Lindén,V,1972,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0677210453318,Pernilla,Zethraeus,V,1962,KVINNA,Tidigare riksdagsledamot,Stockholms kommun,97720,56.58,22.91,17.64,0.00,8.21,2,2006-01-01,2007-01-01,82.36,100.00,8.21,Generally aligned
