party,year,quarter,documents_produced,motions_count,active_members,avg_win_rate,effectiveness_assessment
MP,2023,4,725,0,18,28.86,Standard party operations
MP,2024,1,85,0,18,36.60,Standard party operations
MP,2024,2,116,0,19,28.71,Standard party operations
MP,2024,3,111,0,18,36.11,Standard party operations
MP,2024,4,834,0,19,26.53,Standard party operations
MP,2025,1,80,0,19,24.56,Standard party operations
MP,2025,2,149,0,18,27.54,Standard party operations
MP,2025,3,169,0,18,0.00,Standard party operations
MP,2025,4,781,0,19,38.65,Standard party operations
MP,2026,1,45,0,18,30.63,Standard party operations
S,2023,1,48,0,109,43.56,Standard party operations
S,2023,2,55,0,109,51.75,Standard party operations
S,2023,3,46,0,107,86.92,Solid party performance
S,2023,4,2126,0,110,39.28,Standard party operations
S,2024,1,69,0,110,42.59,Standard party operations
S,2024,2,117,0,109,38.34,Standard party operations
S,2024,3,475,0,106,65.80,Solid party performance
S,2024,4,1823,0,108,41.61,Standard party operations
S,2025,1,74,0,110,49.84,Standard party operations
S,2025,2,115,0,109,39.33,Standard party operations
S,2025,3,263,0,106,87.74,Solid party performance
S,2025,4,2232,0,108,52.86,Standard party operations
S,2026,1,39,0,107,37.66,Standard party operations
SD,2023,1,12,0,73,57.37,Solid party performance
SD,2023,2,16,0,74,50.53,Standard party operations
SD,2023,3,823,0,72,87.50,Solid party performance
SD,2023,4,598,0,72,83.79,Solid party performance
SD,2024,1,10,0,75,64.62,Solid party performance
SD,2024,2,30,0,72,61.82,Solid party performance
SD,2024,3,508,0,72,65.63,Solid party performance
SD,2024,4,1072,0,73,79.88,Solid party performance
SD,2025,1,7,0,74,57.84,Solid party performance
SD,2025,2,38,0,72,60.84,Solid party performance
SD,2025,3,450,0,72,86.81,Solid party performance
SD,2025,4,516,0,75,69.43,Solid party performance
SD,2026,1,5,0,72,76.31,Solid party performance
V,2023,1,70,0,24,39.86,Standard party operations
V,2023,2,82,0,25,43.58,Standard party operations
V,2023,3,170,0,24,26.13,Standard party operations
V,2023,4,423,0,24,12.93,Standard party operations
V,2024,1,71,0,24,47.03,Standard party operations
V,2024,2,114,0,24,40.50,Standard party operations
V,2024,3,140,0,24,40.63,Standard party operations
V,2024,4,439,0,24,25.20,Standard party operations
V,2025,1,114,0,24,29.77,Standard party operations
V,2025,2,141,0,24,34.04,Standard party operations
V,2025,3,159,0,24,0.00,Standard party operations
V,2025,4,546,0,24,39.34,Standard party operations
V,2026,1,51,0,22,32.03,Standard party operations
