hjid,country_id,country_value,data_value,indicator_id,indicator_value,year_date,data__data_element_hjid
2717363,DK,Denmark,"",SH.STA.MALN.FE.ZS,"Prevalence of underweight, weight for age, female (% of children under 5)",1964,
2786891,NO,Norway,0.110586743678242,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),2014,
2925829,FI,Finland,"",SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",2012,
3019390,NO,Norway,"",IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high),1996,
2324282,GB,United Kingdom,"",IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms),1993,
2732245,US,United States,0.5,SI.POV.DDAY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),1991,
2617907,GB,United Kingdom,"",IC.BRE.BE.P3,B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,1970,
2635621,FI,Finland,4019013502.34224,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",1981,
3005055,NO,Norway,57.9490904040008,NY.GDP.DEFL.ZS,GDP deflator (base year varies by country),2000,
1031646,DK,Denmark,"",HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",1961,
2426465,NO,Norway,"",SH.FPL.SATM.ZS,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),1973,
2577425,SE,Sweden,"",per_si_allsi.cov_q3_tot,Coverage of social insurance programs in 3rd quintile (% of population),1993,
2924570,FI,Finland,"",SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1999,
2792042,FI,Finland,"",SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),1984,
2482049,FI,Finland,"",SL.SLF.0714.ZS,"Children in employment, self-employed (% of children in employment, ages 7-14)",1962,
2452785,SE,Sweden,4416.14550781,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),2010,
2461091,SE,Sweden,46.942,SL.TLF.BASC.ZS,Labor force with basic education (% of total working-age population with basic education),2011,
2993431,GB,United Kingdom,814320650000,CM.MKT.LCAP.CD,Market capitalization of listed domestic companies (current US$),1989,
2664969,NO,Norway,94.1642573785979,TX.VAL.MRCH.HI.ZS,Merchandise exports to high-income economies (% of total merchandise exports),2009,
2693349,DK,Denmark,145677277955.522,NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",2017,
1034870,NO,Norway,"",HD_HCIP_HLTH_TO,"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",2011,
2676288,NO,Norway,"",SE.SEC.PROG.ZS,Progression to secondary school (%),1993,
2768286,GB,United Kingdom,99.40875,SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)",2004,
2674285,NO,Norway,636898328.58945,BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)",1978,
2467764,DK,Denmark,64.6957015991211,SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)",1977,
3008041,NO,Norway,3.79617847758516,SP.POP.7074.MA.5Y,"Population ages 70-74, male (% of male population)",1990,
2849410,GB,United Kingdom,"",NY.GSR.NFCY.CD,Net primary income (Net income from abroad) (current US$),1967,
2525882,GB,United Kingdom,"",SL.TLF.0714.SW.MA.ZS,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",1997,
2798653,FI,Finland,-3626941075.79261,BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)",2020,
2595350,DK,Denmark,16.9587234561122,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2003,
2695266,FI,Finland,"",IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high),1994,
2376202,SE,Sweden,0,NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP),1985,
2971333,GB,United Kingdom,"",DT.NFL.UNEC.CD,"Net official flows from UN agencies, UNECE (current US$)",1997,
2364240,SE,Sweden,415384630000,NV.IND.TOTL.CN,"Industry (including construction), value added (current LCU)",1991,
1027936,SE,Sweden,"",HD_HCIP_OTJL_MA,"Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30–87)",2018,
2606983,FI,Finland,"",IC.FRM.EXS.ZS,Firms exporting directly at least 10% of sales (% of firms),1998,
2743285,DK,Denmark,"",DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)",2000,
2456541,SE,Sweden,7.8,SH.DYN.NCOM.FE.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2015,
2575057,FI,Finland,"",SL.TLF.0714.FE.ZS,"Children in employment, female (% of female children ages 7-14)",2021,
2831710,US,United States,280576900000,GC.XPN.INTP.CN,Interest payments (current LCU),2006,
2822156,GB,United Kingdom,"",DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)",2004,
2499009,SE,Sweden,18.0107456071326,SP.RUR.TOTL.ZS,Rural population (% of total population),1972,
3015650,NO,Norway,0,SH.STA.ODFC.RU.ZS,"People practicing open defecation, rural (% of rural population)",2024,
2467880,FI,Finland,11.9,SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2020,
2851106,FI,Finland,"",IC.FRM.LOTM.ZS,Firms where largest owner is also the top manager (% of firms),2009,
2717375,FI,Finland,"",SI.POV.MPUN,Multidimensional poverty headcount ratio (UNDP) (% of population),2017,
2959543,FI,Finland,55.879,SL.TLF.CACT.FE.NE.ZS,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",2018,
2985629,GB,United Kingdom,"",SE.XPD.CPRM.ZS,"Current education expenditure, primary (% of total expenditure in primary public institutions)",1976,
2405042,NO,Norway,"",DC.DAC.GRCL.CD,"Net bilateral aid flows from DAC donors, Greece (current US$)",2009,
2776359,GB,United Kingdom,"",SE.PRM.UNER.ZS,Children out of school (% of primary school age),1975,
2991988,GB,United Kingdom,"",IE.PPN.TRAN.CD,Public private partnerships investment in transport (current US$),1982,
2368134,US,United States,-86741000000,NE.RSB.GNFS.CD,External balance on goods and services (current US$),1989,
2776633,DK,Denmark,"",SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",1968,
2419224,NO,Norway,"",SH_UHC_SCI_RMNCH,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",1986,
2950271,FI,Finland,"",SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1966,
2464565,SE,Sweden,"",SL.FAM.WORK.FE.ZS,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",1989,
2562544,FI,Finland,1.6,SH.STA.STNT.ME.ZS,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",2012,
2828907,NO,Norway,"",SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1969,
2732340,US,United States,"",SE.TER.CUAT.DO.MA.ZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",1961,
2743927,DK,Denmark,"",SP.HOU.FEMA.ZS,Female headed households (% of households with a female head),2013,
2512330,SE,Sweden,"",CC.PER.RNK.LOWER,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",1965,
2729472,US,United States,35.8963236747919,BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)",2007,
2474369,SE,Sweden,"",SE.LPV.PRIM.SD.FE,Female primary school age children out-of-school (%),2007,
2466501,SE,Sweden,0.5,SI.POV.DDAY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),2004,
3135714,DK,Denmark,42920,AG.SRF.TOTL.K2,Surface area (sq. km),1982,
2982512,GB,United Kingdom,"",DT.NFL.ILOG.CD,"Net official flows from UN agencies, ILO (current US$)",1997,
2907566,US,United States,"",IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high),1983,
2947524,FI,Finland,1.24303273199328,TX.VAL.MRCH.AL.ZS,Merchandise exports to economies in the Arab World (% of total merchandise exports),1970,
2899546,US,United States,"",SL.TLF.ADVN.ZS,Labor force with advanced education (% of total working-age population with advanced education),1965,
2889312,US,United States,"",SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)",1979,
2858552,US,United States,"",SL.TLF.0714.SW.MA.TM,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",1997,
2862084,US,United States,"",SG.DMK.ALLD.FN.ZS,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",2004,
2699607,DK,Denmark,"",DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves),1984,
2659237,DK,Denmark,"",SE.SEC.TCAQ.UP.ZS,Trained teachers in upper secondary education (% of total teachers),2001,
2514479,SE,Sweden,13.2198581560284,GC.REV.GOTR.ZS,Grants and other revenue (% of revenue),1973,
2763174,DK,Denmark,"",IC.MNG.IND,Management practices index,1975,
2843989,US,United States,"",SN.ITK.MSFI.ZS,Prevalence of moderate or severe food insecurity in the population (%),1961,
2788995,US,United States,5.96813942640908,SP.POP.3034.MA.5Y,"Population ages 30-34, male (% of male population)",1964,
2405233,SE,Sweden,21.669724311183,EN.POP.DNST,Population density (people per sq. km of land area),1995,
2746494,DK,Denmark,100,SH.H2O.BASW.RU.ZS,"People using at least basic drinking water services, rural (% of rural population)",2017,
2899694,US,United States,"",SL.MNF.0714.ZS,Child employment in manufacturing (% of economically active children ages 7-14),2012,
2934932,FI,Finland,"",SH.STA.OWGH.ME.FE.ZS,"Prevalence of overweight, weight for height, female (modeled estimate, % of children under 5)",1992,
2538746,SE,Sweden,"",IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms),1995,
2784036,FI,Finland,"",EG.ELC.LOSS.ZS,Electric power transmission and distribution losses (% of output),1980,
2801011,GB,United Kingdom,"",IC.BRE.TX.OS,B-READY: Taxation: Overall Score,1977,
2841244,GB,United Kingdom,"",IC.BRE.DR.P2,B-READY: Dispute Resolution Pillar 2: Public Services for Dispute Resolution,1992,
2521337,SE,Sweden,"",SL.AGR.0714.FE.ZS,"Child employment in agriculture, female (% of female economically active children ages 7-14)",1985,
2543090,US,United States,43.6287873681119,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)",1972,
1031197,DK,Denmark,"",HD_HCIP_OTJL_FE,"Human capital index plus (HCI+): on-the-job learning pillar score, female (scale -30–87)",2009,
2777813,GB,United Kingdom,"",DT.NFL.WHOL.CD,"Net official flows from UN agencies, WHO (current US$)",1972,
2381078,SE,Sweden,"",SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),1984,
2902161,US,United States,"",DT.NFL.UNWT.CD,"Net official flows from UN agencies, UNWTO (current US$)",1998,
2772748,DK,Denmark,98.0952377319336,RQ.PER.RNK.UPPER,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",2017,
2812715,US,United States,58526104,AG.LND.CREL.HA,Land under cereal production (hectares),2000,
2500846,DK,Denmark,5614932,SP.POP.TOTL,"Population, total",2013,
2801383,US,United States,-4.8846714231154,EN.GHG.CH4.ZG.AR5,Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),2004,
2416041,FI,Finland,"",SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",1961,
2351998,US,United States,"",RQ.PER.RNK.UPPER,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",1972,
2499268,DK,Denmark,"",PV.PER.RNK.UPPER,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",1992,
2990658,GB,United Kingdom,"",VA.EST,Voice and Accountability: Estimate,1980,
2491854,SE,Sweden,1.59920270923182,TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports),2005,
2912583,FI,Finland,"",SP.M15.2024.FE.ZS,Women who were first married by age 15 (% of women ages 20-24),1965,
2939615,FI,Finland,"",SL.TLF.0714.MA.ZS,"Children in employment, male (% of male children ages 7-14)",2024,
2403945,SE,Sweden,"",EN.GHG.N2O.ZG.AR5,Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),1989,
2521159,SE,Sweden,"",SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",1970,
2802664,US,United States,"",NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),1960,
3004593,NO,Norway,"",SP.REG.BRTH.RU.ZS,"Completeness of birth registration, rural (%)",2007,
2775911,NO,Norway,"",IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales for affected firms),1968,
2391105,FI,Finland,"",EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)",1960,
2310245,SE,Sweden,5.66847697005442,SP.POP.0004.MA.5Y,"Population ages 00-04, male (% of male population)",2022,
3018703,NO,Norway,12237.2158857907,NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$),1985,
2749252,DK,Denmark,32.09439,SE.XPD.TERT.ZS,Expenditure on tertiary education (% of government expenditure on education),2001,
2714599,NO,Norway,63145471060.2407,FI.RES.XGLD.CD,Total reserves minus gold (current US$),2018,
2913998,FI,Finland,"",SE.SEC.NENR,"School enrollment, secondary (% net)",1973,
2376425,SE,Sweden,267050453506.792,NY.GDP.MKTP.CD,GDP (current US$),1995,
2430630,NO,Norway,"",SL.UEM.TOTL.FE.NE.ZS,"Unemployment, female (% of female labor force) (national estimate)",1961,
2894518,US,United States,4340,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",1967,
2655949,DK,Denmark,76.25,SG.LAW.INDX,Women Business and the Law Index Score (scale 1-100),1987,
2725827,FI,Finland,142.580287929125,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1998,
2719104,DK,Denmark,"",SH.DTH.2024,Number of deaths ages 20-24 years,1986,
2612737,DK,Denmark,"",EN.GHG.CO2.PC.CE.AR5,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),1961,
2863158,US,United States,"",DT.NFL.PRVT.CD,"PPG, private creditors (NFL, US$)",1975,
2661177,DK,Denmark,1001217179000,NE.IMP.GNFS.CN,Imports of goods and services (current LCU),2015,
3001775,NO,Norway,"",SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)",1996,
2480695,SE,Sweden,77.3318793518924,NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP),1981,
2711131,DK,Denmark,2896758,SP.POP.TOTL.FE.IN,"Population, female",2017,
2396572,GB,United Kingdom,"",TM.TAX.MRCH.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, all products (%)",1969,
2784583,GB,United Kingdom,406800000,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",1960,
2593802,DK,Denmark,"",TM.TAX.TCOM.BC.ZS,"Binding coverage, primary products (%)",1990,
2991815,GB,United Kingdom,39.5900001525879,SE.TER.CUAT.BA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",2021,
2941604,FI,Finland,100,SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2015,
2434113,NO,Norway,0,TM.TAX.MRCH.BC.ZS,"Binding coverage, all products (%)",2022,
2700703,NO,Norway,"",SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",1977,
2373138,GB,United Kingdom,"",IC.FRM.TRNG.ZS,Firms offering formal training (% of firms),1990,
2788495,US,United States,5.43239852842352,TM.VAL.FOOD.ZS.UN,Food imports (% of merchandise imports),2009,
2355470,SE,Sweden,1890632000000,GC.XPN.TOTL.CN,Expense (current LCU),2022,
2555821,FI,Finland,37098,SE.SEC.TCHR,"Secondary education, teachers",1983,
2914174,GB,United Kingdom,0.18862821161747,CC.STD.ERR,Control of Corruption: Standard Error,1998,
2386023,SE,Sweden,100,SG.LAW.INDX,Women Business and the Law Index Score (scale 1-100),2020,
3000508,NO,Norway,972000000,TX.VAL.MRCH.CD.WT,Merchandise exports (current US$),1962,
2979989,GB,United Kingdom,"",SH.STA.OWGH.FE.ZS,"Prevalence of overweight, weight for height, female (% of children under 5)",2001,
2894761,US,United States,36290000000,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),1984,
2373521,SE,Sweden,-56711449000,NY.GSR.NFCY.KN,Net primary income (Net income from abroad) (constant LCU),1996,
2617903,GB,United Kingdom,"",IC.BRE.BE.P3,B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,1974,
2508840,SE,Sweden,"",HD.HCI.OVRL.UB.FE,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",2019,
2977079,GB,United Kingdom,"",FX.OWN.TOTL.FE.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",1976,
2383250,SE,Sweden,9.05806180433746,NV.IND.MANF.KD.ZG,"Manufacturing, value added (annual % growth)",2000,
2853039,US,United States,"",DT.NFL.UNRW.CD,"Net official flows from UN agencies, UNRWA (current US$)",1989,
2661579,DK,Denmark,28587732144.928,NE.GDI.FTOT.CD,Gross fixed capital formation (current US$),1992,
2337643,DK,Denmark,"",IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high),1960,
2942312,FI,Finland,52.6156697482514,NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),1994,
2478104,DK,Denmark,"",SM.POP.RRWA.EA,Refugees under the mandate of the UNRWA by country or territory of asylum,1997,
2545335,DK,Denmark,"",SL.TLF.0714.WK.ZS,"Children in employment, work only (% of children in employment, ages 7-14)",1972,
2547219,DK,Denmark,76.299,SL.TLF.ACTI.1524.MA.NE.ZS,"Labor force participation rate for ages 15-24, male (%) (national estimate)",1987,
2451916,SE,Sweden,136.077652643424,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),2022,
2660804,NO,Norway,"",SP.DYN.CONU.ZS,"Contraceptive prevalence, any method (% of married women ages 15-49)",1993,
2386889,SE,Sweden,"",SE.SEC.PROG.ZS,Progression to secondary school (%),1995,
2570629,SE,Sweden,"",SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)",1962,
2748786,DK,Denmark,0.1,SH.HIV.1524.MA.ZS,"Prevalence of HIV, male (% ages 15-24)",2003,
2388386,GB,United Kingdom,-10.4674224908772,EN.GHG.CH4.ZG.AR5,Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),1998,
2899168,US,United States,5.7758266986912,BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)",2018,
2430832,NO,Norway,"",ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items (current US$)",1982,
2828341,US,United States,16.4520404415866,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2014,
2658512,NO,Norway,"",SL.EMP.TOTL.SP.MA.ZS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1978,
2779829,DK,Denmark,"",per_si_allsi.cov_q3_tot,Coverage of social insurance programs in 3rd quintile (% of population),1999,
2387828,SE,Sweden,93.6239013671875,SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)",2007,
2346537,SE,Sweden,99.0243911743164,CC.PER.RNK.UPPER,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",2006,
2712070,DK,Denmark,1217743257.82837,NV.AGR.TOTL.KD,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",1977,
2408053,SE,Sweden,2313966530.24361,TX.VAL.SERV.CD.WT,Commercial service exports (current US$),1975,
2367160,FI,Finland,0,BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)",1980,
2777657,GB,United Kingdom,1236466057783.59,NY.GNP.MKTP.PP.CD,"GNI, PPP (current international $)",1996,
2471928,SE,Sweden,44836964071.6674,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),1987,
2840001,US,United States,3.07,TM.TAX.MANF.SM.AR.ZS,"Tariff rate, applied, simple mean, manufactured products (%)",2010,
2872536,US,United States,"",EN.GHG.CO2.LU.OS.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),1962,
2971856,GB,United Kingdom,15.2439416801406,BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),2001,
2549349,DK,Denmark,"",SL.TLF.TOTL.IN,"Labor force, total",1961,
2416945,SE,Sweden,"",SH.STA.ODFC.UR.ZS,"People practicing open defecation, urban (% of urban population)",1988,
2918208,FI,Finland,"",per_lm_alllm.cov_q4_tot,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),1979,
2468082,NO,Norway,"",per_si_allsi.adq_pop_tot,Adequacy of social insurance programs (% of total welfare of beneficiary households),1979,
3016064,NO,Norway,60.312,SL.TLF.ACTI.1524.NE.ZS,"Labor force participation rate for ages 15-24, total (%) (national estimate)",2005,
2574501,SE,Sweden,0.995389997959137,SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)",2006,
2788034,FI,Finland,"",SI.SPR.PCAP,"Survey mean consumption or income per capita, total population (2021 PPP $ per day)",1994,
3010849,NO,Norway,"",SL.TLF.0714.SW.MA.TM,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",2016,
2671734,DK,Denmark,0.0131,EN.GHG.CH4.PI.MT.CE.AR5,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),1975,
2894861,US,United States,5.44982086123406,NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI),2014,
2719071,DK,Denmark,114,SH.DTH.2024,Number of deaths ages 20-24 years,2019,
2824226,GB,United Kingdom,"",SH.STA.WAST.FE.ZS,"Prevalence of wasting, weight for height, female (% of children under 5)",1981,
2382079,NO,Norway,"",NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",1984,
2644157,FI,Finland,"",SH.HIV.INCD.TL.P3,"Incidence of HIV, all (per 1,000 uninfected population)",1989,
2719142,DK,Denmark,0.126880229981455,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),2015,
2654433,DK,Denmark,"",SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1980,
1034707,NO,Norway,"",HD_HCIP_OTJL_FE,"Human capital index plus (HCI+): on-the-job learning pillar score, female (scale -30–87)",1976,
2775796,DK,Denmark,10.09764194,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),2018,
2878997,US,United States,"",SH.SVR.WAST.MA.ZS,"Prevalence of severe wasting, weight for height, male (% of children under 5)",2009,
2914492,NO,Norway,56.754,SL.EMP.1524.SP.FE.ZS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2011,
2918545,FI,Finland,24227255964.5725,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),2006,
2976520,GB,United Kingdom,10609000000,GC.XPN.INTP.CN,Interest payments (current LCU),1981,
2818195,US,United States,60263211,SP.POP.0014.TO,"Population ages 0-14, total",2021,
2360202,GB,United Kingdom,"",SL.SRV.0714.MA.ZS,"Child employment in services, male (% of male economically active children ages 7-14)",1998,
2343969,GB,United Kingdom,"",SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)",2014,
2735334,DK,Denmark,"",LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),1988,
2525292,SE,Sweden,"",SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1992,
2729126,US,United States,9.704,SL.UEM.1524.MA.NE.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",2024,
