ministry_code,committee,decision_type,decision_quarter,decision_year,quarter_num,total_proposals,approved_proposals,rejected_proposals,referred_back_proposals,committee_referral_proposals,other_decisions,approval_rate,rejection_rate,committee_referral_rate,earliest_proposal_date,latest_proposal_date
Utbildningsdepartementet,Bifall,"",2023-04-01 00:00:00+00,2023,2,1,1,0,0,0,0,100.00,0.00,0.00,2023-06-21,2023-06-21
FI,Delvis bifall,"",2002-01-01 00:00:00+00,2002,1,1,0,0,0,1,0,0.00,0.00,100.00,2002-03-21,2002-03-21
M, Delvis bifall,Röstning,2010-01-01 00:00:00+00,2010,1,2,2,0,0,0,0,100.00,0.00,0.00,2010-03-23,2010-03-30
S, Bifall,Acklamation,2005-10-01 00:00:00+00,2005,4,1,1,0,0,0,0,100.00,0.00,0.00,2005-12-08,2005-12-08
JO,Delvis bifall,"",2002-04-01 00:00:00+00,2002,2,1,1,0,0,0,0,100.00,0.00,0.00,2002-06-10,2002-06-10
JO," Bifall,  Delvis bifall,  Delvis bifall",Acklamation,2003-07-01 00:00:00+00,2003,3,1,1,0,0,0,0,100.00,0.00,0.00,2003-07-30,2003-07-30
KUD t.o.m. -04, Delvis bifall,Acklamation,2003-01-01 00:00:00+00,2003,1,1,1,0,0,0,0,100.00,0.00,0.00,2003-03-20,2003-03-20
FI, Delvis bifall,Röstning,2009-07-01 00:00:00+00,2009,3,1,1,0,0,0,0,100.00,0.00,0.00,2009-09-21,2009-09-21
Fö, Bifall,Acklamation,2006-07-01 00:00:00+00,2006,3,1,1,0,0,0,0,100.00,0.00,0.00,2006-09-29,2006-09-29
U t.o.m. 1 jan-07, Bifall,Acklamation,2006-04-01 00:00:00+00,2006,2,1,1,0,0,0,0,100.00,0.00,0.00,2006-05-02,2006-05-02
M, Delvis bifall,Acklamation,2011-01-01 00:00:00+00,2011,1,1,1,0,0,0,0,100.00,0.00,0.00,2011-03-31,2011-03-31
Utbildningsdepartementet,Bifall,"",2022-01-01 00:00:00+00,2022,1,1,1,0,0,0,0,100.00,0.00,0.00,2022-01-11,2022-01-11
N, Bifall,Acklamation,2004-04-01 00:00:00+00,2004,2,3,3,0,0,0,0,100.00,0.00,0.00,2004-04-13,2004-06-02
Utbildningsdepartementet,Bifall,"",2001-07-01 00:00:00+00,2001,3,1,0,0,0,1,0,0.00,0.00,100.00,2001-09-27,2001-09-27
U, Bifall,Acklamation,2013-01-01 00:00:00+00,2013,1,2,2,0,0,0,0,100.00,0.00,0.00,2013-01-03,2013-01-24
Justitiedepartementet,Bifall,"",2019-01-01 00:00:00+00,2019,1,1,1,0,0,0,0,100.00,0.00,0.00,2019-01-31,2019-01-31
Kulturdepartementet,Delvis bifall,"",2015-04-01 00:00:00+00,2015,2,1,1,0,0,0,0,100.00,0.00,0.00,2015-05-29,2015-05-29
N, Bifall,Röstning,2010-01-01 00:00:00+00,2010,1,5,5,0,0,0,0,100.00,0.00,0.00,2010-02-23,2010-03-22
Ju, Bifall,Acklamation,2010-10-01 00:00:00+00,2010,4,2,2,0,0,0,0,100.00,0.00,0.00,2010-10-25,2010-11-08
Kulturdepartementet,Bifall,"",2023-04-01 00:00:00+00,2023,2,1,1,0,0,0,0,100.00,0.00,0.00,2023-06-20,2023-06-20
Utrikesdepartementet,Bifall,"",2024-01-01 00:00:00+00,2024,1,1,1,0,0,0,0,100.00,0.00,0.00,2024-03-19,2024-03-19
FI, Bifall,Acklamation,2013-01-01 00:00:00+00,2013,1,9,9,0,0,0,0,100.00,0.00,0.00,2013-01-03,2013-03-26
Ju, Bifall,Röstning,2011-10-01 00:00:00+00,2011,4,3,3,0,0,0,0,100.00,0.00,0.00,2011-10-11,2011-12-29
Ju, Bifall,Acklamation,2012-04-01 00:00:00+00,2012,2,2,2,0,0,0,0,100.00,0.00,0.00,2012-05-09,2012-05-29
Ku, Bifall,Acklamation,2009-07-01 00:00:00+00,2009,3,1,1,0,0,0,0,100.00,0.00,0.00,2009-09-21,2009-09-21
S, Bifall,Acklamation,2011-04-01 00:00:00+00,2011,2,1,1,0,0,0,0,100.00,0.00,0.00,2011-05-30,2011-05-30
Näringsdepartementet,Bifall,"",2017-01-01 00:00:00+00,2017,1,10,10,0,0,0,0,100.00,0.00,0.00,2017-01-16,2017-03-20
N, Bifall,Röstning,2007-04-01 00:00:00+00,2007,2,1,1,0,0,0,0,100.00,0.00,0.00,2007-06-01,2007-06-01
Utrikesdepartementet,Bifall,"",2015-04-01 00:00:00+00,2015,2,1,1,0,0,0,0,100.00,0.00,0.00,2015-04-09,2015-04-09
S," Avslag,  Bifall,  Bifall,  Bifall,  Delvis bifall,  Bifall,  Bifall",Acklamation,2008-01-01 00:00:00+00,2008,1,1,1,0,0,0,0,100.00,0.00,0.00,2008-01-23,2008-01-23
M, Bifall,Acklamation,2010-07-01 00:00:00+00,2010,3,1,1,0,0,0,0,100.00,0.00,0.00,2010-07-14,2010-07-14
FI, Bifall,Acklamation,2012-07-01 00:00:00+00,2012,3,5,5,0,0,0,0,100.00,0.00,0.00,2012-07-06,2012-09-19
Finansdepartementet,Bifall,"",2017-04-01 00:00:00+00,2017,2,5,5,0,0,0,0,100.00,0.00,0.00,2017-04-05,2017-05-30
Finansdepartementet,Bifall,"",2015-07-01 00:00:00+00,2015,3,4,4,0,0,0,0,100.00,0.00,0.00,2015-09-21,2015-09-23
Justitiedepartementet,"Bifall,Bifall","",2017-10-01 00:00:00+00,2017,4,1,1,0,0,0,0,100.00,0.00,0.00,2017-12-05,2017-12-05
N," Bifall,  Bifall",Acklamation,2011-04-01 00:00:00+00,2011,2,1,1,0,0,0,0,100.00,0.00,0.00,2011-04-04,2011-04-04
Finansdepartementet,Delvis bifall,"",2015-01-01 00:00:00+00,2015,1,1,1,0,0,0,0,100.00,0.00,0.00,2015-01-01,2015-01-01
S," Bifall,  Bifall",Röstning,2006-01-01 00:00:00+00,2006,1,1,1,0,0,0,0,100.00,0.00,0.00,2006-01-18,2006-01-18
U, Bifall,Acklamation,2014-04-01 00:00:00+00,2014,2,2,2,0,0,0,0,100.00,0.00,0.00,2014-04-02,2014-04-10
SB, Bifall,Acklamation,2010-10-01 00:00:00+00,2010,4,1,1,0,0,0,0,100.00,0.00,0.00,2010-10-18,2010-10-18
Socialdepartementet,Bifall,"",2018-01-01 00:00:00+00,2018,1,6,6,0,0,0,0,100.00,0.00,0.00,2018-01-18,2018-03-06
Utrikesdepartementet,bifall,"",2000-01-01 00:00:00+00,2000,1,2,0,0,0,2,0,0.00,0.00,100.00,2000-01-01,2000-01-01
JU, Delvis bifall,Acklamation,2006-01-01 00:00:00+00,2006,1,4,4,0,0,0,0,100.00,0.00,0.00,2006-03-15,2006-03-29
S," Delvis bifall,  Delvis bifall",Röstning,2014-01-01 00:00:00+00,2014,1,1,1,0,0,0,0,100.00,0.00,0.00,2014-03-18,2014-03-18
Miljödepartementet,delvis bifall,"",2001-01-01 00:00:00+00,2001,1,1,0,0,0,1,0,0.00,0.00,100.00,2001-01-01,2001-01-01
Finansdepartementet, Delvis bifall,Acklamation,2003-10-01 00:00:00+00,2003,4,1,1,0,0,0,0,100.00,0.00,0.00,2003-10-16,2003-10-16
FI, Bifall,Acklamation,2012-10-01 00:00:00+00,2012,4,5,5,0,0,0,0,100.00,0.00,0.00,2012-10-03,2012-11-09
FI, Delvis bifall,Acklamation,2005-04-01 00:00:00+00,2005,2,2,2,0,0,0,0,100.00,0.00,0.00,2005-05-30,2005-05-31
Ju, Bifall,Acklamation,2012-07-01 00:00:00+00,2012,3,2,2,0,0,0,0,100.00,0.00,0.00,2012-09-07,2012-09-18
M t.o.m. -04, Bifall,Acklamation,2004-07-01 00:00:00+00,2004,3,1,1,0,0,0,0,100.00,0.00,0.00,2004-09-28,2004-09-28
A, Bifall,Acklamation,2012-07-01 00:00:00+00,2012,3,1,1,0,0,0,0,100.00,0.00,0.00,2012-09-21,2012-09-21
A, Delvis bifall,"",2009-10-01 00:00:00+00,2009,4,1,1,0,0,0,0,100.00,0.00,0.00,2009-11-10,2009-11-10
JU, Delvis bifall,Acklamation,2005-04-01 00:00:00+00,2005,2,1,1,0,0,0,0,100.00,0.00,0.00,2005-05-31,2005-05-31
S," Bifall,  Bifall",Röstning,2013-10-01 00:00:00+00,2013,4,1,1,0,0,0,0,100.00,0.00,0.00,2013-12-17,2013-12-17
Finansdepartementet,delvis bifall,"",2000-01-01 00:00:00+00,2000,1,4,0,0,0,4,0,0.00,0.00,100.00,2000-01-01,2000-01-01
JU, Bifall,Röstning,2008-01-01 00:00:00+00,2008,1,2,2,0,0,0,0,100.00,0.00,0.00,2008-03-11,2008-03-18
Justitiedepartementet,BifallDelvis,"",2025-01-01 00:00:00+00,2025,1,1,1,0,0,0,0,100.00,0.00,0.00,2025-01-28,2025-01-28
JU," Bifall,  Bifall,  Bifall","",2007-07-01 00:00:00+00,2007,3,1,1,0,0,0,0,100.00,0.00,0.00,2007-08-28,2007-08-28
S,Bifall,"",2002-01-01 00:00:00+00,2002,1,10,0,0,0,10,0,0.00,0.00,100.00,2002-01-07,2002-03-20
N, Bifall,Acklamation,2013-04-01 00:00:00+00,2013,2,2,2,0,0,0,0,100.00,0.00,0.00,2013-04-22,2013-06-03
JU," Bifall,  Bifall,  Bifall",Acklamation,2009-01-01 00:00:00+00,2009,1,1,1,0,0,0,0,100.00,0.00,0.00,2009-02-17,2009-02-17
UD, Bifall,Röstning,2013-01-01 00:00:00+00,2013,1,2,2,0,0,0,0,100.00,0.00,0.00,2013-01-03,2013-02-08
S, Bifall,Acklamation,2009-10-01 00:00:00+00,2009,4,3,3,0,0,0,0,100.00,0.00,0.00,2009-11-17,2009-12-21
JO, Bifall,Acklamation,2003-01-01 00:00:00+00,2003,1,2,2,0,0,0,0,100.00,0.00,0.00,2003-01-21,2003-03-10
M, Bifall,Acklamation,2012-04-01 00:00:00+00,2012,2,2,2,0,0,0,0,100.00,0.00,0.00,2012-04-16,2012-06-20
Socialdepartementet,Bifall,"",2021-04-01 00:00:00+00,2021,2,2,2,0,0,0,0,100.00,0.00,0.00,2021-04-13,2021-04-13
N," Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall",Acklamation,2004-10-01 00:00:00+00,2004,4,1,1,0,0,0,0,100.00,0.00,0.00,2004-10-26,2004-10-26
S, Bifall,Röstning,2003-01-01 00:00:00+00,2003,1,1,1,0,0,0,0,100.00,0.00,0.00,2003-01-20,2003-01-20
FI, Bifall,Röstning,2014-04-01 00:00:00+00,2014,2,2,2,0,0,0,0,100.00,0.00,0.00,2014-04-11,2014-05-13
Kulturdepartementet,Bifall,"",2015-04-01 00:00:00+00,2015,2,1,1,0,0,0,0,100.00,0.00,0.00,2015-05-25,2015-05-25
FI, Bifall,Acklamation,2008-01-01 00:00:00+00,2008,1,2,2,0,0,0,0,100.00,0.00,0.00,2008-02-20,2008-02-27
JO, Bifall,Acklamation,2007-01-01 00:00:00+00,2007,1,2,2,0,0,0,0,100.00,0.00,0.00,2007-03-21,2007-03-21
Näringsdepartementet,Bifall,"",2017-04-01 00:00:00+00,2017,2,4,4,0,0,0,0,100.00,0.00,0.00,2017-05-09,2017-06-20
Justitiedepartementet,Avslag,"",2018-07-01 00:00:00+00,2018,3,1,0,1,0,0,0,0.00,100.00,0.00,2018-08-28,2018-08-28
FI, Bifall,Röstning,2009-01-01 00:00:00+00,2009,1,3,3,0,0,0,0,100.00,0.00,0.00,2009-01-15,2009-03-31
Justitiedepartementet,Bifall,"",2014-10-01 00:00:00+00,2014,4,5,5,0,0,0,0,100.00,0.00,0.00,2014-12-03,2014-12-17
Justitiedepartementet,Bifall,"",2016-04-01 00:00:00+00,2016,2,10,10,0,0,0,0,100.00,0.00,0.00,2016-04-07,2016-06-21
FI," Bifall,  Delvis bifall",Röstning,2007-10-01 00:00:00+00,2007,4,1,1,0,0,0,0,100.00,0.00,0.00,2007-10-24,2007-10-24
N, Bifall,Acklamation,2002-10-01 00:00:00+00,2002,4,1,1,0,0,0,0,100.00,0.00,0.00,2002-11-13,2002-11-13
Finansdepartementet,Bifall,"",2017-07-01 00:00:00+00,2017,3,9,9,0,0,0,0,100.00,0.00,0.00,2017-07-04,2017-09-27
Socialdepartementet,Bifall,"",2002-01-01 00:00:00+00,2002,1,1,0,0,0,1,0,0.00,0.00,100.00,2002-02-21,2002-02-21
Finansdepartementet,Bifall,"",2019-10-01 00:00:00+00,2019,4,1,1,0,0,0,0,100.00,0.00,0.00,2019-11-19,2019-11-19
JU, Bifall,Röstning,2007-10-01 00:00:00+00,2007,4,1,1,0,0,0,0,100.00,0.00,0.00,2007-11-14,2007-11-14
JU," Bifall,  Bifall",Acklamation,2010-04-01 00:00:00+00,2010,2,1,1,0,0,0,0,100.00,0.00,0.00,2010-04-20,2010-04-20
Finansdepartementet,Bifall,"",2019-01-01 00:00:00+00,2019,1,5,5,0,0,0,0,100.00,0.00,0.00,2019-02-07,2019-02-26
UD, Bifall,Acklamation,2009-10-01 00:00:00+00,2009,4,1,1,0,0,0,0,100.00,0.00,0.00,2009-10-22,2009-10-22
FI," Bifall,  Bifall,  Bifall,  Bifall",Acklamation,2003-10-01 00:00:00+00,2003,4,1,1,0,0,0,0,100.00,0.00,0.00,2003-10-22,2003-10-22
M  t.o.m. 1 jan-07, Bifall,Röstning,2005-10-01 00:00:00+00,2005,4,1,1,0,0,0,0,100.00,0.00,0.00,2005-10-19,2005-10-19
S, Bifall,Röstning,2012-10-01 00:00:00+00,2012,4,1,1,0,0,0,0,100.00,0.00,0.00,2012-10-16,2012-10-16
JU, Delvis bifall,Röstning,2006-01-01 00:00:00+00,2006,1,1,1,0,0,0,0,100.00,0.00,0.00,2006-03-01,2006-03-01
FI," Bifall,  Bifall,  Bifall,  Bifall",Acklamation,2003-04-01 00:00:00+00,2003,2,1,1,0,0,0,0,100.00,0.00,0.00,2003-05-28,2003-05-28
Jordbruksdepartementet,delvis bifall,"",2000-01-01 00:00:00+00,2000,1,1,0,0,0,1,0,0.00,0.00,100.00,2000-01-01,2000-01-01
S," Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Delvis bifall",Acklamation,2005-01-01 00:00:00+00,2005,1,1,1,0,0,0,0,100.00,0.00,0.00,2005-03-22,2005-03-22
S," Bifall,  Bifall",Röstning,2004-04-01 00:00:00+00,2004,2,1,1,0,0,0,0,100.00,0.00,0.00,2004-06-02,2004-06-02
JU, Delvis bifall,Acklamation,2010-07-01 00:00:00+00,2010,3,1,1,0,0,0,0,100.00,0.00,0.00,2010-07-01,2010-07-01
Socialdepartementet,Bifall,"",2017-04-01 00:00:00+00,2017,2,1,1,0,0,0,0,100.00,0.00,0.00,2017-06-07,2017-06-07
FI, Bifall,Acklamation,2007-04-01 00:00:00+00,2007,2,3,3,0,0,0,0,100.00,0.00,0.00,2007-04-02,2007-06-04
S, Bifall,Acklamation,2013-10-01 00:00:00+00,2013,4,5,5,0,0,0,0,100.00,0.00,0.00,2013-10-24,2013-12-17
S, Bifall,Acklamation,2012-07-01 00:00:00+00,2012,3,1,1,0,0,0,0,100.00,0.00,0.00,2012-09-19,2012-09-19
Ju, Bifall,Röstning,2011-01-01 00:00:00+00,2011,1,1,1,0,0,0,0,100.00,0.00,0.00,2011-03-08,2011-03-08
S, Bifall,Acklamation,2003-10-01 00:00:00+00,2003,4,1,1,0,0,0,0,100.00,0.00,0.00,2003-12-16,2003-12-16
JU," Delvis bifall,  Delvis bifall,  Delvis bifall,  Bifall",Acklamation,2010-01-01 00:00:00+00,2010,1,1,1,0,0,0,0,100.00,0.00,0.00,2010-03-23,2010-03-23
Justitiedepartementet,Bifall,"",2025-01-01 00:00:00+00,2025,1,10,10,0,0,0,0,100.00,0.00,0.00,2025-01-22,2025-03-27
JU, Bifall,Acklamation,2003-10-01 00:00:00+00,2003,4,2,2,0,0,0,0,100.00,0.00,0.00,2003-10-20,2003-10-22
Ju, Bifall,Acklamation,2011-04-01 00:00:00+00,2011,2,4,4,0,0,0,0,100.00,0.00,0.00,2011-04-05,2011-06-30
JU," Bifall,  Bifall,  Bifall,  Bifall",Röstning,2005-07-01 00:00:00+00,2005,3,1,1,0,0,0,0,100.00,0.00,0.00,2005-09-21,2005-09-21
U, Bifall,Röstning,2007-01-01 00:00:00+00,2007,1,3,3,0,0,0,0,100.00,0.00,0.00,2007-01-24,2007-03-26
U, Delvis bifall,Acklamation,2013-04-01 00:00:00+00,2013,2,1,1,0,0,0,0,100.00,0.00,0.00,2013-05-24,2013-05-24
UD, Delvis bifall,Acklamation,2004-04-01 00:00:00+00,2004,2,1,1,0,0,0,0,100.00,0.00,0.00,2004-06-18,2004-06-18
S," Bifall,  Bifall,  Delvis bifall",Acklamation,2002-10-01 00:00:00+00,2002,4,1,1,0,0,0,0,100.00,0.00,0.00,2002-10-15,2002-10-15
FI," Bifall,  Bifall",Acklamation,2013-04-01 00:00:00+00,2013,2,1,1,0,0,0,0,100.00,0.00,0.00,2013-04-05,2013-04-05
Ju, Bifall,Röstning,2014-01-01 00:00:00+00,2014,1,3,3,0,0,0,0,100.00,0.00,0.00,2014-02-25,2014-03-25
N, Bifall,Acklamation,2006-10-01 00:00:00+00,2006,4,2,2,0,0,0,0,100.00,0.00,0.00,2006-12-05,2006-12-05
Försvarsdepartementet,bifall,"",2001-01-01 00:00:00+00,2001,1,2,0,0,0,2,0,0.00,0.00,100.00,2001-01-01,2001-01-01
N, Bifall,Röstning,2011-01-01 00:00:00+00,2011,1,1,1,0,0,0,0,100.00,0.00,0.00,2011-03-22,2011-03-22
FI, Delvis bifall,Röstning,2012-10-01 00:00:00+00,2012,4,1,1,0,0,0,0,100.00,0.00,0.00,2012-11-20,2012-11-20
FI,Bifall,"",2001-10-01 00:00:00+00,2001,4,12,0,0,0,12,0,0.00,0.00,100.00,2001-10-02,2001-11-28
S, Bifall,Acklamation,2004-07-01 00:00:00+00,2004,3,1,1,0,0,0,0,100.00,0.00,0.00,2004-09-06,2004-09-06
JU, Delvis bifall,Acklamation,2009-10-01 00:00:00+00,2009,4,2,1,1,0,0,0,50.00,50.00,0.00,2009-11-10,2009-12-15
Justitiedepartementet,Bifall,"",2023-04-01 00:00:00+00,2023,2,4,4,0,0,0,0,100.00,0.00,0.00,2023-04-25,2023-05-25
FI, Avslag,Röstning,2004-10-01 00:00:00+00,2004,4,1,1,0,0,0,0,100.00,0.00,0.00,2004-10-13,2004-10-13
S, Delvis bifall,Acklamation,2010-01-01 00:00:00+00,2010,1,1,1,0,0,0,0,100.00,0.00,0.00,2010-03-18,2010-03-18
FI, Delvis bifall,Acklamation,2005-01-01 00:00:00+00,2005,1,2,2,0,0,0,0,100.00,0.00,0.00,2005-03-22,2005-03-23
S," Bifall,  Bifall,  Bifall,  Bifall,  Bifall",Acklamation,2007-04-01 00:00:00+00,2007,2,1,1,0,0,0,0,100.00,0.00,0.00,2007-06-27,2007-06-27
JU, Bifall,Acklamation,2002-10-01 00:00:00+00,2002,4,1,1,0,0,0,0,100.00,0.00,0.00,2002-10-08,2002-10-08
S," Delvis bifall,  Bifall,  Bifall",Röstning,2010-04-01 00:00:00+00,2010,2,1,1,0,0,0,0,100.00,0.00,0.00,2010-04-22,2010-04-22
S," Bifall,  Bifall,  Delvis bifall",Acklamation,2006-01-01 00:00:00+00,2006,1,1,1,0,0,0,0,100.00,0.00,0.00,2006-03-15,2006-03-15
N, Bifall,Acklamation,2008-01-01 00:00:00+00,2008,1,4,4,0,0,0,0,100.00,0.00,0.00,2008-02-19,2008-03-25
JU,Delvis bifall,"",2001-10-01 00:00:00+00,2001,4,1,0,0,0,1,0,0.00,0.00,100.00,2001-11-07,2001-11-07
S, Bifall,Acklamation,2004-01-01 00:00:00+00,2004,1,2,2,0,0,0,0,100.00,0.00,0.00,2004-03-17,2004-03-17
Utbildningsdepartementet,Bifall,"",2016-01-01 00:00:00+00,2016,1,4,4,0,0,0,0,100.00,0.00,0.00,2016-03-14,2016-03-22
S," Bifall,  Bifall,  Bifall,  Bifall,  Bifall,  Avslag,  Bifall,  Bifall,  Delvis bifall,  Bifall,  Bifall,  Bifall",Röstning,2006-01-01 00:00:00+00,2006,1,1,1,0,0,0,0,100.00,0.00,0.00,2006-01-18,2006-01-18
JU, Bifall,Acklamation,2003-07-01 00:00:00+00,2003,3,2,2,0,0,0,0,100.00,0.00,0.00,2003-09-29,2003-09-30
S, Bifall,Acklamation,2008-10-01 00:00:00+00,2008,4,4,4,0,0,0,0,100.00,0.00,0.00,2008-10-01,2008-12-09
N, Bifall,Röstning,2009-10-01 00:00:00+00,2009,4,3,3,0,0,0,0,100.00,0.00,0.00,2009-10-07,2009-11-04
Justitiedepartementet,Bifall,"",2013-10-01 00:00:00+00,2013,4,1,1,0,0,0,0,100.00,0.00,0.00,2013-11-26,2013-11-26
Försvarsdepartementet,Bifall,"",2023-01-01 00:00:00+00,2023,1,2,2,0,0,0,0,100.00,0.00,0.00,2023-03-14,2023-03-14
M, Bifall,Röstning,2008-10-01 00:00:00+00,2008,4,1,1,0,0,0,0,100.00,0.00,0.00,2008-11-17,2008-11-17
Ju, Bifall,Röstning,2012-01-01 00:00:00+00,2012,1,2,2,0,0,0,0,100.00,0.00,0.00,2012-02-09,2012-03-20
FI,Bifall,"",2002-04-01 00:00:00+00,2002,2,5,0,0,0,5,0,0.00,0.00,100.00,2002-04-11,2002-04-15
Fö, Delvis bifall,Acklamation,2007-04-01 00:00:00+00,2007,2,1,1,0,0,0,0,100.00,0.00,0.00,2007-05-23,2007-05-23
N, Delvis bifall,Acklamation,2013-01-01 00:00:00+00,2013,1,1,1,0,0,0,0,100.00,0.00,0.00,2013-02-11,2013-02-11
FI, Bifall,Acklamation,2009-07-01 00:00:00+00,2009,3,3,3,0,0,0,0,100.00,0.00,0.00,2009-09-23,2009-09-30
Näringsdepartementet,Bifall,"",2016-01-01 00:00:00+00,2016,1,5,5,0,0,0,0,100.00,0.00,0.00,2016-02-04,2016-03-14
FI, Bifall,Acklamation,2006-04-01 00:00:00+00,2006,2,1,1,0,0,0,0,100.00,0.00,0.00,2006-04-18,2006-04-18
Socialdepartementet,Bifall,"",2015-04-01 00:00:00+00,2015,2,2,2,0,0,0,0,100.00,0.00,0.00,2015-06-02,2015-06-16
S, Bifall,Acklamation,2006-01-01 00:00:00+00,2006,1,6,6,0,0,0,0,100.00,0.00,0.00,2006-01-25,2006-03-22
