party,year,quarter,period,participation_rate,momentum,trend_direction,stability_classification
L,2024,4,2024-Q4,0.81,-0.01,STABLE,STABLE
M,2024,4,2024-Q4,0.84,-0.04,NEGATIVE,VERY_STABLE
MP,2024,4,2024-Q4,0.25,-0.12,STRONG_NEGATIVE,MODERATE
S,2024,4,2024-Q4,0.41,-0.25,STRONG_NEGATIVE,VOLATILE
SD,2024,4,2024-Q4,0.81,0.15,STRONG_POSITIVE,MODERATE
V,2024,4,2024-Q4,0.25,-0.15,STRONG_NEGATIVE,MODERATE
-,2024,2,2024-Q2,0.46,-0.04,NEGATIVE,HIGHLY_VOLATILE
C,2024,2,2024-Q2,0.46,-0.07,STRONG_NEGATIVE,VOLATILE
KD,2024,2,2024-Q2,0.82,0.03,POSITIVE,STABLE
L,2024,2,2024-Q2,0.80,0.03,POSITIVE,STABLE
M,2024,2,2024-Q2,0.86,0.00,STABLE,VERY_STABLE
MP,2024,2,2024-Q2,0.26,-0.14,STRONG_NEGATIVE,HIGHLY_VOLATILE
S,2024,2,2024-Q2,0.44,0.04,POSITIVE,HIGHLY_VOLATILE
SD,2024,2,2024-Q2,0.63,0.00,STABLE,VOLATILE
V,2024,2,2024-Q2,0.38,-0.05,STRONG_NEGATIVE,VOLATILE
-,2024,1,2024-Q1,0.49,-0.12,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2024,1,2024-Q1,0.53,0.06,STRONG_POSITIVE,VOLATILE
KD,2024,1,2024-Q1,0.79,-0.03,NEGATIVE,STABLE
L,2024,1,2024-Q1,0.76,-0.04,NEGATIVE,MODERATE
M,2024,1,2024-Q1,0.86,0.00,STABLE,VERY_STABLE
MP,2024,1,2024-Q1,0.40,0.14,STRONG_POSITIVE,VOLATILE
S,2024,1,2024-Q1,0.39,0.01,STABLE,HIGHLY_VOLATILE
SD,2024,1,2024-Q1,0.63,-0.18,STRONG_NEGATIVE,VOLATILE
V,2024,1,2024-Q1,0.44,0.31,STRONG_POSITIVE,HIGHLY_VOLATILE
-,2023,4,2023-Q4,0.61,-0.39,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2023,4,2023-Q4,0.47,0.18,STRONG_POSITIVE,MODERATE
KD,2023,4,2023-Q4,0.82,-0.07,STRONG_NEGATIVE,STABLE
L,2023,4,2023-Q4,0.80,0.07,STRONG_POSITIVE,MODERATE
M,2023,4,2023-Q4,0.86,-0.02,NEGATIVE,VERY_STABLE
MP,2023,4,2023-Q4,0.26,-0.33,STRONG_NEGATIVE,VOLATILE
S,2023,4,2023-Q4,0.38,-0.48,STRONG_NEGATIVE,HIGHLY_VOLATILE
SD,2023,4,2023-Q4,0.81,-0.06,STRONG_NEGATIVE,HIGHLY_VOLATILE
V,2023,4,2023-Q4,0.12,-0.14,STRONG_NEGATIVE,HIGHLY_VOLATILE
-,2023,2,2023-Q2,0.54,0.17,STRONG_POSITIVE,VOLATILE
C,2023,2,2023-Q2,0.34,-0.06,STRONG_NEGATIVE,VOLATILE
KD,2023,2,2023-Q2,0.82,0.02,STABLE,HIGHLY_VOLATILE
L,2023,2,2023-Q2,0.85,0.00,STABLE,VOLATILE
M,2023,2,2023-Q2,0.87,0.02,STABLE,HIGHLY_VOLATILE
MP,2023,2,2023-Q2,0.38,0.00,STABLE,MODERATE
S,2023,2,2023-Q2,0.49,0.01,STABLE,VOLATILE
SD,2023,2,2023-Q2,0.56,-0.01,STABLE,HIGHLY_VOLATILE
V,2023,2,2023-Q2,0.45,-0.03,NEGATIVE,VOLATILE
C,2023,1,2023-Q1,0.40,-0.16,STRONG_NEGATIVE,MODERATE
KD,2023,1,2023-Q1,0.81,-0.02,STABLE,HIGHLY_VOLATILE
L,2023,1,2023-Q1,0.85,0.07,STRONG_POSITIVE,HIGHLY_VOLATILE
M,2023,1,2023-Q1,0.85,0.02,STABLE,HIGHLY_VOLATILE
MP,2023,1,2023-Q1,0.38,0.04,POSITIVE,MODERATE
S,2023,1,2023-Q1,0.48,-0.27,STRONG_NEGATIVE,VOLATILE
SD,2023,1,2023-Q1,0.57,-0.27,STRONG_NEGATIVE,HIGHLY_VOLATILE
V,2023,1,2023-Q1,0.48,0.22,STRONG_POSITIVE,VOLATILE
C,2022,4,2022-Q4,0.56,0.04,POSITIVE,MODERATE
KD,2022,4,2022-Q4,0.82,0.33,STRONG_POSITIVE,HIGHLY_VOLATILE
L,2022,4,2022-Q4,0.78,0.18,STRONG_POSITIVE,VOLATILE
M,2022,4,2022-Q4,0.83,0.29,STRONG_POSITIVE,VOLATILE
MP,2022,4,2022-Q4,0.34,-0.15,STRONG_NEGATIVE,VOLATILE
S,2022,4,2022-Q4,0.75,0.04,POSITIVE,VERY_STABLE
SD,2022,4,2022-Q4,0.83,0.36,STRONG_POSITIVE,HIGHLY_VOLATILE
V,2022,4,2022-Q4,0.26,-0.20,STRONG_NEGATIVE,VOLATILE
-,2022,2,2022-Q2,0.37,-0.26,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2022,2,2022-Q2,0.52,0.01,STABLE,VOLATILE
KD,2022,2,2022-Q2,0.49,-0.01,STABLE,VOLATILE
L,2022,2,2022-Q2,0.61,0.08,STRONG_POSITIVE,MODERATE
M,2022,2,2022-Q2,0.54,0.03,POSITIVE,MODERATE
MP,2022,2,2022-Q2,0.50,-0.04,NEGATIVE,HIGHLY_VOLATILE
S,2022,2,2022-Q2,0.71,-0.01,STABLE,MODERATE
SD,2022,2,2022-Q2,0.48,0.03,POSITIVE,VOLATILE
V,2022,2,2022-Q2,0.45,-0.06,STRONG_NEGATIVE,VOLATILE
-,2022,1,2022-Q1,0.63,0.19,STRONG_POSITIVE,HIGHLY_VOLATILE
C,2022,1,2022-Q1,0.51,-0.14,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2022,1,2022-Q1,0.49,-0.22,STRONG_NEGATIVE,HIGHLY_VOLATILE
L,2022,1,2022-Q1,0.52,-0.13,STRONG_NEGATIVE,HIGHLY_VOLATILE
M,2022,1,2022-Q1,0.51,-0.15,STRONG_NEGATIVE,HIGHLY_VOLATILE
MP,2022,1,2022-Q1,0.53,-0.10,STRONG_NEGATIVE,HIGHLY_VOLATILE
S,2022,1,2022-Q1,0.72,0.01,STABLE,HIGHLY_VOLATILE
SD,2022,1,2022-Q1,0.44,-0.15,STRONG_NEGATIVE,HIGHLY_VOLATILE
V,2022,1,2022-Q1,0.51,0.11,STRONG_POSITIVE,HIGHLY_VOLATILE
-,2021,4,2021-Q4,0.44,-0.31,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2021,4,2021-Q4,0.65,-0.14,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2021,4,2021-Q4,0.71,0.26,STRONG_POSITIVE,HIGHLY_VOLATILE
L,2021,4,2021-Q4,0.65,-0.01,STABLE,HIGHLY_VOLATILE
M,2021,4,2021-Q4,0.66,0.23,STRONG_POSITIVE,HIGHLY_VOLATILE
MP,2021,4,2021-Q4,0.63,-0.24,STRONG_NEGATIVE,HIGHLY_VOLATILE
S,2021,4,2021-Q4,0.71,-0.16,STRONG_NEGATIVE,HIGHLY_VOLATILE
SD,2021,4,2021-Q4,0.59,-0.07,STRONG_NEGATIVE,HIGHLY_VOLATILE
V,2021,4,2021-Q4,0.40,-0.25,STRONG_NEGATIVE,HIGHLY_VOLATILE
-,2021,3,2021-Q3,0.75,0.51,STRONG_POSITIVE,HIGHLY_VOLATILE
C,2021,3,2021-Q3,0.79,0.68,STRONG_POSITIVE,HIGHLY_VOLATILE
KD,2021,3,2021-Q3,0.45,0.38,STRONG_POSITIVE,HIGHLY_VOLATILE
L,2021,3,2021-Q3,0.66,0.54,STRONG_POSITIVE,HIGHLY_VOLATILE
M,2021,3,2021-Q3,0.43,0.34,STRONG_POSITIVE,HIGHLY_VOLATILE
MP,2021,3,2021-Q3,0.88,0.71,STRONG_POSITIVE,HIGHLY_VOLATILE
S,2021,3,2021-Q3,0.87,0.73,STRONG_POSITIVE,HIGHLY_VOLATILE
SD,2021,3,2021-Q3,0.67,0.58,STRONG_POSITIVE,HIGHLY_VOLATILE
V,2021,3,2021-Q3,0.66,0.57,STRONG_POSITIVE,HIGHLY_VOLATILE
-,2021,2,2021-Q2,0.24,0.01,STABLE,VOLATILE
C,2021,2,2021-Q2,0.11,0.00,STABLE,VERY_STABLE
KD,2021,2,2021-Q2,0.07,0.00,STABLE,STABLE
L,2021,2,2021-Q2,0.11,0.00,STABLE,VERY_STABLE
M,2021,2,2021-Q2,0.09,0.00,STABLE,STABLE
MP,2021,2,2021-Q2,0.16,0.00,STABLE,STABLE
S,2021,2,2021-Q2,0.14,0.00,STABLE,STABLE
SD,2021,2,2021-Q2,0.08,0.01,STABLE,VERY_STABLE
V,2021,2,2021-Q2,0.09,0.00,STABLE,VERY_STABLE
-,2021,1,2021-Q1,0.23,0.14,STRONG_POSITIVE,VOLATILE
C,2021,1,2021-Q1,0.11,-0.03,NEGATIVE,VERY_STABLE
KD,2021,1,2021-Q1,0.07,0.01,STABLE,VERY_STABLE
L,2021,1,2021-Q1,0.11,-0.01,STABLE,VERY_STABLE
M,2021,1,2021-Q1,0.09,0.02,STABLE,STABLE
MP,2021,1,2021-Q1,0.16,0.00,STABLE,STABLE
S,2021,1,2021-Q1,0.14,0.00,STABLE,STABLE
SD,2021,1,2021-Q1,0.07,0.00,STABLE,VERY_STABLE
V,2021,1,2021-Q1,0.09,0.02,POSITIVE,STABLE
-,2020,4,2020-Q4,0.08,0.08,STRONG_POSITIVE,HIGHLY_VOLATILE
C,2020,4,2020-Q4,0.13,0.01,STABLE,HIGHLY_VOLATILE
KD,2020,4,2020-Q4,0.06,-0.04,NEGATIVE,VOLATILE
L,2020,4,2020-Q4,0.13,0.00,STABLE,HIGHLY_VOLATILE
M,2020,4,2020-Q4,0.07,-0.09,STRONG_NEGATIVE,VOLATILE
MP,2020,4,2020-Q4,0.17,0.05,STRONG_POSITIVE,HIGHLY_VOLATILE
S,2020,4,2020-Q4,0.14,0.05,POSITIVE,HIGHLY_VOLATILE
SD,2020,4,2020-Q4,0.08,0.01,STABLE,VOLATILE
V,2020,4,2020-Q4,0.07,0.01,STABLE,HIGHLY_VOLATILE
-,2020,3,2020-Q3,0.00,0.00,STABLE,HIGHLY_VOLATILE
C,2020,3,2020-Q3,0.13,0.01,STABLE,HIGHLY_VOLATILE
KD,2020,3,2020-Q3,0.11,0.04,POSITIVE,HIGHLY_VOLATILE
L,2020,3,2020-Q3,0.13,0.00,STABLE,HIGHLY_VOLATILE
M,2020,3,2020-Q3,0.16,0.08,STRONG_POSITIVE,HIGHLY_VOLATILE
MP,2020,3,2020-Q3,0.11,-0.06,STRONG_NEGATIVE,HIGHLY_VOLATILE
S,2020,3,2020-Q3,0.10,-0.05,STRONG_NEGATIVE,HIGHLY_VOLATILE
SD,2020,3,2020-Q3,0.06,-0.01,STABLE,HIGHLY_VOLATILE
V,2020,3,2020-Q3,0.06,-0.04,NEGATIVE,HIGHLY_VOLATILE
-,2020,2,2020-Q2,0.00,-0.43,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2020,2,2020-Q2,0.12,-0.34,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2020,2,2020-Q2,0.07,-0.29,STRONG_NEGATIVE,HIGHLY_VOLATILE
L,2020,2,2020-Q2,0.12,-0.37,STRONG_NEGATIVE,HIGHLY_VOLATILE
M,2020,2,2020-Q2,0.08,-0.26,STRONG_NEGATIVE,HIGHLY_VOLATILE
MP,2020,2,2020-Q2,0.17,-0.47,STRONG_NEGATIVE,HIGHLY_VOLATILE
S,2020,2,2020-Q2,0.15,-0.48,STRONG_NEGATIVE,HIGHLY_VOLATILE
SD,2020,2,2020-Q2,0.07,-0.27,STRONG_NEGATIVE,HIGHLY_VOLATILE
V,2020,2,2020-Q2,0.10,-0.32,STRONG_NEGATIVE,HIGHLY_VOLATILE
-,2020,1,2020-Q1,0.43,-0.21,STRONG_NEGATIVE,HIGHLY_VOLATILE
C,2020,1,2020-Q1,0.46,-0.40,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2020,1,2020-Q1,0.37,-0.13,STRONG_NEGATIVE,VOLATILE
L,2020,1,2020-Q1,0.49,-0.35,STRONG_NEGATIVE,VOLATILE
M,2020,1,2020-Q1,0.34,-0.07,STRONG_NEGATIVE,MODERATE
MP,2020,1,2020-Q1,0.64,-0.24,STRONG_NEGATIVE,VOLATILE
S,2020,1,2020-Q1,0.62,-0.27,STRONG_NEGATIVE,VOLATILE
SD,2020,1,2020-Q1,0.34,-0.05,STRONG_NEGATIVE,STABLE
V,2020,1,2020-Q1,0.42,0.04,POSITIVE,HIGHLY_VOLATILE
-,2019,4,2019-Q4,0.64,0.64,STRONG_POSITIVE,HIGHLY_VOLATILE
C,2019,4,2019-Q4,0.86,0.22,STRONG_POSITIVE,VOLATILE
KD,2019,4,2019-Q4,0.49,-0.03,NEGATIVE,MODERATE
L,2019,4,2019-Q4,0.84,0.25,STRONG_POSITIVE,VOLATILE
M,2019,4,2019-Q4,0.41,-0.06,STRONG_NEGATIVE,VOLATILE
MP,2019,4,2019-Q4,0.88,0.10,STRONG_POSITIVE,STABLE
S,2019,4,2019-Q4,0.89,0.05,POSITIVE,STABLE
SD,2019,4,2019-Q4,0.40,-0.03,NEGATIVE,STABLE
V,2019,4,2019-Q4,0.39,-0.24,STRONG_NEGATIVE,VOLATILE
-,2019,2,2019-Q2,0.00,0.00,STABLE,HIGHLY_VOLATILE
C,2019,2,2019-Q2,0.64,-0.03,NEGATIVE,MODERATE
KD,2019,2,2019-Q2,0.52,-0.10,STRONG_NEGATIVE,MODERATE
L,2019,2,2019-Q2,0.59,-0.01,STABLE,MODERATE
M,2019,2,2019-Q2,0.47,-0.06,STRONG_NEGATIVE,VOLATILE
MP,2019,2,2019-Q2,0.77,-0.06,STRONG_NEGATIVE,STABLE
S,2019,2,2019-Q2,0.84,-0.03,NEGATIVE,STABLE
SD,2019,2,2019-Q2,0.42,0.03,POSITIVE,STABLE
V,2019,2,2019-Q2,0.62,-0.11,STRONG_NEGATIVE,MODERATE
-,2019,1,2019-Q1,0.00,-0.24,STRONG_NEGATIVE,VOLATILE
C,2019,1,2019-Q1,0.66,0.00,STABLE,VOLATILE
KD,2019,1,2019-Q1,0.62,-0.02,STABLE,MODERATE
L,2019,1,2019-Q1,0.60,-0.06,STRONG_NEGATIVE,MODERATE
M,2019,1,2019-Q1,0.54,-0.21,STRONG_NEGATIVE,VOLATILE
MP,2019,1,2019-Q1,0.83,0.00,STABLE,VERY_STABLE
S,2019,1,2019-Q1,0.87,0.05,STRONG_POSITIVE,STABLE
SD,2019,1,2019-Q1,0.39,-0.07,STRONG_NEGATIVE,STABLE
V,2019,1,2019-Q1,0.73,0.08,STRONG_POSITIVE,MODERATE
C,2018,4,2018-Q4,0.66,0.13,STRONG_POSITIVE,MODERATE
KD,2018,4,2018-Q4,0.64,0.10,STRONG_POSITIVE,MODERATE
L,2018,4,2018-Q4,0.66,0.14,STRONG_POSITIVE,MODERATE
M,2018,4,2018-Q4,0.75,0.26,STRONG_POSITIVE,VOLATILE
MP,2018,4,2018-Q4,0.83,-0.01,STABLE,VERY_STABLE
S,2018,4,2018-Q4,0.82,-0.01,STABLE,VERY_STABLE
SD,2018,4,2018-Q4,0.46,0.08,STRONG_POSITIVE,STABLE
V,2018,4,2018-Q4,0.66,0.05,POSITIVE,STABLE
-,2018,2,2018-Q2,0.24,-0.04,NEGATIVE,MODERATE
C,2018,2,2018-Q2,0.53,0.08,STRONG_POSITIVE,HIGHLY_VOLATILE
KD,2018,2,2018-Q2,0.54,0.00,STABLE,HIGHLY_VOLATILE
L,2018,2,2018-Q2,0.51,-0.04,NEGATIVE,HIGHLY_VOLATILE
M,2018,2,2018-Q2,0.48,-0.01,STABLE,MODERATE
MP,2018,2,2018-Q2,0.84,0.02,STABLE,STABLE
S,2018,2,2018-Q2,0.84,-0.01,STABLE,STABLE
SD,2018,2,2018-Q2,0.38,-0.06,STRONG_NEGATIVE,STABLE
V,2018,2,2018-Q2,0.61,0.04,POSITIVE,STABLE
-,2018,1,2018-Q1,0.28,-0.03,NEGATIVE,MODERATE
C,2018,1,2018-Q1,0.45,-0.01,STABLE,HIGHLY_VOLATILE
KD,2018,1,2018-Q1,0.53,0.07,STRONG_POSITIVE,HIGHLY_VOLATILE
L,2018,1,2018-Q1,0.55,0.07,STRONG_POSITIVE,HIGHLY_VOLATILE
M,2018,1,2018-Q1,0.49,-0.01,STABLE,MODERATE
MP,2018,1,2018-Q1,0.82,0.03,POSITIVE,STABLE
S,2018,1,2018-Q1,0.84,0.03,POSITIVE,STABLE
SD,2018,1,2018-Q1,0.44,0.03,POSITIVE,VERY_STABLE
V,2018,1,2018-Q1,0.57,0.01,STABLE,STABLE
-,2017,4,2017-Q4,0.31,0.16,STRONG_POSITIVE,MODERATE
C,2017,4,2017-Q4,0.46,-0.40,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2017,4,2017-Q4,0.47,-0.44,STRONG_NEGATIVE,HIGHLY_VOLATILE
L,2017,4,2017-Q4,0.48,-0.34,STRONG_NEGATIVE,VOLATILE
M,2017,4,2017-Q4,0.50,-0.14,STRONG_NEGATIVE,MODERATE
MP,2017,4,2017-Q4,0.79,-0.11,STRONG_NEGATIVE,STABLE
S,2017,4,2017-Q4,0.82,-0.06,STRONG_NEGATIVE,STABLE
SD,2017,4,2017-Q4,0.41,-0.03,NEGATIVE,STABLE
V,2017,4,2017-Q4,0.56,-0.09,STRONG_NEGATIVE,STABLE
-,2017,2,2017-Q2,0.25,0.02,POSITIVE,VOLATILE
C,2017,2,2017-Q2,0.48,-0.06,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2017,2,2017-Q2,0.52,-0.05,NEGATIVE,STABLE
L,2017,2,2017-Q2,0.54,-0.07,STRONG_NEGATIVE,HIGHLY_VOLATILE
M,2017,2,2017-Q2,0.50,0.02,POSITIVE,MODERATE
MP,2017,2,2017-Q2,0.81,-0.01,STABLE,MODERATE
S,2017,2,2017-Q2,0.83,0.01,STABLE,STABLE
SD,2017,2,2017-Q2,0.43,-0.07,STRONG_NEGATIVE,MODERATE
V,2017,2,2017-Q2,0.61,0.01,STABLE,VERY_STABLE
-,2017,1,2017-Q1,0.23,0.23,STRONG_POSITIVE,VOLATILE
C,2017,1,2017-Q1,0.54,0.08,STRONG_POSITIVE,HIGHLY_VOLATILE
KD,2017,1,2017-Q1,0.57,0.10,STRONG_POSITIVE,STABLE
L,2017,1,2017-Q1,0.62,0.11,STRONG_POSITIVE,HIGHLY_VOLATILE
M,2017,1,2017-Q1,0.47,-0.02,NEGATIVE,MODERATE
MP,2017,1,2017-Q1,0.82,-0.03,NEGATIVE,MODERATE
S,2017,1,2017-Q1,0.82,-0.01,STABLE,STABLE
SD,2017,1,2017-Q1,0.50,0.15,STRONG_POSITIVE,MODERATE
V,2017,1,2017-Q1,0.60,-0.01,STABLE,STABLE
-,2016,4,2016-Q4,0.00,0.00,STABLE,VERY_STABLE
C,2016,4,2016-Q4,0.46,-0.45,STRONG_NEGATIVE,HIGHLY_VOLATILE
KD,2016,4,2016-Q4,0.47,0.00,STABLE,STABLE
L,2016,4,2016-Q4,0.51,-0.36,STRONG_NEGATIVE,HIGHLY_VOLATILE
M,2016,4,2016-Q4,0.50,-0.18,STRONG_NEGATIVE,MODERATE
MP,2016,4,2016-Q4,0.85,-0.11,STRONG_NEGATIVE,STABLE
S,2016,4,2016-Q4,0.83,-0.09,STRONG_NEGATIVE,STABLE
SD,2016,4,2016-Q4,0.35,-0.07,STRONG_NEGATIVE,MODERATE
V,2016,4,2016-Q4,0.62,-0.03,NEGATIVE,STABLE
-,2016,2,2016-Q2,0.00,0.00,STABLE,STABLE
C,2016,2,2016-Q2,0.52,-0.04,NEGATIVE,MODERATE
KD,2016,2,2016-Q2,0.51,-0.04,NEGATIVE,HIGHLY_VOLATILE
L,2016,2,2016-Q2,0.57,0.07,STRONG_POSITIVE,STABLE
M,2016,2,2016-Q2,0.55,0.02,POSITIVE,MODERATE
MP,2016,2,2016-Q2,0.87,-0.03,NEGATIVE,STABLE
S,2016,2,2016-Q2,0.87,0.01,STABLE,VERY_STABLE
SD,2016,2,2016-Q2,0.47,0.00,STABLE,STABLE
V,2016,2,2016-Q2,0.59,0.02,STABLE,STABLE
-,2016,1,2016-Q1,0.00,0.00,STABLE,STABLE
C,2016,1,2016-Q1,0.56,0.08,STRONG_POSITIVE,MODERATE
KD,2016,1,2016-Q1,0.55,0.25,STRONG_POSITIVE,HIGHLY_VOLATILE
L,2016,1,2016-Q1,0.51,0.03,POSITIVE,STABLE
M,2016,1,2016-Q1,0.53,0.04,POSITIVE,MODERATE
MP,2016,1,2016-Q1,0.90,0.04,POSITIVE,STABLE
S,2016,1,2016-Q1,0.86,0.00,STABLE,VERY_STABLE
SD,2016,1,2016-Q1,0.48,0.08,STRONG_POSITIVE,STABLE
V,2016,1,2016-Q1,0.57,-0.09,STRONG_NEGATIVE,STABLE
-,2015,4,2015-Q4,0.00,-0.04,NEGATIVE,STABLE
C,2015,4,2015-Q4,0.47,-0.14,STRONG_NEGATIVE,VOLATILE
KD,2015,4,2015-Q4,0.30,-0.36,STRONG_NEGATIVE,HIGHLY_VOLATILE
L,2015,4,2015-Q4,0.48,-0.08,STRONG_NEGATIVE,MODERATE
M,2015,4,2015-Q4,0.50,-0.15,STRONG_NEGATIVE,VOLATILE
MP,2015,4,2015-Q4,0.87,0.04,POSITIVE,VOLATILE
S,2015,4,2015-Q4,0.86,0.03,POSITIVE,VOLATILE
SD,2015,4,2015-Q4,0.40,0.00,STABLE,VERY_STABLE
V,2015,4,2015-Q4,0.66,0.10,STRONG_POSITIVE,HIGHLY_VOLATILE
C,2015,2,2015-Q2,0.61,0.06,STRONG_POSITIVE,VOLATILE
KD,2015,2,2015-Q2,0.66,0.06,STRONG_POSITIVE,VOLATILE
L,2015,2,2015-Q2,0.56,-0.01,STABLE,VOLATILE
M,2015,2,2015-Q2,0.64,0.02,STABLE,VOLATILE
MP,2015,2,2015-Q2,0.82,-0.01,STABLE,HIGHLY_VOLATILE
S,2015,2,2015-Q2,0.83,0.00,STABLE,HIGHLY_VOLATILE
SD,2015,2,2015-Q2,0.40,0.00,STABLE,STABLE
V,2015,2,2015-Q2,0.56,-0.02,NEGATIVE,HIGHLY_VOLATILE
C,2015,1,2015-Q1,0.56,-0.25,STRONG_NEGATIVE,VOLATILE
KD,2015,1,2015-Q1,0.60,-0.20,STRONG_NEGATIVE,VOLATILE
L,2015,1,2015-Q1,0.56,-0.10,STRONG_NEGATIVE,VOLATILE
M,2015,1,2015-Q1,0.62,-0.17,STRONG_NEGATIVE,VOLATILE
MP,2015,1,2015-Q1,0.84,0.21,STRONG_POSITIVE,HIGHLY_VOLATILE
S,2015,1,2015-Q1,0.83,0.20,STRONG_POSITIVE,HIGHLY_VOLATILE
SD,2015,1,2015-Q1,0.40,0.03,POSITIVE,MODERATE
V,2015,1,2015-Q1,0.58,0.34,STRONG_POSITIVE,HIGHLY_VOLATILE
C,2014,4,2014-Q4,0.80,-0.04,NEGATIVE,STABLE
KD,2014,4,2014-Q4,0.81,-0.07,STRONG_NEGATIVE,STABLE
L,2014,4,2014-Q4,0.67,-0.14,STRONG_NEGATIVE,MODERATE
M,2014,4,2014-Q4,0.80,-0.10,STRONG_NEGATIVE,STABLE
MP,2014,4,2014-Q4,0.62,0.22,STRONG_POSITIVE,VOLATILE
S,2014,4,2014-Q4,0.63,0.18,STRONG_POSITIVE,VOLATILE
SD,2014,4,2014-Q4,0.37,-0.12,STRONG_NEGATIVE,MODERATE
V,2014,4,2014-Q4,0.24,-0.04,NEGATIVE,VERY_STABLE
