hjid,id,indicator_name,source_id,source_value,source_note,source_organization,topics_indicator_element_hjid,indicator__indicators_elemen_0
1272322,NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure (constant 2015 US$),2,World Development Indicators,"This field includes expenditure on goods and services by the Household and NPISH sector for the direct satisfaction of human needs or wants, whether individual or collective. This indicator is expressed in constant prices, meaning the series has been adjusted to account for price changes over time. The reference year for this adjustment is 2015. This indicator is expressed in United States dollars.","Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",1272323,
61368,CoHD_LCU,Cost of a healthy diet in local currency unit,88,Food Prices for Nutrition,"","",61369,
1292506,SABER.SCH.ATNM.GOAL5.LVL2,SABER: (School Autonomy Accountability) Policy Goal 5 Lever 2:  Analysis of school and student performan,12,Education Statistics,"Data Interpretation: 1=Latent; 2=Emerging; 3=Established; 4=Advanced. For additional information, visit the SABER: (website: http://saber.worldbank.org/index.cfm","Systems Approach for Better Education Results (SABER), World Bank",1292507,
69268,DT.NFL.MLAT.PRVG.CD,"PRVG, multilateral (NFL, current US$)",81, International Debt Statistics: DSSI,"Private sector guaranteed by Public Sector multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments.  Data are in current U.S. dollars.","World Bank, International Debt Statistics.",69269,
1288955,per_sa_sp.adq_ep_preT_tot,Adequacy of benefits in extreme poor (<$2.15 a day) (%) - Social Pensions  (preT),29,The Atlas of Social Protection: Indicators of Resilience and Equity,Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group,ASPIRE,1288956,
969929,IN.ENV.COASTALZONE.SHORELAND.AREA,Shore land (SQ KMs),41,Country Partnership Strategy for India (FY2013 - 17),"","",969930,
57066,adj_some_dfcl_seeing_urb,Adjusted prevalence of persons living in urban areas with some degree of seeing difficulty (% of persons living in urban areas),92,Disability Data Hub (DDH),"","",57067,
60862,CC.NCO.GHG.IL,Non-CO2 GHG emissions by sector (Mt CO2 eq) - Total including LUCF,87,Country Climate and Development Report (CCDR),"Total non-CO2 emissions (including LUCF) are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",60863,
1290993,PI-08,Performance information for service delivery,68,PEFA 2016,"","",1290994,
1295742,SE.CLO.5.PRF.M.TMS.2019.2,"Above Proficiency;TIMSS 2019 for grade 5 using MPL Low (400 points) for math, Second Quintile",12,Education Statistics,"","",1295743,
59985,BX.KLT.DINV.DT.GI.ZS,"Foreign direct investment, net inflows (% of gross capital formation)",57,WDI Database Archives,"","",59986,
67988,DT.DOR.DECT.AR.US,"Gross Ext. Debt Pos., ST Rem., All Sectors, All maturities, All instruments, Arrears, USD",22,Quarterly External Debt Statistics SDDS,"","",67989,
1288640,per_sa_sf.avt_q5_totfr,Average per capita transfer held by 5th quintile (richest)-School Feeding Programs -female-recipient,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1288641,
891046,i_ATMs_pop,"ATMs per 100,000 adults",33,G20 Financial Inclusion Indicators,"Denotes the total number of ATMs for every 100,000 adults in the reporting country. Calculated as (number of ATMs)*100,000/adult population in the reporting country. Automated teller machines are computerized telecommunications devices that provide client","International Monetary Fund, Financial Access Survey.",891047,
921825,IC.FRM.OBS.OBST12,Percent of firms choosing practices of the informal sector as their biggest obstacle,13,Enterprise Surveys,Percentage of establishments that consider practices of competitors in the informal sector to be the Biggest Obstacle.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",921826,
1288098,per_sa_pw.avt_q3_urb,Average per capita transfer held by 3rd quintile - Public Works -urban,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"Average transfer amount of  Public Works programs among program beneficiaries (per capita, daily $ppp)",ASPIRE,1288099,
1283673,per_lm_pa.ben_q3_rur,Benefits incidence in 3rd quintile (%) - Passive Labor Market -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of benefits going to the third quintile  relative to the total benefits going to the population,ASPIRE,1283674,
61414,CoHD_ss_PPP,Cost of starchy staples in PPP dollars,93,FPN Datahub Archive,"","",61415,
269140,EN.HPT.THRD.NO,"Plant species (higher), threatened",2,World Development Indicators,"Higher plants are native vascular plant species. Threatened species are the number of species classified by the IUCN as endangered, vulnerable, rare, indeterminate, out of danger, or insufficiently known.","The IUCN Red List of Threatened Species, UN Environment Programme World Conservation Monitoring Centre (UNEP-WCMC), uri: https://www.iucnredlist.org/;
International Union for Conservation of Nature (IUCN), uri: https://www.iucnredlist.org/",269141,
1284075,per_pr_allpr.ben_ep_tot,Benefits incidence in extreme poor (<$2.15 a day) (%) - All Private Transfers,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of benefits going to the extreme poor (those below $125 a day)  relative to the total benefits going to the population,ASPIRE,1284076,
292800,FB.CAP.INST.ST.DM,"656_Does a dedicated, national, multi-stakeholder structure exist to promote and coordinate provision of financial education?_#VHQB_00",69,Global Financial Inclusion and Consumer Protection Survey,"","",292801,
444204,fiaccount.t.d.2,"Bank or similar financial institution account, men (% age 15+)",14,Gender Statistics,"The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another similar financial institution, men (% age 15+)",Global Findex Database,444205,
1286350,per_sa_ct.avt_q4_preT_totmr,Average per capita transfer held by 4th quintile-Unconditional Cash Transfers (preT) -male-recipient,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1286351,
640824,fin24bor_SD_ND.2,"Main source of emergency funds in 30 days: borrowing, possible and not difficult or somewhat difficult, men (% age 15+)",28,Global Findex database,"","",640825,
64022,DP.DOD.DLIN.CR.L1.NF,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",20,Quarterly Public Sector Debt,"","",64023,
1284390,per_pr_dp.avt_pop_totmr,Average per capita transfer - Domestic Private Transfers -male-recipient of programs,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1284391,
1265299,LO.LLECE.REA3.3.FE,LLECE: Female 3rd grade students by reading proficiency level (%). Level 3,12,Education Statistics,Percentage of 3rd grade female students scoring at least 552.14 but less than 637.49 on the LLECE reading scale. Students at this level can: 1) locate information discriminating it from adjacent information; 2) interpret reformulations that synthesize several data; 3) infer information based on knowledge about the world; 4) discriminate the meaning of words that have several other meanings based on the text. Data reflects country performance in the stated year according to LLECE reports. Consult the LLECE website for more detailed information: http://www.llece.org/,Latin American Laboratory for Assessment of the Quality of Education (LLECE),1265300,
1294726,SE.CLO.4.LDGAP.S.TMS.2019.U,"Learning Deprivation Gap;TIMSS 2019 for grade 4 using MPL Low (400 points) for science, Urban",12,Education Statistics,"","",1294727,
1272907,NE.GDI.FLGV.CD,GDFI - state and local government (current US$),11,Africa Development Indicators,"State and local governments’ gross domestic fixed investment (gross fixed capital formation) comprises all additions to the stocks of fixed assets (purchases and own-account capital formation), less any sales of second-hand and scrapped fixed assets, by state and local governments.  Data are in current U.S. dollars.  ",World Bank country economists.,1272908,
1282719,per_lm_ac.ben_q3_preT_tot,Benefits incidence in 3rd quintile (%) - Active Labor Market (preT),29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of benefits going to the third quintile  relative to the total benefits going to the population,ASPIRE,1282720,
1070458,JI.AGE.WORK.LE,"Average age of workers, aged 15-64, primary education and below",86,Global Jobs Indicators Database (JOIN),"","",1070459,
631698,fin24aSD_ND.12,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, in laborforce (% age 15+)",28,Global Findex database,"","",631699,
333738,FB.FCP.INST.CB.DS.PS,340_Are commercial banks required to provide customers with specific types of product information at the precontractual stage?_#VGWA_02,69,Global Financial Inclusion and Consumer Protection Survey,"","",333739,
64902,DT.AMT.DILD.CD.IL.0912.US,"Gross Ext. Debt Pmt, DI: Intercom Lending, More than 9 to 12, Debt liab. of DI ent. to dir. investors, Principal, USD",22,Quarterly External Debt Statistics SDDS,"","",64903,
64884,DT.AMT.DEFE.CD.IL.1824.US,"Gross Ext. Debt Pmt, DI: Intercom Lending, More than 18 to 24, Debt liab. to fellow ent., Principal, USD",22,Quarterly External Debt Statistics SDDS,"","",64885,
64144,DP.DOD.DLLO.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP",20,Quarterly Public Sector Debt,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","",64145,
1299943,SG.OWN.LDAL.FE.Q2.ZS,Women who own land alone (% of women age 15-49): Q2,14,Gender Statistics,Women who own land alone (% of women age 15-49): Q2 is the percentage of women age 15-49 who only solely own a land which is legally registered with their name or cannot be sold without their signature. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.,Demographic and Health Surveys (DHS),1299944,
451765,fin11_1.10,"Ever had an account at a bank or similar bank or similar financial institution, urban (% age 15+)",28,Global Findex database,"","",451766,
1232238,JI.TLF.48UP.TM.MA.ZS,"Excessive working hours, more than 48 hours per week, aged 15-64, male (% of male employed population in working age)",86,Global Jobs Indicators Database (JOIN),"","",1232239,
1283345,per_lm_alllm.bry_q4_tot,Beneficiary incidence in 4th quintile (%) - All Labor Market ,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population,ASPIRE,1283346,
56434,A12iv,039.Growth of Surviving Entrants: First Quartile,30,Exporter Dynamics Database – Indicators at Country-Year Level,Exporter-level information on export transactions - Customs,"",56435,
216446,elc_any_dfcl_selfcare_all,Persons with electricity (% of persons with  any degree of selfcare difficulty),92,Disability Data Hub (DDH),"","",216447,
1271726,NA.GDP.CNST.SNA08.CR,"GDP on Construction Sector (in IDR Million), SNA 2008, Current Price",45,Indonesia Database for Policy and Economic Research,"","",1271727,
1293604,SE.CLO.15Y.LDSEV.R.PS.2009.U,"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for reading, Urban",12,Education Statistics,"","",1293605,
55621,5.2.5_TJK.BAS.AID.GPE," International aid disbursed to basic education, Global Partnership for Education (CF and EPDF) to Tajikistan (USD million) ",34,Global Partnership for Education,"International concessional aid disbursed by the reporting development partner to the basic education sector in the specific developing country. Targets indicate scheduled or projected aid. Accounted aid includes activities, projects, technical cooperation and sector and budget support (20%), as it was reported by the donor to the Global Partnership for Education.","The 2011 Monitoring Exercise on Aid Effectiveness in the Education Sector was produced by the Global Partnership for Education in parallel to the OECD’s 2011 Survey on Monitoring the Paris Declaration. Through this exercise participating donors reported on the international aid allocated and projected to specific developing countries. Data were later validated and/or updated when preparing the GPE Results Report in 2012. Most of the figures were reported in 2011 and in USD. When it was not the case, currencies were converted to USD. Data are relative to a calendar year, unless it is specified otherwise in the country notes. For further details in this 2012 Monitoring Exercise, please refer to the following web site: http://www.globalpartnership.org/our-work/areas-of-focus/aid-effectiveness/2011-monitoring-exercise-on-aid-effectiveness-2/",55622,
491832,fin13alm.2,"Deposited money into a mobile money account, less than once a month, men (% age 15+)",28,Global Findex database,"","",491833,
959268,IN.EC.GSDP.PERCAP.REAL.INR,Real GSDP Per Capita (INR),41,Country Partnership Strategy for India (FY2013 - 17),"Real Gross state domestic product (GSDP), or gross regional product (GRP), is a measurement of the per capita economic output in real terms of a state or province (i.e., of a subnational entity). It is the sum of all value added by industries and services within the state and serves as a counterpart to the gross domestic product (GDP). 
State Domestic Product (SDP) in common parlance known as “State Income” is a measure in monetary terms of the volume of all goods and services produced during a given period of time within the geographical boundaries of the state, accounted for
without duplication.
","Source : Central Statistics Office (CSO), Ministry of Statistics and Prgramme Implementation, Gov't of India website as on 01.08.13",959269,
56822,adj_any_dfcl_comm_2534,Adjusted prevalence of persons aged 25 to 34 years with any degree of communication difficulty (% of persons aged 25 to 34 years),92,Disability Data Hub (DDH),"","",56823,
60591,CC.ENA.SFE,Emission Totals - Emissions (CO2eq) from N2O (AR5) - Synthetic Fertilizers,87,Country Climate and Development Report (CCDR),"The FAOSTAT domain Emissions Totals summarizes the greenhouse gas (GHG) emissions generated from agriculture and forest land. They consist of methane (CH4), nitrous oxide (N2O) and carbon dioxide (CO2) emissions from crop and livestock activities, forest management and include land use and land use change processes. Data are computed at Tier 1 of the IPCC Guidelines for National greenhouse gas (GHG) Inventories (IPCC, 1996; 1997; 2000; 2002; 2006; 2014). Estimates are available by country, with global coverage for the period 1961–2019 with projections for 2030 and 2050 for some categories of emissions or 1990–2019 for others. The database is updated annually.  The FAOSTAT domain Emissions Totals disseminates information estimates of CH4, N2O and CO2 emissions/removals and their aggregates in CO2eq in units of kilotonnes (kt, or 106 kg). The latter are computed by using the IPCC Fifth Assessment report global warming potentials, AR5 (IPCC, 2014).","FAO, FAOSTAT Climate Change, Emissions Totals, http://www.fao.org/faostat/en/#data/GT.",60592,
68767,DT.INT.DLTO.CD.MA.AR.1218.US,"Gross Ext. Debt Pmt, Central Bank, More than 12 to 18, Other debt liabilities, Interest, USD",22,Quarterly External Debt Statistics SDDS,"","",68768,
541248,fin14c.10,"Reason for not having a mobile money account: don't have the necessary documentation, urban (% age 15+)",28,Global Findex database,"","",541249,
1287785,per_sa_os.bry_q1_rur,Beneficiary incidence in 1st quintile (poorest) (%) - Other Social Assistance -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population,ASPIRE,1287786,
1287771,per_sa_os.bry_pop_totf,Beneficiary incidence in all income groups (%) - Other Social Assistance -female-beneficiary,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1287772,
1033257,IT.CELL.3MIN.CD.PK,Mobile cellular - price of 3-minute local call (peak rate - current US$),11,Africa Development Indicators,"Please cite the International Telecommunication Union for third-party use of these data.  The price of a three minute peak rate call from a mobile cellular telephone to a mobile cellular subscriber of the same network. A note indicates whether taxes are included (preferred) or not, or if the price refers to a pre-paid or post-paid subscription. This indicator is expressed in US dollars.  ","International Telecommunication Union, World Telecommunication Development Report and database, and World Bank estimates.",1033258,
754176,fin5m.3,"Deposited money into a bank or similar financial institution, monthly (%,  age 15+), young (% ages 15-24)",28,Global Findex database,"","",754177,
1286256,per_sa_ct.adq_q5_tot,Adequacy of benefits in 5th quintile (richest) (%) - Unconditional Cash Transfers,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group,ASPIRE,1286257,
1297168,SE.CLO.8.PRF.S.TMS.2019.A,Above Proficiency;TIMSS 2019 for grade 8 using MPL Low (400 points) for science,12,Education Statistics,"","",1297169,
1276364,NW.TOW.TO,National comprehensive wealth index (real chained 2019 US$),59,Wealth Accounts,"Total wealth is calculated as the sum of produced capital, natural capital, human capital, and net foreign assets.  Values are measured at market exchange rates in constant 2018 US dollars, using a country-specific GDP deflator.","World Bank. 2021. The Changing Wealth of Nations 2021: Managing Assets for the Future. Washington, DC: World Bank. doi:10.1596/978-1-4648-1590-4.",1276365,
1291635,PRJ.MYS.2024.MF,Wittgenstein Projection: Mean years of schooling. Age 20-24. Total,12,Education Statistics,"Mean number of years spent in school by age group and gender. Projections are based on collected census and survey data for the base year (around 2010) and the Medium Shared Socioeconomic Pathways (SSP2) projection model. The SSP2 is a middle-of-the-road scenario that combines medium fertility with medium mortality, medium migration, and the Global Education Trend (GET) education scenario. For more information and other projection models, consult the Wittgenstein Centre for Demography and Global Human Capital's website: http://www.oeaw.ac.at/vid/dataexplorer/",Wittgenstein Centre for Demography and Global Human Capital: http://www.oeaw.ac.at/vid/dataexplorer/,1291636,
1295392,SE.CLO.5.LDGAP.S.TMS.2011.3,"Learning Deprivation Gap;TIMSS 2011 for grade 5 using MPL Low (400 points) for science, Third Quintile",12,Education Statistics,"","",1295393,
646506,fin24d2.2,"Natural disaster in the past three years: Damage to home or livestock, men (% age 15+)",14,Gender Statistics,"The percentage of respondents who report they experienced damage to their home or livestock as a result of natural disasters or severe weather events in the past three years, men (% age 15+)",Global Findex Database,646507,
63196,CRPFM-4,Legislative scrutiny,91,PEFA_CRPFM,"","",63197,
664032,fin25e2b.6,"Did NOT use mobile phone or card to pay for in-store purchase , secondary education or more (% age 15+)",28,Global Findex database,"","",664033,
1286600,per_sa_ct.cov_q1_preT_tot,Coverage in 1st quintile (poorest) (%) - Unconditional Cash Transfers (preT),29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of population participating in Cash Transfers programs (includes direct and indirect beneficiaries),ASPIRE,1286601,
1293136,SE.CLO.15Y.LDGAP.R.PS.2000.A,Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for reading,12,Education Statistics,"Learning Deprivation Gap, that measures the average distance of a learning deprived child to the minimum proficiency level and indicates the average increase in learning required to eliminate learning deprivation.",Education Statistics,1293137,
59778,BN.KLT.DINV.DRS.GDI.ZS,"Foreign direct investment, net inflows (% of GDI)",57,WDI Database Archives,"","",59779,
1286745,per_sa_fw.avt_ep_tot,Average per capita transfer held by extreme poor (<$2.15 a day) - Subsidies,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"Average transfer amount of  Fee waivers and targeted subsidies programs among program beneficiaries (per capita, daily $ppp)",ASPIRE,1286746,
21981,2.0.hoi.Cel,HOI: Mobile Phone,37,LAC Equity Lab,"The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account the average access rate (the coverage) of a given opportunity (service) and the inequality of its distribution. The circumstances included in the HOI are the gender of the child, parents' education, household per capita income, number of siblings, presence of both parents in the household, gender of the household head, and urban or rural residence.An increase in the index can be related either to an increase in the coverage or to a more equal distribution of that service.",LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,21982,
825191,GC.FIN.FRGN.GD.ZS,"Net incurrence of liabilities, foreign (% of GDP)",57,WDI Database Archives,"Net incurrence of government liabilities includes foreign financing (obtained from nonresidents) and domestic financing (obtained from residents), or the means by which a government provides financial resources to cover a budget deficit or allocates financial resources arising from a budget surplus. The net incurrence of liabilities should be offset by the net acquisition of financial assets (a third financing item). The difference between the cash surplus or deficit and the three financing items is the net change in the stock of cash.","International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",825192,
60081,C2.4a,Number of certified contracting officers (e.g. CIPS),82,Global Public Procurement,"","",60082,
63280,DAK.FRST.CR,Total Specific Allocation Grant for Forestry (in IDR Billion),45,Indonesia Database for Policy and Economic Research,"The Specific Allocation Grant (DAK) is a fund sourced from revenue in the Central Budget (APBN) allocated to a certain region with the aim of funding special activities of the region in accordance with national priorities. The DAK allocation has a formula component that takes into account the fiscal gap and has a 10 percent matching requirement. The DAK is earmarked for capital spending and cannot be used for research, training, administration, or official travel.","Ministry of Finance, Ministry of Finance Regulation",63281,
1282149,per_allsp.avt_q4_tot,Average per capita transfer held by 4th quintile -All Social Protection and Labor ,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"Average transfer amount of  Social Protection and Labor programs among program beneficiaries (per capita, daily $ppp)",ASPIRE,1282150,
68170,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2012 NPV terms",19,Millennium Development Goals,"Debt relief delivered in full under MDRI initiative is the net present value of debt relief from International Development Association, International Monetary Fund, African Development Fund, and Inter-American Development Bank and delivered to countries having reached the HIPC completion point converted to end-2012 terms.","World Bank, Economic Policy and Debt Department.",68171,
1277304,NY.GNP.MKTP.KN.87,GNP at market prices (constant 1987 LCU),57,WDI Database Archives,"","",1277305,
58947,BAR.TER.UCMP.3034.FE.ZS,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Incompleted Tertiary,12,Education Statistics,"","",58948,
955432,ifrm_nosome_dfcl_1529,Persons aged 15 to 29 years in informal work (% of persons aged 15 to 29 years with none or some degree of functional difficulty),92,Disability Data Hub (DDH),"","",955433,
918743,IC.FRM.INFRA.IN4_C,"If there were outages, average losses due to electrical outages (% of annual sales)",13,Enterprise Surveys,"If there were outages, average losses due to electrical outages, as percentage of total annual sales.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",918744,
64816,DT.AMT.DECT.CD.GG.RM.US,"Gross Ext. Debt Pos., General Government, One year or less, All instruments, Principal, USD",22,Quarterly External Debt Statistics SDDS,"","",64817,
59644,BM.GSR.INSU.CD,"Insurance services, imports (BoP, current US$)",57,WDI Database Archives,"","",59645,
686282,fin32.33.acc.4,"Received public sector wages: into an account, older (% age 25+)",28,Global Findex database,"","",686283,
887,1.0.HCount.2.5usd,Poverty Headcount ($2.50 a day),37,LAC Equity Lab,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,888,
68463,DT.INT.DECT.CD.MA.03.US,"Ext. Debt Service Pmt, Central Bank, More than 0 to 3, All instruments, Interest, USD",22,Quarterly External Debt Statistics SDDS,"","",68464,
65003,DT.AMT.DLCD.CD.GG.AR.1218.US,"Gross Ext. Debt Pmt, General Government, More than 12 to 18, Currency and deposits, Principal, USD",22,Quarterly External Debt Statistics SDDS,"","",65004,
65019,DT.AMT.DLCD.CD.MA.AR.1218.US,"Gross Ext. Debt Pmt, Central Bank, More than 12 to 18, Currency and deposits, Principal, USD",22,Quarterly External Debt Statistics SDDS,"","",65020,
56700,adj_al_alot_dfcl_hearing_65up,Adjusted prevalence of persons aged 65 or older with hearing disabilities i.e. at least a lot of functional difficulty (% of persons aged 65 or older),92,Disability Data Hub (DDH),"","",56701,
743951,fin45a.12,"Most worrying financial issue: money for old age, in laborforce (% age 15+)",28,Global Findex database,"","",743952,
67181,DT.DOD.DSTC.CD.FC.OT.US.US,"Gross Ext. F. Curr Debt Pos., Other Sectors, Short-term, All instruments, US dollar, USD",22,Quarterly External Debt Statistics SDDS,"","",67182,
56802,adj_any_dfcl_cogn_3544,Adjusted prevalence of persons aged 35 to 44 years with any degree of cognitive difficulty (% of persons aged 35 to 44 years),92,Disability Data Hub (DDH),"","",56803,
1267638,LO.PIAAC.TEC.3,PIAAC: Adults by proficiency level in problem solving in technology-rich environments (%). Level 3,12,Education Statistics,"Percentage of adults scoring equal to or higher than 341 points on the 0 to 500 point scale. At this level, tasks typically require the use of both generic and more specific technology applications. Some navigation across pages and applications is required to solve the problem. The use of tools (e.g. a sort function) is required to make progress towards the solution. The task may involve multiple steps and operators. The goal of the problem may have to be defined by the respondent, and the criteria to be met may or may not be explicit. There are typically high monitoring demands. Unexpected outcomes and impasses are likely to occur. The task may require evaluating the relevance and reliability of information in order to discard distractors. Integration and inferential reasoning may be needed to a large extent. The target population for the survey was the non-institutionalized population, aged 16-65 years, residing in the country at the time of data collection, irrespective of nationality, citizenship or language status. For more information, consult the OECD PIAAC website: http://www.oecd.org/site/piaac/",OECD Programme for the International Assessment of Adult Competencies (PIAAC),1267639,
