embedded_id_id,embedded_id_issue,embedded_id_hangar_id,committee_report,rm,title,sub_title,end_number,org,created_date,public_date,ballot_id,decision_type,against_proposal_parties,against_proposal_number,winner,embedded_id_concern,ballot_type,label,vote_date,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male
H101KrU3,8,2869832,KrU3,2013/14,Bildning och tillgänglighet – radio och tv i allmänhetens tjänst 2014–2019,Ett stärkt kulturutbud,0,KRU,2013-11-12,2013-11-12,A509D129-4271-42DA-8F5E-48A4772BBC4F,röstning,"""SD""",10,utskottet,SAKFRÅGAN,HUVUD,KrU3,2013-11-21,1963,349,262,19,16,52,t,f,75.07,5.44,14.90,4.58,55.59
GZ01KU18,1,2757115,KU18,2011/12,Handlingsplan för att värna demokratin mot våldsbejakande extremism,Regeringens skrivelse,0,KU,2012-04-18,2012-04-18,17742C90-7A1F-4E0C-921F-146A3BBD75B9,röstning,"""SD""",1,utskottet,SAKFRÅGAN,HUVUD,KU18,2012-04-18,1963,349,300,19,0,30,t,f,85.96,5.44,8.60,0.00,57.02
GS01KU6,1,2242194,KU6,2004/05,Nationaldagen - ny helgdag,Nationaldagen - ny helgdag,0,KU,2004-11-18,2006-03-15,B4AD1B2D-9DFA-4791-928B-72A4A285907D,röstning,"""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,KU6,2004-11-18,1954,349,254,38,9,48,t,f,72.78,10.89,13.75,2.58,53.30
GU01SfU8,16,2227630,SfU8,2006/07,Migration och asylpolitik,Utnyttjande av papperslösa,0,SFU,2007-04-27,2007-04-27,14EC5675-4DD8-4662-A740-D691673BA313,röstning,"""s"",""v""",19,utskottet,SAKFRÅGAN,HUVUD,SfU8,2007-04-27,1958,349,163,132,0,54,t,f,46.70,37.82,15.47,0.00,51.29
GW01FöU7,4,2222264,FöU7,2008/09,Kärnteknisk säkerhet och strålskydd,Säkerhet vid kärnkraftsolyckor,0,FÖU,2009-03-02,2009-03-02,38331DC4-CA65-405F-94EB-7ED1E1DD51C5,röstning,"""s"",""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,FöU7,2009-03-02,1959,349,141,132,0,76,t,f,40.40,37.82,21.78,0.00,51.86
GZ01FiU2,15,2720010,FiU2,2011/12,Utgiftsområde 2 Samhällsekonomi och finansförvaltning,En personalförsörjningskommission,0,FIU,2011-12-12,2012-01-09,08D9ADDA-17FA-4736-A2C5-9D8A9D0BDBFA,röstning,"""V""",2,utskottet,SAKFRÅGAN,HUVUD,FiU2,2011-12-12,1963,349,310,18,0,21,t,f,88.83,5.16,6.02,0.00,55.59
GV01CU10,2,2286340,CU10,2007/08,Frågor om s.k. sms-lån och överskuldsättning,Överskuldsättning,0,CU,2008-03-18,2008-03-18,51277B32-3CF6-4FDF-B742-D3D10A68423F,röstning,"""s""",3,utskottet,SAKFRÅGAN,HUVUD,CU10,2008-03-18,1958,349,173,115,19,42,t,f,49.57,32.95,12.03,5.44,53.30
GS01NU11,5,2290770,NU11,2004/05,Vissa handelspolitiska frågor inom WTO och EU,"Inremarknadsfrågor, förslaget till tjänstedirektiv",0,NU,2005-04-05,2006-03-15,8A866C83-D1D7-458D-8A16-C7F0B72D797E,röstning,"""m"",""c"",""fp"",""kd""",5,utskottet,SAKFRÅGAN,HUVUD,NU11,2005-04-05,1954,349,168,138,0,43,t,f,48.14,39.54,12.32,0.00,54.44
GS01JUU19,23,2229496,JUU19,2004/05,Polisfrågor,Tillfällig vapenamnesti,0,JUU,2005-06-02,2006-03-15,FB0A1838-6229-40F1-8F4A-E8FCB4FDBE08,röstning,"""m"",""c"",""fp"",""kd"",""mp""",21,reservation 21,SAKFRÅGAN,HUVUD,JUU19,2005-06-02,1954,349,146,152,0,51,f,f,41.83,43.55,14.61,0.00,54.44
H101KrU3,11,2869832,KrU3,2013/14,Bildning och tillgänglighet – radio och tv i allmänhetens tjänst 2014–2019,Digitalradio,0,KRU,2013-11-12,2013-11-12,AFB98911-1311-456C-BFDC-307E618472A1,röstning,"""SD""",15,utskottet,SAKFRÅGAN,HUVUD,KrU3,2013-11-21,1963,349,164,19,115,51,t,f,46.99,5.44,14.61,32.95,55.59
GV01CU14,8,2242214,CU14,2007/08,Barn och föräldrar,Föräldrars underhållsskyldighet,0,CU,2008-04-09,2008-04-09,CB45C84F-A9BA-4679-ADFB-8645F62B5C51,röstning,"""s""",7,utskottet,SAKFRÅGAN,HUVUD,CU14,2008-04-09,1958,349,156,101,17,75,t,f,44.70,28.94,21.49,4.87,53.30
GW01SfU5,2,2222144,SfU5,2008/09,Sänkta socialavgifter m.m.,Nedsättning av socialavgifter för unga,0,SFU,2008-11-21,2008-11-21,D6092165-7688-46E9-BD2F-1091454EA808,röstning,"""s"",""v"",""mp""",2,utskottet,SAKFRÅGAN,HUVUD,SfU5,2008-11-21,1958,349,153,150,0,46,t,f,43.84,42.98,13.18,0.00,53.01
GX01SoU14,1,2313620,SoU14,2009/10,Myndigheterna inom smittskyddsområdet,Myndigheterna inom smittskyddsområdet,0,SOU,2010-04-23,2010-04-23,A2F2B2CC-1958-4969-8C09-EE6CB516300B,röstning,"""v""",1,utskottet,SAKFRÅGAN,HUVUD,SoU14,2010-04-23,1959,349,277,19,1,52,t,f,79.37,5.44,14.90,0.29,53.01
GS01TU6,2,2300051,TU6,2004/05,Fordonsfrågor,Typgodkännande,0,TU,2005-03-03,2006-03-15,E3025112-2CA9-11D9-88C5-0004755012A5,röstning,"""m"",""fp"",""kd""",2,utskottet,SAKFRÅGAN,HUVUD,TU6,2005-03-03,1954,349,171,106,0,72,t,f,49.00,30.37,20.63,0.00,54.44
GS01BOU10,9,2294920,BOU10,2004/05,Bostadsförsörjningsfrågor,Översyn av vissa villkor för allmännyttiga bostadsföretag,0,BOU,2005-05-12,2006-03-15,329F5E16-4835-4D64-A5FB-40240FBDCAAC,röstning,"""v""",15,utskottet,SAKFRÅGAN,HUVUD,BOU10,2005-05-12,1954,349,182,23,100,44,t,f,52.15,6.59,12.61,28.65,54.44
GV01SfU2,6,2288375,SfU2,2007/08,Utgiftsområde 8 Migration,Hälso- och sjukvård m.m.,0,SFU,2007-12-06,2007-12-06,5AC37D29-9EF6-4EE2-A9C3-F241D6D752C8,röstning,"""v""",10,utskottet,SAKFRÅGAN,HUVUD,SfU2,2007-12-06,1958,349,148,17,98,86,t,f,42.41,4.87,24.64,28.08,53.01
GQ01SFU8,3,2229454,SFU8,2002/03,Migration och asylpolitik,En kommission för att granska flyktingpolitiken,0,SFU,2003-03-25,2006-03-15,78182959-5F61-11D7-AE63-000475504757,röstning,"""mp""",5,utskottet,SAKFRÅGAN,HUVUD,SFU8,2003-03-25,1954,349,268,15,1,65,t,f,76.79,4.30,18.62,0.29,54.44
GW01UbU7,8,2222103,UbU7,2008/09,Förskolan,Barnomsorg på obekväm arbetstid,0,UBU,2009-02-24,2009-02-24,2ACB65A0-04E4-4A28-AFAB-F61376D30354,röstning,"""s"",""v"",""mp""",6,utskottet,SAKFRÅGAN,HUVUD,UbU7,2009-02-24,1959,349,153,146,0,50,t,f,43.84,41.83,14.33,0.00,51.86
GQ01SFU1,7,2227251,SFU1,2002/03,"Anslag        inom        socialförsäkringsområdet(utgiftsområdena 10, 11 och 12)",Tillfällig föräldrapenning för egenföretagare,0,SFU,2002-12-03,2006-03-15,D08CFDF8-0B4B-11D7-AEAF-000475504757,röstning,"""m"",""c"",""fp"",""kd""",10,utskottet,SAKFRÅGAN,HUVUD,SFU1,2002-12-03,1954,349,172,143,2,32,t,f,49.28,40.97,9.17,0.57,54.73
GX01TU22,14,2311489,TU22,2009/10,Några körkorts- och fordonsfrågor,Alkolås,0,TU,2010-05-28,2010-05-28,E6DFB92B-2539-4DB7-9B6D-09B2E679E47B,röstning,"""s"",""v"",""mp""",5,utskottet,SAKFRÅGAN,HUVUD,TU22,2010-05-28,1959,349,159,155,0,35,t,f,45.56,44.41,10.03,0.00,53.01
GX01UU13,1,2300998,UU13,2009/10,Vissa frågor om globalisering m.m.,Samarbete med Asien och Latinamerika,0,UU,2010-03-08,2010-03-08,9816CD7C-CD92-4E3C-8E82-70CB10D95882,röstning,"""s"",""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,UU13,2010-03-08,1959,349,144,137,0,68,t,f,41.26,39.26,19.48,0.00,53.01
GT01UbU4,16,2228692,UbU4,2005/06,"Trygghet, respekt och ansvar - om förbud mot diskriminering och annan kränkande behandling av barn och elever",Kränkande former av nollning,0,UBU,2006-01-26,2006-02-01,ADA11924-4569-469C-A8D0-86F8CED487EB,röstning,"""kd""",17,utskottet,SAKFRÅGAN,HUVUD,UbU4,2006-01-26,1954,349,262,27,0,60,t,f,75.07,7.74,17.19,0.00,53.58
GV01SkU19,12,2242363,SkU19,2007/08,"Allmänna motioner om beskattning av företag, kapital och fastighet",Klassificering av byggnader för äldreboende vid fastighetstaxeringen,0,SKU,2008-02-26,2008-02-26,6C0FECE9-7150-43D0-8E3C-78F35A1E889E,röstning,"""s"",""v"",""mp""",8,utskottet,SAKFRÅGAN,HUVUD,SkU19,2008-02-26,1958,349,156,141,0,52,t,f,44.70,40.40,14.90,0.00,52.72
GZ01KrU9,15,2767404,KrU9,2011/12,Kulturarvsfrågor,Fri entré på regionala museer,0,KRU,2012-04-23,2012-04-23,142CFA3E-C220-4112-B896-4B952396DCC9,röstning,"""S"",""MP"",""V""",5,utskottet,SAKFRÅGAN,HUVUD,KrU9,2012-04-23,1963,349,177,140,0,32,t,f,50.72,40.11,9.17,0.00,57.02
GX01UU14,1,2313934,UU14,2009/10,Att möta globala utmaningar – om samstämmighet för utveckling,Millenniemålen m.m.,0,UU,2010-05-11,2010-05-11,BBBE6366-9A0A-453A-80C4-0D55E140F49B,röstning,"""s"",""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,UU14,2010-05-11,1959,349,146,139,0,64,t,f,41.83,39.83,18.34,0.00,53.01
GQ01UU8,15,2301803,UU8,2002/03,FN och vissa multilaterala frågor,Internflyktingar,0,UU,2003-05-15,2006-03-15,AE7E112C-811E-11D7-AE36-000475504B20,röstning,"""v"",""mp""",26,utskottet,SAKFRÅGAN,HUVUD,UU8,2003-05-15,1954,349,241,38,0,70,t,f,69.05,10.89,20.06,0.00,55.30
H101KU41,2,2903001,KU41,2013/14,Privata utförare av kommunal verksamhet,Det kommunala huvudmannaskapet,0,KU,2014-05-22,2014-05-27,32231EA4-FFF1-4040-945E-9A687CC25BB1,röstning,"""SD""",1,utskottet,SAKFRÅGAN,HUVUD,KU41,2014-05-28,1963,349,289,18,0,42,t,f,82.81,5.16,12.03,0.00,56.45
GV01UbU11,72,2283964,UbU11,2007/08,Grundskolan,Rätt till fritidshem,0,UBU,2008-04-04,2008-04-04,7D9199C6-2E34-44F0-929F-0DB840C1C845,röstning,"""v""",74,utskottet,SAKFRÅGAN,HUVUD,UbU11,2008-04-04,1958,349,255,19,0,75,t,f,73.07,5.44,21.49,0.00,53.30
GU01MJU5,13,2296172,MJU5,2006/07,Klimatpolitik m.m.,Nytt miljökvalitetsmål Begränsad miljöpåverkan i andra länder,0,MJU,2007-03-05,2007-03-06,FCBB69FE-56C6-403B-8CEA-CA349EA2D236,röstning,"""v""",16,utskottet,SAKFRÅGAN,HUVUD,MJU5,2007-03-05,1958,349,280,19,0,50,t,f,80.23,5.44,14.33,0.00,52.15
H001SoU4,16,2804779,SoU4,2012/13,Stärkt stöd och skydd för barn och unga,Kompetens och utbildning för personal som arbetar med barn,0,SOU,2012-11-14,2012-11-14,1CF5905F-188D-4D89-B7D3-DBF5E5B46D29,röstning,"""V""",16,utskottet,SAKFRÅGAN,HUVUD,SoU4,2012-11-14,1963,349,188,16,99,46,t,f,53.87,4.58,13.18,28.37,56.73
H101MJU6,2,2877282,MJU6,2013/14,Marknadsföring av modersmjölksersättning och tillskottsnäring,Socialstyrelsens föreskrifter m.m.,0,MJU,2013-11-21,2013-11-21,DE5C8301-4E04-4DEE-9DA6-B399B2904729,röstning,"""S"",""MP"",""V""",2,utskottet,SAKFRÅGAN,HUVUD,MJU6,2013-11-28,1963,349,166,131,0,52,t,f,47.56,37.54,14.90,0.00,55.59
H001UbU3,26,2804790,UbU3,2012/13,Forskning och innovation,Forskning inom kultur- och kulturarvsområdet,0,UBU,2013-02-14,2013-02-14,29014D60-F44C-4F98-B083-913FD156E279,röstning,"""SD""",30,utskottet,SAKFRÅGAN,HUVUD,UbU3,2013-02-14,1963,349,294,19,0,36,t,f,84.24,5.44,10.32,0.00,56.73
H001SfU12,1,2832112,SfU12,2012/13,Konvention om social trygghet mellan Sverige och Indien,Konventionen,0,SFU,2013-05-28,2013-05-28,13B25071-90B3-4375-8444-45058C263DC7,röstning,"""SD""",1,utskottet,SAKFRÅGAN,HUVUD,SfU12,2013-05-28,1963,349,278,20,0,51,t,f,79.66,5.73,14.61,0.00,56.45
GT01KU21,3,2224267,KU21,2005/06,Riksdagen i en ny tid,Riktlinjer för riksdagens arbete med EU-frågor,0,KU,2006-05-18,2006-07-24,B6FA2548-21B9-4AAC-A703-62E7CF1CAAAE,röstning,"""s""",1,utskottet,SAKFRÅGAN,HUVUD,KU21,2006-05-18,1954,349,161,128,1,59,t,f,46.13,36.68,16.91,0.29,53.30
