embedded_id_ballot_id,embedded_id_concern,embedded_id_issue,embedded_id_party,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
623B0ABC-0949-4080-ACFD-0C3813FABDDE,SAKFRÅGAN,4,MP,1975,349,174,129,0,46,t,f,f,49.86,36.96,13.18,0.00,53.01,HUVUD,2022/23,SoU19,2023-03-29,1976,18,0,15,0,3,f,f,0.00,83.33,16.67,0.00,33.33
4424C368-87AD-498D-A8D9-CF317B414BD0,SAKFRÅGAN,1,KD,1963,349,174,139,0,36,t,t,f,49.86,39.83,10.32,0.00,54.44,HUVUD,2010/11,AU3,2011-02-28,1961,19,17,0,0,2,t,f,89.47,0.00,10.53,0.00,57.89
329F5E16-4835-4D64-A5FB-40240FBDCAAC,SAKFRÅGAN,9,C,1954,349,182,23,100,44,t,t,f,52.15,6.59,12.61,28.65,54.44,HUVUD,2004/05,BOU10,2005-05-12,1954,22,2,0,17,3,t,f,9.09,0.00,13.64,77.27,59.09
AD701F07-8F8A-4168-84F9-98A6C9822535,SAKFRÅGAN,3,-,1973,349,46,5,5,293,t,f,f,13.18,1.43,83.95,1.43,52.72,HUVUD,2020/21,FiU25,2021-03-18,1970,2,0,1,0,1,f,f,0.00,50.00,50.00,0.00,0.00
4B4320A5-0FA9-11D8-AEDE-0004755053C0,SAKFRÅGAN,5,V,1954,349,273,21,23,32,t,t,f,78.22,6.02,9.17,6.59,54.73,HUVUD,2003/04,JUU8,2003-12-09,1953,30,4,0,21,5,t,f,13.33,0.00,16.67,70.00,50.00
F6A68B00-5C68-11D8-88D5-0004755053B2,SAKFRÅGAN,6,M,1954,349,253,41,1,54,t,t,f,72.49,11.75,15.47,0.29,54.73,HUVUD,2003/04,FIU18,2004-03-02,1953,55,47,0,0,8,t,f,85.45,0.00,14.55,0.00,61.82
46AF3A9B-9125-4B91-A89A-603439737A52,SAKFRÅGAN,1,-,1954,349,175,85,24,65,t,t,f,50.14,24.36,18.62,6.88,53.87,HUVUD,2005/06,NU8,2005-12-07,1952,2,2,0,0,0,t,f,100.00,0.00,0.00,0.00,0.00
0A367649-5604-44D3-AAC2-51A80EDB3B87,SAKFRÅGAN,2,-,1975,349,279,23,0,47,t,f,f,79.94,6.59,13.47,0.00,55.01,HUVUD,2025/26,JuU3,2025-10-22,1973,4,1,2,0,1,f,f,25.00,50.00,25.00,0.00,50.00
F07C90FE-CAF6-4E82-89E7-EB05CD345D3D,SAKFRÅGAN,3,V,1963,349,266,20,21,42,t,f,f,76.22,5.73,12.03,6.02,57.02,HUVUD,2011/12,SoU23,2012-06-01,1960,19,0,0,18,1,f,t,0.00,0.00,5.26,94.74,42.11
ACF95989-0ECB-4D06-9C5A-3A68982E1BD4,SAKFRÅGAN,1,SD,1975,349,231,63,0,55,t,f,f,66.19,18.05,15.76,0.00,53.01,HUVUD,2023/24,MJU16,2024-06-12,1976,72,0,63,0,9,f,f,0.00,87.50,12.50,0.00,73.61
DA036BB0-548A-4AD2-8395-6BA6D423B4AE,SAKFRÅGAN,1,C,1963,349,280,20,6,43,t,t,f,80.23,5.73,12.32,1.72,54.73,HUVUD,2010/11,SfU2,2010-12-02,1964,23,22,0,0,1,t,f,95.65,0.00,4.35,0.00,60.87
87F2DF5C-8A58-4180-98C8-C4FE101BF784,SAKFRÅGAN,2,V,1973,349,19,10,26,294,t,f,f,5.44,2.87,84.24,7.45,50.72,HUVUD,2020/21,UFöU4,2020-12-15,1974,27,0,0,4,23,f,t,0.00,0.00,85.19,14.81,29.63
897AF8D6-6318-43E8-9BD8-64452B1A064C,SAKFRÅGAN,1,SD,1973,349,141,134,0,74,t,f,f,40.40,38.40,21.20,0.00,53.01,HUVUD,2021/22,FiU28,2022-06-02,1976,61,0,52,0,9,f,f,0.00,85.25,14.75,0.00,75.41
FEDDCD70-18E1-4D4F-B71D-96BEECE0D785,SAKFRÅGAN,1,C,1954,349,147,113,0,89,t,f,f,42.12,32.38,25.50,0.00,54.44,HUVUD,2005/06,NU13,2006-03-14,1954,22,0,14,0,8,f,f,0.00,63.64,36.36,0.00,54.55
E9B8C501-D4AC-4AF3-B751-B4A56A9EF57C,SAKFRÅGAN,1,C,1958,349,160,117,33,39,t,t,f,45.85,33.52,11.17,9.46,52.72,HUVUD,2006/07,AU5,2006-12-21,1957,29,24,0,0,5,t,f,82.76,0.00,17.24,0.00,62.07
7228E7B6-A94A-497A-ADAC-E703F65E50D4,SAKFRÅGAN,11,S,1969,349,183,111,0,55,t,t,f,52.44,31.81,15.76,0.00,55.01,HUVUD,2014/15,NU13,2015-04-22,1968,113,97,0,0,16,t,f,85.84,0.00,14.16,0.00,48.67
C98059F0-8DE7-4758-A6F1-33E50D230D08,SAKFRÅGAN,4,SD,1969,349,253,44,19,33,t,f,f,72.49,12.61,9.46,5.44,55.01,HUVUD,2015/16,MJU11,2016-03-16,1974,48,0,44,0,4,f,f,0.00,91.67,8.33,0.00,75.00
C9BC1F11-B797-4AB0-9983-8641175F4649,SAKFRÅGAN,1,KD,1963,349,259,36,0,54,t,t,f,74.21,10.32,15.47,0.00,56.73,HUVUD,2012/13,AU6,2013-02-25,1961,19,16,0,0,3,t,f,84.21,0.00,15.79,0.00,57.89
AE1B8AEF-9B07-4FAB-92BB-0061F6AFEE3F,SAKFRÅGAN,8,KD,1969,349,250,33,0,66,t,t,f,71.63,9.46,18.91,0.00,53.87,HUVUD,2016/17,CU14,2017-04-26,1968,16,14,0,0,2,t,f,87.50,0.00,12.50,0.00,62.50
8422C7AF-2099-4B2D-B35E-6547DB1FC571,SAKFRÅGAN,5,L,1963,349,174,141,0,34,t,t,f,49.86,40.40,9.74,0.00,55.59,HUVUD,2011/12,UU2,2011-12-05,1959,24,19,0,0,5,t,f,79.17,0.00,20.83,0.00,54.17
8D4B3436-2586-4375-A851-DFE347F5626C,SAKFRÅGAN,10,MP,1969,349,280,31,0,38,t,t,f,80.23,8.88,10.89,0.00,55.01,HUVUD,2014/15,MJU3,2015-03-04,1969,25,21,0,0,4,t,f,84.00,0.00,16.00,0.00,48.00
3FFEA1D0-46C0-44CC-A5B9-2D5C767297AE,SAKFRÅGAN,13,MP,1963,349,282,19,0,48,t,t,f,80.80,5.44,13.75,0.00,57.02,HUVUD,2011/12,KU9,2012-04-24,1964,25,19,0,0,6,t,f,76.00,0.00,24.00,0.00,48.00
5A79A1D2-537A-4A83-89E0-BEF35CDA368C,SAKFRÅGAN,1,V,1973,349,208,62,47,32,t,t,f,59.60,17.77,9.17,13.47,53.01,HUVUD,2018/19,FöU9,2019-04-03,1975,28,26,0,0,2,t,f,92.86,0.00,7.14,0.00,32.14
AA594E81-1C7A-4975-8883-2D1F99E8AE36,SAKFRÅGAN,7,MP,1963,349,273,19,0,57,t,t,f,78.22,5.44,16.33,0.00,55.87,HUVUD,2011/12,AU9,2012-03-21,1964,25,19,0,0,6,t,f,76.00,0.00,24.00,0.00,48.00
40E5A4DC-03C9-40FF-A982-7B06C6A40D11,SAKFRÅGAN,1,M,1963,349,280,19,0,50,t,t,f,80.23,5.44,14.33,0.00,57.02,HUVUD,2011/12,AU11,2012-06-05,1965,107,94,0,0,13,t,f,87.85,0.00,12.15,0.00,58.88
7424F488-D41D-477B-BBF8-6398B97B8081,SAKFRÅGAN,4,S,1975,349,234,33,19,63,t,t,f,67.05,9.46,18.05,5.44,55.87,HUVUD,2024/25,JuU16,2025-04-10,1975,106,89,0,0,17,t,f,83.96,0.00,16.04,0.00,52.83
C4C95EAC-45D0-408B-AAE2-AFD2ABA9F050,SAKFRÅGAN,12,M,1975,349,179,21,99,50,t,t,f,51.29,6.02,14.33,28.37,52.15,HUVUD,2022/23,UbU8,2023-04-26,1975,68,58,0,0,10,t,f,85.29,0.00,14.71,0.00,51.47
74347A01-9BDC-495F-BAE3-A659E983E929,SAKFRÅGAN,62,KD,1954,349,214,48,0,87,t,t,f,61.32,13.75,24.93,0.00,53.87,HUVUD,2005/06,KU17,2006-05-02,1951,33,25,0,0,8,t,f,75.76,0.00,24.24,0.00,69.70
4187DD71-47D5-4203-9339-FD3A4A392AB2,SAKFRÅGAN,32,C,1963,349,196,118,0,35,t,t,f,56.16,33.81,10.03,0.00,56.73,HUVUD,2012/13,UbU3,2013-02-14,1963,23,20,0,0,3,t,f,86.96,0.00,13.04,0.00,65.22
28FED8E3-B6DE-4D01-B9B1-BC96AEADD0EA,SAKFRÅGAN,9,C,1973,349,252,24,27,46,t,f,f,72.21,6.88,13.18,7.74,53.87,HUVUD,2021/22,MJU15,2022-03-16,1972,31,0,0,27,4,f,t,0.00,0.00,12.90,87.10,58.06
A1D058CE-DCFF-453D-A8AA-8912C531530C,SAKFRÅGAN,3,MP,1973,349,45,10,0,294,t,t,f,12.89,2.87,84.24,0.00,51.86,HUVUD,2019/20,TU12,2020-06-04,1978,16,3,0,0,13,t,f,18.75,0.00,81.25,0.00,12.50
D2DFBD9A-5641-40AB-B8AE-D06B32E9B334,SAKFRÅGAN,6,MP,1973,349,219,76,0,54,t,t,f,62.75,21.78,15.47,0.00,52.44,HUVUD,2021/22,SoU30,2022-06-14,1978,16,11,0,0,5,t,f,68.75,0.00,31.25,0.00,25.00
B606F46E-2884-477E-A6FC-F680308596FE,SAKFRÅGAN,21,MP,1975,349,172,127,0,50,t,f,f,49.28,36.39,14.33,0.00,52.15,HUVUD,2022/23,NU9,2023-04-26,1978,18,0,14,0,4,f,f,0.00,77.78,22.22,0.00,27.78
347024DD-B8D5-4907-B1F8-D0E3184F3CD0,SAKFRÅGAN,23,V,1963,349,164,145,20,20,t,f,f,46.99,41.55,5.73,5.73,54.73,HUVUD,2010/11,JuU1,2010-12-07,1960,19,0,15,0,4,f,f,0.00,78.95,21.05,0.00,42.11
14EA9069-6356-11D7-AE84-000475504C4C,SAKFRÅGAN,27,C,1954,349,167,132,1,49,t,f,f,47.85,37.82,14.04,0.29,54.44,HUVUD,2002/03,JUU11,2003-03-27,1955,22,0,20,0,2,f,f,0.00,90.91,9.09,0.00,50.00
7E7EBBB6-301F-4913-8D90-795629A28768,SAKFRÅGAN,8,MP,1963,349,170,38,91,50,t,f,f,48.71,10.89,14.33,26.07,57.02,HUVUD,2011/12,MJU15,2012-04-13,1964,25,0,22,0,3,f,f,0.00,88.00,12.00,0.00,48.00
7DEED3CB-ECA8-4B60-95B6-10D9FFDE919B,MOTIVFRÅGAN,1,-,1963,349,147,118,33,51,t,f,f,42.12,33.81,14.61,9.46,54.73,HUVUD,2011/12,UU5,2011-11-17,1988,1,0,0,1,0,f,t,0.00,0.00,0.00,100.00,100.00
C897BED3-4A4C-4C43-B3C0-EF8BBA34DC9B,SAKFRÅGAN,7,S,1969,349,168,143,0,38,t,f,f,48.14,40.97,10.89,0.00,55.01,HUVUD,2015/16,NU4,2015-11-18,1968,113,0,102,0,11,f,f,0.00,90.27,9.73,0.00,49.56
381D99C8-B228-4E68-B3A4-502DCC803C59,SAKFRÅGAN,1,C,1973,349,27,10,19,293,t,t,f,7.74,2.87,83.95,5.44,51.00,HUVUD,2020/21,AU2,2020-12-16,1972,31,5,0,0,26,t,f,16.13,0.00,83.87,0.00,58.06
62C744D9-1ECF-49CE-97EC-EC8E2920658E,SAKFRÅGAN,16,M,1970,349,143,77,87,42,t,f,f,40.97,22.06,12.03,24.93,54.44,HUVUD,2017/18,SfU15,2018-03-28,1968,83,0,77,0,6,f,f,0.00,92.77,7.23,0.00,50.60
