committee_code,committee_name,committee_category,period_start,period_end,year,quarter,total_documents,committee_reports,motions_handled,active_members,documents_per_member,reports_per_member,document_change,document_change_pct,ma_4quarter_documents,period_avg_documents,period_median_documents,period_max_documents,period_min_documents,vs_average,vs_average_pct,productivity_level,productivity_trend,productivity_assessment,first_document_date,last_document_date,activity_span_days
KU,Konstitutionsutskottet,Committee,2024-10-01 00:00:00+00,2024-12-31,2024,4,49,0,0,25,1.96,0.00,44,880.00,19.25,83.81,88.50,151,2,-34.81,-41.54,BELOW_AVERAGE,STRONG_INCREASE,Standard committee operations,2024-10-01,2024-12-20,80
FiU,Finansutskottet,Committee,2024-04-01 00:00:00+00,2024-06-30,2024,2,54,0,0,47,1.15,0.00,-184,-77.31,99.00,28.79,25.50,54,4,25.21,87.59,HIGHLY_PRODUCTIVE,STRONG_DECREASE,Exceptional committee productivity and engagement,2024-04-29,2024-05-06,7
UbU,Utbildningsutskottet,Committee,2024-10-01 00:00:00+00,2024-12-31,2024,4,93,0,0,52,1.79,0.00,81,675.00,113.75,83.81,88.50,151,2,9.19,10.96,AVERAGE,STRONG_INCREASE,Standard committee operations,2024-10-04,2024-12-12,69
KU,Konstitutionsutskottet,Committee,2023-01-01 00:00:00+00,2023-03-31,2023,1,23,0,0,0,,,1,4.55,22.50,6.83,5.00,23,1,16.17,236.59,HIGHLY_PRODUCTIVE,SLIGHT_INCREASE,Above-average committee performance,2023-01-12,2023-03-21,68
KU,Konstitutionsutskottet,Committee,2023-04-01 00:00:00+00,2023-06-30,2023,2,5,0,0,0,,,-18,-78.26,16.67,3.75,4.50,5,1,1.25,33.33,ABOVE_AVERAGE,STRONG_DECREASE,Above-average committee performance,2023-05-25,2023-06-08,14
SkU,Skatteutskottet,Committee,2024-10-01 00:00:00+00,2024-12-31,2024,4,43,0,0,18,2.39,0.00,34,377.78,17.25,83.81,88.50,151,2,-40.81,-48.70,BELOW_AVERAGE,STRONG_INCREASE,Standard committee operations,2024-10-04,2024-12-11,68
SoU,Socialutskottet,Committee,2024-10-01 00:00:00+00,2024-12-31,2024,4,121,0,0,65,1.86,0.00,100,476.19,55.00,83.81,88.50,151,2,37.19,44.37,ABOVE_AVERAGE,STRONG_INCREASE,Above-average committee performance,2024-10-02,2024-11-20,49
KU,Konstitutionsutskottet,Committee,2024-07-01 00:00:00+00,2024-09-30,2024,3,5,0,0,3,1.67,0.00,1,25.00,43.75,11.87,11.00,24,3,-6.87,-57.87,UNDERPERFORMING,SLIGHT_INCREASE,Committee productivity concerns - investigation recommended,2024-09-12,2024-09-18,6
UU,Utrikesutskottet,Committee,2024-10-01 00:00:00+00,2024-12-31,2024,4,84,0,0,47,1.79,0.00,70,500.00,66.25,83.81,88.50,151,2,0.19,0.22,AVERAGE,STRONG_INCREASE,Standard committee operations,2024-10-01,2024-10-29,28
FöU,Försvarsutskottet,Committee,2023-10-01 00:00:00+00,2023-12-31,2023,4,81,0,0,61,1.33,0.00,74,1057.14,44.00,253.27,239.00,529,81,-172.27,-68.02,UNDERPERFORMING,STRONG_INCREASE,Committee productivity concerns - investigation recommended,2023-10-03,2023-12-13,71
FöU,Försvarsutskottet,Committee,2024-07-01 00:00:00+00,2024-09-30,2024,3,3,0,0,2,1.50,0.00,-10,-76.92,26.00,11.87,11.00,24,3,-8.87,-74.72,UNDERPERFORMING,STRONG_DECREASE,Committee productivity concerns - investigation recommended,2024-09-12,2024-09-12,0
CU,Civilutskottet,Committee,2024-04-01 00:00:00+00,2024-06-30,2024,2,38,0,0,25,1.52,0.00,36,1800.00,75.50,28.79,25.50,54,4,9.21,32.01,ABOVE_AVERAGE,STRONG_INCREASE,Above-average committee performance,2024-04-04,2024-06-12,69
SfU,Socialförsäkringsutskottet,Committee,2025-01-01 00:00:00+00,2025-03-31,2025,1,15,0,0,15,1.00,0.00,-92,-85.98,40.75,14.21,12.00,42,1,0.79,5.53,AVERAGE,STRONG_DECREASE,Significant productivity decline detected,2025-01-17,2025-01-29,12
SkU,Skatteutskottet,Committee,2022-10-01 00:00:00+00,2022-12-31,2022,4,14,0,0,14,1.00,0.00,0,,14.00,38.71,28.50,83,5,-24.71,-63.84,UNDERPERFORMING,STABLE,Committee productivity concerns - investigation recommended,2022-11-21,2022-11-22,1
CU,Civilutskottet,Committee,2024-07-01 00:00:00+00,2024-09-30,2024,3,11,0,0,5,2.20,0.00,-27,-71.05,77.25,11.87,11.00,24,3,-0.87,-7.30,AVERAGE,STRONG_DECREASE,Significant productivity decline detected,2024-09-12,2024-09-25,13
CU,Civilutskottet,Committee,2024-10-01 00:00:00+00,2024-12-31,2024,4,105,0,0,43,2.44,0.00,94,854.55,39.00,83.81,88.50,151,2,21.19,25.28,ABOVE_AVERAGE,STRONG_INCREASE,Above-average committee performance,2024-10-04,2024-12-11,68
JuU,Justitieutskottet,Committee,2025-01-01 00:00:00+00,2025-03-31,2025,1,6,0,0,6,1.00,0.00,-143,-95.97,55.25,14.21,12.00,42,1,-8.21,-57.79,UNDERPERFORMING,STRONG_DECREASE,Committee productivity concerns - investigation recommended,2025-01-17,2025-01-17,0
CU,Civilutskottet,Committee,2023-10-01 00:00:00+00,2023-12-31,2023,4,258,0,0,134,1.93,0.00,254,6350.00,106.67,253.27,239.00,529,81,4.73,1.87,AVERAGE,STRONG_INCREASE,Standard committee operations,2023-10-03,2023-10-17,14
MJU,Miljö- och jordbruksutskottet,Committee,2024-01-01 00:00:00+00,2024-03-31,2024,1,31,0,0,31,1.00,0.00,-316,-91.07,116.25,27.40,19.00,86,2,3.60,13.14,AVERAGE,STRONG_DECREASE,Significant productivity decline detected,2024-01-30,2024-01-31,1
JuU,Justitieutskottet,Committee,2023-07-01 00:00:00+00,2023-09-30,2023,3,6,0,0,0,,,1,20.00,14.25,4.75,5.50,6,2,1.25,26.32,ABOVE_AVERAGE,SLIGHT_INCREASE,Above-average committee performance,2023-09-07,2023-09-25,18
FiU,Finansutskottet,Committee,2022-10-01 00:00:00+00,2022-12-31,2022,4,5,0,0,5,1.00,0.00,0,,5.00,38.71,28.50,83,5,-33.71,-87.08,UNDERPERFORMING,STABLE,Committee productivity concerns - investigation recommended,2022-11-22,2022-11-22,0
FiU,Finansutskottet,Committee,2023-10-01 00:00:00+00,2023-12-31,2023,4,238,0,0,137,1.74,0.00,233,4660.00,121.50,253.27,239.00,529,81,-15.27,-6.03,AVERAGE,STRONG_INCREASE,Standard committee operations,2023-10-03,2023-10-13,10
UU,Utrikesutskottet,Committee,2023-10-01 00:00:00+00,2023-12-31,2023,4,141,0,0,89,1.58,0.00,140,14000.00,49.67,253.27,239.00,529,81,-112.27,-44.33,BELOW_AVERAGE,STRONG_INCREASE,Standard committee operations,2023-10-03,2023-10-05,2
FiU,Finansutskottet,Committee,2025-01-01 00:00:00+00,2025-03-31,2025,1,30,0,0,25,1.20,0.00,-121,-80.13,60.50,14.21,12.00,42,1,15.79,111.06,HIGHLY_PRODUCTIVE,STRONG_DECREASE,Exceptional committee productivity and engagement,2025-01-15,2025-01-30,15
CU,Civilutskottet,Committee,2024-01-01 00:00:00+00,2024-03-31,2024,1,2,0,0,2,1.00,0.00,-256,-99.22,80.50,27.40,19.00,86,2,-25.40,-92.70,UNDERPERFORMING,STRONG_DECREASE,Committee productivity concerns - investigation recommended,2024-01-19,2024-01-19,0
KU,Konstitutionsutskottet,Committee,2022-10-01 00:00:00+00,2022-12-31,2022,4,22,0,0,19,1.16,0.00,0,,22.00,38.71,28.50,83,5,-16.71,-43.17,BELOW_AVERAGE,STABLE,Standard committee operations,2022-11-21,2022-11-22,1
TU,Trafikutskottet,Committee,2023-01-01 00:00:00+00,2023-03-31,2023,1,7,0,0,0,,,-41,-85.42,27.50,6.83,5.00,23,1,0.17,2.44,AVERAGE,STRONG_DECREASE,Significant productivity decline detected,2023-01-23,2023-03-30,66
KrU,Kulturutskottet,Committee,2024-01-01 00:00:00+00,2024-03-31,2024,1,6,0,0,6,1.00,0.00,-109,-94.78,50.50,27.40,19.00,86,2,-21.40,-78.10,UNDERPERFORMING,STRONG_DECREASE,Committee productivity concerns - investigation recommended,2024-01-18,2024-01-18,0
SkU,Skatteutskottet,Committee,2024-07-01 00:00:00+00,2024-09-30,2024,3,9,0,0,5,1.80,0.00,-5,-35.71,57.50,11.87,11.00,24,3,-2.87,-24.16,BELOW_AVERAGE,MODERATE_DECREASE,Standard committee operations,2024-08-20,2024-09-27,38
FöU,Försvarsutskottet,Committee,2025-01-01 00:00:00+00,2025-03-31,2025,1,4,0,0,0,,,-63,-94.03,21.75,14.21,12.00,42,1,-10.21,-71.86,UNDERPERFORMING,STRONG_DECREASE,Committee productivity concerns - investigation recommended,2025-01-16,2025-01-29,13
JuU,Justitieutskottet,Committee,2023-04-01 00:00:00+00,2023-06-30,2023,2,5,0,0,0,,,-6,-54.55,17.00,3.75,4.50,5,1,1.25,33.33,ABOVE_AVERAGE,MODERATE_DECREASE,Above-average committee performance,2023-04-12,2023-06-13,62
KU,Konstitutionsutskottet,Committee,2024-04-01 00:00:00+00,2024-06-30,2024,2,4,0,0,4,1.00,0.00,-15,-78.95,43.75,28.79,25.50,54,4,-24.79,-86.10,UNDERPERFORMING,STRONG_DECREASE,Committee productivity concerns - investigation recommended,2024-04-03,2024-04-03,0
NU,Näringsutskottet,Committee,2022-10-01 00:00:00+00,2022-12-31,2022,4,72,0,0,10,7.20,0.00,0,,72.00,38.71,28.50,83,5,33.29,85.98,HIGHLY_PRODUCTIVE,STABLE,Exceptional committee productivity and engagement,2022-11-21,2022-12-22,31
KU,Konstitutionsutskottet,Committee,2025-01-01 00:00:00+00,2025-03-31,2025,1,14,0,0,0,,,-35,-71.43,18.00,14.21,12.00,42,1,-0.21,-1.51,AVERAGE,STRONG_DECREASE,Significant productivity decline detected,2025-01-07,2025-01-29,22
SoU,Socialutskottet,Committee,2022-10-01 00:00:00+00,2022-12-31,2022,4,83,0,0,28,2.96,0.00,0,,83.00,38.71,28.50,83,5,44.29,114.39,HIGHLY_PRODUCTIVE,STABLE,Exceptional committee productivity and engagement,2022-11-21,2022-12-20,29
SoU,Socialutskottet,Committee,2023-04-01 00:00:00+00,2023-06-30,2023,2,4,0,0,0,,,-1,-20.00,30.67,3.75,4.50,5,1,0.25,6.67,AVERAGE,SLIGHT_DECREASE,Standard committee operations,2023-05-05,2023-06-28,54
UbU,Utbildningsutskottet,Committee,2022-10-01 00:00:00+00,2022-12-31,2022,4,8,0,0,6,1.33,0.00,0,,8.00,38.71,28.50,83,5,-30.71,-79.34,UNDERPERFORMING,STABLE,Committee productivity concerns - investigation recommended,2022-11-21,2022-12-29,38
SfU,Socialförsäkringsutskottet,Committee,2024-10-01 00:00:00+00,2024-12-31,2024,4,107,0,0,31,3.45,0.00,98,1088.89,41.75,83.81,88.50,151,2,23.19,27.67,ABOVE_AVERAGE,STRONG_INCREASE,Above-average committee performance,2024-10-04,2024-12-11,68
FiU,Finansutskottet,Committee,2024-07-01 00:00:00+00,2024-09-30,2024,3,7,0,0,2,3.50,0.00,-47,-87.04,76.00,11.87,11.00,24,3,-4.87,-41.01,BELOW_AVERAGE,STRONG_DECREASE,Significant productivity decline detected,2024-09-05,2024-09-19,14
UbU,Utbildningsutskottet,Committee,2025-01-01 00:00:00+00,2025-03-31,2025,1,42,0,0,36,1.17,0.00,-51,-54.84,39.50,14.21,12.00,42,1,27.79,195.48,HIGHLY_PRODUCTIVE,STRONG_DECREASE,Exceptional committee productivity and engagement,2025-01-08,2025-01-27,19
