hjid,address,city,co_address,email,fax_number,party_id,party_name,phone_number,post_code,registered_date,short_code,website,parties_sweden_election_regi_0
24,Box 2080,Stockholm,"",info@moderat.se,08-676 81 30,1,Moderaterna,08-676 80 00,10312,2013-09-06,M,www.moderat.se,
25,Aprikosvägen 1 D,Hässelby,c/o Ercan Loströmmer,"","",976,Mosebackedemokraterna,0738-93 23 53,16560,2010-01-22,---,"",
12,"Sommaren 6 C, nb",Bjuv,c/o Mellie Wahlberg,info@frihets-partiet.se,"",979,Frihetspartiet,0733-85 34 78,26733,2010-02-15,---,www.frihets-partiet.se,
16,Box 31187,Göteborg,"",info@kommunisterna.org,031-24 51 72,471,Kommunistiska Partiet,031-12 26 31,40032,2005-01-12,K,www.kommunisterna.org,
2,Box 10185,Stockholm,"","","",170,NyDemokrati,08-16 09 30,10055,1991-02-15,NYD,"",
40,Box 12660,Stockholm,"",info@vansterpartiet.se,08-653 23 85,5,Vänsterpartiet,08-654 08 20,11293,1990-06-15,V,www.vansterpartiet.se,
26,Box 52,Grängesberg,"",info@nordfront.se,"",1273,Nordiska motståndsrörelsen,0738-396 301,77222,2015-07-09,---,"",
37,Rullstensvägen 13,Åby,"",info@svenskafornuftspartiet.eu,"",1187,Svenska Förnufts Partiet (SFP),0739-74 20 53,61634,2014-04-10,---,www.svenskafornuftspartiet.eu,
23,Pustegränd 1-3,Stockholm,"","",08-545 224 60,55,Miljöpartiet de gröna,08-545 224 50,11820,1985-02-04,MP,www.mp.se,
14,Fiskarbacken 12,Saltsjö-Duvnäs,c/o Eva Nisser,info@junilistan.se,"",451,Junilistan,"",13150,2004-02-27,JL,www.junilistan.se,
10,Box 6057,Hägersten,"",larouche@nysol.se,08-98 30 90,29,Europeiska Arbetarpartiet-EAP,08-98 30 10,12906,1985-03-22,EAP,www.larouche.se,
36,Nackanäsparken 4,Nacka,c/o Benny Haag,kontakt@spritpartiet.se,"",1004,Spritpartiet,073-656 44 19,13133,2010-03-04,---,www.spritpartiet.se,
9,Abbedissavägen 27,Skokloster,"",info@enhet.se,"",189,Enhet,076-148 12 00,74695,2014-03-12,ENH,www.enhet.se,
34,Box 5073,Johanneshov,"",info@socialistiskapartiet.se,08-441 45 76,74,Socialistiska Partiet,08-31 08 50,12116,1985-02-18,SOC.P,http://www.socialistiskapartiet.se,
8,Mariagatan 9,Lund,c/o Johanna Parikka Altenstedt,djurensparti@gmail.com,"",1136,Djurens parti,0708-66 18 12,22353,2014-02-19,DjuP,www.djurensparti.se,
32,S Lindholmsvägen 270-70,Svedala,"",info@skanepartiet.org,040-12 32 27,54,Skånepartiet,040-12 02 12,23391,1979-05-15,SKÅ,www.skanepartiet.org,
28,Kvarnbergavägen 21,Gusselby,c/o Karl Gustafson,"","",1277,Permalogiskt Samhälle,0581-504 05,71195,,---,"",
22,Norregatan 5,Skånes Fagerhult,"",lottokratin@gmail.com,"",518,LOTTOKRATIN,070-52 47 433,28040,2015-11-13,---,www.nordiskunion.nu,
18,Briljantgatan 77,Västra Frölunda,c/o Annette Westöö,annette.westoo@kristnavardepartiet.se,"",1140,Kristna Värdepartiet,0706-23 12 11,42149,2014-02-24,KrVP,www.kristnavardepartiet.se,
21,Box 2253,Stockholm,"",info@liberal.se,08-509 116 60,3,Folkpartiet liberalerna,08-410 242 00,10316,1990-12-17,FP,www.folkpartiet.se,
17,Box 2373,Stockholm,"",info@kristdemokraterna.se,08-723 25 10,68,Kristdemokraterna,08-723 25 00,10318,1996-08-29,KD,www.kristdemokraterna.se,
