person_id,first_name,last_name,previous_party,new_party,transition_date,transition_type,transition_year,next_election,months_until_next_election,previous_election,months_since_last_election
0665485817222,Daniel,Bäckström,C,RS,2022-10-04,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,0
0275724540919,Erik,Ullenhag,KD,L,2015-11-24,SWITCHED_WHILE_SERVING,2015,2018-09-09,33,2014-09-14,14
0331967573912,Maria,Larsson,RS,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0880452278816,Mikaela,Valtersson,MP,RS,2010-10-12,REJOINED_RIKSDAGEN,2010,2014-09-14,47,2010-09-19,0
0415959965211,Mia,Sydow Mölleby,V,RS,2018-10-02,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,0
0744993950910,Anders,Ygeman,KD,RS,2017-08-31,REJOINED_RIKSDAGEN,2017,2018-09-09,12,2014-09-14,35
0793372891224,Noria,Manouchi,M,RS,2022-10-27,SWITCHED_WHILE_SERVING,2022,2026-09-13,46,2022-09-11,1
0824721092613,Carina,Moberg,KD,RS,2011-05-03,SWITCHED_WHILE_SERVING,2011,2014-09-14,40,2010-09-19,7
031414803913,Maria,Wetterstrand,MP,KD,2002-10-15,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,1
0951854268017,Åsa,Romson,MP,M,2015-01-01,REJOINED_RIKSDAGEN,2015,2018-09-09,44,2014-09-14,3
0349986646724,Märta,Stenevi,MP,KD,2022-10-11,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,1
011731125914,Ylva,Johansson,S,KD,2007-05-11,SWITCHED_WHILE_SERVING,2007,2010-09-19,40,2006-09-17,7
0530425150220,Annika,Strandhäll,S,M,2021-11-30,SWITCHED_WHILE_SERVING,2021,2022-09-11,9,2018-09-09,38
0853395328224,Lena,Hallengren,KD,S,2018-03-08,SWITCHED_WHILE_SERVING,2018,2018-09-09,6,2014-09-14,41
098412828516,Magdalena,Andersson,S,KD,2022-10-11,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,1
0760437424714,Magdalena,Andersson,KD,RS,2006-12-15,SWITCHED_WHILE_SERVING,2006,2010-09-19,45,2006-09-17,2
0446541913415,Allan,Widman,RS,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0793372891224,Noria,Manouchi,M,KD,2022-11-15,SWITCHED_WHILE_SERVING,2022,2026-09-13,45,2022-09-11,2
0482927154110,Leif,Jakobsson,KD,S,2008-06-05,SWITCHED_WHILE_SERVING,2008,2010-09-19,27,2006-09-17,20
0665485817222,Daniel,Bäckström,C,KD,2022-10-11,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,1
0224712677012,Johan,Pehrson,KD,L,2019-06-28,SWITCHED_WHILE_SERVING,2019,2022-09-11,38,2018-09-09,9
014744660015,Mikael,Damberg,S,RS,2012-02-24,SWITCHED_WHILE_SERVING,2012,2014-09-14,30,2010-09-19,17
0371414788216,Lars,Lindblad,RS,M,2006-10-11,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,0
069436402021,Tomas,Tobé,RS,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0430865615328,Linda,Lindberg,SD,KD,2023-04-18,SWITCHED_WHILE_SERVING,2023,2026-09-13,40,2022-09-11,7
0992420223820,Jessica,Rosencrantz,M,KD,2022-11-15,SWITCHED_WHILE_SERVING,2022,2026-09-13,45,2022-09-11,2
0229760896014,Anders,W Jonsson,KD,RS,2014-10-07,REJOINED_RIKSDAGEN,2014,2018-09-09,47,2014-09-14,0
0462699892622,Maria,Ferm,MP,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
0157062733618,Jonas,Eriksson,RS,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
0781520322912,Jörgen,Hellman,S,KD,2016-11-09,SWITCHED_WHILE_SERVING,2016,2018-09-09,22,2014-09-14,25
012053331219,Anna,Kinberg Batra,M,RS,2010-10-12,REJOINED_RIKSDAGEN,2010,2014-09-14,47,2010-09-19,0
0630824497414,Jessica,Polfjärd,RS,KD,2016-03-18,SWITCHED_WHILE_SERVING,2016,2018-09-09,29,2014-09-14,18
0962841101917,Annika,Qarlsson,RS,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0452755722723,Björn,Söder,SD,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0457308547314,Karin,Svensson Smith,V,MP,2006-11-14,REJOINED_RIKSDAGEN,2006,2010-09-19,46,2006-09-17,1
TEST_PERSON_001,Test,Partibytare,S,M,2011-07-01,REJOINED_RIKSDAGEN,2011,2014-09-14,38,2010-09-19,9
0430865615328,Linda,Lindberg,RS,SD,2022-10-25,REJOINED_RIKSDAGEN,2022,2026-09-13,46,2022-09-11,1
0522054204918,Mattias,Karlsson,RS,KD,2022-11-15,SWITCHED_WHILE_SERVING,2022,2026-09-13,45,2022-09-11,2
0552248175312,Berit,Högman,KD,RS,2012-03-23,SWITCHED_WHILE_SERVING,2012,2014-09-14,29,2010-09-19,18
0956595590924,Tobias,Billström,M,RS,2017-10-13,SWITCHED_WHILE_SERVING,2017,2018-09-09,10,2014-09-14,36
0104804820009,Per,Unckel,KD,RS,2000-07-01,REJOINED_RIKSDAGEN,2000,2002-09-15,26,,
0475643059428,Jonny,Cato,C,RS,2025-09-01,REJOINED_RIKSDAGEN,2025,2026-09-13,12,2022-09-11,35
0475643059428,Jonny,Cato,C,KD,2025-09-04,REJOINED_RIKSDAGEN,2025,2026-09-13,12,2022-09-11,35
0982795248728,Jakob,Forssmed,KD,S,2022-10-18,REJOINED_RIKSDAGEN,2022,2026-09-13,46,2022-09-11,1
0714307225418,Sven-Erik,Österberg,S,RS,2008-06-05,SWITCHED_WHILE_SERVING,2008,2010-09-19,27,2006-09-17,20
0618560932311,Hillevi,Engström,RS,KD,2008-05-09,SWITCHED_WHILE_SERVING,2008,2010-09-19,28,2006-09-17,19
0996403729104,Tone,Tingsgård,KD,RS,2006-10-10,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,0
0602744999917,Elisabeth,Thand Ringqvist,C,KD,2024-01-01,SWITCHED_WHILE_SERVING,2024,2026-09-13,32,2022-09-11,15
0411459873625,Hanna,Gunnarsson,V,RS,2020-02-07,SWITCHED_WHILE_SERVING,2020,2022-09-11,31,2018-09-09,16
0332067570917,Berit,Andnor,RS,S,2002-09-30,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,0
0228027853620,Vasiliki,Tsouplaki,RS,KD,2022-10-11,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,1
0938901612810,Fredrik,Reinfeldt,RS,KD,2002-10-15,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,1
0452755722723,Björn,Söder,SD,RS,2018-10-02,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,0
TEST_PERSON_002,Anna,Testsson,V,MP,2015-04-01,REJOINED_RIKSDAGEN,2015,2018-09-09,41,2014-09-14,6
0819601620927,Annika,Hirvonen,MP,KD,2021-03-05,SWITCHED_WHILE_SERVING,2021,2022-09-11,18,2018-09-09,29
0316505710324,Janine,Alm Ericson,KD,RS,2019-02-15,SWITCHED_WHILE_SERVING,2019,2022-09-11,42,2018-09-09,5
0638497389621,Julia,Kronlid,KD,RS,2018-10-02,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,0
0602744999917,Elisabeth,Thand Ringqvist,C,RS,2024-01-01,SWITCHED_WHILE_SERVING,2024,2026-09-13,32,2022-09-11,15
0502770250503,Göran,Magnusson,RS,KD,2002-10-15,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,1
0462699892622,Maria,Ferm,RS,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
0251136832626,Muharrem,Demirok,C,KD,2023-02-09,SWITCHED_WHILE_SERVING,2023,2026-09-13,43,2022-09-11,4
0222691314314,Ulf,Kristersson,S,M,2017-10-01,SWITCHED_WHILE_SERVING,2017,2018-09-09,11,2014-09-14,36
0395613047500,Linnéa,Darell,RS,KD,2002-10-15,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,1
0116084827614,Mehmet,Kaplan,RS,MP,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0415959965211,Mia,Sydow Mölleby,V,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
0198917587520,Maj,Karlsson,KD,RS,2018-10-02,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,0
0202577142527,Matheus,Enholm,SD,RS,2025-02-14,SWITCHED_WHILE_SERVING,2025,2026-09-13,18,2022-09-11,29
0473783431010,Morgan,Johansson,S,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0630824497414,Jessica,Polfjärd,RS,M,2015-01-13,SWITCHED_WHILE_SERVING,2015,2018-09-09,43,2014-09-14,3
0938901612810,Fredrik,Reinfeldt,RS,M,2003-10-25,SWITCHED_WHILE_SERVING,2003,2006-09-17,34,2002-09-15,13
0718034011110,Jessika,Roswall,RS,KD,2018-10-09,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,1
0612916684825,Johan,Löfstrand,RS,S,2022-10-07,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,0
0798417016112,Kristina,Zakrisson,RS,KD,2002-10-15,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,1
0238588409223,Gustav,Fridolin,MP,KD,2011-09-19,REJOINED_RIKSDAGEN,2011,2014-09-14,35,2010-09-19,12
0658668232410,Per,Bill,RS,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0584659199514,Göran,Hägglund,KD,S,2006-10-06,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,0
0522460069116,Cecilia,Magnusson,RS,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0130789484021,Mattias,Bäckström Johansson,KD,RS,2020-10-01,SWITCHED_WHILE_SERVING,2020,2022-09-11,23,2018-09-09,24
0193303720505,Anita,Johansson,KD,RS,2000-07-01,REJOINED_RIKSDAGEN,2000,2002-09-15,26,,
0222691314314,Ulf,Kristersson,S,KD,2017-12-14,SWITCHED_WHILE_SERVING,2017,2018-09-09,8,2014-09-14,39
0796071663617,Acko,Ankarberg Johansson,KD,S,2022-10-18,REJOINED_RIKSDAGEN,2022,2026-09-13,46,2022-09-11,1
0334816698724,Karolina,Skog,M,MP,2021-02-22,SWITCHED_WHILE_SERVING,2021,2022-09-11,18,2018-09-09,29
0199751900210,Annelie,Karlsson,RS,KD,2019-01-31,SWITCHED_WHILE_SERVING,2019,2022-09-11,43,2018-09-09,4
0224712677012,Johan,Pehrson,RS,FP,2006-10-11,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,0
0316505710324,Janine,Alm Ericson,MP,RS,2019-02-15,SWITCHED_WHILE_SERVING,2019,2022-09-11,42,2018-09-09,5
0157062733618,Jonas,Eriksson,MP,RS,2014-10-07,REJOINED_RIKSDAGEN,2014,2018-09-09,47,2014-09-14,0
0607691439013,Karin,Enström,RS,M,2022-10-19,REJOINED_RIKSDAGEN,2022,2026-09-13,46,2022-09-11,1
0891731772016,Mats,Gerdau,RS,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0745549193810,Stefan,Attefall,KD,S,2010-10-06,REJOINED_RIKSDAGEN,2010,2014-09-14,47,2010-09-19,0
0634917636517,Margareta,Israelsson,RS,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0731442709013,Christer,Nylander,L,KD,2016-06-09,SWITCHED_WHILE_SERVING,2016,2018-09-09,27,2014-09-14,20
0853395328224,Lena,Hallengren,KD,RS,2022-10-11,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,1
0758652610,Maria,Arnholm,L,KD,2018-10-09,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,1
0452755722723,Björn,Söder,KD,RS,2018-10-02,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,0
0275724540919,Erik,Ullenhag,KD,FP,2014-10-04,REJOINED_RIKSDAGEN,2014,2018-09-09,47,2014-09-14,0
0522054204918,Mattias,Karlsson,M,RS,2022-10-27,SWITCHED_WHILE_SERVING,2022,2026-09-13,46,2022-09-11,1
0888807074321,Amanda,Lind,MP,KD,2025-11-25,SWITCHED_WHILE_SERVING,2025,2026-09-13,9,2022-09-11,38
0482927154110,Leif,Jakobsson,RS,S,2008-06-05,SWITCHED_WHILE_SERVING,2008,2010-09-19,27,2006-09-17,20
0371414788216,Lars,Lindblad,M,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
012053331219,Anna,Kinberg Batra,M,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
069436402021,Tomas,Tobé,RS,M,2012-09-01,REJOINED_RIKSDAGEN,2012,2014-09-14,24,2010-09-19,23
0430865615328,Linda,Lindberg,RS,KD,2023-04-18,SWITCHED_WHILE_SERVING,2023,2026-09-13,40,2022-09-11,7
0638497389621,Julia,Kronlid,KD,SD,2022-01-01,SWITCHED_WHILE_SERVING,2022,2022-09-11,8,2018-09-09,39
0446541913415,Allan,Widman,RS,FP,2006-10-11,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,0
0607691439013,Karin,Enström,KD,RS,2018-10-02,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,0
0406831930624,Henrik,Vinge,SD,RS,2020-10-01,SWITCHED_WHILE_SERVING,2020,2022-09-11,23,2018-09-09,24
0463606088610,Bertil,Kjellberg,M,RS,2008-04-04,SWITCHED_WHILE_SERVING,2008,2010-09-19,29,2006-09-17,18
0504851635310,Daniel,Helldén,MP,KD,2024-01-01,SWITCHED_WHILE_SERVING,2024,2026-09-13,32,2022-09-11,15
0718034011110,Jessika,Roswall,KD,M,2020-09-29,SWITCHED_WHILE_SERVING,2020,2022-09-11,23,2018-09-09,24
014744660015,Mikael,Damberg,KD,RS,2012-02-24,SWITCHED_WHILE_SERVING,2012,2014-09-14,30,2010-09-19,17
0229760896014,Anders,W Jonsson,C,RS,2014-10-07,REJOINED_RIKSDAGEN,2014,2018-09-09,47,2014-09-14,0
0334816698724,Karolina,Skog,M,RS,2021-02-25,SWITCHED_WHILE_SERVING,2021,2022-09-11,18,2018-09-09,29
0130789484021,Mattias,Bäckström Johansson,SD,KD,2020-04-08,SWITCHED_WHILE_SERVING,2020,2022-09-11,29,2018-09-09,18
0718034011110,Jessika,Roswall,RS,M,2020-09-29,SWITCHED_WHILE_SERVING,2020,2022-09-11,23,2018-09-09,24
0899112324519,Elisabeth,Svantesson,KD,RS,2021-02-04,SWITCHED_WHILE_SERVING,2021,2022-09-11,19,2018-09-09,28
0130789484021,Mattias,Bäckström Johansson,SD,RS,2020-10-01,SWITCHED_WHILE_SERVING,2020,2022-09-11,23,2018-09-09,24
0939158389321,Samuel,Gonzalez Westling,V,KD,2022-10-11,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,1
0628005785225,Jörgen,Berglund,M,RS,2024-10-18,SWITCHED_WHILE_SERVING,2024,2026-09-13,22,2022-09-11,25
0603753860213,Carina,Ståhl Herrstedt,SD,RS,2022-10-04,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,0
0202577142527,Matheus,Enholm,SD,KD,2022-10-11,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,1
0980316377627,Lars,Hjälmered,RS,KD,2018-10-09,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,1
0714307225418,Sven-Erik,Österberg,KD,RS,2008-06-05,SWITCHED_WHILE_SERVING,2008,2010-09-19,27,2006-09-17,20
0819601620927,Annika,Hirvonen,RS,KD,2021-03-05,SWITCHED_WHILE_SERVING,2021,2022-09-11,18,2018-09-09,29
0552248175312,Berit,Högman,S,RS,2012-03-23,SWITCHED_WHILE_SERVING,2012,2014-09-14,29,2010-09-19,18
0198917587520,Maj,Karlsson,V,KD,2017-06-16,SWITCHED_WHILE_SERVING,2017,2018-09-09,14,2014-09-14,33
0463606088610,Bertil,Kjellberg,M,KD,2006-10-24,REJOINED_RIKSDAGEN,2006,2010-09-19,46,2006-09-17,1
0925652297119,Per,Ramhorn,SD,RS,2014-10-07,REJOINED_RIKSDAGEN,2014,2018-09-09,47,2014-09-14,0
0473783431010,Morgan,Johansson,RS,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0802546764724,Åsa,Westlund,KD,RS,2022-10-04,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,0
0603490586517,Jan,Björklund,KD,L,2015-11-24,SWITCHED_WHILE_SERVING,2015,2018-09-09,33,2014-09-14,14
0831636664429,Mattias,Karlsson,SD,RS,2014-10-07,REJOINED_RIKSDAGEN,2014,2018-09-09,47,2014-09-14,0
0607691439013,Karin,Enström,KD,M,2022-10-19,REJOINED_RIKSDAGEN,2022,2026-09-13,46,2022-09-11,1
0384833975200,Bo,Könberg,S,KD,2002-10-15,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,1
0640669898710,Gunvor,G Ericson,MP,RS,2011-09-19,REJOINED_RIKSDAGEN,2011,2014-09-14,35,2010-09-19,12
0202577142527,Matheus,Enholm,KD,RS,2025-02-14,SWITCHED_WHILE_SERVING,2025,2026-09-13,18,2022-09-11,29
0956595590924,Tobias,Billström,KD,RS,2017-10-13,SWITCHED_WHILE_SERVING,2017,2018-09-09,10,2014-09-14,36
0228027853620,Vasiliki,Tsouplaki,V,RS,2022-10-04,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,0
0460690753617,Pia,Nilsson,RS,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
0694917698222,Michael,Rubbestad,RS,SD,2023-04-26,SWITCHED_WHILE_SERVING,2023,2026-09-13,40,2022-09-11,7
0157062733618,Jonas,Eriksson,MP,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
0446541913415,Allan,Widman,FP,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0371414788216,Lars,Lindblad,RS,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0946889218011,Jan-Evert,Rådhström,RS,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0388920259006,Inger,René,KD,RS,2000-07-01,REJOINED_RIKSDAGEN,2000,2002-09-15,26,,
0199751900210,Annelie,Karlsson,S,KD,2019-01-31,SWITCHED_WHILE_SERVING,2019,2022-09-11,43,2018-09-09,4
069436402021,Tomas,Tobé,KD,M,2012-09-01,REJOINED_RIKSDAGEN,2012,2014-09-14,24,2010-09-19,23
0928223863802,Berit,Jóhannesson,KD,RS,2002-10-08,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,0
0901257862125,Hans,Linde,V,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0819601620927,Annika,Hirvonen,MP,RS,2019-11-29,SWITCHED_WHILE_SERVING,2019,2022-09-11,33,2018-09-09,14
0406831930624,Henrik,Vinge,KD,RS,2020-10-01,SWITCHED_WHILE_SERVING,2020,2022-09-11,23,2018-09-09,24
0652944607906,Cristina,Husmark Pehrsson,KD,S,2006-10-06,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,0
0224712677012,Johan,Pehrson,RS,L,2019-06-28,SWITCHED_WHILE_SERVING,2019,2022-09-11,38,2018-09-09,9
0638497389621,Julia,Kronlid,RS,SD,2022-01-01,SWITCHED_WHILE_SERVING,2022,2022-09-11,8,2018-09-09,39
0939158389321,Samuel,Gonzalez Westling,RS,KD,2022-10-11,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,1
0980681611418,Hans,Wallmark,M,RS,2015-01-28,SWITCHED_WHILE_SERVING,2015,2018-09-09,43,2014-09-14,4
0628005785225,Jörgen,Berglund,KD,RS,2024-10-18,SWITCHED_WHILE_SERVING,2024,2026-09-13,22,2022-09-11,25
0505599928316,Carl Fredrik,Graf,KD,RS,2000-07-01,REJOINED_RIKSDAGEN,2000,2002-09-15,26,,
0292756653724,Henrik,von Sydow,KD,RS,2012-11-01,SWITCHED_WHILE_SERVING,2012,2014-09-14,22,2010-09-19,25
0384833975200,Bo,Könberg,S,RS,2002-10-08,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,0
0584659199514,Göran,Hägglund,KD,RS,2000-07-01,REJOINED_RIKSDAGEN,2000,2002-09-15,26,,
0836001490919,Ulrika,Heie,RS,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
0262017901513,Beatrice,Ask,KD,RS,2000-07-01,REJOINED_RIKSDAGEN,2000,2002-09-15,26,,
0745549193810,Stefan,Attefall,RS,KD,2002-10-15,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,1
0541320528015,Nina,Lundström,FP,RS,2012-09-27,SWITCHED_WHILE_SERVING,2012,2014-09-14,23,2010-09-19,24
0228027853620,Vasiliki,Tsouplaki,V,KD,2022-10-11,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,1
0332067570917,Berit,Andnor,KD,S,2002-09-30,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,0
0383111552218,Jonas,Sjöstedt,V,KD,2012-02-14,SWITCHED_WHILE_SERVING,2012,2014-09-14,31,2010-09-19,16
0772402807013,Sven-Olof,Sällström,SD,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
0781648625615,Peter,Rådberg,KD,MP,2010-10-25,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0787533297400,Björn,von Sydow,KD,RS,2002-10-24,REJOINED_RIKSDAGEN,2002,2006-09-17,46,2002-09-15,1
0567830387107,Birgitta,Dahl,KD,RS,2000-07-01,REJOINED_RIKSDAGEN,2000,2002-09-15,26,,
0534173087404,Carin,Lundberg,KD,RS,2002-10-24,SWITCHED_WHILE_SERVING,2002,2006-09-17,46,2002-09-15,1
0473783431010,Morgan,Johansson,S,RS,2006-10-10,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,0
0482927154110,Leif,Jakobsson,RS,KD,2002-02-15,REJOINED_RIKSDAGEN,2002,2002-09-15,7,,
0956595590924,Tobias,Billström,KD,M,2017-10-03,SWITCHED_WHILE_SERVING,2017,2018-09-09,11,2014-09-14,36
0198917587520,Maj,Karlsson,V,RS,2018-10-02,REJOINED_RIKSDAGEN,2018,2022-09-11,47,2018-09-09,0
0911490574010,Isabella,Lövin,MP,M,2019-01-21,REJOINED_RIKSDAGEN,2019,2022-09-11,43,2018-09-09,4
0803753212716,Richard,Jomshof,KD,SD,2015-02-26,SWITCHED_WHILE_SERVING,2015,2018-09-09,42,2014-09-14,5
039655712615,Margareta,Pålsson,RS,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0938901612810,Fredrik,Reinfeldt,KD,M,2003-10-25,SWITCHED_WHILE_SERVING,2003,2006-09-17,34,2002-09-15,13
086684470825,Tobias,Andersson,RS,SD,2022-10-25,REJOINED_RIKSDAGEN,2022,2026-09-13,46,2022-09-11,1
0667220767927,Erik,Ezelius,RS,KD,2022-06-10,SWITCHED_WHILE_SERVING,2022,2022-09-11,3,2018-09-09,45
0411459873625,Hanna,Gunnarsson,V,KD,2022-04-29,SWITCHED_WHILE_SERVING,2022,2022-09-11,4,2018-09-09,43
051207517226,Jimmie,Åkesson,SD,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0331967573912,Maria,Larsson,S,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0667220767927,Erik,Ezelius,S,RS,2019-02-07,SWITCHED_WHILE_SERVING,2019,2022-09-11,43,2018-09-09,4
0224712677012,Johan,Pehrson,FP,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0831636664429,Mattias,Karlsson,SD,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
0956444284814,Per,Bolund,MP,KD,2020-01-23,REJOINED_RIKSDAGEN,2020,2022-09-11,31,2018-09-09,16
031005479013,Per,Westerberg,KD,RS,2002-10-08,REJOINED_RIKSDAGEN,2002,2006-09-17,47,2002-09-15,0
0399430895200,Sven,Hulterström,KD,RS,2000-07-01,REJOINED_RIKSDAGEN,2000,2002-09-15,26,,
0110600080618,Håkan,Juholt,KD,S,2011-03-25,SWITCHED_WHILE_SERVING,2011,2014-09-14,41,2010-09-19,6
0793372891224,Noria,Manouchi,RS,KD,2022-11-15,SWITCHED_WHILE_SERVING,2022,2026-09-13,45,2022-09-11,2
0714307225418,Sven-Erik,Österberg,KD,S,2008-06-03,SWITCHED_WHILE_SERVING,2008,2010-09-19,27,2006-09-17,20
0612916684825,Johan,Löfstrand,KD,RS,2022-10-04,REJOINED_RIKSDAGEN,2022,2026-09-13,47,2022-09-11,0
