role_id,detail,role_code,first_name,last_name,from_date,to_date,person_id,party,total_days_served,active,total_documents,documents_last_year,total_committee_reports,total_statements,total_initiatives,activity_level,role_type,committee_type
26441,Utbildningsutskottet,Ledamot,Roger,Haddad,2018-10-02,2018-10-02,0308306375022,L,0,f,4,0,0,0,4,Inactive,Member,Education
31710,Kulturutskottet,Suppleant,Alireza,Akhondi,2021-09-17,2022-09-26,0364687971222,C,374,f,81,32,0,0,81,High,Deputy Member,Culture
42432,Näringsutskottet,Suppleant,Nooshi,Dadgostar,2020-03-18,2020-11-27,0721509806321,V,254,f,114,39,0,0,114,High,Deputy Member,Industry and Trade
40504,Finansutskottet,Suppleant,Karin,Rågsjö,2014-10-14,2018-09-24,0246927519019,V,1441,f,78,36,0,0,78,High,Deputy Member,Finance
44339,EU-nämnden,Ledamot,Johan,Hultberg,2014-10-07,2017-12-19,069309987221,M,1169,f,36,0,0,0,36,Inactive,Member,EU Affairs
20006,EU-nämnden,Ledamot,Ingrid,Näslund,1998-10-13,2000-01-31,0841779272604,KD,475,f,0,0,0,0,0,Inactive,Member,EU Affairs
39337,Sammansatta utrikes- och försvarsutskottet,Suppleant,Elisabeth,Falkhaven,2019-05-09,2019-06-12,0640627133410,MP,34,f,1,0,0,0,1,Inactive,Deputy Member,Joint Committee
22143,Finansutskottet,Suppleant,Gulan,Avci,2018-10-09,2022-09-26,0800956862429,L,1448,f,34,11,0,0,34,Medium,Deputy Member,Finance
16586,Finansutskottet,Suppleant,Monica,Green,2011-05-11,2014-09-29,0975579292417,S,1237,f,0,0,0,0,0,Inactive,Deputy Member,Finance
11718,EU-nämnden,Suppleant,Carina,Ståhl Herrstedt,2016-06-14,2017-05-04,0603753860213,SD,324,f,49,1,0,0,49,Low,Deputy Member,EU Affairs
37686,Arbetsmarknadsutskottet,Suppleant,Christofer,Bergenblock,2023-02-24,2026-09-21,0951905661227,C,1013,t,106,41,0,0,106,Very High,Deputy Member,Labor Market
24490,Civilutskottet,Suppleant,Rickard,Nordin,2020-03-18,2022-09-26,0132818093422,C,922,f,176,56,0,0,176,Very High,Deputy Member,Civil Affairs
2003,Lagutskottet,Suppleant,Peeter,Luksep,1991-10-08,1994-10-02,0351867771418,M,1090,f,0,0,0,0,0,Inactive,Deputy Member,Law
36547,Näringsutskottet,Suppleant,Christer,Eirefelt,1994-10-18,1994-12-14,0593022437106,FP,57,f,0,0,0,0,0,Inactive,Deputy Member,Industry and Trade
