embedded_id_party,embedded_id_id,embedded_id_issue,embedded_id_hangar_id,committee_report,rm,title,sub_title,end_number,org,created_date,public_date,ballot_id,decision_type,against_proposal_parties,against_proposal_number,winner,embedded_id_concern,ballot_type,label,vote_date,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
L,GS01BOU4,5,2289340,BOU4,2004/05,Naturresursfrågor och vattenrätt,Omprövning av vattendomar,0,BOU,2004-11-23,2006-03-15,DAFAD9DA-2E6A-11D9-AE59-000475504780,röstning,"""c"",""kd""",6,utskottet,SAKFRÅGAN,HUVUD,BOU4,2004-11-23,1954,349,190,44,36,79,t,f,54.44,12.61,22.64,10.32,53.87,1956,48,38,1,0,9,t,f,79.17,2.08,18.75,0.00,52.08
MP,GU01SfU12,1,2228895,SfU12,2006/07,Bidragsbrottslag,Bidragsbrottslag,0,SFU,2007-06-05,2007-06-05,5FA524F2-875B-4F65-B8CF-EAB5EAB62D0B,röstning,"""s"",""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,SfU12,2007-06-05,1958,349,152,147,0,50,t,f,43.55,42.12,14.33,0.00,51.58,1963,19,0,18,0,1,f,f,0.00,94.74,5.26,0.00,52.63
S,GT01LU14,12,2222618,LU14,2005/06,Ersättningsrättsliga frågor,Överfallsskyddet i hemförsäkringar,0,LU,2006-02-14,2006-02-22,221685A2-6B81-4A52-B3E4-A7C50DE731A2,röstning,"""c"",""v""",10,utskottet,SAKFRÅGAN,HUVUD,LU14,2006-02-14,1954,349,233,50,0,66,t,f,66.76,14.33,18.91,0.00,54.15,1954,144,120,0,0,24,t,f,83.33,0.00,16.67,0.00,51.39
SD,GZ01NU5,1,2720022,NU5,2011/12,Statliga företag,Försäljning av statliga företag,0,NU,2011-11-17,2011-11-17,7BA6454D-3782-4DF9-9ED5-DB37ECDEC775,röstning,"""S"",""V""",1,utskottet,MOTIVFRÅGAN,HUVUD,NU5,2011-11-17,1963,349,151,19,122,57,t,f,43.27,5.44,16.33,34.96,54.73,1969,19,0,0,19,0,f,t,0.00,0.00,0.00,100.00,84.21
S,H101AU6,2,2901411,AU6,2013/14,Arbetsrätt,Begränsningsregel för rullande visstidsanställningar,0,AU,2014-03-20,2014-03-20,6253DC43-66E8-42D9-ADBF-3436F9794322,röstning,"""S"",""V""",2,utskottet,SAKFRÅGAN,HUVUD,AU6,2014-04-02,1963,349,169,114,17,49,t,f,48.42,32.66,14.04,4.87,56.73,1963,112,0,96,1,15,f,f,0.00,85.71,13.39,0.89,51.79
M,GT01BoU12,5,2225421,BoU12,2005/06,Bostadsförsörjningsfrågor,Kommunal bostadsanvisningsrätt,0,BOU,2006-04-20,2006-04-20,E798FF14-B6C9-44D4-BB52-D45E13B65A6D,röstning,"""v""",8,utskottet,SAKFRÅGAN,HUVUD,BoU12,2006-04-20,1954,349,152,25,95,77,t,f,43.55,7.16,22.06,27.22,53.87,1954,55,2,0,46,7,t,f,3.64,0.00,12.73,83.64,58.18
V,GZ01UU9,2,2769243,UU9,2011/12,Norden,Samarbete med närområdet,0,UU,2012-05-23,2012-05-23,FE7A76A5-D64A-447A-8F1F-710361D2FC89,röstning,"""S""",3,utskottet,MOTIVFRÅGAN,HUVUD,UU9,2012-05-23,1963,349,179,41,101,28,t,f,51.29,11.75,8.02,28.94,57.02,1960,19,0,19,0,0,f,f,0.00,100.00,0.00,0.00,42.11
M,GX01MJU12,11,2291699,MJU12,2009/10,Djurskydd,Pälsdjur,0,MJU,2010-02-22,2010-02-23,1C620644-13DD-48C2-8793-B2BEEFEDBB24,röstning,"""s"",""v"",""mp""",6,utskottet,SAKFRÅGAN,HUVUD,MJU12,2010-02-22,1959,349,154,138,4,53,t,f,44.13,39.54,15.19,1.15,53.01,1959,96,84,0,0,12,t,f,87.50,0.00,12.50,0.00,56.25
M,H001JuU11,1,2808248,JuU11,2012/13,Processrättsliga frågor,Telefonavlyssning vid vapenbrott,0,JUU,2013-02-20,2013-02-20,267723BE-9A18-47B0-A228-CBCC05CF1CA0,röstning,"""S"",""SD""",1,utskottet,SAKFRÅGAN,HUVUD,JuU11,2013-02-20,1963,349,179,110,0,60,t,f,51.29,31.52,17.19,0.00,56.73,1965,107,91,0,0,16,t,f,85.05,0.00,14.95,0.00,57.94
M,GR01UBU15,1,2291114,UBU15,2003/04,Tillfälligt       vidgad       användning       avrekryteringsbidrag till vuxenstuderande,Avslag på propositionen,0,UBU,2004-05-13,2006-03-15,1EA436F6-A4B8-11D8-AFD4-0004755048D1,röstning,"""m"",""fp""",1,utskottet,SAKFRÅGAN,HUVUD,UBU15,2004-05-13,1954,349,169,93,1,86,t,f,48.42,26.65,24.64,0.29,55.01,1953,55,0,38,0,17,f,f,0.00,69.09,30.91,0.00,63.64
M,GS01LU8,11,2225189,LU8,2004/05,Konsumentfrågor,Konsumenträtt inom offentlig verksamhet,0,LU,2005-01-25,2006-03-24,30439CE8-33DF-11D9-AE3A-000475530032,röstning,"""m"",""c"",""fp"",""kd""",10,reservation 10,SAKFRÅGAN,HUVUD,LU8,2005-01-25,1954,349,138,143,0,68,f,f,39.54,40.97,19.48,0.00,53.87,1954,55,0,46,0,9,f,f,0.00,83.64,16.36,0.00,58.18
V,GR01BOU6,3,2289347,BOU6,2003/04,Byggfrågor,Samrådsplikt inför markarbeten,0,BOU,2004-02-19,2006-03-15,35E158D3-4E32-418C-A776-71E8C6A32195,röstning,"""m"",""c"",""kd""",3,utskottet,SAKFRÅGAN,HUVUD,BOU6,2004-02-19,1954,349,188,78,0,83,t,f,53.87,22.35,23.78,0.00,54.73,1953,30,23,0,0,7,t,f,76.67,0.00,23.33,0.00,50.00
KD,GR01UU12,6,2292787,UU12,2003/04,Internationella miljöfrågor,Miljökonventioner och WTO-regler,0,UU,2004-04-01,2006-03-15,C6D67D59-83D2-11D8-AF51-0004755038F6,röstning,"""mp""",5,utskottet,SAKFRÅGAN,HUVUD,UU12,2004-04-01,1954,349,300,14,0,35,t,f,85.96,4.01,10.03,0.00,55.01,1951,33,27,0,0,6,t,f,81.82,0.00,18.18,0.00,69.70
SD,GZ01SfU10,15,2768343,SfU10,2011/12,Migration och asylpolitik,Utvisning på grund av brott m.m.,0,SFU,2012-04-02,2012-04-02,6F94A811-E6A6-469F-B81B-1C8692699B2E,röstning,"""SD""",20,utskottet,SAKFRÅGAN,HUVUD,SfU10,2012-04-02,1963,349,299,19,0,31,t,f,85.67,5.44,8.88,0.00,56.45,1969,19,0,19,0,0,f,f,0.00,100.00,0.00,0.00,84.21
V,GW01UbU15,26,2222068,UbU15,2008/09,Högskolan,Grundläggande behörighet på grund av ålder och arbetslivserfarenhet,0,UBU,2009-03-20,2009-03-20,050B3972-A7C8-49FA-A439-C5973C8CFCB0,röstning,"""s""",25,utskottet,SAKFRÅGAN,HUVUD,UbU15,2009-03-20,1959,349,154,111,34,50,t,f,44.13,31.81,14.33,9.74,51.86,1958,22,0,0,18,4,f,t,0.00,0.00,18.18,81.82,36.36
MP,GW01UbU9,3,2222101,UbU9,2008/09,Tydligare mål och kunskapskrav – Nya läroplaner för skolan,Läroplanen - ett samlat måldokument,0,UBU,2009-03-03,2009-03-03,4A278E08-0C0D-402A-A533-1061A3D3E2CB,röstning,"""v""",4,utskottet,SAKFRÅGAN,HUVUD,UbU9,2009-03-03,1959,349,148,19,88,94,t,f,42.41,5.44,26.93,25.21,51.86,1964,19,0,0,15,4,f,t,0.00,0.00,21.05,78.95,57.89
V,GT01JuU17,7,2224791,JuU17,2005/06,Stöd till polisen vid terrorismbekämpning,Myndigheternas åtgärder mot terrorism,0,JUU,2006-04-25,2006-04-25,4A1A8D06-A08F-46FB-9D01-8C567CAAB599,röstning,"""fp""",6,utskottet,SAKFRÅGAN,HUVUD,JuU17,2006-04-25,1954,349,145,37,95,72,t,f,41.55,10.60,20.63,27.22,53.87,1953,28,2,0,20,6,t,f,7.14,0.00,21.43,71.43,53.57
KD,GW01SkU33,1,2222183,SkU33,2008/09,Redovisning av skatteutgifter 2009,Redovisning av skatteutgifter 2009,0,SKU,2009-06-03,2009-06-03,62FFFF79-705D-446D-9CA1-5E447802FDA5,röstning,"""s"",""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,SkU33,2009-06-03,1958,349,159,151,0,39,t,f,45.56,43.27,11.17,0.00,52.72,1952,24,21,0,0,3,t,f,87.50,0.00,12.50,0.00,54.17
M,GX01NU3,6,2291554,NU3,2009/10,Utgiftsområde 21 Energi,Energieffektivisering,0,NU,2009-12-08,2009-12-08,C7EA1A53-B7D7-4DE4-9489-0F9184E4F3EF,röstning,"""s"",""v"",""mp""",6,utskottet,SAKFRÅGAN,HUVUD,NU3,2009-12-08,1959,349,154,148,0,47,t,f,44.13,42.41,13.47,0.00,53.58,1959,97,86,0,0,11,t,f,88.66,0.00,11.34,0.00,57.73
V,H101UU15,5,2896852,UU15,2013/14,Mänskliga rättigheter i svensk utrikespolitik,Demokratiska republiken Kongo,0,UU,2014-03-31,2014-04-01,0A11492C-2669-43E6-8062-DF1A475FD2E3,röstning,"""MP"",""V""",4,utskottet,SAKFRÅGAN,HUVUD,UU15,2014-04-16,1963,349,259,34,0,56,t,f,74.21,9.74,16.05,0.00,56.73,1961,19,0,13,0,6,f,f,0.00,68.42,31.58,0.00,47.37
L,GR01LU22,1,2222653,LU22,2003/04,"Äktenskap, partnerskap och samboende",Äktenskap och partnerskap,0,LU,2004-04-13,2006-03-15,C767DE3D-8DE1-11D8-AE2B-000475530052,röstning,"""kd""",1,utskottet,SAKFRÅGAN,HUVUD,LU22,2004-04-13,1954,349,211,33,41,64,t,f,60.46,9.46,18.34,11.75,55.01,1956,48,36,2,0,10,t,f,75.00,4.17,20.83,0.00,52.08
C,GZ01TU10,1,2767096,TU10,2011/12,Några fordons- och trafikfrågor,Förnybara drivmedel,0,TU,2012-03-22,2012-06-28,919FD490-B91E-4E2E-8F44-1780605463B8,röstning,"""S"",""MP"",""V""",1,utskottet,SAKFRÅGAN,HUVUD,TU10,2012-03-22,1963,349,173,137,0,39,t,f,49.57,39.26,11.17,0.00,56.45,1964,23,19,0,0,4,t,f,82.61,0.00,17.39,0.00,65.22
MP,GQ01AU6,11,2225200,AU6,2002/03,Statens ansvarsnämnd och arbetsrättsliga frågor,Förstärkt skydd för gravida och föräldralediga,0,AU,2003-04-29,2006-03-15,5E59779A-853A-11D7-AE87-0004755046D0,röstning,"""fp""",10,utskottet,SAKFRÅGAN,HUVUD,AU6,2003-04-29,1954,349,192,39,50,68,t,f,55.01,11.17,19.48,14.33,55.30,1954,17,3,0,9,5,t,f,17.65,0.00,29.41,52.94,47.06
M,H101CU31,10,2902868,CU31,2013/14,En enklare planprocess,Utvärdering av lagändringarna,0,CU,2014-06-12,2014-06-12,4526411D-4205-4EAF-A70F-D8258FC972BD,röstning,"""MP"",""SD"",""V""",8,utskottet,SAKFRÅGAN,HUVUD,CU31,2014-06-24,1963,349,260,61,0,28,t,f,74.50,17.48,8.02,0.00,56.45,1964,107,102,0,0,5,t,f,95.33,0.00,4.67,0.00,57.01
MP,GS01NU9,13,2289061,NU9,2004/05,Vissa näringspolitiska frågor,Fordonsindustrin,0,NU,2005-02-17,2006-03-15,409537BE-4E1B-434F-BDD7-47F78ED5C2D2,röstning,"""m"",""c"",""fp"",""kd""",13,utskottet,SAKFRÅGAN,HUVUD,NU9,2005-02-17,1954,349,156,120,0,73,t,f,44.70,34.38,20.92,0.00,54.15,1957,17,15,0,0,2,t,f,88.24,0.00,11.76,0.00,47.06
M,GW01UbU4,31,2222104,UbU4,2008/09,Ett lyft för forskning och innovation,Genusforskning,0,UBU,2009-01-16,2009-01-16,2CA531CB-6DC9-42C8-8E8A-ACB4C5C5C505,röstning,"""v""",39,utskottet,SAKFRÅGAN,HUVUD,UbU4,2009-01-16,1959,349,150,18,109,72,t,f,42.98,5.16,20.63,31.23,53.30,1959,97,81,0,0,16,t,f,83.51,0.00,16.49,0.00,57.73
M,GR01SFU1,40,2227637,SFU1,2003/04,"Anslag        inom        socialförsäkringsområdet(utgiftsområdena 10, 11 och 12)",Elöverkänslighet som arbetsskada,0,SFU,2003-11-25,2006-03-15,2D6220E7-DEFB-438F-B383-7F62FACE7F70,röstning,"""c"",""v"",""mp""",41,utskottet,SAKFRÅGAN,HUVUD,SFU1,2003-11-25,1954,349,248,55,0,46,t,f,71.06,15.76,13.18,0.00,54.73,1953,55,47,0,0,8,t,f,85.45,0.00,14.55,0.00,61.82
V,GR01BOU2,2,2242415,BOU2,2003/04,Tredimensionell fastighetsindelning,Villkor för bildande av tredimensionella fastigheter,0,BOU,2003-10-02,2012-04-02,F1037BB4-5CB1-4875-95AE-BBCFA01D1692,röstning,"""m"",""c"",""fp"",""kd""",1,utskottet,SAKFRÅGAN,HUVUD,BOU2,2003-10-02,1954,349,163,130,0,56,t,f,46.70,37.25,16.05,0.00,55.30,1953,30,25,0,0,5,t,f,83.33,0.00,16.67,0.00,50.00
V,GX01NU2,2,2291553,NU2,2009/10,Utgiftsområde 19 Regional tillväxt,EU:s strukturfondsprogram,0,NU,2009-11-26,2009-11-26,71B675FD-7A58-4090-90C6-F4BBF9B45E33,röstning,"""s""",2,utskottet,SAKFRÅGAN,HUVUD,NU2,2009-11-26,1959,349,159,112,17,61,t,f,45.56,32.09,17.48,4.87,53.58,1958,22,0,0,17,5,f,t,0.00,0.00,22.73,77.27,36.36
MP,GV01JuU23,2,2287255,JuU23,2007/08,Rambeslut om överförande av frihetsberövande påföljder inom Europeiska Unionen,Dömda som riskerar förföljelse,0,JUU,2008-05-27,2008-05-27,75DB43B8-9930-4518-A598-5EC2BC0B8254,röstning,"""s"",""v"",""mp""",1,utskottet,SAKFRÅGAN,HUVUD,JuU23,2008-05-27,1958,349,154,146,0,49,t,f,44.13,41.83,14.04,0.00,53.30,1964,19,0,14,0,5,f,f,0.00,73.68,26.32,0.00,57.89
V,GQ01JUU15,1,2228023,JUU15,2002/03,Godkännande av rambeslut om frysning,Godkännande av rambeslut om verkställighet i Europieska unionen av beslut om frysning av egendom eller bevismaterial,0,JUU,2003-04-29,2006-03-15,B00B7C72-7EFC-11D7-AE97-000475504C4C,röstning,"""m""",1,utskottet,SAKFRÅGAN,HUVUD,JUU15,2003-04-29,1954,349,249,45,3,52,t,f,71.35,12.89,14.90,0.86,55.30,1953,30,25,0,0,5,t,f,83.33,0.00,16.67,0.00,50.00
M,H001FöU13,2,2842181,FöU13,2012/13,Försvarsmakten och vissa miljöfrågor,Övnings- och skjutfält,0,FÖU,2013-06-18,2013-06-18,00D8171D-5705-4D6B-BB89-370B4F7F576C,röstning,"",0,utskottet,SAKFRÅGAN,HUVUD,FöU13,2013-09-19,1963,349,245,36,0,68,t,f,70.20,10.32,19.48,0.00,55.87,1965,107,97,0,0,10,t,f,90.65,0.00,9.35,0.00,55.14
V,GZ01FiU25,1,2752490,FiU25,2011/12,Statlig förvaltning,Offentligt anställdas arbetsmiljö,0,FIU,2012-03-20,2012-03-20,BBE1D58D-9441-407C-B08F-5B289CCF49B1,röstning,"""S"",""V""",1,utskottet,SAKFRÅGAN,HUVUD,FiU25,2012-03-20,1963,349,182,110,0,57,t,f,52.15,31.52,16.33,0.00,55.87,1962,19,0,15,0,4,f,f,0.00,78.95,21.05,0.00,36.84
C,GR01TU8,4,2288404,TU8,2003/04,EU-frågor inom kommunikationsområdet,Alkolås,0,TU,2004-03-16,2006-03-15,A58C288E-7746-11D8-AE3B-000475505307,röstning,"""kd"",""v""",4,utskottet,SAKFRÅGAN,HUVUD,TU8,2004-03-16,1954,349,232,52,1,64,t,f,66.48,14.90,18.34,0.29,54.73,1955,22,16,1,0,5,t,f,72.73,4.55,22.73,0.00,50.00
S,GR01KRU1,13,2285596,KRU1,2003/04,"Utgiftsområde   17   Kultur,    medier,trossamfund och fritid",Mångfalden i den statligt stödda litteraturen,0,KRU,2003-11-20,2006-03-15,CDF6925C-39FD-48CF-A95F-464EE01D75E4,röstning,"""v""",5,utskottet,SAKFRÅGAN,HUVUD,KRU1,2003-11-20,1954,349,279,24,1,45,t,f,79.94,6.88,12.89,0.29,54.73,1954,144,130,0,0,14,t,f,90.28,0.00,9.72,0.00,52.78
L,GR01MJU16,4,2290145,MJU16,2003/04,Uppföljning av skogspolitiken,Konkurrensneutralitet,0,MJU,2004-04-27,2006-03-15,A4D19906-EACF-44D7-B3B4-B0A2672B4C10,röstning,"""m""",4,utskottet,SAKFRÅGAN,HUVUD,MJU16,2004-04-27,1954,349,229,43,0,77,t,f,65.62,12.32,22.06,0.00,55.01,1956,48,34,0,0,14,t,f,70.83,0.00,29.17,0.00,52.08
KD,GT01UbU4,33,2228692,UbU4,2005/06,"Trygghet, respekt och ansvar - om förbud mot diskriminering och annan kränkande behandling av barn och elever",Stöd till den som utsätts för mobbning,0,UBU,2006-01-26,2006-02-01,BF7EBBE5-4047-4AD0-B551-97324A9E1D8D,röstning,"""fp""",33,utskottet,SAKFRÅGAN,HUVUD,UbU4,2006-01-26,1954,349,246,43,0,60,t,f,70.49,12.32,17.19,0.00,53.58,1951,33,27,0,0,6,t,f,81.82,0.00,18.18,0.00,69.70
MP,GU01CU21,5,2229457,CU21,2006/07,Arvsrättsliga frågor,Registrering av testamenten,0,CU,2007-03-19,2007-03-19,353A5AE2-8CA4-4F2F-BCB2-2BF4263046DE,röstning,"""s"",""v"",""mp""",2,utskottet,SAKFRÅGAN,HUVUD,CU21,2007-03-19,1958,349,143,138,0,68,t,f,40.97,39.54,19.48,0.00,51.29,1964,19,0,17,0,2,f,f,0.00,89.47,10.53,0.00,52.63
L,GZ01KrU10,3,2767402,KrU10,2011/12,Allmänna kulturfrågor,Folkkulturen och amatörkulturen,0,KRU,2012-05-30,2012-05-30,E2E0B29C-90E0-4EFB-ACBF-382F1995E929,röstning,"""MP""",4,utskottet,SAKFRÅGAN,HUVUD,KrU10,2012-05-30,1963,349,268,20,18,43,t,f,76.79,5.73,12.32,5.16,57.02,1961,24,21,0,0,3,t,f,87.50,0.00,12.50,0.00,58.33
KD,GS01SFU10,31,2222740,SFU10,2004/05,Migration och asylpolitik,Familjesplittring m.m.,0,SFU,2005-03-17,2006-03-15,5796FB25-A2E4-46E1-8473-143E15E9F335,röstning,"""c"",""fp"",""kd"",""v"",""mp""",47,utskottet,SAKFRÅGAN,HUVUD,SFU10,2005-03-17,1954,349,172,122,0,55,t,f,49.28,34.96,15.76,0.00,54.15,1951,33,0,25,0,8,f,f,0.00,75.76,24.24,0.00,69.70
C,GX01KrU1,41,2287209,KrU1,2009/10,"Utgiftsområde 17 Kultur, medier, trossamfund och fritid (prop. 2009/10:1)",Dialog med kommuner och landsting om folkbildningen,0,KRU,2009-12-07,2009-12-07,802CD328-471E-4489-BF48-2CB794C929ED,röstning,"""s"",""v"",""mp""",13,utskottet,SAKFRÅGAN,HUVUD,KrU1,2009-12-07,1959,349,143,136,0,70,t,f,40.97,38.97,20.06,0.00,53.58,1957,29,21,0,0,8,t,f,72.41,0.00,27.59,0.00,58.62
