hjid,against_proposal_number,against_proposal_parties,ballot_id,ballot_summary_item,ballot_url_xml,committee_report,decision_type,header,issue_number,proposal,rm,winner,committee_proposal_list_comm_0
2136095,5,"""C""",89fb53e3-3fb3-4e61-bb7d-195e8d51311d,379861,http://data.riksdagen.se/votering/89FB53E3-3FB3-4E61-BB7D-195E8D51311D,SoU21,röstning,Översyn av lagen om valfrihetssystem inom äldreomsorgen,3,"<BR/>Riksdagen avslår motionerna 

2024/25:285 av Dan Hovskär och Hans Eklind (båda KD), 

2024/25:1851 av Jessica Rodén och Petter Löberg (båda S) yrkande 1 och 

2024/25:3166 av Christofer Bergenblock m.fl. (C) yrkande 13.<BR/><BR/>",2024/25,utskottet,2136092
1318929,0,"","",167483,"",JUU19,acklamation,Polisens vapenträning,6,"Riksdagen avslår motion 2004/05:Ju350 yrkande 4.
",2004/05,utskottet,1318923
2781594,0,"","",488403,"",MJU9,acklamation,Sanktioner,17,"Riksdagen avslår motionerna 
2013/14:MJ264 av Eva Lohman (M), 
2013/14:MJ271 av Gustav Nilsson (M) och 
2013/14:MJ480 av Per-Ingvar Johnsson och Åsa Torstensson (båda C) i denna del.
",2013/14,utskottet,2781577
2076330,0,"","",328583,"",UbU12,acklamation,Kvalitet,32,"Riksdagen avslår motion 
2013/14:Ub396 av Rossana Dinamarca m.fl. (V) yrkande 14.
",2013/14,utskottet,2076298
2082397,0,"","",330713,"",SkU17,"",Ränteavdrag samt skattereduktion för underskott av kapital,4,"<BR/>Riksdagen avslår motionerna 

2015/16:1109 av Said Abdu (FP), 

2015/16:1396 av Fredrik Schulte (M), 

2015/16:1616 av Sten Bergheden (M), 

2015/16:1660 av Erik Bengtzboe (M), 

2015/16:1746 av Jörgen Andersson (M) yrkandena 1 och 2 samt 

2015/16:2047 av Mikael Eskilandersson och Sara-Lena Bjälkö (båda SD).<BR/><BR/>",2015/16,"",2082389
2783547,0,"","",489305,"",MJU14,acklamation,"Negativa utsläpp samt avskiljning, användning och lagring av koldioxid",20,"<BR/>Riksdagen avslår motionerna 

2024/25:911 av Magnus Manhammar (S), 

2024/25:2613 av Elin Söderberg m.fl. (MP) yrkandena 193-197 och 

2024/25:3169 av Rickard Nordin m.fl. (C) yrkandena 16, 21, 23 och 24.<BR/><BR/>",2024/25,utskottet,2783527
1676287,1,"""m"",""kd""",3C0CCCB6-CFA7-4E44-8394-ED3EF7E61048,224309,http://data.riksdagen.se/votering/3C0CCCB6-CFA7-4E44-8394-ED3EF7E61048,SoU20,röstning,Hälsoundersökningar för asylsökande och nyanlända anhöriginvandrade,1,"Riksdagen avslår motionerna 2005/06:So15 yrkande 1, 2005/06:So16 yrkandena 2 och 3 samt 2005/06:So17 yrkande 4.
",2005/06,utskottet,1676286
1668944,0,"","",222032,"",KU9,acklamation,En ny vallag,1,"Riksdagen antar regeringens förslag till
1. vallag, med de ändringarna att orden ""i röstningslokal"" i 6 kap. 7 § skall bytas ut mot ""på röstmottagningsställen"", att ordet ""skall"" i 7 kap. 8 § andra stycket, skall bytas ut mot ""gäller att"", att ordet ""röstningslokaler"" i 8 kap. 2 § skall bytas ut mot ""röstmottagningsställen"" samt att hänvisningen i 10 kap. 4 § till 8 § skall bytas ut mot en hänvisning till 7 §,
2. lag om ändring i folkomröstningslagen (1979:369),
3. lag om ändring i lagen (1979:411) om ändringar i Sveriges indelning i kommuner och landsting,
4. lag om ändring i kommunallagen (1991:900),
5. lag om ändring i lagen (1994:692) om kommunala folkomröstningar,
6. lag om ändring i lagen (2001:182) om behandling av personuppgifter i Skatteverkets folkbokföringsverksamhet,
7. lag om ändring i lagen (2001:183) om behandling av personuppgifter i verksamhet med val och folkomröstningar,
8. lag om ändring i lagen (2001:1276) om grundläggande kassaservice,
9. lag om upphävande av lagen (1994:1064) om folkomröstning om EU-medlemskap,
10. lag om upphävande av lagen (1994:1650) om riksdagens val av företrädare för Sverige i Europaparlamentet,
11. lag om upphävande av lagen (2003:83) om folkomröstning om införande av euron.
Därmed bifaller riksdagen delvis proposition 2004/05:163.
",2005/06,utskottet,1668943
1655851,1,"""s""",E9BEB4D1-1FD6-491B-9679-C76DFF385ECB,218346,http://data.riksdagen.se/votering/E9BEB4D1-1FD6-491B-9679-C76DFF385ECB,SkU17,röstning,Vissa punktskattefrågor m.m. med anledning av budgetpropositionen för 2008,1,"Riksdagen 
1. antar regeringens förslag till
a. lag om ändring i lagen (1991:1482) om lotteriskatt,
b. lag om ändring i lagen (1994:1551) om frihet från skatt vid import, m.m.,
c. lag om ändring i lagen (1994:1563) om tobaksskatt,
d. lag om ändring i lagen (1994:1564) om alkoholskatt,
e. lag om ändring i lagen (1994:1776) om skatt på energi med de ändringarna att 
- dels den föreslagna ändringen i 2 kap. 1 § utgår ur förslaget, 
- dels lagförslaget tillförs en ändring i 11 kap. 4 § som innebär att ordet ""Malung"" ska bytas ut mot ""Malung-Sälen"",
f. lag om ändring i inkomstskattelagen (1999:1229) med den ändringen i 12 kap. 5, 27 och 29 §§ samt 16 kap. 27 § att ordet ""skall"" ska bytas ut mot ""ska"",
g. lag om ändring i lagen (2000:466) om skatt på termisk effekt i kärnkraftsreaktorer,
h. lag om ändring i lagen (2004:228) om beskattning av viss privatinförsel av tobaksvaror,
i. lag om ändring i vägtrafikskattelagen (2006:227) med de ändringarna att lagförslaget tillförs 
- dels en ändring i 2 kap. 11 § första stycket som innebär att ordet ""tredje"" ska bytas ut mot ""fjärde"",
- dels en ändring i bilaga 1 till lagen som innebär att ordet ""Malungs"" ska bytas ut mot ""Malung-Sälens"",
j. lag om ändring i lagen (2006:228) med särskilda bestämmelser om fordonsskatt,
2. antar utskottets förslag i bilaga 3 till lag om ändring i lagen (2007:779) om ändring i lagen (1994:1776) om skatt på energi.
Därmed bifaller riksdagen delvis proposition 2007/08:11 i denna del och avslår motionerna 2007/08:Sk1 yrkandena 1-17, 2007/08:Sk2, 2007/08:Sk3 yrkandena 1 och 2, 2007/08:Sk4 yrkandena 1 och 2 samt 2007/08:Sk5 yrkandena 1-8.
",2007/08,utskottet,1655850
2771027,4,"""V""",739345C7-2968-4B53-8AB3-B3A6CE6DAAC9,483824,http://data.riksdagen.se/votering/739345C7-2968-4B53-8AB3-B3A6CE6DAAC9,UU8,röstning,Colombia,11,"Riksdagen avslår motionerna 
2010/11:U306 av Urban Ahlin m.fl. (S) yrkande 83, 
2011/12:U226 av Hans Linde m.fl. (V) yrkandena 1-3 och 5-11 samt 
2011/12:U315 av Urban Ahlin m.fl. (S) yrkande 84.
",2011/12,utskottet,2771016
2780677,0,"","",487983,"",JuU8,acklamation,Begränsningar i åtalsplikten,4,"Riksdagen avslår motion 2006/07:Ju254 yrkande 4.
",2006/07,utskottet,2780671
1660476,0,"","",219781,"",KU1,acklamation,Budgetlagen och finansiering av investeringar,11,"Riksdagen avslår motion 
2012/13:T320 av Jonas Sjöstedt m.fl. (V) yrkande 19.
",2012/13,utskottet,1660465
1672710,0,"","",223211,"",JuU32,acklamation,Skärpta straff för allvarliga våldsbrott,2,"Riksdagen antar 29 kap. 1 § regeringens förslag till lag om ändring i brottsbalken.
Därmed bifaller riksdagen proposition 2009/10:147 i denna del och avslår motion 2009/10:Ju10 yrkande 2 i denna del.
",2009/10,utskottet,1672708
1651588,0,"","",217256,"",AU2,acklamation,"Olycksfallsstatistik, m.m.",16,"Riksdagen avslår motionerna 
2012/13:A202 av Josefin Brink m.fl. (V) yrkande 10 och 
2012/13:A395 av Gunvor G Ericson m.fl. (MP) yrkande 3 i denna del.
",2012/13,utskottet,1651572
2796363,0,"","",495151,"",MJU19,acklamation,Kompensation vid inskränkningar i äganderätten,13,"Riksdagen ställer sig bakom det som utskottet anför om kompensation vid inskränkningar i äganderätten och tillkännager detta för regeringen.<BR/>Därmed bifaller riksdagen motion 

2017/18:3420 av Lars Hjälmered m.fl. (M, C, L, KD) yrkande 11.<BR/><BR/>",2017/18,utskottet,2796338
240021,0,"","",44754,"",UBU1,acklamation,Kompensation till Västra Götalandsregionen för det ökade antalet platser på tandläkarutbildningen,14,"Riksdagen avslår motion 2003/04:Ub404.
",2003/04,utskottet,240007
2795169,0,"","",494647,"",JuU16,acklamation,Utöka antalet EU-brott,29,"<BR/>Riksdagen avslår motion 

2016/17:3468 av Roger Haddad m.fl. (L) yrkande 5.<BR/><BR/>",2016/17,utskottet,2795140
1809542,0,"","",243568,"",UU10,acklamation,Filippinerna,17,"Riksdagen avslår motion 2007/08:U250 yrkandena 1 och 2.
",2007/08,utskottet,1809525
1312366,0,"","",165850,"",SfU14,acklamation,Hbt-personers skyddsskäl,8,"Riksdagen avslår motionerna 
2009/10:U343 av Börje Vestlund m.fl. (s) yrkande 9, 
2009/10:Sf211 av Kalle Larsson m.fl. (v) yrkande 23 och 
2009/10:Sf380 av Börje Vestlund (s) yrkandena 2, 4 och 6.
",2009/10,utskottet,1312358
2133408,3,"""C""",9a1f3e0a-467d-4b65-8f62-2121f115655c,378817,http://data.riksdagen.se/votering/9A1F3E0A-467D-4B65-8F62-2121F115655C,JuU31,röstning,Översyn av kontaktförbudssystemet,4,"<BR/>Riksdagen avslår motion 

2024/25:3377 av Helena Vilhelmsson m.fl. (C) yrkande 3.<BR/><BR/>",2024/25,utskottet,2133404
2780644,0,"","",487968,"",FiU22,acklamation,Kommunala inköpskarteller,5,"Riksdagen avslår motion 
2009/10:Fi296 av Sven Yngve Persson (m).
",2009/10,utskottet,2780639
605862,36,"""fp""",4914DF43-296D-11D8-AEF2-000475504C4C,68000,http://data.riksdagen.se/votering/4914DF43-296D-11D8-AEF2-000475504C4C,JUU1,röstning,Självrisk vid utbetalning av brottsskadeersättning,38,"Riksdagen avslår motion 2003/04:Ju444 yrkande 10.
",2003/04,utskottet,605824
2776647,0,"","",486279,"",FöU7,acklamation,Jämställdhet och mångfald inom brandkåren,4,"<BR/>Riksdagen avslår motion 

2015/16:2836 av Kent Ekeroth (SD) yrkande 2.<BR/><BR/>",2015/16,utskottet,2776643
2775273,0,"","",485710,"",UU15,acklamation,Övriga frågor,18,"Riksdagen avslår de motionsyrkanden som finns upptagna under denna punkt i utskottets förteckning över avstyrkta motionsyrkanden.
",2013/14,utskottet,2775255
1313718,3,"""fp""",D88C0037-6679-11D7-AE86-000475504C4C,166046,http://data.riksdagen.se/votering/D88C0037-6679-11D7-AE86-000475504C4C,JUU10,röstning,Ökad rättstrygghet för homosexuella m.fl.,3,"Riksdagen avslår motionerna 2002/03:Ju283 yrkandena 5 och 6, 2002/03:Ju287 yrkandena 1-8, 2002/03:Ju292, 2002/03:Ju293, 2002/03:L249 yrkandena 9-11 och 2002/03:A315 yrkande 12.
",2002/03,utskottet,1313715
1667174,0,"","",221671,"",SkU16,acklamation,Kostnadsersättningar från kommuner,8,"Riksdagen avslår motionerna 
2013/14:Sk206 av Jan Ertsborn (FP), 
2013/14:Sk210 av Kristina Nilsson (S) och 
2013/14:Sk378 av Marie Nordén (S).
",2013/14,utskottet,1667166
238438,25,"""m"",""c"",""fp"",""kd""",A1E07ADC-D3A6-11D7-AF2B-000475502D6F,44584,http://data.riksdagen.se/votering/A1E07ADC-D3A6-11D7-AF2B-000475502D6F,MJU4,röstning,Slutförvaring av kvicksilver,20,"Riksdagen avslår motionerna 2002/03:MJ24 yrkande 6, 2002/03:MJ26 yrkande 12 och 2002/03:MJ27 yrkandena 9 och 10.
",2003/04,utskottet,238418
1676358,0,"","",224328,"",CU23,acklamation,Ny kommissionslag,1,"Riksdagen antar regeringens förslag till kommissionslag.
Därmed bifaller riksdagen proposition 2008/09:88.
",2008/09,utskottet,1676357
1671525,0,"","",222940,"",SfU1,acklamation,Åldersgränser för föräldraförsäkringsförmåner,35,"Riksdagen avslår motionerna 
2011/12:Sf270 av Emma Henriksson och Irene Oskarsson (båda KD), 
2011/12:Sf292 av Jennie Nilsson (S), 
2011/12:Sf294 av Annika Eclund (KD) yrkande 1, 
2011/12:Sf312 av Tomas Eneroth m.fl. (S) yrkande 5 och 
2011/12:Sf359 av Helena Lindahl och Abir Al-Sahlani (båda C).
",2011/12,utskottet,1671490
1661884,0,"","",220231,"",UU5,acklamation,Kvinnors politiska deltagande,7,"Riksdagen avslår motionerna 2006/07:U264 yrkande 7 och 2007/08:U344 yrkande 3.
",2007/08,utskottet,1661867
2788184,0,"","",491480,"",KU30,acklamation,Fullmäktigesammanträden på måndagar,12,"<BR/>Riksdagen avslår motionerna 

2015/16:1449 av Johan Nissinen (SD) och 

2016/17:82 av Johan Nissinen och Markus Wiechel (båda SD).<BR/><BR/>",2016/17,utskottet,2788172
2078535,0,"","",329333,"",JuU14,acklamation,Stöd till förtroendevalda som utsatts för hot,35,"<BR/>Riksdagen avslår motion 

2022/23:1882 av Malin Björk m.fl. (C) yrkande 35.<BR/><BR/>",2022/23,utskottet,2078500
602691,0,"","",67249,"",SoU17,acklamation,Översyn av patientföreträdarrollen,8,"Riksdagen avslår motion 2005/06:So330 yrkande 7.
",2005/06,utskottet,602683
2136278,6,"""S""",bf26994a-0441-437b-8aa3-4e42b20040a7,379937,http://data.riksdagen.se/votering/BF26994A-0441-437B-8AA3-4E42B20040A7,FiU25,röstning,Statens fastighetsförvaltning,6,"<BR/>Riksdagen avslår motionerna 

2024/25:5 av Robert Stenkvist (SD), 

2024/25:1056 av Christofer Bergenblock och Catarina Deremar (båda C), 

2024/25:1904 av Gudrun Nordborg m.fl. (V) yrkande 6, 

2024/25:1956 av Lili André (KD) och 

2024/25:3195 av Mikael Damberg m.fl. (S) yrkande 3.<BR/><BR/>",2024/25,utskottet,2136272
2775941,0,"","",485978,"",MJU16,acklamation,Saneringsförsäkring,18,"Riksdagen avslår motion 
2013/14:N395 av Jonas Eriksson m.fl. (MP) yrkande 8.
",2013/14,utskottet,2775923
2076302,0,"","",328555,"",UbU12,acklamation,Nationella regler för resursfördelningen till skolan,4,"Riksdagen avslår motion 
2013/14:Ub396 av Rossana Dinamarca m.fl. (V) yrkande 6.
",2013/14,utskottet,2076298
1657567,0,"","",218913,"",SkU19,acklamation,Sänkt bolagsskatt och vissa andra skatteåtgärder för företag,1,"Riksdagen
dels antar regeringens förslag till
1. lag om ändring i inkomstskattelagen (1999:1229) med den ändringen att 57 kap. 11 § får den lydelse som utskottet föreslår i bilaga 3,
2. lag om ändring i mervärdesskattelagen (1994:200), 
dels antar utskottets förslag i bilaga 3 till lag om ändring i skattebetalningslagen (1997:483).
Därmed bifaller riksdagen propositionerna 2008/09:40 i denna del och 2008/09:65 samt avslår motion 2008/09:Sk12 yrkandena 1 och 2.
",2008/09,utskottet,1657566
1318010,0,"","",167260,"",UBU9,acklamation,Studie- och yrkesvägledare,101,"Riksdagen avslår motionerna 2004/05:Ub480 yrkande 29 och 2004/05:A321 yrkande 14.
",2004/05,utskottet,1317906
1317647,0,"","",167098,"",SOU10,acklamation,Sekretess,50,"Riksdagen avslår motion 2003/04:K376 yrkandena 1 och 2.
",2004/05,utskottet,1317579
618881,0,"","",71473,"",KUU2,-,Grundläggande rättigheter ,6,"Riksdagen förklarar motionerna 2001/02:K87 (delvis), 2001/02:K236 yrkande 6, 2001/02:U303 yrkande 17 (delvis),2001/02:K426 yrkandena 8 och 9, 2001/02:U302 yrkande 17 samt 2001/02:U301 yrkande 7 besvarade med vad utskottet anfört. Riksdagen avslår motion 2001/02:K427 yrkande 10. 
",2001/02,uppgift saknas,618875
1671366,0,"","",222856,"",TU4,acklamation,IT-användning hos vissa grupper,7,"Riksdagen avslår motionerna 
2005/06:T1 av Sven Bergström m.fl. (c, m, fp, kd) yrkande 15, 
2005/06:T360 av Billy Gustafsson (s) och 
2005/06:T500 av Christer Winbäck m.fl. (fp) yrkandena 14, 15 och 24.
",2005/06,utskottet,1671359
2792234,0,"","",493389,"",TU11,acklamation,Fartområdesindelning,7,"För mer information om förslagspunkten, se ärendets PDF-dokument",2014/15,utskottet,2792227
2776671,0,"","",486298,"",TU3,acklamation,Brevbärarnas arbetsmiljö,2,"Riksdagen avslår motionerna 2012/13:T256, 2012/13:T489 och 2013/14:T388.
",2013/14,utskottet,2776669
240642,0,"","",44889,"",UBU8,acklamation,Sex- och samlevnadsundervisning inom sfi,15,"Riksdagen avslår motionerna 2003/04:So273 yrkande 4, 2003/04:Ub241 och 2003/04:Ub383.
",2003/04,utskottet,240627
2773910,0,"","",485108,"",JuU15,acklamation,Ökade möjligheter för polisen att komma åt alkohol som innehas av unga,9,"Riksdagen avslår motion 
2011/12:Ju359 av Morgan Johansson m.fl. (S) yrkande 62.
",2011/12,utskottet,2773901
1807833,0,"","",243281,"",SoU22,acklamation,Vård och omsorg för personer med demens,13,"<BR/>Riksdagen avslår motionerna 

2022/23:901 av Christofer Bergenblock m.fl. (C) yrkandena 24, 25 och 38 samt 

2022/23:927 av Linda Lindberg m.fl. (SD) yrkande 8.<BR/><BR/>",2022/23,utskottet,1807819
2799081,7,"""SD""",3A815C3E-5F16-43B1-8A70-94E4FEEF0B2C,496360,http://data.riksdagen.se/votering/3A815C3E-5F16-43B1-8A70-94E4FEEF0B2C,SkU19,röstning,Jordbrukets drivmedelsskatter m.m.,4,"Riksdagen avslår motionerna 2012/13:Sk305, 2012/13:Sk399 och 2012/13:Sk429.
",2012/13,utskottet,2799077
1913167,0,"","",259020,"",KU8,acklamation,Förenklad hantering av medborgarförslag,1,"Riksdagen antar regeringens förslag till lag om ändring i kommunallagen (1991:900).
Därmed bifaller riksdagen proposition 2006/07:24.
",2006/07,utskottet,1913166
1653291,0,"","",217727,"",FiU11,acklamation,Bemyndigande för anslaget 35:13 Stöd för installation av energieffektiva fönster m.m. i småhus,8,"Riksdagen bemyndigar regeringen att under 2007 för anslaget 35:15 Stöd för installation av energieffektiva fönster m.m. i småhus besluta om bidrag som inklusive tidigare gjorda åtaganden medför behov av framtida anslag på högst 30 000 000 kr under 2008.
Därmed bifaller riksdagen proposition 2007/08:1 Finansplanen punkt 24.
",2007/08,utskottet,1653283
2282401,9,"""M"",""C"",""FP"",""KD""",0036eb69-7d72-4396-b47f-0fc83e09389f,472597,http://data.riksdagen.se/votering/0036EB69-7D72-4396-B47F-0FC83E09389F,JuU8,röstning,Återuppta den nedlagda utredningen En flexibel och effektiv kriminalvård,9,"<BR/>Riksdagen avslår motionerna 

2015/16:3250 av Beatrice Ask m.fl. (M) yrkande 2, 

2015/16:3252 av Andreas Carlson m.fl. (KD) yrkande 1, 

2015/16:2307 av Beatrice Ask m.fl. (M) yrkande 1 och 

2015/16:2680 av Andreas Carlson m.fl. (KD) yrkande 1.<BR/><BR/>",2015/16,utskottet,2282381
1803712,0,"","",242281,"",JuU11,acklamation,Medlemskap i Advokatsamfundet,43,"Riksdagen avslår motionerna 2004/05:Ju364 och 2005/06:Ju466.
",2005/06,utskottet,1803669
2790542,0,"","",492596,"",UbU5,acklamation,Återbetalning i flera studielånssystem,7,"Riksdagen avslår motion 2005/06:Ub592 yrkande 2.
",2005/06,utskottet,2790535
2081111,0,"","",330262,"",SfU17,acklamation,Ändring av en avvisningsbestämmelse i utlänningslagen,1,Riksdagen antar regeringens förslag till lag om ändring i utlänningslagen (2005:716).<BR/>Därmed bifaller riksdagen proposition 2015/16:147.<BR/><BR/>,2015/16,utskottet,2081110
233304,0,"","",43169,"",SOU11,acklamation,Nationella kvalitetsregister,8,"Riksdagen avslår motionerna 2002/03:So434 och 2002/03:So443 yrkande 15.
",2002/03,utskottet,233296
616178,0,"","",70421,"",SOU13,-,Alternativa behandlingsmetoder och forskning ,49,"Riksdagen avslår motionerna 2001/02:So303 yrkandena 19, 20, 22 och 23 samt 2001/02:So626 yrkande 6.
",2001/02,uppgift saknas,616129
2790060,0,"","",492346,"",SkU18,acklamation,Lantbrukets drivmedelsskatter,3,"<BR/>Riksdagen avslår motionerna 

2014/15:2786 av Anders Forsberg m.fl. (SD) yrkande 1, 

2014/15:2831 av Anders Forsberg m.fl. (SD) yrkande 2 och 

2014/15:1498 av Åsa Coenraads och Finn Bengtsson (M).<BR/><BR/>",2014/15,utskottet,2790057
2772236,0,"","",484311,"",KrU2,acklamation,Ansvar för biblioteken,5,"Riksdagen avslår motion 
2012/13:Kr9 av Bengt Berg m.fl. (V) yrkande 4.
",2013/14,utskottet,2772231
1796811,0,"","",240542,"",UbU15,acklamation,Resurstilldelningssystemet,11,"<BR/>Riksdagen avslår motionerna 

2014/15:545 av Anders Ahlgren och Helena Lindahl (C) yrkande 1, 

2014/15:594 av Jessica Polfjärd (M), 

2014/15:655 av Johan Pehrson (FP) yrkandena 1 och 2, 

2014/15:1046 av Lars-Axel Nordell (KD), 

2014/15:2457 av Ulrika Carlsson i Skövde (C) yrkande 15, 

2014/15:2938 av Carina Herrstedt m.fl. (SD), 

2015/16:1 av Lars-Axel Nordell (KD), 

2015/16:165 av Robert Stenkvist och Stefan Jakobsson (båda SD), 

2015/16:2402 av Ulrika Carlsson i Skövde m.fl. (C) yrkandena 1 och 16, 

2015/16:2770 av Camilla Waltersson Grönvall m.fl. (M) yrkande 3, 

2015/16:2772 av Camilla Waltersson Grönvall m.fl. (M) yrkande 7, 

2015/16:3008 av Helena Lindahl och Anders Ahlgren (båda C) yrkande 1, 

2015/16:3073 av Anna Kinberg Batra m.fl. (M) yrkande 30 och 

2015/16:3207 av Penilla Gunther m.fl. (KD) yrkande 18.<BR/><BR/>",2015/16,utskottet,1796800
238538,0,"","",44612,"",UBU3,acklamation,Öst-väst-samarbete i Mittnorden,20,"Riksdagen avslår motion 2003/04:Ub338 yrkandena 1 och 2.
",2003/04,utskottet,238518
1315449,54,"""kd""",EB2E5744-459B-4DF2-953C-71463DCAE211,166631,http://data.riksdagen.se/votering/EB2E5744-459B-4DF2-953C-71463DCAE211,SFU1,röstning,Tillsyn av försäkringsläkare,58,"Riksdagen avslår motion 2004/05:Sf355 yrkande 1.
",2004/05,utskottet,1315391
2781061,22,"""SD""",55855FDA-88EB-46B9-AE6F-74E92D6BC107,488143,http://data.riksdagen.se/votering/55855FDA-88EB-46B9-AE6F-74E92D6BC107,UbU6,röstning,Marknadsföring av gymnasieutbildning,22,"Riksdagen avslår motion 2012/13:Ub427.
",2012/13,utskottet,2781039
612582,0,"","",69716,"",KU15,acklamation,Medborgarbok ,34,"Riksdagen avslår motionerna 2000/01:K233 och 2001/02:K342. 
",2001/02,utskottet,612548
2789815,0,"","",492229,"",MJU3,acklamation,Verkställbara tvångsmedel mot fartyg inom EU:s utsläppshandelssystem,1,"Riksdagen antar regeringens f&ouml;rslag till<br />1. lag om &auml;ndring i kustbevakningslagen (2019:32),<br />2. lag om &auml;ndring i lagen (2020:1173) om vissa utsl&auml;pp av v&auml;xthusgaser.<BR/>Därmed bifaller riksdagen proposition 2024/25:174 punkterna 1 och 2.<BR/><BR/>",2025/26,utskottet,2789814
612450,0,"","",69631,"",KU12,acklamation,Riksdagsstyrelsens förslag 2001/02:RS1 ,1,"Riksdagen antar i bilaga 2 intagna förslag till lag om ändring i lagen (1994:1065) om ekonomiska villkor för riksdagens ledamöter och förslag till lag om ändring i lagen (1996:304) om arvode m.m. till Sveriges företrädare i Europaparlamentet. Därmed bifaller riksdagen riksdagsstyrelsens förslag 2001/02:RS1.
",2001/02,utskottet,612449
2075998,0,"","",328459,"",SkU13,acklamation,Förseningsavgifter,5,"<BR/>Riksdagen avslår motionerna 

2022/23:433 av Erik Ottoson (M), 

2022/23:504 av Markus Wiechel och Alexander Christiansson (båda SD) yrkande 4, 

2022/23:892 av Michael Rubbestad och Patrik Jönsson (båda SD) yrkandena 1 och 2 samt 

2022/23:1087 av Jan Ericson (M).<BR/><BR/>",2022/23,utskottet,2075993
2789362,0,"","",492030,"",KrU8,acklamation,Digital folkbildningssatsning,2,"För mer information om förslagspunkten, se ärendets PDF-dokument",2014/15,utskottet,2789360
1664757,7,"""MP""",AFB140CE-CB44-495E-9CAA-3CD0043B3A30,221051,http://data.riksdagen.se/votering/AFB140CE-CB44-495E-9CAA-3CD0043B3A30,NU14,röstning,Moratorium mot uranprospektering,4,"Riksdagen avslår motion 
2012/13:N226 av Lise Nordin m.fl. (MP) yrkande 2.
",2012/13,utskottet,1664753
1662634,0,"","",220511,"",TU6,acklamation,Segway,16,"Riksdagen avslår motion 
2007/08:T535 av Peter Althin (kd).
",2007/08,utskottet,1662600
1655277,0,"","",218174,"",UU11,acklamation,EU - en kärnvapenfri zon,34,"Riksdagen avslår motionerna 2006/07:U238, 2006/07:U246 yrkandena 5 och 6, 2007/08:U203 yrkande 3, 2007/08:U256, 2008/09:U219, 2008/09:U221 yrkande 12 och 2008/09:Fö204 yrkande 6.
",2008/09,utskottet,1655243
1661238,0,"","",220002,"",FöU11,"",Skydd mot farliga ämnen,2,"",2013/14,"",1661235
1315067,0,"","",166493,"",SoU5,acklamation,Bastjänstgöring på Åland,5,"Riksdagen ställer sig bakom det som utskottet anför om att regeringen ska säkerställa att utbildningssamarbetet med Åland kan fortsätta och att det blir möjligt för läkare att genomföra sin bastjänstgöring på Åland på likvärdiga villkor som i Sverige&nbsp;och tillkännager detta för regeringen.<BR/>Därmed bifaller riksdagen motion 

2018/19:25 av Lina Nordquist m.fl. (L).<BR/><BR/>",2018/19,utskottet,1315062
1803517,0,"","",242173,"",AU2,acklamation,Deltidsarbetslösa och sjukskrivna,20,"Riksdagen avslår motionerna 
2008/09:A224 av Agneta Lundberg och Eva Sonidsson (båda s) och 
2008/09:A241 av Kurt Kvarnström och Carin Runeson (båda s).
",2008/09,utskottet,1803496
2774697,0,"","",485479,"",MJU28,acklamation,Förebyggande åtgärder mot översvämning,79,"Riksdagen avslår motionerna 2008/09:Fö289 yrkandena 8 och 24, 2008/09:MJ11 yrkande 35, 2008/09:MJ17 yrkande 32, 2008/09:MJ18 yrkande 18 i denna del och 2008/09:MJ19 yrkande 30.
",2008/09,utskottet,2774618
1304734,7,"""v""",0CEDFD37-0396-11D7-AEA1-000475504757,164294,http://data.riksdagen.se/votering/0CEDFD37-0396-11D7-AEA1-000475504757,SFU4,röstning,Uppskjuta prövning av asylansökan,4,"Riksdagen bifaller proposition 2001/02:185 i denna del och avslår motionerna 2001/02:Sf40 yrkande 2, 2001/02:Sf43 yrkandena 3 och 4 och 2001/02:Sf44 yrkande 3 i denna del.
",2002/03,utskottet,1304730
1319913,0,"","",167765,"",TU17,acklamation,Lagen om elektronisk kommunikation m.m.,8,"Riksdagen antar det av utskottet i bilaga 2 framlagda förslaget till lag om ändring i lagen (2003:389) om elektronisk kommunikation.
Därmed avslår riksdagen motionerna 2004/05:MJ5 yrkandena 11 och 12 samt 2004/05:MJ9 yrkande 8.
",2004/05,utskottet,1319905
1314467,0,"","",166286,"",AU1,acklamation,Långtidssjukskrivna,9,"Riksdagen avslår motionerna 2003/04:Sf358 yrkande 4, 2003/04:A247 yrkande 7 och 2003/04:A352.
",2003/04,utskottet,1314458
1663779,0,"","",220804,"",AU10,acklamation,Jämställdhetsindex och kostnader för ojämställdhet,10,"Riksdagen avslår motionerna 2012/13:A206 och 2012/13:A257.
",2012/13,utskottet,1663769
1328198,0,"","",169796,"",FIU19,-,Statistik om sjukvårdens produktivitet ,4,"Riksdagen avslår motion 2001/02:Fi48 av Karin Pilsäter m.fl. (fp) yrkande 7.
",2001/02,uppgift saknas,1328194
619432,0,"","",71575,"",KU20,"",Regeringens styrning av Vattenfall (avsnitt 6),14,"",2004/05,uppgift saknas,619418
1321501,0,"","",168219,"",UFöU2,acklamation,USA,9,"Riksdagen avslår motion 2004/05:U260 yrkande 11.
",2004/05,utskottet,1321492
621206,0,"","",72395,"",LU22,acklamation,Efterlevande makes och särkullbarns arvsrätt,18,"Riksdagen avslår motionerna 2003/04:L248 och 2003/04:L300 yrkande 5.
",2003/04,utskottet,621188
