person_id,first_name,last_name,party,role_code,status,assignment_type,org_code,role_tier,role_weight,role_start,role_end,role_start_year,role_end_year,role_instances,total_days_in_role,is_current_role,role_sequence,peak_role_weight,career_first_year,career_last_year,years_in_role,progression_pattern,career_level,advancement_velocity,time_bucket,rn
0358278412329,Björn,Petersson,S,Extra suppleant,"",uppdrag,MJU,SUBSTITUTE,50,2024-10-22,2025-06-29,2024,2025,3,248,f,20,350,2018,2025,2,LATERAL,ENTRY_LEVEL,,2025-06-01 00:00:00+02,1
0150200797210,Mats,Sander,M,Extra suppleant,"",uppdrag,SfU,SUBSTITUTE,50,2024-09-11,2025-05-23,2024,2025,1,254,f,14,400,2006,2025,2,DESCENDING,ENTRY_LEVEL,-75.00,2025-05-01 00:00:00+02,1
0665360289423,Fredrik,Stenberg,S,Extra suppleant,"",uppdrag,TU,SUBSTITUTE,50,2025-01-14,2025-04-03,2025,2025,1,79,f,18,100,2018,2025,1,DESCENDING,ENTRY_LEVEL,-10.00,2025-04-01 00:00:00+02,1
035234573112,Anna-Lena,Hedberg,SD,Riksdagsledamot,Ledig,kammaruppdrag,kam,MP,400,2025-01-13,2025-03-09,2025,2025,2,54,f,7,400,2022,2026,1,PEAK_ROLE,MID_LEVEL,300.00,2025-03-01 00:00:00+01,1
025158809026,Ida,Gabrielsson,V,Ledamot,"",Riksdagsorgan,KD,COMMITTEE_MEMBER,350,2022-10-11,2025-02-19,2022,2025,1,862,f,22,550,2018,2026,4,DESCENDING,JUNIOR,,2025-02-01 00:00:00+01,1
0302393368216,Camilla,Rinaldo Miller,KD,Suppleant,"",uppdrag,JuU,SUBSTITUTE,100,2022-11-09,2025-01-17,2022,2025,1,800,f,3,350,2022,2026,4,LATERAL,ENTRY_LEVEL,,2025-01-01 00:00:00+01,1
0514669448526,Elin,Söderberg,MP,Ledamot,"",uppdrag,NU,OTHER,350,2022-10-04,2024-12-02,2022,2024,1,790,f,2,400,2022,2024,3,DESCENDING,JUNIOR,,2024-12-01 00:00:00+01,1
0987246082523,Paula,Örn,S,Extra suppleant,"",uppdrag,UbU,SUBSTITUTE,50,2021-07-29,2024-11-29,2021,2024,3,444,f,11,100,2021,2024,4,DESCENDING,ENTRY_LEVEL,,2024-11-01 00:00:00+01,1
0760500234712,Monica,Haider,S,Personlig suppleant,"",Riksdagsorgan,RJ,OTHER,50,2017-10-13,2024-10-31,2017,2024,3,2573,f,5,400,2014,2026,8,DESCENDING,ENTRY_LEVEL,-16.67,2024-10-01 00:00:00+02,1
0150118366721,Linda,W Snecker,V,Riksdagsledamot,Tjänstgörande,kammaruppdrag,kam,MP,400,2014-09-29,2024-09-08,2014,2024,5,3399,f,1,400,2014,2024,11,PEAK_ROLE,MID_LEVEL,,2024-09-01 00:00:00+02,1
0980681611418,Hans,Wallmark,M,Suppleant,"",uppdrag,FöU,SUBSTITUTE,100,2020-03-18,2024-08-20,2020,2024,3,1536,f,32,600,2006,2024,5,LATERAL,ENTRY_LEVEL,,2024-08-01 00:00:00+02,1
0442629549320,Adnan,Dibrani,S,Ledamot,"",uppdrag,FiU,OTHER,350,2018-10-02,2024-07-15,2018,2024,2,2105,f,9,400,2010,2029,7,CAREER_PEAK,JUNIOR,83.33,2024-07-01 00:00:00+02,1
0819601620927,Annika,Hirvonen,MP,Förste vice gruppledare,"",partiuppdrag,MP,OTHER,50,2019-11-26,2024-06-14,2019,2024,3,687,f,12,650,2014,2026,6,DESCENDING,ENTRY_LEVEL,-50.00,2024-06-01 00:00:00+02,1
0999976269027,Amanda,Palmstierna,MP,Ledamot,"",uppdrag,SfU,OTHER,350,2024-05-16,2024-05-31,2024,2024,1,15,f,25,400,2018,2026,1,ASCENDING,JUNIOR,,2024-05-01 00:00:00+02,1
075747847023,Gustaf,Lantz,S,Riksdagsledamot,Ledig,kammaruppdrag,kam,MP,400,2023-08-28,2024-04-30,2023,2024,1,246,f,25,400,2017,2026,2,PEAK_ROLE,MID_LEVEL,50.00,2024-04-01 00:00:00+02,1
0845133742919,Lili,André,KD,Suppleant,"",uppdrag,SoU,SUBSTITUTE,100,2022-10-04,2024-03-21,2022,2024,2,534,f,2,400,2022,2026,3,DESCENDING,ENTRY_LEVEL,,2024-03-01 00:00:00+01,1
0349986646724,Märta,Stenevi,MP,Ledamot,"",Riksdagsorgan,KD,COMMITTEE_MEMBER,350,2022-10-11,2024-02-15,2022,2024,1,492,f,5,900,2019,2025,3,DESCENDING,JUNIOR,,2024-02-01 00:00:00+01,1
0920901966627,Tony,Haddou,V,Suppleant,"",uppdrag,UU,SUBSTITUTE,100,2020-03-18,2024-01-07,2020,2024,2,263,f,14,550,2018,2026,5,LATERAL,ENTRY_LEVEL,,2024-01-01 00:00:00+01,1
0779329190517,Kjell,Jansson,M,Suppleant,"",uppdrag,SkU,SUBSTITUTE,100,2023-06-02,2023-12-20,2023,2023,1,201,f,19,400,2018,2026,1,DESCENDING,ENTRY_LEVEL,-250.00,2023-12-01 00:00:00+01,1
0802091197024,Andrea,Andersson Tay,V,Ledamot,"",Riksdagsorgan,LR,OTHER,350,2022-10-12,2023-11-08,2022,2023,1,392,f,4,400,2022,2026,2,CAREER_PEAK,JUNIOR,,2023-11-01 00:00:00+01,1
0371013828421,Lars,Larsson,SD,Extra suppleant,"",uppdrag,FöU,SUBSTITUTE,50,2023-09-12,2023-10-08,2023,2023,2,24,f,6,100,2023,2023,1,LATERAL,ENTRY_LEVEL,,2023-10-01 00:00:00+02,1
0178323535715,Johnny,Svedin,SD,Ledamot,"",uppdrag,SoU,OTHER,350,2022-10-04,2023-09-20,2022,2023,1,351,f,2,400,2022,2026,2,DESCENDING,JUNIOR,,2023-09-01 00:00:00+02,1
0477013214601,Carl B,Hamilton,L,Statsrådsersättare,Ersättare,kammaruppdrag,kam,OTHER,50,2014-09-29,2023-08-22,2014,2023,2,312,f,24,600,1991,2023,10,DESCENDING,ENTRY_LEVEL,-150.00,2023-08-01 00:00:00+02,1
0845783625227,Arwin,Sohrabi,S,Extra suppleant,"",uppdrag,UbU,SUBSTITUTE,50,2023-05-23,2023-07-16,2023,2023,1,54,f,2,100,2023,2023,1,DESCENDING,ENTRY_LEVEL,,2023-07-01 00:00:00+02,1
0926477102420,Cecilia,Rönn,L,Suppleant,"",uppdrag,UU,SUBSTITUTE,100,2023-05-22,2023-06-01,2023,2023,1,10,f,7,400,2022,2026,1,DESCENDING,ENTRY_LEVEL,-250.00,2023-06-01 00:00:00+02,1
0750092881021,Joanna,Lewerentz,M,Extra suppleant,"",uppdrag,UbU,SUBSTITUTE,50,2023-01-30,2023-05-21,2023,2023,1,111,f,1,100,2023,2026,1,ASCENDING,ENTRY_LEVEL,,2023-05-01 00:00:00+02,1
0671571847522,Mattias,Eriksson Falk,SD,Suppleant,"",uppdrag,NU,SUBSTITUTE,100,2022-10-04,2023-04-18,2022,2023,1,196,f,5,400,2022,2026,2,LATERAL,ENTRY_LEVEL,,2023-04-01 00:00:00+02,1
0211757295524,Josef,Fransson,SD,Suppleant,"",uppdrag,SkU,SUBSTITUTE,100,2020-03-18,2023-03-23,2020,2023,2,1092,f,17,400,2010,2026,4,LATERAL,ENTRY_LEVEL,,2023-03-01 00:00:00+01,1
0618278689611,Michael,Arthursson,C,Partisekreterare,"",partiuppdrag,C,PARTY_LEADER,500,2010-11-17,2023-02-17,2010,2023,1,4475,f,1,500,2010,2023,14,PEAK_ROLE,MID_LEVEL,,2023-02-01 00:00:00+01,1
0729710260118,Helena,Bouveng,M,Suppleant,"",uppdrag,AU,SUBSTITUTE,100,2019-06-17,2023-01-20,2019,2023,2,705,f,16,400,2006,2026,5,LATERAL,ENTRY_LEVEL,,2023-01-01 00:00:00+01,1
0965245623824,Nicklas,Attefjord,MP,Extra suppleant,"",uppdrag,AU,SUBSTITUTE,50,2022-11-17,2022-12-14,2022,2022,1,27,f,15,350,2021,2022,1,DESCENDING,ENTRY_LEVEL,-50.00,2022-12-01 00:00:00+01,1
0499755198526,Mattias,Jonsson,S,Ledamot,"",Riksdagsorgan,ER,OTHER,350,2022-11-01,2022-11-24,2022,2022,1,23,f,20,550,2010,2026,1,ASCENDING,JUNIOR,125.00,2022-11-01 00:00:00+01,1
0903081277919,Helena,Vilhelmsson,C,Suppleant,"",Riksdagsorgan,DEM,SUBSTITUTE,100,2020-02-11,2022-10-26,2020,2022,1,988,f,4,400,2018,2026,3,LATERAL,ENTRY_LEVEL,0.00,2022-10-01 00:00:00+02,1
0641953830512,Magnus,Persson,SD,Suppleant,"",uppdrag,CU,SUBSTITUTE,100,2020-03-20,2022-09-26,2020,2022,1,920,f,16,600,2014,2026,3,LATERAL,ENTRY_LEVEL,,2022-09-01 00:00:00+02,1
0833552896828,Jasmin,Farid,M,Ersättare,Ersättare,kammaruppdrag,kam,SUBSTITUTE,100,2022-03-23,2022-08-01,2022,2022,1,131,f,2,100,2022,2022,1,PEAK_ROLE,ENTRY_LEVEL,,2022-08-01 00:00:00+02,1
0685749336810,Dag,Larsson,S,Suppleant,"",uppdrag,UbU,SUBSTITUTE,100,2020-03-18,2022-06-07,2020,2022,1,811,f,14,550,2018,2022,3,LATERAL,ENTRY_LEVEL,,2022-06-01 00:00:00+02,1
0556755096938,Axel,Hallberg,MP,Extra suppleant,"",uppdrag,TU,SUBSTITUTE,50,2021-09-20,2022-05-19,2021,2022,1,241,f,3,100,2021,2022,2,LATERAL,ENTRY_LEVEL,,2022-05-01 00:00:00+02,1
0161616238120,Lina,Nordquist,L,Andre vice gruppledare,"",partiuppdrag,L,OTHER,50,2022-01-01,2022-04-19,2022,2022,1,108,f,19,650,2018,2026,1,DESCENDING,ENTRY_LEVEL,-50.00,2022-04-01 00:00:00+02,1
0145294944502,Roger,Richthoff,-,Ledamot,"",uppdrag,FöU,OTHER,350,2014-10-07,2022-03-31,2014,2022,2,2724,f,3,400,2014,2022,9,CAREER_PEAK,JUNIOR,,2022-03-01 00:00:00+01,1
0426843954410,Ulrik,Bergman,M,Extra suppleant,"",uppdrag,CU,SUBSTITUTE,50,2021-12-02,2022-02-13,2021,2022,1,73,f,1,100,2021,2022,2,ASCENDING,ENTRY_LEVEL,,2022-02-01 00:00:00+01,1
0227802801605,Thomas,Hammarberg,S,Suppleant,"",uppdrag,JuU,SUBSTITUTE,100,2020-03-18,2022-01-31,2020,2022,1,684,f,8,400,2018,2022,3,LATERAL,ENTRY_LEVEL,,2022-01-01 00:00:00+01,1
0540190357911,Hans,Hoff,S,Ledamot,"",Riksdagsorgan,RAN,OTHER,350,2019-02-15,2021-12-31,2019,2021,1,1050,f,18,400,1995,2026,3,CAREER_PEAK,JUNIOR,250.00,2021-12-01 00:00:00+01,1
0530425150220,Annika,Strandhäll,S,Suppleant,"",uppdrag,TU,SUBSTITUTE,100,2020-03-18,2021-11-30,2020,2021,1,622,f,21,900,2014,2026,2,LATERAL,ENTRY_LEVEL,,2021-11-01 00:00:00+01,1
0111479807829,Anna,Wallentheim,S,Ledamot,"",uppdrag,KrU,COMMITTEE_MEMBER,350,2014-10-07,2021-10-13,2014,2021,3,2555,f,3,400,2014,2026,8,CAREER_PEAK,JUNIOR,,2021-10-01 00:00:00+02,1
0267085997926,Lena,Rådström Baastad,S,Suppleant,"",uppdrag,JuU,SUBSTITUTE,100,2020-03-18,2021-09-02,2020,2021,1,533,f,13,500,2016,2021,2,LATERAL,ENTRY_LEVEL,,2021-09-01 00:00:00+02,1
0208558695314,Ingemar,Nilsson,S,Ordförande,"",Riksdagsorgan,RRR,COMMITTEE_CHAIR,600,2019-04-01,2021-08-31,2019,2021,1,883,f,12,600,2010,2021,3,PEAK_ROLE,SENIOR_LEADERSHIP,500.00,2021-08-01 00:00:00+02,1
0737073162411,Emma,Carlsson Löfdahl,-,Suppleant,"",Riksdagsorgan,VB,SUBSTITUTE,100,2018-09-24,2021-07-31,2018,2021,1,1041,f,17,400,2006,2021,4,ASCENDING,ENTRY_LEVEL,16.67,2021-07-01 00:00:00+02,1
0873650166625,Sara,Heikkinen Breitholtz,S,Suppleant,"",uppdrag,UbU,SUBSTITUTE,100,2020-03-18,2021-06-30,2020,2021,1,469,f,9,350,2019,2021,2,LATERAL,ENTRY_LEVEL,,2021-06-01 00:00:00+02,1
0150200797210,Mats,Sander,M,Ledamot,"",Riksdagsorgan,IPU,OTHER,350,2020-11-24,2021-05-02,2020,2021,1,159,f,13,400,2006,2025,2,CAREER_PEAK,JUNIOR,,2021-05-01 00:00:00+02,1
0655028250417,Lena,Emilsson,S,Suppleant,"",uppdrag,EUN,SUBSTITUTE,100,2020-09-03,2021-04-30,2020,2021,1,239,f,12,400,2014,2021,2,LATERAL,ENTRY_LEVEL,,2021-04-01 00:00:00+02,1
0947572086414,Anne-Li,Sjölund,C,Suppleant,"",uppdrag,FiU,SUBSTITUTE,100,2020-09-22,2021-03-31,2020,2021,1,190,f,14,400,2020,2026,2,ASCENDING,ENTRY_LEVEL,,2021-03-01 00:00:00+01,1
0860429409414,Désirée,Pethrus,KD,Suppleant,"",uppdrag,NU,SUBSTITUTE,100,2020-03-18,2021-02-11,2020,2021,1,330,f,20,400,1999,2021,2,DESCENDING,ENTRY_LEVEL,-150.00,2021-02-01 00:00:00+01,1
0495661214429,Lorentz,Tovatt,MP,Statsrådsersättare,Ersättare,kammaruppdrag,kam,OTHER,50,2018-09-24,2021-01-31,2018,2021,1,860,f,4,400,2017,2022,4,DESCENDING,ENTRY_LEVEL,-50.00,2021-01-01 00:00:00+01,1
0196077326617,Solveig,Zander,C,Ledamot,"",uppdrag,SfU,OTHER,350,2006-10-10,2020-12-31,2006,2020,4,5172,f,3,400,2006,2020,15,CAREER_PEAK,JUNIOR,,2020-12-01 00:00:00+01,1
0721509806321,Nooshi,Dadgostar,V,Ledamot,"",uppdrag,SfU,OTHER,350,2018-10-02,2020-11-27,2018,2020,1,787,f,5,700,2014,2026,3,ASCENDING,JUNIOR,,2020-11-01 00:00:00+01,1
0653904370212,Fredrik,Olovsson,S,Suppleant,"",uppdrag,TU,SUBSTITUTE,100,2020-03-18,2020-10-14,2020,2020,1,210,f,23,600,2002,2026,1,LATERAL,ENTRY_LEVEL,,2020-10-01 00:00:00+02,1
0415959965211,Mia,Sydow Mölleby,V,Suppleant,"",uppdrag,FöU,SUBSTITUTE,100,2020-03-18,2020-09-03,2020,2020,1,169,f,25,650,2010,2022,1,LATERAL,ENTRY_LEVEL,,2020-09-01 00:00:00+02,1
0903307301618,Peter,Persson,S,Suppleant,"",uppdrag,KU,SUBSTITUTE,100,2020-03-18,2020-08-31,2020,2020,1,166,f,16,400,2010,2020,1,LATERAL,ENTRY_LEVEL,,2020-08-01 00:00:00+02,1
0505783078517,Helene,Hellmark Knutsson,S,Ledamot,"",Riksdagsorgan,KD,COMMITTEE_MEMBER,350,2019-02-06,2020-07-31,2019,2020,1,541,f,6,900,2014,2020,2,DESCENDING,JUNIOR,,2020-07-01 00:00:00+02,1
0316870450511,Harald,Hjalmarsson,M,Suppleant,"",uppdrag,SkU,SUBSTITUTE,100,2020-03-18,2020-06-21,2020,2020,1,95,f,10,100,2020,2020,1,PEAK_ROLE,ENTRY_LEVEL,,2020-06-01 00:00:00+02,1
072019517020,Amir,Adan,M,Suppleant,"",uppdrag,JuU,SUBSTITUTE,100,2020-03-18,2020-05-03,2020,2020,1,46,f,20,400,2010,2020,1,LATERAL,ENTRY_LEVEL,,2020-05-01 00:00:00+02,1
0616721755222,Louise,Meijer,M,Suppleant,"",uppdrag,JuU,SUBSTITUTE,100,2020-03-18,2020-04-30,2020,2020,1,43,f,20,550,2018,2026,1,LATERAL,ENTRY_LEVEL,,2020-04-01 00:00:00+02,1
0542160909628,Andreas,Carlson,KD,Riksdagsledamot,Ledig,kammaruppdrag,kam,MP,400,2020-01-16,2020-03-18,2020,2020,1,62,f,21,900,2010,2026,1,CAREER_PEAK,MID_LEVEL,150.00,2020-03-01 00:00:00+01,1
0246927519019,Karin,Rågsjö,V,Revisorssuppleant,"",Riksdagsorgan,Systembolaget,OTHER,50,2019-02-14,2020-02-29,2019,2020,1,380,f,6,400,2014,2026,2,DESCENDING,ENTRY_LEVEL,-50.00,2020-02-01 00:00:00+01,1
0879782396219,Olle,Thorell,S,Ledamot,"",Riksdagsorgan,IPU,OTHER,350,2018-10-24,2020-01-28,2018,2020,1,461,f,16,600,2006,2026,3,LATERAL,JUNIOR,,2020-01-01 00:00:00+01,1
0262017901513,Beatrice,Ask,M,Deputerad,"",uppdrag,UFöU,OTHER,50,2018-05-15,2019-12-17,2018,2019,3,83,f,22,850,1988,2019,2,DESCENDING,ENTRY_LEVEL,,2019-12-01 00:00:00+01,1
0228167770927,Maria,Nilsson,L,Ledamot,"",uppdrag,AU,OTHER,350,2018-10-02,2019-11-15,2018,2019,1,409,f,2,500,2018,2022,2,DESCENDING,JUNIOR,,2019-11-01 00:00:00+01,1
0922497728524,Ardalan,Shekarabi,S,Statsråd,"",Departement,Fi,MINISTER,900,2014-10-03,2019-10-01,2014,2019,5,1824,f,4,900,2013,2026,6,PEAK_ROLE,TOP_LEADERSHIP,500.00,2019-10-01 00:00:00+02,1
023767922422,Mats,Persson,L,Ledamot,"",uppdrag,UbU,OTHER,350,2019-02-15,2019-09-05,2019,2019,1,202,f,11,850,2014,2026,1,CAREER_PEAK,JUNIOR,250.00,2019-09-01 00:00:00+02,1
0582811195313,Tina,Acketoft,L,Förste vice gruppledare,"",partiuppdrag,L,OTHER,50,2015-11-24,2019-08-12,2015,2019,2,1334,f,13,400,2002,2022,5,DESCENDING,ENTRY_LEVEL,,2019-08-01 00:00:00+02,1
0637028706011,Bodil,Ceballos,MP,Ledamot,"",Europaparlamentet,EP,OTHER,350,2014-07-01,2019-07-02,2014,2019,1,1827,f,12,400,2006,2019,6,CAREER_PEAK,JUNIOR,100.00,2019-07-01 00:00:00+02,1
0211757295524,Josef,Fransson,SD,Suppleant,"",uppdrag,UFöU,SUBSTITUTE,100,2018-11-15,2019-06-12,2018,2019,2,54,f,11,400,2010,2026,2,LATERAL,ENTRY_LEVEL,,2019-06-01 00:00:00+02,1
0376461485627,Henrik,Edin,L,Extra suppleant,"",uppdrag,TU,SUBSTITUTE,50,2019-03-13,2019-05-16,2019,2019,1,64,f,5,100,2019,2019,1,DESCENDING,ENTRY_LEVEL,,2019-05-01 00:00:00+02,1
0709911904721,Johanna,Rantsi,M,Extra suppleant,"",uppdrag,AU,SUBSTITUTE,50,2019-02-26,2019-04-11,2019,2019,1,44,f,2,400,2019,2026,1,DESCENDING,ENTRY_LEVEL,,2019-04-01 00:00:00+02,1
057993099726,Magnus,Ek,C,Suppleant,"",uppdrag,UU,SUBSTITUTE,100,2018-10-16,2019-03-29,2018,2019,1,164,f,5,400,2018,2022,2,LATERAL,ENTRY_LEVEL,,2019-03-01 00:00:00+01,1
0653904370212,Fredrik,Olovsson,S,Vice ordförande,"",uppdrag,FiU,COMMITTEE_VICE_CHAIR,550,2012-03-01,2019-02-28,2012,2019,2,1091,f,17,600,2002,2026,8,ASCENDING,MID_LEVEL,,2019-02-01 00:00:00+01,1
0387358739126,Jonas,Millard,SD,Suppleant,"",Riksdagsorgan,VB,SUBSTITUTE,100,2014-09-29,2019-01-31,2014,2019,2,1585,f,1,400,2014,2019,6,ASCENDING,ENTRY_LEVEL,,2019-01-01 00:00:00+01,1
0655028250417,Lena,Emilsson,S,Personlig ersättare,"",Riksdagsorgan,DN,OTHER,50,2015-01-01,2018-12-31,2015,2018,1,1460,f,5,400,2014,2021,4,DESCENDING,ENTRY_LEVEL,-50.00,2018-12-01 00:00:00+01,1
0859968278117,Carina,Ohlsson,S,Ledamot,"",Riksdagsorgan,ER,OTHER,350,2003-01-01,2018-11-07,2003,2018,5,5141,f,7,600,1998,2024,16,CAREER_PEAK,JUNIOR,250.00,2018-11-01 00:00:00+01,1
0960030082916,Ann-Kristine,Johansson,S,Suppleant,"",Riksdagsorgan,RB,SUBSTITUTE,100,2010-10-19,2018-10-09,2010,2018,2,2912,f,12,400,1994,2018,9,LATERAL,ENTRY_LEVEL,,2018-10-01 00:00:00+02,1
0535526562910,Lars,Tysklind,L,Kvittningsperson,"",partiuppdrag,L,OTHER,50,2015-11-24,2018-09-24,2015,2018,1,1035,f,18,400,2002,2018,4,DESCENDING,ENTRY_LEVEL,,2018-09-01 00:00:00+02,1
0598053101129,David,Lindvall,S,Extra suppleant,"",uppdrag,NU,SUBSTITUTE,50,2017-10-09,2018-07-15,2017,2018,1,279,f,2,100,2017,2018,2,DESCENDING,ENTRY_LEVEL,,2018-07-01 00:00:00+02,1
0604459858621,Emilia,Töyrä,S,Suppleant,"",uppdrag,UFöU,SUBSTITUTE,100,2016-11-15,2018-06-14,2016,2018,4,133,f,5,550,2014,2022,3,LATERAL,ENTRY_LEVEL,,2018-06-01 00:00:00+02,1
0237055280513,Roland,Utbult,KD,Suppleant,"",uppdrag,CKrU,SUBSTITUTE,100,2018-03-13,2018-05-24,2018,2018,1,72,f,13,400,2010,2026,1,LATERAL,ENTRY_LEVEL,0.00,2018-05-01 00:00:00+02,1
0488357052317,Mats,Pertoft,MP,Extra suppleant,"",uppdrag,JuU,SUBSTITUTE,50,2015-12-11,2018-04-17,2015,2018,2,419,f,7,550,2006,2018,4,DESCENDING,ENTRY_LEVEL,-75.00,2018-04-01 00:00:00+02,1
0988383147219,Lars,Eriksson,S,Suppleant,"",uppdrag,EUN,SUBSTITUTE,100,2014-10-14,2018-03-19,2014,2018,1,1252,f,5,400,2006,2018,5,DESCENDING,ENTRY_LEVEL,,2018-03-01 00:00:00+01,1
0599390849728,Jeff,Ahl,-,Riksdagsledamot,Ledig,kammaruppdrag,kam,MP,400,2015-02-03,2018-02-28,2015,2018,5,399,f,5,400,2014,2018,4,PEAK_ROLE,MID_LEVEL,300.00,2018-02-01 00:00:00+01,1
0397924710612,Ulrika,Karlsson,M,Vice ordförande,"",Riksdagsorgan,PA-UfM,COMMITTEE_VICE_CHAIR,550,2014-11-20,2018-01-16,2014,2018,1,1153,f,17,600,2004,2022,5,CAREER_PEAK,MID_LEVEL,,2018-01-01 00:00:00+01,1
0704744533715,Pernilla,Stålhammar,MP,Deputerad,"",uppdrag,UFöU,OTHER,50,2014-11-20,2017-12-11,2014,2017,7,261,f,6,400,2014,2021,4,DESCENDING,ENTRY_LEVEL,,2017-12-01 00:00:00+01,1
0956595590924,Tobias,Billström,M,Vice ordförande,"",Riksdagsorgan,ER,COMMITTEE_VICE_CHAIR,550,2015-12-10,2017-11-17,2015,2017,1,708,f,14,900,2002,2024,3,CAREER_PEAK,MID_LEVEL,,2017-11-01 00:00:00+01,1
0893004490313,Cecilia,Widegren,M,Ledamot,"",uppdrag,SoU,OTHER,350,2006-10-10,2017-10-13,2006,2017,2,2557,f,7,600,2002,2022,12,LATERAL,JUNIOR,0.00,2017-10-01 00:00:00+02,1
0504073787702,Björn,Rubenson,KD,Extra suppleant,"",uppdrag,TU,SUBSTITUTE,50,2017-05-04,2017-09-30,2017,2017,1,149,f,4,100,2017,2017,1,LATERAL,ENTRY_LEVEL,,2017-09-01 00:00:00+02,1
0397073482210,Camilla,Mårtensen,L,Extra suppleant,"",uppdrag,SfU,SUBSTITUTE,50,2017-05-02,2017-08-06,2017,2017,2,92,f,2,350,2017,2025,1,DESCENDING,ENTRY_LEVEL,,2017-08-01 00:00:00+02,1
