person_id,first_name,last_name,party,election_year,career_cycle_number,total_cycles,career_start_year,career_end_year,ballot_count,attendance_rate,win_rate,leadership_roles,documents_authored,avg_career_attendance,performance_vs_baseline,career_stage,performance_trend,career_pattern
0105632258713,Boriana,Åberg,M,2022,5,6,2006,2026,1948,68.84,85.42,2,754,72.8833333333333333,-4.04,LATE_CAREER,IMPROVING,CONSISTENT
0468775142013,Christina,Oskarsson,S,2006,2,4,2002,2014,1504,82.51,50.07,0,469,85.9575000000000000,-3.45,LATE_CAREER,DECLINING,CONSISTENT
0685749336810,Dag,Larsson,S,2018,1,2,2018,2022,1500,56.13,92.67,1,37,67.8900000000000000,-11.76,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0741187745315,Britta,Rådström,S,2010,3,3,2002,2010,221,99.55,24.43,0,157,93.6300000000000000,5.92,LATE_CAREER,IMPROVING,CONSISTENT
0387358739126,Jonas,Millard,SD,2014,1,2,2014,2018,1336,88.02,52.32,0,82,85.8550000000000000,2.17,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0460690753617,Pia,Nilsson,S,2018,5,6,2002,2022,1972,54.46,93.36,0,388,82.5850000000000000,-28.13,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
022805994927,Sofia,Westergren,M,2018,1,2,2018,2022,1500,44.93,55.33,0,129,63.9650000000000000,-19.04,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0973782197017,Mikael,Oscarsson,KD,2014,4,7,2002,2026,1703,76.45,71.11,0,1125,72.3628571428571429,4.09,LATE_CAREER,STABLE,CONSISTENT
0697941234716,Margareta,Gunsdotter,-,2010,1,3,2010,2018,1348,96.81,61.28,0,209,42.2266666666666667,54.58,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0110600080618,Håkan,Juholt,S,2006,2,4,2002,2014,1504,45.01,50.07,2,203,61.4150000000000000,-16.41,LATE_CAREER,DECLINING,STRUGGLING_NEWCOMER
0194498232620,Roza,Güclü Hedin,S,2018,3,4,2010,2022,1972,51.83,93.36,0,413,74.5575000000000000,-22.73,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
0105632258713,Boriana,Åberg,M,2026,6,6,2006,2026,318,57.55,85.22,2,754,72.8833333333333333,-15.33,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
0474290584024,Azadeh,Rojhan,S,2014,1,4,2014,2026,1120,85.27,95.54,0,166,77.5650000000000000,7.71,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0846730583715,Monika,Lövgren,SD,2018,1,1,2018,2018,448,22.77,45.31,0,24,22.7700000000000000,0.00,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0952789103522,Elin,Segerlind,V,2022,2,2,2018,2022,653,76.11,67.38,0,105,57.9200000000000000,18.19,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
0890152141226,Nadja,Awad,V,2026,2,2,2022,2026,318,78.30,32.39,0,113,85.6750000000000000,-7.38,LATE_CAREER,DECLINING,CONSISTENT
0573136138218,Krister,Örnfjäder,S,2018,5,5,2002,2018,472,83.47,95.55,1,541,81.0580000000000000,2.41,LATE_CAREER,IMPROVING,CONSISTENT
0391973624515,Erik,A Eriksson,C,2006,1,3,2006,2014,1128,70.39,100.00,1,37,77.8500000000000000,-7.46,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0925652297119,Per,Ramhorn,SD,2010,1,4,2010,2022,1494,99.80,60.78,0,382,87.3950000000000000,12.41,EARLY_CAREER,NEW_ENTRY,RISING_STAR
071293048118,Thomas,Ragnarsson,M,2026,2,2,2022,2026,318,100.00,85.22,0,19,97.3350000000000000,2.67,LATE_CAREER,IMPROVING,CONSISTENT
0752691002718,Pyry,Niemi,S,2014,2,4,2010,2022,1703,85.44,85.79,3,147,79.5650000000000000,5.88,LATE_CAREER,DECLINING,RISING_STAR
0544752215503,Kenneth,Kvist,V,2006,1,1,2006,2006,114,92.11,66.67,0,67,92.1100000000000000,0.00,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0615338062910,Lena,Olsson,V,2014,3,3,2006,2014,367,90.19,31.06,0,527,84.7866666666666667,5.40,LATE_CAREER,IMPROVING,CONSISTENT
0226631365426,Mikael,Larsson,C,2018,1,3,2018,2026,1500,55.33,73.73,0,356,78.2200000000000000,-22.89,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0333193598116,Bo,Broman,SD,2022,2,3,2018,2026,1948,91.79,65.61,1,214,70.8000000000000000,20.99,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
067992138910,Peter,Jeppsson,S,2010,2,4,2006,2018,1715,84.14,46.36,0,311,84.9500000000000000,-0.81,LATE_CAREER,IMPROVING,CONSISTENT
0119851690521,David,Perez,SD,2022,2,3,2018,2026,1693,94.80,64.44,0,69,77.0566666666666667,17.74,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
098329342620,Jennie,Wernäng,M,2026,2,2,2022,2026,318,90.88,85.22,0,45,93.9350000000000000,-3.06,LATE_CAREER,DECLINING,CONSISTENT
0979278953316,Egon,Frid,V,2006,1,2,2006,2010,1128,88.56,9.13,0,270,93.3750000000000000,-4.82,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0499755198526,Mattias,Jonsson,S,2010,1,5,2010,2026,1494,86.35,49.60,1,266,76.5480000000000000,9.80,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0883123676901,Kjell-Erik,Karlsson,V,2002,1,2,2002,2006,1571,89.50,76.51,0,202,72.6750000000000000,16.83,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0640774576009,Inger,Jarl Beck,S,2010,3,3,2002,2010,221,100.00,24.43,0,260,91.9733333333333333,8.03,LATE_CAREER,IMPROVING,CONSISTENT
0899112324519,Elisabeth,Svantesson,M,2022,5,5,2006,2022,653,56.81,57.89,8,412,70.2480000000000000,-13.44,LATE_CAREER,IMPROVING,LATE_CAREER_DECLINE
0548089226618,Mats,Einarsson,V,2002,1,2,2002,2006,1571,79.69,76.51,0,367,86.5600000000000000,-6.87,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0851966755011,Hans,Stenberg,S,2002,1,3,2002,2010,1571,86.89,97.07,0,408,86.7066666666666667,0.18,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0861447317415,Thomas,Finnborg,M,2014,2,3,2010,2018,1703,92.19,71.70,0,357,86.5700000000000000,5.62,LATE_CAREER,STABLE,RISING_STAR
0256404677510,Cecilia,Engström,KD,2018,1,3,2018,2026,355,32.68,53.80,0,61,65.9366666666666667,-33.26,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0831039938224,Adam,Marttinen,SD,2014,2,5,2010,2026,1336,94.09,52.32,1,253,86.1320000000000000,7.96,MID_CAREER,STABLE,RISING_STAR
0252641216303,Britt-Marie,Lindkvist,S,2006,2,2,2002,2006,376,90.43,93.09,0,108,85.4100000000000000,5.02,LATE_CAREER,IMPROVING,RISING_STAR
0483338990013,Roland,Gustbée,M,2014,1,1,2014,2014,104,98.08,61.54,0,17,98.0800000000000000,0.00,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0494431859015,Anders,Sellström,KD,2014,2,2,2010,2014,367,92.10,98.64,0,45,89.7250000000000000,2.38,LATE_CAREER,STABLE,CONSISTENT
039655712615,Margareta,Pålsson,M,2002,1,3,2002,2010,1571,94.59,51.62,1,242,91.8433333333333333,2.75,EARLY_CAREER,NEW_ENTRY,CONSISTENT
08644719105,Anna,Lilliehöök,M,2010,3,3,2002,2010,221,66.52,100.00,0,265,79.6966666666666667,-13.18,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
0148397245014,Annica,Jonsson,V,2002,1,1,2002,2002,91,100.00,76.92,0,0,100.0000000000000000,0.00,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0588282566419,Lars,Beckman,M,2014,2,5,2010,2026,847,96.69,75.80,0,666,86.4200000000000000,10.27,MID_CAREER,STABLE,RISING_STAR
0105797223918,Mikael,Cederbratt,M,2018,4,4,2006,2018,472,92.80,57.63,0,157,88.0375000000000000,4.76,LATE_CAREER,IMPROVING,CONSISTENT
0825441263617,Birger,Lahti,V,2014,1,4,2014,2026,1336,92.96,68.94,0,329,81.9025000000000000,11.06,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0463606088610,Bertil,Kjellberg,M,2010,3,3,2002,2010,221,77.83,100.00,0,230,86.0200000000000000,-8.19,LATE_CAREER,DECLINING,CONSISTENT
0682674527208,Anita,Jönsson,S,2006,2,2,2002,2006,376,90.43,93.09,0,96,84.9650000000000000,5.47,LATE_CAREER,IMPROVING,RISING_STAR
0341628241813,Marianne,Fundahn,S,2026,4,4,2014,2026,318,83.96,35.22,0,241,80.0675000000000000,3.89,LATE_CAREER,STABLE,CONSISTENT
0128805841317,Katarina,Brännström,M,2022,5,5,2006,2022,653,91.73,57.89,3,239,85.6080000000000000,6.12,LATE_CAREER,IMPROVING,CONSISTENT
061124537800,Birgitta,Ahlqvist,S,2002,1,2,2002,2006,1571,74.03,97.07,0,207,80.5000000000000000,-6.47,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0590020362617,Cecilia,Brinck,M,2014,2,2,2010,2014,367,100.00,98.64,0,10,96.6200000000000000,3.38,LATE_CAREER,IMPROVING,CONSISTENT
0901257862125,Hans,Linde,V,2010,2,3,2006,2014,1715,93.12,25.42,2,693,89.8333333333333333,3.29,LATE_CAREER,STABLE,CONSISTENT
0272604986201,Claes-Göran,Brandin,S,2010,3,3,2002,2010,221,72.40,24.43,0,240,76.3866666666666667,-3.99,LATE_CAREER,STABLE,CONSISTENT
0767503635911,Désirée,Liljevall,S,2010,2,3,2006,2014,1715,81.75,46.36,0,260,88.5466666666666667,-6.80,LATE_CAREER,DECLINING,CONSISTENT
0572788110724,Maria,Malmer Stenergard,M,2014,1,3,2014,2022,1336,89.00,64.30,2,336,78.0833333333333333,10.92,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0482689573825,Björn,Wiechel,S,2026,4,4,2014,2026,318,73.90,35.22,1,80,76.6775000000000000,-2.78,LATE_CAREER,DECLINING,CONSISTENT
0412502344925,Ida,Ekeroth Clausson,S,2014,1,3,2014,2026,89,100.00,96.63,0,38,95.6066666666666667,4.39,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0476336341120,Anna,Tenje,M,2006,1,2,2006,2010,873,79.61,100.00,0,83,82.7900000000000000,-3.18,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0406831930624,Henrik,Vinge,SD,2022,2,3,2018,2026,1948,65.97,65.61,2,52,60.2066666666666667,5.76,LATE_CAREER,IMPROVING,RISING_STAR
0973350087929,Patrik,Karlson,L,2022,1,2,2022,2026,821,78.56,99.27,0,30,77.3300000000000000,1.23,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0526129317828,Veronica,Lindholm,S,2014,1,2,2014,2018,1336,91.84,95.21,0,102,95.9200000000000000,-4.08,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0599736947819,Ola,Sundell,M,2006,2,3,2002,2010,1504,85.11,88.50,0,270,88.6766666666666667,-3.57,LATE_CAREER,STABLE,CONSISTENT
0473783431010,Morgan,Johansson,S,2022,4,5,2006,2026,1295,89.81,55.06,3,488,82.4860000000000000,7.32,LATE_CAREER,STABLE,CONSISTENT
0378597308227,Camilla,Brodin,KD,2022,2,3,2018,2026,1948,83.21,84.19,1,181,80.4366666666666667,2.77,LATE_CAREER,IMPROVING,CONSISTENT
0394601078212,Mahmood,Fahmi,M,2010,2,2,2006,2010,221,95.02,100.00,0,11,96.5300000000000000,-1.51,LATE_CAREER,STABLE,CONSISTENT
0851966755011,Hans,Stenberg,S,2010,3,3,2002,2010,221,89.59,24.43,0,408,86.7066666666666667,2.88,LATE_CAREER,IMPROVING,CONSISTENT
0977592683711,Magnus,Jacobsson,KD,2026,3,3,2018,2026,318,77.99,85.22,0,550,69.7900000000000000,8.20,LATE_CAREER,STABLE,CONSISTENT
0612916684825,Johan,Löfstrand,S,2026,7,7,2002,2026,318,74.21,35.22,5,665,81.3542857142857143,-7.14,LATE_CAREER,DECLINING,CONSISTENT
0699787174310,Lotta,Hedström,MP,2006,2,3,2002,2010,376,86.44,68.62,0,277,89.2500000000000000,-2.81,LATE_CAREER,STABLE,CONSISTENT
0128805841317,Katarina,Brännström,M,2010,2,5,2006,2022,1715,94.81,98.43,3,239,85.6080000000000000,9.20,MID_CAREER,STABLE,RISING_STAR
0182190010218,Esabelle,Dingizian,MP,2006,1,4,2006,2018,1128,78.37,30.41,0,237,85.7400000000000000,-7.37,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0105126451619,Anna,Hagwall,-,2014,2,3,2010,2018,1703,81.44,50.62,0,83,82.5800000000000000,-1.14,LATE_CAREER,DECLINING,CONSISTENT
0679228585116,Per,Åsling,C,2006,1,5,2006,2022,1128,66.22,100.00,2,422,67.3200000000000000,-1.10,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
069534526423,Mathias,Bengtsson,KD,2022,1,2,2022,2026,1295,80.31,99.15,0,75,86.3800000000000000,-6.07,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0899169869710,Helena,Gellerman,L,2018,1,3,2018,2026,1500,41.20,72.20,0,129,69.5600000000000000,-28.36,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0306286538528,Sofia,Damm,KD,2018,2,3,2014,2022,1972,53.45,57.81,0,242,72.1066666666666667,-18.66,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
0537484650407,Bo,Lundgren,M,2006,2,2,2002,2006,7,100.00,85.71,3,91,69.8550000000000000,30.15,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
0494054455310,David,Lång,SD,2014,2,4,2010,2022,1703,99.35,52.67,0,328,89.7800000000000000,9.57,LATE_CAREER,STABLE,RISING_STAR
0328926898814,Marita,Ulvskog,S,2006,2,2,2002,2006,1359,66.15,52.17,0,48,66.6000000000000000,-0.45,LATE_CAREER,STABLE,STRUGGLING_NEWCOMER
0257612529618,Kenneth G,Forslund,S,2002,1,7,2002,2026,1571,78.93,97.07,14,254,80.0214285714285714,-1.09,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0747488001814,Hamza,Demir,V,2018,2,2,2014,2018,472,99.79,68.86,0,20,99.8950000000000000,-0.11,LATE_CAREER,STABLE,CONSISTENT
0348584595917,Cinnika,Beiming,S,2006,2,2,2002,2006,7,100.00,100.00,0,96,94.4500000000000000,5.55,LATE_CAREER,IMPROVING,RISING_STAR
0454447556218,Ismail,Kamil,L,2014,2,2,2010,2014,367,88.01,98.64,0,1,90.4900000000000000,-2.48,LATE_CAREER,STABLE,CONSISTENT
0773506435611,Anders,Larsson,C,2002,1,1,2002,2002,478,96.03,50.00,0,64,96.0300000000000000,0.00,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0970709885516,Inga-Lill,Sjöblom,S,2022,2,3,2018,2026,1295,76.91,55.06,0,92,64.6900000000000000,12.22,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
014386615025,Ali,Esbati,V,2022,4,4,2010,2022,1073,80.52,60.48,0,256,80.3200000000000000,0.20,LATE_CAREER,IMPROVING,CONSISTENT
0326963110315,Anna,Rheyneuclaudes Kihlman,M,2014,2,2,2010,2014,65,100.00,100.00,0,0,98.9650000000000000,1.04,LATE_CAREER,STABLE,CONSISTENT
0977592683711,Magnus,Jacobsson,KD,2022,2,3,2018,2026,1948,79.98,84.19,0,550,69.7900000000000000,10.19,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
0599390849728,Jeff,Ahl,-,2018,2,2,2014,2018,423,65.72,49.65,0,143,74.7200000000000000,-9.00,LATE_CAREER,DECLINING,STRUGGLING_NEWCOMER
0862868280923,Annie,Lööf,C,2006,1,5,2006,2022,1128,91.22,100.00,1,122,64.1520000000000000,27.07,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0970259744617,Margareta,Cederfelt,M,2014,3,6,2006,2026,1703,75.87,71.70,3,605,66.4050000000000000,9.47,LATE_CAREER,STABLE,CONSISTENT
0721509806321,Nooshi,Dadgostar,V,2018,2,4,2014,2026,1870,53.53,68.56,1,390,67.7850000000000000,-14.26,LATE_CAREER,DECLINING,STRUGGLING_NEWCOMER
0483306984615,Björn,Samuelson,M,2014,2,2,2010,2014,367,92.10,98.64,0,0,94.7200000000000000,-2.62,LATE_CAREER,DECLINING,CONSISTENT
0709911904721,Johanna,Rantsi,M,2018,1,3,2018,2026,213,100.00,59.15,0,101,95.5000000000000000,4.50,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0781357446917,Sven-Erik,Bucht,S,2010,1,2,2010,2014,1494,84.20,49.60,0,174,84.6050000000000000,-0.41,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0838085832923,Ann-Sofie,Lifvenhage,M,2022,2,3,2018,2026,1948,84.19,85.42,0,774,71.2066666666666667,12.98,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
0252067342313,Åsa,Lindestam,S,2010,3,6,2002,2022,1715,80.17,46.36,6,604,75.7600000000000000,4.41,LATE_CAREER,STABLE,CONSISTENT
0447198048312,Peter,Eriksson,MP,2006,2,4,2002,2014,1504,46.48,39.96,1,218,53.3200000000000000,-6.84,LATE_CAREER,IMPROVING,STRUGGLING_NEWCOMER
0585684563812,Andreas,Norlén,M,2018,4,4,2006,2018,472,83.05,57.63,3,281,89.1150000000000000,-6.07,LATE_CAREER,STABLE,CONSISTENT
0105689536302,Eva,Selin Lindgren,C,2010,2,2,2006,2010,221,93.67,100.00,0,41,89.7450000000000000,3.93,LATE_CAREER,IMPROVING,CONSISTENT
0653904370212,Fredrik,Olovsson,S,2026,7,7,2002,2026,318,93.71,35.22,4,444,85.1457142857142857,8.56,LATE_CAREER,IMPROVING,CONSISTENT
0882001830516,Carin,Jämtin,S,2006,1,2,2006,2014,63,0.00,39.68,0,29,36.2550000000000000,-36.26,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0980681611418,Hans,Wallmark,M,2022,5,5,2006,2022,1432,74.37,80.52,16,453,75.2580000000000000,-0.89,LATE_CAREER,IMPROVING,CONSISTENT
0546982180011,Anders,Bengtsson,S,2002,1,2,2002,2006,1571,93.00,97.07,0,125,96.5000000000000000,-3.50,EARLY_CAREER,NEW_ENTRY,CONSISTENT
08644719105,Anna,Lilliehöök,M,2002,1,3,2002,2010,1571,93.38,51.62,0,265,79.6966666666666667,13.68,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0309480686522,Leila,Ali Elmi,MP,2022,2,3,2018,2026,1926,78.45,52.39,0,203,64.3200000000000000,14.13,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
0155487380917,Kerstin,Lundgren,C,2002,1,7,2002,2026,1571,85.81,51.62,2,643,75.8600000000000000,9.95,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0108109641223,Carl-Oskar,Bohlin,M,2010,1,4,2010,2022,1494,98.80,98.19,3,180,75.8575000000000000,22.94,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0879782396219,Olle,Thorell,S,2026,6,6,2006,2026,318,92.14,35.22,2,525,76.6950000000000000,15.45,LATE_CAREER,STABLE,PEAK_PERFORMANCE
0444616389415,Mats,Johansson,M,2006,1,3,2006,2014,1128,89.72,100.00,0,19,89.8800000000000000,-0.16,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0446973363306,Lennart,Nilsson,S,2006,2,2,2002,2006,376,69.95,93.09,2,34,70.7800000000000000,-0.83,LATE_CAREER,STABLE,STRUGGLING_NEWCOMER
014386615025,Ali,Esbati,V,2018,3,4,2010,2022,1972,53.19,68.00,0,256,80.3200000000000000,-27.13,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
0582811195313,Tina,Acketoft,L,2002,1,6,2002,2022,1571,81.86,48.82,0,709,68.3533333333333333,13.51,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0373223420310,Niclas,Malmberg,MP,2014,1,2,2014,2018,1336,92.22,94.99,0,66,96.1100000000000000,-3.89,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0474290584024,Azadeh,Rojhan,S,2018,2,4,2014,2026,1972,63.95,93.36,0,166,77.5650000000000000,-13.62,LATE_CAREER,DECLINING,STRUGGLING_NEWCOMER
0668060748617,Stefan,Käll,L,2014,2,2,2010,2014,367,96.73,98.64,0,11,96.4700000000000000,0.26,LATE_CAREER,STABLE,CONSISTENT
0781623040415,Camilla,Waltersson Grönvall,M,2010,1,4,2010,2022,1494,88.76,98.19,0,406,77.2825000000000000,11.48,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0441733186214,Osama,Ali Maher,M,2006,1,1,2006,2006,64,70.31,100.00,0,1,70.3100000000000000,0.00,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0925652297119,Per,Ramhorn,SD,2022,4,4,2010,2022,653,100.00,49.00,0,382,87.3950000000000000,12.61,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
0328926898814,Marita,Ulvskog,S,2002,1,2,2002,2006,604,67.05,96.36,0,48,66.6000000000000000,0.45,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0916608741910,Suzanne,Svensson,S,2018,3,4,2010,2022,472,83.05,95.55,0,253,93.8925000000000000,-10.84,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
0117613859601,Erling,Bager,FP,2002,1,2,2002,2006,1571,79.38,48.82,0,109,72.5350000000000000,6.85,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0970427364222,Anna,Wallén,S,2014,2,3,2010,2018,1614,80.98,85.50,0,271,91.6566666666666667,-10.68,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
0284192765516,Tomas,Eneroth,S,2014,4,5,2002,2022,1610,84.04,85.47,7,454,80.9040000000000000,3.14,LATE_CAREER,STABLE,CONSISTENT
0254695027922,Malcolm Momodou,Jallow,-,2014,1,4,2014,2026,93,79.57,66.67,1,273,61.5075000000000000,18.06,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0477013214601,Carl B,Hamilton,L,2022,5,5,2002,2022,381,73.23,99.21,3,76,80.1860000000000000,-6.96,LATE_CAREER,DECLINING,CONSISTENT
0719332223713,Juno,Blom,L,2018,1,2,2018,2022,1500,42.20,72.20,0,82,59.2550000000000000,-17.06,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0257313105220,Arber,Gashi,S,2022,1,2,2022,2026,516,94.19,52.71,0,44,89.8600000000000000,4.33,EARLY_CAREER,NEW_ENTRY,CONSISTENT
