party,period_start,period_end,year,quarter,active_members,total_ballots,total_votes,avg_absence_rate,avg_win_rate,avg_rebel_rate,avg_yes_rate,documents_produced,motions_count,active_document_authors,violation_count,members_with_violations,win_rate_trend,absence_trend,member_change,ma_4quarter_win_rate,ma_4quarter_absence,docs_per_member,votes_per_member,violations_per_member,performance_level,productivity_level,effectiveness_assessment
V,2024-10-01 00:00:00+00,2024-12-31,2024,4,24,1464,510936,15.14,24.61,0.05,59.66,115,0,24,0,0,-16.02,1.03,0,38.34,14.99,4.79,21289.00,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Standard party operations
L,2023-04-01 00:00:00+00,2023-06-30,2023,2,18,4112,1435088,13.69,84.60,0.00,59.86,1,0,1,0,0,1.17,-0.73,2,81.07,14.47,0.06,79727.11,0.00,GOOD_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
MP,2022-10-01 00:00:00+00,2022-12-31,2022,4,19,432,150768,15.30,36.66,0.26,69.43,12,0,7,0,0,,,,36.66,15.30,0.63,7935.16,0.00,MODERATE_PERFORMANCE,MODERATELY_PRODUCTIVE,Standard party operations
M,2024-04-01 00:00:00+00,2024-06-30,2024,2,70,17544,6122856,15.05,86.04,0.02,56.70,0,0,0,0,0,0.31,-0.62,2,86.47,14.85,0.00,87469.37,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
S,2023-10-01 00:00:00+00,2023-12-31,2023,4,110,3852,1344348,15.13,37.97,0.00,59.81,1515,0,106,0,0,-48.95,1.57,3,56.31,14.20,13.77,12221.35,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Standard party operations
-,2024-04-01 00:00:00+00,2024-06-30,2024,2,2,516,180084,15.05,38.53,13.15,56.70,0,0,0,0,0,-14.41,-0.57,0,63.49,14.84,0.00,90042.00,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
-,2023-07-01 00:00:00+00,2023-09-30,2023,3,1,3,1047,13.56,100.00,0.00,77.27,0,0,0,0,0,56.64,-0.11,0,71.68,13.62,0.00,1047.00,0.00,GOOD_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
L,2023-10-01 00:00:00+00,2023-12-31,2023,4,16,576,201024,15.13,79.69,0.00,59.81,15,0,9,0,0,6.81,1.57,0,80.15,14.20,0.94,12564.00,0.00,MODERATE_PERFORMANCE,MODERATELY_PRODUCTIVE,Solid party performance
C,2023-01-01 00:00:00+00,2023-03-31,2023,1,25,2592,904608,14.42,36.38,0.16,58.40,0,0,0,0,0,-11.36,-0.88,1,42.06,14.86,0.00,36184.32,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
V,2024-04-01 00:00:00+00,2024-06-30,2024,2,24,6192,2161008,15.05,40.33,0.09,56.70,97,0,24,0,0,-7.45,-0.62,0,31.64,14.85,4.04,90042.00,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Standard party operations
S,2024-07-01 00:00:00+00,2024-09-30,2024,3,106,424,147976,14.11,65.80,0.00,66.62,0,0,0,0,0,27.93,-0.94,-3,46.04,14.99,0.00,1396.00,0.00,GOOD_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
M,2025-01-01 00:00:00+00,2025-03-31,2025,1,69,3382,1172698,15.51,81.53,0.00,62.91,31,0,7,0,0,-2.93,0.37,0,85.07,14.95,0.45,16995.62,0.00,MODERATE_PERFORMANCE,PRODUCTIVE,Solid party performance
-,2024-10-01 00:00:00+00,2024-12-31,2024,4,2,122,42578,15.14,49.75,14.90,59.66,0,0,0,0,0,12.25,1.03,0,44.68,14.98,0.00,21289.00,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
S,2022-10-01 00:00:00+00,2022-12-31,2022,4,107,2568,896232,15.30,68.83,0.11,69.43,30,0,20,0,0,,,,68.83,15.30,0.28,8376.00,0.00,MODERATE_PERFORMANCE,PRODUCTIVE,Solid party performance
MP,2023-10-01 00:00:00+00,2023-12-31,2023,4,18,648,226152,15.13,27.85,0.17,59.81,365,0,18,0,0,-30.82,1.57,0,39.72,14.20,20.28,12564.00,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Standard party operations
KD,2024-04-01 00:00:00+00,2024-06-30,2024,2,20,4902,1710798,15.05,78.82,0.00,56.70,0,0,0,0,0,0.40,-0.62,1,82.07,14.85,0.00,85539.90,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
KD,2023-01-01 00:00:00+00,2023-03-31,2023,1,19,2052,716148,14.42,80.91,0.00,58.40,22,0,5,0,0,-0.89,-0.88,0,81.36,14.86,1.16,37692.00,0.00,GOOD_PERFORMANCE,PRODUCTIVE,Solid party performance
M,2022-10-01 00:00:00+00,2022-12-31,2022,4,68,1632,569568,15.30,82.35,0.00,69.43,48,0,14,0,0,,,,82.35,15.30,0.71,8376.00,0.00,MODERATE_PERFORMANCE,PRODUCTIVE,Solid party performance
L,2023-07-01 00:00:00+00,2023-09-30,2023,3,16,48,16752,13.56,72.88,0.00,77.27,0,0,0,0,0,-11.72,-0.13,-2,79.02,14.24,0.00,1047.00,0.00,GOOD_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
V,2023-01-01 00:00:00+00,2023-03-31,2023,1,24,2592,904608,14.42,39.12,0.06,58.40,0,0,0,0,0,15.09,-0.88,0,31.58,14.86,0.00,37692.00,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
