person_id,first_name,last_name,party,role_code,status,assignment_type,org_code,from_date,to_date,is_current_role,career_level,career_level_name,career_score,career_step,total_career_steps,career_start_date,career_end_date,career_start_year,career_end_year,career_span_years,years_in_role,years_since_prev_role,total_years_at_level,peak_career_level,peak_career_score,is_peak_role,years_at_peak,prev_career_level,next_career_level,progression_direction,level_change,score_change,advancement_velocity,promotions_count,demotions_count,avg_career_score,career_score_volatility,avg_years_per_promotion,career_pattern,downward_spiral_flag,exit_risk_score,overall_career_rank,career_percentile,career_decile,behavioral_win_rate,behavioral_rebel_rate,behavioral_absence_rate,behavioral_assessment,attendance_status,effectiveness_status,discipline_status,risk_level,risk_score,total_violations,absenteeism_violations,effectiveness_violations,discipline_violations,influence_classification,broker_score,strong_connections,predictive_success_score,comprehensive_risk_level,leadership_potential_score,high_retention_risk_flag,career_health_score,career_stage,is_typical_career_path,is_atypical_career_path
0628190530410,Ulla,Andersson,V,Riksdagsledamot,Tjänstgörande,kammaruppdrag,kam,2006-10-02,2022-09-26,f,4,L04_ACTIVE_MP,400,1,23,2006-10-02,2024-01-16,2006,2024,17,15,,15,4,400,t,15,,3,ENTRY,0,0,,0,0,106.9565217391304348,114.110350199639,,STAGNANT,f,10,6035,0.39215142480759896,5,,,,,,,,,,,,,,,,,43.5,LOW_RISK,40,f,40.0,VETERAN_CAREER,f,t
0251617324715,Katarina,Köhler,S,Riksdagsledamot,Tjänstgörande,kammaruppdrag,kam,2010-10-04,2017-10-18,f,4,L04_ACTIVE_MP,400,5,13,2006-10-02,2018-09-24,2006,2018,11,7,3,7,4,400,t,17,2,2,PROMOTION,2,350,0.67,2,0,158.4615384615384615,147.065979637930,5.5,RISING_STAR,f,10,7394,0.39215142480759896,6,,,,,,,,,,,,,,,,,56.9,LOW_RISK,60,f,73.4,SENIOR_CAREER,t,f
0241675049710,Otto,von Arnold,KD,Suppleant,"",uppdrag,MJU,2009-02-20,2013-02-21,f,2,L02_SUBSTITUTE_MP,50,4,6,2007-11-05,2013-02-21,2007,2013,5,4,0,5,4,400,f,0,2,3,LATERAL,0,0,,0,2,191.6666666666666667,145.535409971442,,DECLINING,f,60,10933,0.39215142480759896,8,,,,,,,,,,,,,,,,,35.5,HIGH_RISK,20,f,20.0,MID_CAREER,f,t
0616721755222,Louise,Meijer,M,Suppleant,"",uppdrag,SoU,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,17,28,2018-09-24,2026-10-31,2018,2026,8,2,0,23,5,500,f,0,2,2,LATERAL,0,0,,2,4,132.8571428571428571,142.799988566855,4.0,DECLINING,f,60,5116,0.3059696318380365,4,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,LOW,24.39,6,3,1,1,MODERATELY_INFLUENTIAL,STRONG_BROKER,206,55.7,HIGH_RISK,20,f,20.0,MID_CAREER,f,t
0588282566419,Lars,Beckman,M,Suppleant,"",uppdrag,SkU,2010-10-12,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,3,20,2010-10-04,2026-09-28,2010,2026,15,11,0,22,4,400,f,0,2,2,LATERAL,0,0,,0,1,92.5000000000000000,102.804425974760,,DECLINING,f,60,6227,0.39215142480759896,5,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,LOW,19.36,4,1,1,1,HIGHLY_INFLUENTIAL,STRONG_BROKER,209,64.2,HIGH_RISK,20,f,25.0,SENIOR_CAREER,f,t
0545733815610,Patrick,Reslow,SD,Suppleant,"",uppdrag,TU,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,10,21,2010-10-04,2028-10-31,2010,2028,18,2,0,25,4,400,f,0,2,2,LATERAL,0,0,,2,4,114.2857142857142857,116.642368703961,9.0,DECLINING,f,60,5947,0.39215142480759896,5,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,LOW,24.08,5,3,1,0,INFLUENTIAL,STRONG_BROKER,208,58.3,HIGH_RISK,20,f,20.0,VETERAN_CAREER,f,t
0904448094023,Linus,Lakso,MP,Suppleant,"",uppdrag,FiU,2022-10-04,2026-09-28,f,2,L02_SUBSTITUTE_MP,50,4,8,2022-09-26,2026-09-28,2022,2026,4,3,0,6,4,400,f,0,2,4,LATERAL,0,0,,0,2,200.0000000000000000,154.110350074224,,DECLINING,f,60,11099,0.39215142480759896,9,30.13,0.00,0.93,STANDARD_BEHAVIOR,EXCELLENT_ATTENDANCE,LOW_EFFECTIVENESS,PARTY_LOYAL,MEDIUM,30.85,9,6,1,1,LIMITED_INFLUENCE,STRONG_BROKER,24,37.3,HIGH_RISK,20,f,20.0,MID_CAREER,f,t
0466653728712,Denis,Begic,S,Suppleant,"",uppdrag,FöU,2020-03-18,2020-09-03,f,2,L02_SUBSTITUTE_MP,50,5,22,2018-09-24,2026-10-20,2018,2026,8,0,0,30,4,400,f,0,2,2,LATERAL,0,0,,0,1,100.0000000000000000,107.661084384791,,DECLINING,f,60,8826,0.39215142480759896,7,53.88,0.00,0.93,STANDARD_BEHAVIOR,EXCELLENT_ATTENDANCE,MODERATELY_EFFECTIVE,PARTY_LOYAL,MEDIUM,26.68,5,2,1,1,LIMITED_INFLUENCE,STRONG_BROKER,124,45.3,HIGH_RISK,20,f,25.0,MID_CAREER,f,t
0204494765606,Ann-Britt,Åsebol,M,Suppleant,"",uppdrag,FöU,2020-03-18,2020-09-03,f,2,L02_SUBSTITUTE_MP,50,11,18,2010-10-04,2022-10-31,2010,2022,12,0,0,48,4,400,f,0,2,2,LATERAL,0,0,,1,2,83.3333333333333333,95.7427107756338110,12.0,DECLINING,f,60,6945,0.39215142480759896,5,,,,,,,,,,,,,,,,,37.5,HIGH_RISK,20,f,25.0,SENIOR_CAREER,f,t
0635943298419,Dan,Hovskär,KD,Suppleant,"",uppdrag,CU,2022-11-09,2026-09-28,f,2,L02_SUBSTITUTE_MP,50,5,7,2022-10-18,2026-09-28,2022,2026,3,3,0,3,2,50,t,6,2,2,LATERAL,0,0,,1,0,44.2857142857142857,13.9970842444753034,3.0,RISING_STAR,f,50,13771,0.9489703945087707,10,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,,,,,,,,,,57.5,MEDIUM_RISK,20,f,50.0,EARLY_CAREER,t,f
0773506435611,Anders,Larsson,C,Suppleant,"",uppdrag,SkU,2003-05-05,2003-12-19,f,2,L02_SUBSTITUTE_MP,50,1,4,2003-05-05,2005-11-20,2003,2005,2,0,,2,2,50,t,2,,2,ENTRY,0,0,,0,0,50.0000000000000000,0,,EARLY_CAREER,f,50,13897,0.9489703945087707,10,,,,,,,,,,,,,,,,,43.5,MEDIUM_RISK,20,f,40.0,EARLY_CAREER,f,f
089057453314,Ulf,Sjösten,M,Suppleant,"",uppdrag,FiU,2002-10-08,2006-10-02,f,2,L02_SUBSTITUTE_MP,50,3,10,2002-09-30,2014-10-14,2002,2014,12,3,0,3,4,400,f,0,3,2,DEMOTION,-1,-250,,0,2,185.0000000000000000,137.931142241337,,DECLINING,t,90,6945,0.39215142480759896,5,,,,,,,,,,,,,,,,,21.5,HIGH_RISK,20,f,-15.0,SENIOR_CAREER,f,t
0977860675311,Gunilla,Carlsson,M,Riksdagsledamot,Ledig,kammaruppdrag,kam,2006-10-06,2013-09-18,f,4,L04_ACTIVE_MP,400,12,12,2002-09-30,2013-09-18,2002,2013,10,6,0,10,9,900,f,0,9,,DEMOTION,-5,-500,,3,5,296.6666666666666667,240.046291831851,3.3,DECLINING,t,90,1081,0.003050682936975664,1,,,,,,,,,,,,,,,,,23.5,HIGH_RISK,40,f,-10.0,SENIOR_CAREER,f,t
0824721092613,Carina,Moberg,S,Gruppledare,"",partiuppdrag,S,2011-04-12,2012-02-23,f,6,L06_PARTY_SEC_COMMITTEE_CHAIR,600,8,13,2002-10-08,2012-08-15,2002,2012,9,0,0,3,6,600,t,11,1,3,PROMOTION,5,590,,3,3,266.9230769230769231,209.665837259219,3.0,STABLE,f,10,3672,0.1313873673992928,3,,,,,,,,,,,,,,,,,47.5,LOW_RISK,40,f,50.0,SENIOR_CAREER,f,f
0284192765516,Tomas,Eneroth,S,Ledamot,"",Riksdagsorgan,RB,2022-10-19,2022-10-21,f,3,L03_COMMITTEE_MEMBER,300,21,25,2002-09-30,2029-07-01,2002,2029,26,0,0,23,9,900,f,0,3,2,LATERAL,0,0,,7,7,342.0000000000000000,246.040647048409,3.7,STABLE,f,30,45,0.003050682936975664,1,47.67,1.67,15.51,MODERATE_RISK,MODERATE_ABSENTEEISM,MODERATELY_EFFECTIVE,PARTY_LOYAL,,,,,,,,,,41.0,LOW_RISK,40,f,35.0,VETERAN_CAREER,f,f
0194021108712,Mikael,Strandman,SD,Suppleant,"",uppdrag,EUN,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,11,18,2018-09-24,2022-09-26,2018,2022,4,2,0,20,4,400,f,0,2,2,LATERAL,0,0,,1,2,83.3333333333333333,95.7427107756338110,4.0,DECLINING,f,60,11099,0.39215142480759896,9,,,,,,,,,,,,,,,,,37.5,HIGH_RISK,20,f,25.0,MID_CAREER,f,t
0861521539920,Aron,Emilsson,SD,Suppleant,"",uppdrag,NU,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,15,29,2014-09-29,2026-10-26,2014,2026,12,2,0,17,6,600,f,0,2,2,LATERAL,0,0,,1,4,176.5517241379310345,182.535322270342,12.0,DECLINING,f,60,3066,0.1313873673992928,3,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,MEDIUM,37.64,10,6,1,1,MODERATELY_INFLUENTIAL,STRONG_BROKER,207,49.7,HIGH_RISK,20,f,15.0,SENIOR_CAREER,f,t
0541320528015,Nina,Lundström,L,Suppleant,"",uppdrag,FiU,2006-01-01,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,6,36,2002-09-30,2022-09-26,2002,2022,19,16,1,56,5,500,f,0,2,2,LATERAL,0,0,0.00,0,2,117.5000000000000000,129.451299293939,,DECLINING,f,60,4424,0.3059696318380365,4,,,,,,,,,,,,,,,,,35.5,HIGH_RISK,20,f,20.0,VETERAN_CAREER,f,t
0999542677318,Anne-Marie,Wallouch,V,Suppleant,"",uppdrag,NU,2007-02-15,2007-04-30,f,2,L02_SUBSTITUTE_MP,50,1,4,2007-02-15,2007-04-30,2007,2007,0,0,,0,2,50,t,0,,2,ENTRY,0,0,,0,0,50.0000000000000000,0,,EARLY_CAREER,f,50,14043,0.9489703945087707,10,,,,,,,,,,,,,,,,,43.5,MEDIUM_RISK,20,f,40.0,EARLY_CAREER,f,f
0492644357418,Per,Söderlund,SD,Ledamot,"",uppdrag,SkU,2022-10-04,2022-10-04,f,3,L03_COMMITTEE_MEMBER,300,21,22,2019-02-01,2026-09-28,2019,2026,7,0,0,0,5,500,f,0,5,2,DEMOTION,-2,-200,,2,3,107.2727272727272727,131.328243108695,3.5,DECLINING,t,90,5357,0.3059696318380365,4,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,MEDIUM,26.25,6,4,1,0,INFLUENTIAL,STRONG_BROKER,208,45.6,CRITICAL_RISK,40,t,-10.0,MID_CAREER,f,t
0363721826713,Per,Lodenius,C,Suppleant,"",uppdrag,SkU,2020-03-18,2021-09-30,f,2,L02_SUBSTITUTE_MP,50,14,20,2006-10-02,2021-09-30,2006,2021,14,1,0,37,4,400,f,0,2,2,LATERAL,0,0,,1,2,92.5000000000000000,102.804425974760,14.0,DECLINING,f,60,6613,0.39215142480759896,5,,,,,,,,,,,,,,,,,37.5,HIGH_RISK,20,f,25.0,SENIOR_CAREER,f,t
0837462035506,Lena,Ödeen,L,Suppleant,"",uppdrag,NU,2003-01-21,2003-03-28,f,2,L02_SUBSTITUTE_MP,50,2,3,2003-01-21,2003-03-28,2003,2003,0,0,0,0,2,50,t,0,2,2,LATERAL,0,0,,0,0,50.0000000000000000,0,,EARLY_CAREER,f,50,14043,0.9489703945087707,10,,,,,,,,,,,,,,,,,45.5,MEDIUM_RISK,20,f,45.0,EARLY_CAREER,f,f
0779329190517,Kjell,Jansson,M,Suppleant,"",uppdrag,CU,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,16,19,2018-09-24,2026-09-28,2018,2026,8,2,0,9,4,400,f,0,2,2,LATERAL,0,0,,0,2,94.7368421052631579,104.999670227684,,DECLINING,f,60,8826,0.39215142480759896,7,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,LOW,18.77,4,1,1,0,HIGHLY_INFLUENTIAL,STRONG_BROKER,209,62.4,HIGH_RISK,20,f,20.0,MID_CAREER,f,t
0403769921921,Tina,Ghasemi Liljekvist,M,Riksdagsledamot,Ledig,kammaruppdrag,kam,2017-07-05,2018-03-05,f,4,L04_ACTIVE_MP,400,6,6,2014-09-29,2018-09-24,2014,2018,3,0,0,3,4,400,t,11,3,,PROMOTION,1,100,,2,1,250.0000000000000000,147.196014438797,1.5,RISING_STAR,f,10,12132,0.39215142480759896,9,,,,,,,,,,,,,,,,,49.5,LOW_RISK,60,f,55.0,EARLY_CAREER,t,f
0582811195313,Tina,Acketoft,L,Suppleant,"",uppdrag,SkU,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,27,30,2002-09-30,2022-09-26,2002,2022,19,2,0,56,4,400,f,0,2,2,LATERAL,0,0,,4,7,116.0000000000000000,120.294084088398,4.8,DECLINING,f,60,5800,0.39215142480759896,5,,,,,,,,,,,,,,,,,33.5,HIGH_RISK,20,f,15.0,VETERAN_CAREER,f,t
089413816205,Leif,Hård,S,Riksdagsledamot,Tjänstgörande,kammaruppdrag,kam,2018-05-18,2018-09-24,f,4,L04_ACTIVE_MP,400,1,2,2018-05-18,2018-09-24,2018,2018,0,0,,0,4,400,t,0,,2,ENTRY,0,0,,0,0,225.0000000000000000,175.000000000000,,EARLY_CAREER,f,10,12698,0.39215142480759896,9,,,,,,,,,,,,,,,,,43.5,LOW_RISK,40,f,40.0,EARLY_CAREER,f,f
0534870997412,Åsa,Hartzell,M,Extra suppleant,"",uppdrag,CU,2021-09-22,2024-12-20,f,1,L01_OTHER_ENTRY,10,3,4,2019-02-25,2024-12-20,2019,2024,5,3,2,3,3,300,f,0,1,3,LATERAL,0,0,0.00,0,1,92.5000000000000000,120.908022893437,,DECLINING,f,60,13251,0.8860847257852041,10,100.00,0.00,14.00,STANDARD_BEHAVIOR,LOW_ABSENTEEISM,HIGHLY_EFFECTIVE,PARTY_LOYAL,LOW,10.00,0,0,0,0,MODERATELY_INFLUENTIAL,STRONG_BROKER,175,60.0,HIGH_RISK,20,f,20.0,MID_CAREER,f,t
0455086201022,Johnny,Skalin,SD,Ledamot,"",uppdrag,EUN,2012-01-18,2021-01-05,f,3,L03_COMMITTEE_MEMBER,300,4,21,2010-10-04,2022-09-26,2010,2022,11,8,1,9,4,400,f,0,2,2,PROMOTION,1,250,1.00,1,2,102.3809523809523810,109.627280316394,11.0,DECLINING,f,60,7394,0.39215142480759896,6,,,,,,,,,,,,,,,,,47.5,HIGH_RISK,40,f,50.0,SENIOR_CAREER,f,t
0802546764724,Åsa,Westlund,S,Suppleant,"",uppdrag,TU,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,15,33,2004-07-20,2028-10-31,2004,2028,24,2,0,18,6,600,f,0,2,2,LATERAL,0,0,,4,6,218.1818181818181818,183.327072269748,6.0,DECLINING,f,60,1930,0.1313873673992928,2,53.88,0.00,0.93,STANDARD_BEHAVIOR,EXCELLENT_ATTENDANCE,MODERATELY_EFFECTIVE,PARTY_LOYAL,MEDIUM,26.23,6,4,1,0,LIMITED_INFLUENCE,STRONG_BROKER,124,43.4,HIGH_RISK,20,f,20.0,VETERAN_CAREER,f,t
0781520322912,Jörgen,Hellman,S,Suppleant,"",uppdrag,FiU,2006-10-10,2022-06-10,f,2,L02_SUBSTITUTE_MP,50,2,26,2006-10-02,2022-06-10,2006,2022,15,15,0,15,6,600,f,0,4,2,DEMOTION,-2,-350,,0,1,158.4615384615384615,183.694820237938,,DECLINING,f,75,2756,0.1313873673992928,2,,,,,,,,,,,,,,,,,35.5,HIGH_RISK,20,f,20.0,SENIOR_CAREER,f,t
0133767709317,Phia,Andersson,S,Ledamot,"",Riksdagsorgan,NR,2014-10-07,2018-09-24,f,3,L03_COMMITTEE_MEMBER,300,9,11,2006-10-02,2018-09-24,2006,2018,11,3,3,10,5,500,f,0,2,3,PROMOTION,1,250,0.33,2,3,222.7272727272727273,167.010664280671,5.5,DECLINING,f,60,4798,0.3059696318380365,4,,,,,,,,,,,,,,,,,42.1,HIGH_RISK,40,f,36.6,SENIOR_CAREER,f,t
0635943298419,Dan,Hovskär,KD,Suppleant,"",uppdrag,SoU,2022-11-09,2026-09-28,f,2,L02_SUBSTITUTE_MP,50,4,7,2022-10-18,2026-09-28,2022,2026,3,3,0,9,2,50,t,12,2,2,LATERAL,0,0,,1,0,44.2857142857142857,13.9970842444753034,3.0,RISING_STAR,f,50,13771,0.9489703945087707,10,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,,,,,,,,,,57.5,MEDIUM_RISK,20,f,50.0,EARLY_CAREER,t,f
0115834246514,Emma,Wallrup,V,Extra suppleant,"",uppdrag,EUN,2012-01-18,2012-04-09,f,1,L01_OTHER_ENTRY,10,4,11,2012-01-18,2018-06-07,2012,2018,6,0,0,0,4,400,f,0,1,1,LATERAL,0,0,,0,1,112.7272727272727273,138.373073385021,,DECLINING,f,60,10696,0.39215142480759896,8,,,,,,,,,,,,,,,,,37.5,HIGH_RISK,20,f,25.0,MID_CAREER,f,t
0202577142527,Matheus,Enholm,SD,Ledamot,"",uppdrag,FöU,2025-01-29,2025-01-30,f,3,L03_COMMITTEE_MEMBER,300,23,29,2018-09-24,2026-12-31,2018,2026,8,0,1,17,5,500,f,0,2,2,PROMOTION,1,250,1.00,2,4,116.5517241379310345,133.113274606020,4.0,DECLINING,f,60,5116,0.3059696318380365,4,100.00,0.00,0.93,HIGH_PERFORMER,EXCELLENT_ATTENDANCE,HIGHLY_EFFECTIVE,PARTY_LOYAL,MEDIUM,31.86,9,4,1,1,INFLUENTIAL,STRONG_BROKER,208,65.9,HIGH_RISK,40,f,45.0,MID_CAREER,f,t
0548314774911,Veronica,Palm,S,Vice ordförande,"",uppdrag,SkU,2010-10-12,2011-04-07,f,5,L05_COMMITTEE_VICE_CHAIR,500,15,19,2002-09-30,2015-09-30,2002,2015,13,0,2,2,6,600,f,0,3,3,PROMOTION,2,200,1.00,5,5,241.0526315789473684,194.500567901812,2.6,STABLE,f,10,2962,0.1313873673992928,3,,,,,,,,,,,,,,,,,49.5,LOW_RISK,40,f,55.0,SENIOR_CAREER,f,f
0277648711624,Anders,Österberg,S,Suppleant,"",uppdrag,CU,2017-09-19,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,5,21,2015-10-01,2022-09-26,2015,2022,6,5,0,15,4,400,f,0,2,4,LATERAL,0,0,,1,1,64.7619047619047619,75.4427596083564737,6.0,STABLE,f,50,10696,0.39215142480759896,8,,,,,,,,,,,,,,,,,39.5,MEDIUM_RISK,20,f,30.0,MID_CAREER,f,f
TEST_PERSON_001,Test,Partibytare,M,Ledamot,Tjänstgörande riksdagsledamot,uppdrag,M,2011-07-01,2014-12-31,f,3,L03_COMMITTEE_MEMBER,300,2,2,2008-01-01,2014-12-31,2008,2014,6,3,3,6,3,300,t,6,3,,LATERAL,0,0,0.00,0,0,300.0000000000000000,0,,STAGNANT,f,10,13214,0.8860847257852041,10,,,,,,,,,,,,,,,,,45.5,LOW_RISK,40,f,45.0,MID_CAREER,f,t
0731442709013,Christer,Nylander,L,Suppleant,"",uppdrag,UbU,2004-09-14,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,4,29,2002-09-30,2022-09-26,2002,2022,19,18,1,37,6,600,f,0,2,3,LATERAL,0,0,0.00,0,2,208.6206896551724138,182.449315360147,,DECLINING,f,60,2306,0.1313873673992928,2,,,,,,,,,,,,,,,,,35.5,HIGH_RISK,20,f,20.0,VETERAN_CAREER,f,t
0879782396219,Olle,Thorell,S,Suppleant,"",Riksdagsorgan,UN,2015-10-20,2022-10-19,f,2,L02_SUBSTITUTE_MP,50,13,29,2006-10-02,2026-09-28,2006,2026,19,6,0,63,6,600,f,0,1,4,PROMOTION,1,40,,4,3,141.7241379310344828,161.631103304071,4.8,STEADY_PROGRESS,f,50,2306,0.1313873673992928,2,53.88,0.00,0.93,STANDARD_BEHAVIOR,EXCELLENT_ATTENDANCE,MODERATELY_EFFECTIVE,PARTY_LOYAL,MEDIUM,28.09,8,6,1,0,LIMITED_INFLUENCE,STRONG_BROKER,124,50.8,MEDIUM_RISK,20,f,40.0,VETERAN_CAREER,t,f
0365748677411,Mats,Nordberg,SD,Suppleant,"",uppdrag,KrU,2020-03-18,2022-09-26,f,2,L02_SUBSTITUTE_MP,50,9,21,2018-09-24,2023-01-15,2018,2023,4,2,0,9,4,400,f,0,2,2,LATERAL,0,0,,0,2,102.3809523809523810,109.627280316394,,DECLINING,f,60,11099,0.39215142480759896,8,,,,,,,,,,,,,,,,,35.5,HIGH_RISK,20,f,20.0,MID_CAREER,f,t
