hjid,created_date,ip_information,model_object_id,model_object_version,session_type,user_agent_information,session_id,locale,operating_system,user_id,destroyed_date,screen_size,time_zone
1772248,2025-02-12 19:58:02.304,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node016impi81jb4lv8bcxqz0toy141,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1762273,2025-02-07 21:41:37.356,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01uk4o8mxwrjwj11hnc4nddfp7350,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1771009,2025-02-07 21:46:40.705,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0n0nabjcqsss480zfvsyxln5105,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1772250,2025-02-12 19:58:04.8,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node0amf624ddrujh20ha6abkr93n2,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1754490,2025-02-07 21:36:10.22,[0:0:0:0:0:0:0:1],,4,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node012ozfhkp4va301sncci7ahd88918,en_US,Desktop.Linux.??,62341f9e-67fd-44fe-adfa-49c0f38d1d2b,,1280x1024,Europe/Stockholm
1774613,2025-02-22 17:05:45.399,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node01ikp571n8brz0b22jv79mfgda0,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1496237,2025-01-31 15:18:36.491,10.240.2.23,,8,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01aocfdwwmkd6u12smo54e07y750,en_US,Desktop.Linux.??,,,1920x1080,Europe/Stockholm
1756714,2025-02-07 21:38:32.628,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0ls03mjbop8tlpshwtlpewnbn30,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1753535,2025-02-07 21:34:52.134,[0:0:0:0:0:0:0:1],,5,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01pm0c78qulmpfay5s973tuit111,en_US,Desktop.Linux.??,62341f9e-67fd-44fe-adfa-49c0f38d1d2b,,1280x1024,Europe/Stockholm
1767926,2025-02-07 21:45:20.039,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node011rmv4vmxc6cx1pfprgldb5zgl87,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1772236,2025-02-09 03:24:25.881,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node011v3mxh3rawbkwtv6lbegcz5j3,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1754443,2025-02-07 21:36:03.151,[0:0:0:0:0:0:0:1],,4,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0mpmhn13plq2vsturgc3i7hh517,en_US,Desktop.Linux.??,62341f9e-67fd-44fe-adfa-49c0f38d1d2b,,1280x1024,Europe/Stockholm
1771132,2025-02-07 21:46:44.159,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0100m03t8je52qfhmehnu6hd7t106,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1756234,2025-02-07 21:38:02.595,[0:0:0:0:0:0:0:1],,4,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node013w2h5yvnyyii4i72vpuf7u9j28,en_US,Desktop.Linux.??,fba44544-edcb-4237-9ec6-a4040ed71cb2,,1280x1024,Europe/Stockholm
1774621,2025-02-22 17:08:00.818,10.240.0.10,,12,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node09bea269afy88x7nj1jsx48z50,en_US,Desktop.Linux.??,62341f9e-67fd-44fe-adfa-49c0f38d1d2b,,1920x1080,Europe/Stockholm
1753051,2025-02-07 21:34:17.456,[0:0:0:0:0:0:0:1],,4,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01l4qsrgjyj0t91jxqxtr9iihat8,en_US,Desktop.Linux.??,62341f9e-67fd-44fe-adfa-49c0f38d1d2b,,1280x1024,Europe/Stockholm
1766134,2025-02-07 21:44:15.747,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01eu98hnl2jvn01c7kdcyyj8i5t75,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1764000,2025-02-07 21:42:47.668,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0149ha241bix2j13vq8zhqqspw164,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1772234,2025-02-09 03:24:23.494,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node08mh32hj9lge319ba6zipfx7nu2,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1772238,2025-02-12 19:51:56.955,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",node0lp0gope2x8k41t35klpkkw3fn0,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1761335,2025-02-07 21:40:51.021,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node01ws6ban5bvwydjhlwzyw8t3nl45,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
190,2025-01-31 12:33:44.409,10.240.0.69,,32,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node011nnezzfpgxvage8tybl1cn9b0,en_US,Desktop.Linux.??,62341f9e-67fd-44fe-adfa-49c0f38d1d2b,,1920x1080,Europe/Stockholm
1776042,2025-04-19 19:05:52.912,98.128.172.236,,0,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",node0kjxvsvwcoqix1ufry9ojfj3h80,en_US,Desktop.Linux.??,,,1920x1080,Europe/Stockholm
1761727,2025-02-07 21:41:07.676,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0gcmk4nfszgd4qy0ai5ob432048,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1770873,2025-02-07 21:46:37.204,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0hcxpkgr2xu5g14qs2ikykeceu104,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
1796087,2025-04-19 19:10:03.441,98.128.172.236,,2,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",node016pg5oimwd70rdj8yf9dw40v0,en_US,Desktop.Linux.??,,,1920x1080,Europe/Stockholm
1754388,2025-02-07 21:35:55.742,[0:0:0:0:0:0:0:1],,4,REGISTERED_USER,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node07hc5sz6jl10ag0nod5e8cd8s16,en_US,Desktop.Linux.??,62341f9e-67fd-44fe-adfa-49c0f38d1d2b,,1280x1024,Europe/Stockholm
1759338,2025-02-07 21:39:36.277,[0:0:0:0:0:0:0:1],,1,ANONYMOUS,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",node0156vwysdpag3nb0cz96x4v6ph35,en_US,Desktop.Linux.??,,,1280x1024,Europe/Stockholm
