election_cycle_id,cycle_year,calendar_year,semester,party,total_proposals,approved_proposals,rejected_proposals,avg_approval_rate,decision_effectiveness,temporal_approval_rate,temporal_decision_count,ministry_impact_score,ministries_with_decisions,rank_by_success_rate,rank_by_proposals,percent_rank_success,ntile_effectiveness,prev_semester_success,prev_semester_proposals,max_cycle_proposals,change_success_pct,change_proposals_pct,decision_trend,legislative_momentum
2010-2014,2,2011,autumn,-,112,0,112,0.00,LOWLY_EFFECTIVE,,,100.00,12,44,58,0.7413793103448276,4,,,237250,,,baseline,0.02
2010-2014,3,2012,spring,M,198,0,198,0.00,LOWLY_EFFECTIVE,,,96.97,14,44,52,0.7413793103448276,4,1.41,59796,237250,-100.00,-99.67,stable,0.03
2010-2014,2,2011,autumn,M,67200,448,66752,4.76,LOWLY_EFFECTIVE,,,100.00,12,24,6,0.39655172413793105,2,0.00,292,237250,,22913.70,stable,14.19
2018-2022,1,2018,spring,MP,1462,1462,0,100.00,HIGHLY_EFFECTIVE,,,91.18,10,1,63,0,1,23.81,9996,13470240,319.99,-85.37,improving,60.00
2014-2018,1,2014,autumn,MP,17391,612,16779,14.89,LOWLY_EFFECTIVE,,,96.08,19,40,31,0.5652173913043478,3,,,155397,,,baseline,13.41
2010-2014,4,2013,spring,S,12214,434,11780,4.17,LOWLY_EFFECTIVE,,,98.39,14,27,35,0.4482758620689655,2,7.29,216070,237250,-42.80,-94.35,stable,4.56
2022-2026,4,2025,autumn,L,15360,15360,0,100.00,HIGHLY_EFFECTIVE,39.15,55680,96.88,10,1,67,0,1,100.00,23072,10435584,0.00,-33.43,stable,60.06
2010-2014,1,2010,spring,S,33945,1971,31974,11.36,LOWLY_EFFECTIVE,,,98.63,14,5,19,0.06896551724137931,1,21.74,237250,237250,-47.75,-85.69,declining,12.54
2006-2010,4,2009,spring,V,17520,0,17520,0.00,LOWLY_EFFECTIVE,,,99.38,13,28,35,0.5625,4,1.33,69760,362560,-100.00,-74.89,stable,1.93
2006-2010,4,2009,spring,MP,15680,0,15680,0.00,LOWLY_EFFECTIVE,,,99.38,13,28,39,0.5625,4,1.49,79680,362560,-100.00,-80.32,stable,1.73
2014-2018,2,2015,autumn,MP,8938,902,8036,41.38,LOWLY_EFFECTIVE,,,100.00,10,17,35,0.2318840579710145,1,4.35,16014,155397,851.26,-44.19,improving,27.13
2014-2018,2,2015,spring,KD,656,205,451,50.00,MODERATELY_EFFECTIVE,,,100.00,10,11,65,0.14492753623188406,1,28.95,20295,155397,72.71,-96.77,improving,30.17
2014-2018,2,2015,spring,MP,615,615,0,100.00,HIGHLY_EFFECTIVE,,,100.00,10,1,66,0,1,41.38,8938,155397,141.66,-93.12,improving,60.16
2018-2022,1,2018,autumn,MP,9996,340,9656,23.81,LOWLY_EFFECTIVE,,,91.18,10,38,39,0.5285714285714286,3,,,13470240,,,baseline,14.32
2014-2018,2,2015,autumn,L,33374,1845,31529,32.61,LOWLY_EFFECTIVE,,,100.00,10,28,15,0.391304347826087,2,0.00,816,155397,,3989.95,improving,28.16
2022-2026,4,2025,spring,L,30720,30720,0,100.00,HIGHLY_EFFECTIVE,39.15,125280,96.88,10,1,64,0,1,100.00,15360,10435584,0.00,100.00,stable,60.12
2006-2010,2,2007,autumn,M,83886,66,83820,1.72,LOWLY_EFFECTIVE,,,100.00,14,21,9,0.4166666666666667,2,4.35,25011,362560,-60.46,235.40,stable,10.29
2010-2014,4,2013,spring,M,124,0,124,0.00,LOWLY_EFFECTIVE,,,98.39,14,44,57,0.7413793103448276,4,1.74,57784,237250,-100.00,-99.79,stable,0.02
2010-2014,2,2011,autumn,V,55440,0,55440,0.00,LOWLY_EFFECTIVE,,,100.00,12,44,14,0.7413793103448276,4,3.10,14016,237250,-100.00,295.55,stable,9.35
2002-2006,4,2005,autumn,M,145950,1260,144690,8.59,LOWLY_EFFECTIVE,,,100.00,13,26,9,0.43859649122807015,2,0.00,32336,224374,,351.35,stable,31.17
2002-2006,1,2002,spring,S,882,0,294,0.00,LOWLY_EFFECTIVE,,,41.27,16,40,56,0.6842105263157895,4,14.81,106680,224374,-100.00,-99.17,declining,0.16
2018-2022,1,2018,autumn,M,52088,4080,48008,50.00,MODERATELY_EFFECTIVE,,,91.18,10,13,24,0.17142857142857143,1,,,13470240,,,baseline,30.15
1998-2002,3,2000,spring,MP,272,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,34,0.02631578947368421,4,0.04,8672,174979,-100.00,-96.86,stable,0.06
2022-2026,1,2022,autumn,C,5735168,22016,5713152,6.90,LOWLY_EFFECTIVE,41.53,3570161,88.01,11,36,5,0.5223880597014925,3,,,10435584,,,baseline,26.12
1998-2002,4,2001,spring,s,245,0,0,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,35,0.02631578947368421,4,0.00,1040,174979,,-76.44,stable,0.06
2014-2018,3,2016,spring,S,5624,5624,0,100.00,HIGHLY_EFFECTIVE,,,100.00,10,1,41,0,1,53.97,60273,155397,85.29,-90.67,improving,61.45
2022-2026,3,2024,autumn,L,260384,19776,240608,15.38,LOWLY_EFFECTIVE,38.68,2906176,100.00,10,29,50,0.417910447761194,2,100.00,19776,10435584,-84.62,1216.67,declining,10.23
2002-2006,1,2002,spring,C,6132,0,1092,0.00,LOWLY_EFFECTIVE,,,41.27,16,40,44,0.6842105263157895,3,9.80,44940,224374,-100.00,-86.36,stable,1.09
2010-2014,2,2011,autumn,S,183120,5656,177464,24.07,LOWLY_EFFECTIVE,,,100.00,12,1,3,0,1,11.36,33945,237250,111.88,439.46,improving,45.32
1998-2002,4,2001,autumn,KD,147098,0,1176,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,2,0.02631578947368421,1,0.00,3792,174979,,3779.17,stable,33.63
2022-2026,2,2023,spring,MP,372448,0,372448,0.00,LOWLY_EFFECTIVE,40.89,1621120,96.88,10,43,42,0.6268656716417911,4,8.82,2613728,10435584,-100.00,-85.75,stable,1.43
2018-2022,2,2019,autumn,M,70944,2720,68224,25.82,LOWLY_EFFECTIVE,,,93.75,12,36,19,0.5,2,34.29,4590,13470240,-24.70,1445.62,stable,15.70
2022-2026,3,2024,spring,MP,474624,0,474624,0.00,LOWLY_EFFECTIVE,38.68,2123744,100.00,10,43,39,0.6268656716417911,4,0.00,3286112,10435584,,-85.56,stable,1.82
2018-2022,4,2021,autumn,-,85120,8512,76608,14.29,LOWLY_EFFECTIVE,44.76,2470076,94.74,11,54,18,0.7571428571428571,3,0.00,68,13470240,,125076.47,improving,8.83
2018-2022,3,2020,spring,L,2482,1360,1122,50.00,MODERATELY_EFFECTIVE,,,94.12,11,13,60,0.17142857142857143,1,18.75,28050,13470240,166.67,-91.15,improving,30.01
2022-2026,4,2025,autumn,V,964608,0,933888,0.00,LOWLY_EFFECTIVE,39.15,375840,96.88,10,43,27,0.6268656716417911,4,0.00,474624,10435584,,103.24,stable,3.70
2014-2018,3,2016,autumn,M,100714,5883,94831,38.10,LOWLY_EFFECTIVE,,,100.00,10,20,3,0.2753623188405797,2,60.00,902,155397,-36.50,11065.63,declining,48.78
2006-2010,4,2009,autumn,MP,79680,80,79600,1.49,LOWLY_EFFECTIVE,,,99.38,13,23,10,0.4583333333333333,2,0.00,14775,362560,,439.29,stable,9.68
2022-2026,3,2024,spring,SD,115360,0,115360,0.00,LOWLY_EFFECTIVE,38.68,558880,100.00,10,43,54,0.6268656716417911,4,6.06,5135168,10435584,-100.00,-97.75,stable,0.44
2022-2026,1,2022,autumn,SD,7028608,77056,6951552,20.00,LOWLY_EFFECTIVE,41.53,3077725,88.01,11,28,4,0.40298507462686567,2,,,10435584,,,baseline,38.94
2002-2006,4,2005,autumn,V,95830,1820,94010,11.84,LOWLY_EFFECTIVE,,,100.00,13,17,19,0.2807017543859649,2,18.18,6278,224374,-34.87,1426.44,stable,24.19
2010-2014,1,2010,autumn,V,53144,1679,51465,9.43,LOWLY_EFFECTIVE,,,98.63,14,9,15,0.13793103448275862,1,,,237250,,,baseline,14.62
2006-2010,3,2008,autumn,M,113700,150,113550,1.52,LOWLY_EFFECTIVE,,,98.67,13,22,6,0.4375,2,0.00,132,362560,,86036.36,stable,13.46
2010-2014,1,2010,spring,MP,7592,292,7300,4.76,LOWLY_EFFECTIVE,,,98.63,14,24,40,0.39655172413793105,2,9.80,58984,237250,-51.43,-87.13,stable,4.14
2006-2010,1,2006,spring,C,17262,63,17199,2.63,LOWLY_EFFECTIVE,,,98.41,10,13,36,0.25,2,4.08,21798,362560,-35.54,-20.81,stable,3.48
2006-2010,2,2007,autumn,S,268818,528,268290,1.15,LOWLY_EFFECTIVE,,,100.00,14,27,3,0.5416666666666666,3,18.75,2646,362560,-93.87,10059.41,declining,30.35
2018-2022,2,2019,autumn,L,24640,2016,22624,30.77,LOWLY_EFFECTIVE,,,93.75,12,25,33,0.34285714285714286,2,30.56,6358,13470240,0.69,287.54,stable,18.54
2018-2022,1,2018,spring,KD,4692,816,3876,34.29,LOWLY_EFFECTIVE,,,91.18,10,21,52,0.2857142857142857,2,22.20,10812,13470240,54.46,-56.60,improving,20.59
1998-2002,3,2000,autumn,M,30272,0,32,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,8,0.02631578947368421,1,,,174979,,,baseline,6.92
2010-2014,3,2012,autumn,S,149028,3762,145266,8.60,LOWLY_EFFECTIVE,,,96.97,14,11,4,0.1724137931034483,1,8.70,10696,237250,-1.15,1293.31,stable,30.29
2002-2006,3,2004,autumn,KD,172258,4644,167614,9.89,LOWLY_EFFECTIVE,,,98.84,12,22,5,0.3684210526315789,2,0.00,25359,224374,,579.28,stable,36.64
2002-2006,3,2004,spring,L,22274,0,22274,0.00,LOWLY_EFFECTIVE,,,98.84,12,40,36,0.6842105263157895,4,15.46,134590,224374,-100.00,-83.45,declining,3.97
1998-2002,4,2001,autumn,S,117355,0,637,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,3,0.02631578947368421,1,0.00,1216,174979,,9550.90,stable,26.83
2014-2018,4,2017,spring,S,6916,6764,152,97.62,HIGHLY_EFFECTIVE,,,97.37,10,6,38,0.07246376811594203,1,51.99,72124,155397,87.77,-90.41,improving,60.35
2018-2022,4,2021,autumn,M,13470240,795872,12674368,35.99,LOWLY_EFFECTIVE,44.76,13408984,94.74,11,18,1,0.24285714285714285,1,32.14,7480,13470240,11.98,179983.42,stable,61.59
2014-2018,3,2016,autumn,-,3478,111,3367,11.54,LOWLY_EFFECTIVE,,,100.00,10,43,48,0.6086956521739131,3,0.00,492,155397,,606.91,improving,7.82
2010-2014,4,2013,spring,MP,9238,310,8928,9.52,LOWLY_EFFECTIVE,,,98.39,14,8,38,0.1206896551724138,1,2.94,60450,237250,223.81,-84.72,stable,7.27
2014-2018,1,2014,spring,SD,8721,153,8568,3.57,LOWLY_EFFECTIVE,,,96.08,19,59,36,0.8405797101449275,4,10.81,71553,155397,-66.98,-87.81,stable,4.39
2002-2006,3,2004,spring,M,32336,0,32336,0.00,LOWLY_EFFECTIVE,,,98.84,12,40,28,0.6842105263157895,4,12.62,159788,224374,-100.00,-79.76,declining,5.76
2006-2010,4,2009,autumn,C,39200,320,38880,2.08,LOWLY_EFFECTIVE,,,99.38,13,17,20,0.3333333333333333,2,0.00,28350,362560,,38.27,stable,5.57
2014-2018,4,2017,autumn,M,99180,3762,95418,37.54,LOWLY_EFFECTIVE,,,97.37,10,21,5,0.2898550724637681,2,5.26,2701,155397,613.69,3571.97,improving,48.05
2006-2010,1,2006,autumn,M,45423,252,45171,5.45,LOWLY_EFFECTIVE,,,98.41,10,4,16,0.0625,1,,,362560,,,baseline,8.28
2022-2026,2,2023,spring,C,214240,0,214240,0.00,LOWLY_EFFECTIVE,40.89,1335040,96.88,10,43,52,0.6268656716417911,4,3.57,2580768,10435584,-100.00,-91.70,stable,0.82
2014-2018,1,2014,autumn,SD,71553,714,70839,10.81,LOWLY_EFFECTIVE,,,96.08,19,45,8,0.6376811594202898,3,,,155397,,,baseline,24.90
2018-2022,4,2021,autumn,SD,8235360,472416,7762944,28.22,LOWLY_EFFECTIVE,44.76,12350380,94.74,11,30,2,0.4142857142857143,2,17.24,5644,13470240,63.69,145813.54,improving,41.39
2010-2014,4,2013,autumn,L,13330,62,13268,1.43,LOWLY_EFFECTIVE,,,98.39,14,41,32,0.6896551724137931,3,0.00,132,237250,,9998.48,stable,3.11
2022-2026,4,2025,autumn,KD,49152,43008,6144,81.82,HIGHLY_EFFECTIVE,39.15,153120,96.88,10,12,63,0.16417910447761194,1,100.00,65920,10435584,-18.18,-25.44,declining,49.28
2002-2006,4,2005,autumn,S,201180,2800,198380,13.97,LOWLY_EFFECTIVE,,,100.00,13,9,2,0.14035087719298245,1,0.00,2494,224374,,7966.56,improving,44.25
2014-2018,2,2015,autumn,C,27880,1558,26322,34.88,LOWLY_EFFECTIVE,,,100.00,10,22,20,0.30434782608695654,2,0.00,255,155397,,10833.33,improving,28.10
2014-2018,3,2016,autumn,L,37185,2701,34484,27.87,LOWLY_EFFECTIVE,,,100.00,10,34,14,0.4782608695652174,2,38.46,1517,155397,-27.54,2351.22,declining,26.29
2010-2014,4,2013,autumn,S,216070,4030,212040,7.29,LOWLY_EFFECTIVE,,,98.39,14,13,2,0.20689655172413793,1,15.38,14520,237250,-52.60,1388.09,stable,40.80
2006-2010,1,2006,autumn,KD,15813,0,15813,0.00,LOWLY_EFFECTIVE,,,98.41,10,28,38,0.5625,4,,,362560,,,baseline,1.74
2018-2022,2,2019,autumn,SD,55520,1568,53952,18.00,LOWLY_EFFECTIVE,,,93.75,12,45,23,0.6285714285714286,3,13.16,7718,13470240,36.78,619.36,stable,10.96
2002-2006,4,2005,autumn,MP,56700,2870,53830,13.42,LOWLY_EFFECTIVE,,,100.00,13,10,23,0.15789473684210525,1,0.00,4214,224374,,1245.51,improving,18.16
1998-2002,3,2000,spring,V,1648,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,22,0.02631578947368421,3,0.00,16352,174979,,-89.92,stable,0.38
2022-2026,2,2023,spring,KD,65920,62624,3296,93.33,HIGHLY_EFFECTIVE,40.89,1430400,96.88,10,10,61,0.13432835820895522,1,34.88,715232,10435584,167.57,-90.78,improving,56.25
2022-2026,1,2022,spring,KD,1596160,357760,1238400,25.44,LOWLY_EFFECTIVE,41.53,4678142,88.01,11,25,23,0.3582089552238806,2,24.14,1188864,10435584,5.39,34.26,stable,21.38
2010-2014,3,2012,autumn,M,59796,132,59664,1.41,LOWLY_EFFECTIVE,,,96.97,14,42,9,0.7068965517241379,3,4.76,67200,237250,-70.38,-11.02,stable,10.93
2014-2018,3,2016,spring,C,1887,37,1850,5.56,LOWLY_EFFECTIVE,,,100.00,10,51,55,0.7246376811594203,3,25.45,29452,155397,-78.15,-93.59,declining,3.82
2002-2006,2,2003,spring,MP,2923,0,2923,0.00,LOWLY_EFFECTIVE,,,100.00,13,40,52,0.6842105263157895,4,10.64,47005,224374,-100.00,-93.78,declining,0.52
2002-2006,4,2005,autumn,-,3570,70,3500,3.33,LOWLY_EFFECTIVE,,,100.00,13,33,50,0.5614035087719298,3,,,224374,,,baseline,2.63
2018-2022,1,2018,autumn,KD,10812,1734,9078,22.20,LOWLY_EFFECTIVE,,,91.18,10,40,38,0.5571428571428572,3,,,13470240,,,baseline,13.35
2006-2010,1,2006,spring,KD,29169,126,29043,2.04,LOWLY_EFFECTIVE,,,98.41,10,18,24,0.3541666666666667,2,0.00,15813,362560,,84.46,stable,4.44
2022-2026,1,2022,spring,SD,1618176,264192,1353984,25.58,LOWLY_EFFECTIVE,41.53,5293687,88.01,11,24,22,0.34328358208955223,2,20.00,7028608,10435584,27.90,-76.98,stable,21.55
2022-2026,4,2025,autumn,-,15360,0,15360,0.00,LOWLY_EFFECTIVE,39.15,41760,96.88,10,43,67,0.6268656716417911,4,0.00,102176,10435584,,-84.97,stable,0.06
2002-2006,4,2005,spring,C,13930,70,13860,2.78,LOWLY_EFFECTIVE,,,100.00,13,36,41,0.6140350877192983,3,6.60,96180,224374,-57.88,-85.52,stable,4.15
2010-2014,1,2010,spring,C,365,0,365,0.00,LOWLY_EFFECTIVE,,,98.63,14,44,50,0.7413793103448276,4,3.33,19418,237250,-100.00,-98.12,stable,0.06
2002-2006,1,2002,autumn,L,42126,840,40362,9.59,LOWLY_EFFECTIVE,,,41.27,16,24,27,0.40350877192982454,2,,,224374,,,baseline,13.26
1998-2002,4,2001,spring,m,1176,0,0,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,24,0.02631578947368421,3,0.00,528,174979,,122.73,stable,0.27
2014-2018,4,2017,spring,V,6612,266,6346,5.00,LOWLY_EFFECTIVE,,,97.37,10,56,39,0.7971014492753623,4,0.00,20026,155397,,-66.98,stable,4.70
2018-2022,3,2020,spring,KD,5270,1054,4216,25.00,LOWLY_EFFECTIVE,,,94.12,11,37,49,0.5142857142857142,3,26.42,18292,13470240,-5.37,-71.19,stable,15.02
2006-2010,2,2007,autumn,L,36366,0,36366,0.00,LOWLY_EFFECTIVE,,,100.00,14,28,21,0.5625,3,4.35,23121,362560,-100.00,57.29,stable,4.01
2022-2026,3,2024,autumn,KD,1114048,102176,1011872,35.42,LOWLY_EFFECTIVE,38.68,5365248,100.00,10,17,26,0.23880597014925373,1,93.33,65920,10435584,-62.05,1590.00,declining,25.52
2022-2026,4,2025,spring,C,334848,0,334848,0.00,LOWLY_EFFECTIVE,39.15,264480,96.88,10,43,46,0.6268656716417911,3,0.00,454656,10435584,,-26.35,stable,1.28
2010-2014,2,2011,spring,S,10696,560,10136,8.70,LOWLY_EFFECTIVE,,,100.00,12,10,37,0.15517241379310345,1,24.07,183120,237250,-63.86,-94.16,declining,7.02
2018-2022,2,2019,spring,M,3200,320,2880,16.67,LOWLY_EFFECTIVE,,,93.75,12,49,58,0.6857142857142857,3,25.82,70944,13470240,-35.44,-95.49,stable,10.01
2018-2022,3,2020,autumn,KD,18292,1904,16388,26.42,LOWLY_EFFECTIVE,,,94.12,11,34,35,0.4714285714285714,2,13.33,3520,13470240,98.20,419.66,improving,15.91
2014-2018,2,2015,autumn,-,2706,41,2665,4.55,LOWLY_EFFECTIVE,,,100.00,10,57,53,0.8115942028985508,4,11.11,7191,155397,-59.05,-62.37,stable,3.43
2002-2006,1,2002,spring,MP,4956,0,546,0.00,LOWLY_EFFECTIVE,,,41.27,16,40,48,0.6842105263157895,4,13.04,28728,224374,-100.00,-82.75,declining,0.88
2010-2014,3,2012,autumn,SD,34254,396,33858,3.09,LOWLY_EFFECTIVE,,,96.97,14,34,18,0.5689655172413793,3,0.00,5208,237250,,557.72,stable,7.63
2014-2018,4,2017,spring,KD,2850,532,2318,43.33,LOWLY_EFFECTIVE,,,97.37,10,13,51,0.17391304347826086,1,32.80,19988,155397,32.10,-85.74,improving,26.73
2010-2014,4,2013,spring,SD,4836,0,4836,0.00,LOWLY_EFFECTIVE,,,98.39,14,44,47,0.7413793103448276,3,1.80,41540,237250,-100.00,-88.36,stable,0.82
2002-2006,4,2005,spring,S,700,0,700,0.00,LOWLY_EFFECTIVE,,,100.00,13,40,57,0.6842105263157895,4,13.97,201180,224374,-100.00,-99.65,declining,0.12
2002-2006,3,2004,spring,V,6278,1720,4558,18.18,LOWLY_EFFECTIVE,,,98.84,12,3,43,0.03508771929824561,1,10.96,127280,224374,65.88,-95.07,stable,12.03
2018-2022,4,2021,spring,V,1029952,59584,970368,7.14,LOWLY_EFFECTIVE,44.76,4940152,94.74,11,62,10,0.8714285714285714,4,17.39,3800608,13470240,-58.94,-72.90,declining,7.34
2010-2014,1,2010,autumn,MP,58984,1022,57962,9.80,LOWLY_EFFECTIVE,,,98.63,14,7,10,0.10344827586206896,1,,,237250,,,baseline,15.82
2002-2006,2,2003,spring,M,20935,395,20540,2.86,LOWLY_EFFECTIVE,,,100.00,13,35,37,0.5964912280701754,3,10.00,159422,224374,-71.40,-86.87,stable,5.45
2010-2014,1,2010,autumn,M,104463,1460,103003,13.33,LOWLY_EFFECTIVE,,,98.63,14,4,5,0.05172413793103448,1,,,237250,,,baseline,25.61
2014-2018,1,2014,spring,V,20757,357,20400,3.45,LOWLY_EFFECTIVE,,,96.08,19,60,23,0.855072463768116,4,5.88,18666,155397,-41.33,11.20,stable,7.41
2018-2022,4,2021,autumn,KD,2779168,357504,2421664,25.83,LOWLY_EFFECTIVE,44.76,10586040,94.74,11,35,7,0.4857142857142857,2,25.00,5270,13470240,3.32,52635.64,stable,23.75
2014-2018,2,2015,autumn,SD,50266,697,49569,15.91,LOWLY_EFFECTIVE,,,100.00,10,38,11,0.5362318840579711,3,3.57,8721,155397,345.66,476.38,improving,22.48
2022-2026,2,2023,autumn,SD,4696800,26368,4670432,8.33,LOWLY_EFFECTIVE,40.89,3432960,96.88,10,35,7,0.5074626865671642,3,25.58,1618176,10435584,-67.44,190.25,declining,23.00
2014-2018,3,2016,autumn,KD,20424,888,19536,26.53,LOWLY_EFFECTIVE,,,100.00,10,35,24,0.4927536231884058,2,50.00,656,155397,-46.94,3013.41,declining,21.18
2010-2014,3,2012,spring,SD,5148,66,5082,5.00,LOWLY_EFFECTIVE,,,96.97,14,20,46,0.3275862068965517,2,3.09,34254,237250,61.81,-84.97,stable,3.87
2010-2014,2,2011,autumn,MP,56112,896,55216,7.81,LOWLY_EFFECTIVE,,,100.00,12,12,13,0.1896551724137931,1,4.76,7592,237250,64.08,639.09,stable,14.15
2022-2026,1,2022,autumn,KD,1188864,93568,1095296,24.14,LOWLY_EFFECTIVE,41.53,3570161,88.01,11,27,25,0.3880597014925373,2,,,10435584,,,baseline,19.04
2014-2018,2,2015,spring,S,4346,4346,0,100.00,HIGHLY_EFFECTIVE,,,100.00,10,1,45,0,1,64.15,73062,155397,55.88,-94.05,improving,61.12
2018-2022,4,2021,autumn,S,6805344,574560,6230784,50.77,MODERATELY_EFFECTIVE,44.76,11468210,94.74,11,12,3,0.15714285714285714,1,97.30,5236,13470240,-47.82,129872.19,declining,50.67
2014-2018,4,2017,autumn,-,6270,114,6156,6.12,LOWLY_EFFECTIVE,,,97.37,10,49,40,0.6956521739130435,3,0.00,185,155397,,3289.19,stable,5.29
1998-2002,4,2001,autumn,V,86975,0,0,0.00,LOWLY_EFFECTIVE,,,1.28,21,2,4,0.02631578947368421,1,0.00,1648,174979,,5177.61,stable,19.88
1998-2002,3,2000,autumn,C,11232,0,0,0.00,LOWLY_EFFECTIVE,,,0.00,10,2,13,0.02631578947368421,2,,,174979,,,baseline,2.57
2002-2006,3,2004,autumn,V,127280,2580,124700,10.96,LOWLY_EFFECTIVE,,,98.84,12,19,12,0.3157894736842105,2,0.00,2686,224374,,4638.64,improving,29.27
2014-2018,4,2017,spring,MP,760,760,0,100.00,HIGHLY_EFFECTIVE,,,97.37,10,1,64,0,1,33.33,11780,155397,200.03,-93.55,improving,60.20
2006-2010,2,2007,spring,V,14256,0,14256,0.00,LOWLY_EFFECTIVE,,,100.00,14,28,41,0.5625,4,0.00,86460,362560,,-83.51,stable,1.57
2018-2022,2,2019,spring,KD,3520,288,3232,13.33,LOWLY_EFFECTIVE,,,93.75,12,55,57,0.7714285714285715,4,10.97,17216,13470240,21.51,-79.55,stable,8.01
2014-2018,1,2014,autumn,KD,24021,3162,20859,38.36,LOWLY_EFFECTIVE,,,96.08,19,19,21,0.2608695652173913,2,,,155397,,,baseline,29.20
2006-2010,2,2007,autumn,KD,19932,0,19932,0.00,LOWLY_EFFECTIVE,,,100.00,14,28,34,0.5625,4,2.04,29169,362560,-100.00,-31.67,stable,2.20
2014-2018,1,2014,autumn,-,7191,153,7038,11.11,LOWLY_EFFECTIVE,,,96.08,19,44,37,0.6231884057971014,3,,,155397,,,baseline,8.52
2022-2026,2,2023,spring,L,19776,19776,0,100.00,HIGHLY_EFFECTIVE,40.89,476800,96.88,10,1,66,0,1,26.67,309824,10435584,274.95,-93.62,improving,60.08
2014-2018,1,2014,spring,KD,153,0,153,0.00,LOWLY_EFFECTIVE,,,96.08,19,61,70,0.8695652173913043,4,38.36,24021,155397,-100.00,-99.36,declining,0.04
2006-2010,3,2008,autumn,C,28350,0,28350,0.00,LOWLY_EFFECTIVE,,,98.67,13,28,25,0.5625,3,0.00,26268,362560,,7.93,stable,3.13
2010-2014,2,2011,autumn,SD,33432,224,33208,3.17,LOWLY_EFFECTIVE,,,100.00,12,32,20,0.5344827586206896,3,6.25,8030,237250,-49.28,316.34,stable,7.54
