object_name,object_type,extraction_status,rows_extracted,execution_time_ms,error_message,extracted_at
view_riksdagen_vote_data_ballot_party_summary_weekly,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_politician_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_politician_summary_annual,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_politician_summary_daily,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_politician_summary_monthly,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_politician_summary_weekly,materialized_view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_summary_annual,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_summary_daily,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_summary_monthly,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_vote_data_ballot_summary_weekly,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_worldbank_indicator_data_country_summary,materialized_view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
against_proposal_container,table,ERROR,0,6,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
against_proposal_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
agency,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
application_action_event,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
application_configuration,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
application_session,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
application_view,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
assignment_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
assignment_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
committee_document_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
committee_proposal_component_0,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
committee_proposal_container,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
committee_proposal_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
countries_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
country_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
data_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
data_source_content,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
detail_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
detail_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_activity_container,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_activity_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_attachment,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_attachment_container,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_container_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_content_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_detail_container,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_detail_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_person_reference_co_0,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_person_reference_da_0,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_proposal_container,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_proposal_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_reference_container,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_reference_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
document_status_container,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
domain_portal,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
encrypted_value,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
government_body_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
indicator_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
indicators_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
jv_commit,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
jv_commit_property,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
jv_global_id,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
jv_snapshot,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
language_content_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
language_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
operational_information_cont_0,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
performance_indicator_content,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
person_assignment_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
person_assignment_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
person_container_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
person_container_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
person_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
person_detail_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
person_detail_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
person_element,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
portal,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
quality_assurance_content,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
rule_violation,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_county_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_county_data_container,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_county_electoral_area,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_county_electoral_regi_0,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_county_electoral_regi_1,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_election_region,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_election_type,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_election_type_contain_0,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_municipality_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_municipality_election_0,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_parliament_electoral__0,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_parliament_electoral__1,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
sweden_political_party,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
target_profile_content,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
topic,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
topics,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
user_account,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
user_account_address,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
vote_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
vote_meta_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
world_bank_data,table,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.01347
pg_stat_statements,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
pg_stat_statements_info,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_annual_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_daily_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_element_annual_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_element_daily_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_element_hourly_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_element_weekly_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_hourly_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_modes_annual_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_modes_daily_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_modes_hourly_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_modes_weekly_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_application_action_event_page_weekly_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_audit_author_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_audit_data_summary,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_committee_productivity,view,ERROR,0,2,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_committee_productivity_matrix,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_decision_temporal_trends,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_document_data_committee_report_url,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_election_cycle_anomaly_pattern,view,ERROR,0,7,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_election_cycle_comparative_analysis,view,ERROR,0,3,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_election_cycle_decision_intelligence,view,ERROR,0,3,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_election_cycle_network_analysis,view,ERROR,0,2,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_election_cycle_predictive_intelligence,view,ERROR,0,5,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_election_cycle_temporal_trends,view,ERROR,0,9,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_ministry_decision_impact,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_ministry_effectiveness_trends,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_ministry_productivity_matrix,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_ministry_risk_evolution,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_party_effectiveness_trends,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_party_performance_metrics,view,ERROR,0,2,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_politician_behavioral_trends,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_politician_risk_summary,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_coalition_alignment_matrix,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_committee,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_committee_parliament_member_proposal,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_committee_role_member,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_committee_roles,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_crisis_resilience_indicators,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_election_proximity_trends,view,ERROR,0,7,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_election_year_anomalies,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_election_year_behavioral_patterns,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_election_year_vs_midterm,view,ERROR,0,2,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_goverment,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_goverment_proposals,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_goverment_role_member,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_goverment_roles,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_member_proposals,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_ballot_support_annual_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_coalation_against_annual_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_coalition_evolution,view,ERROR,0,2,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_decision_flow,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_defector_analysis,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_electoral_trends,view,ERROR,0,3,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_longitudinal_performance,view,ERROR,0,3,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_member,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_momentum_analysis,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_role_member,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_signatures_document_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_summary,view,ERROR,0,2,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_switcher_outcomes,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_party_transition_history,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_person_signed_document_summary,view,ERROR,0,0,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician,view,ERROR,0,2,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_ballot_summary,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_career_path_10level,view,ERROR,0,6,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_career_trajectory,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_decision_pattern,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_experience_summary,view,ERROR,0,5,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_influence_metrics,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_longevity_analysis,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_politician_role_evolution,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_pre_election_quarterly_activity,view,ERROR,0,4,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_q4_election_year_comparison,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_seasonal_activity_patterns,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_seasonal_anomaly_detection,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_seasonal_quarterly_activity,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_riksdagen_voting_anomaly_detection,view,ERROR,0,1,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
view_risk_score_evolution,view,ERROR,0,2,relative path not allowed for COPY to file,2026-01-27 01:09:06.041432
