object_name,object_type,status,rows_extracted,duration_ms,error_message
view_application_action_event_page_hourly_summary,view,SUCCESS,0,47,
view_application_action_event_page_modes_annual_summary,view,SUCCESS,0,47,
view_application_action_event_page_modes_daily_summary,view,SUCCESS,0,47,
view_application_action_event_page_modes_hourly_summary,view,SUCCESS,0,47,
view_application_action_event_page_modes_weekly_summary,view,SUCCESS,0,47,
view_application_action_event_page_weekly_summary,view,SUCCESS,0,47,
view_audit_author_summary,view,SUCCESS,4,49,
view_audit_data_summary,view,SUCCESS,50,49,
view_decision_temporal_trends,view,SUCCESS,0,49,
view_document_data_committee_report_url,view,SUCCESS,0,47,
view_ministry_decision_impact,view,SUCCESS,0,49,
view_ministry_effectiveness_trends,view,SUCCESS,0,48,
view_ministry_productivity_matrix,view,SUCCESS,0,49,
view_ministry_risk_evolution,view,SUCCESS,0,50,
view_politician_risk_summary,view,SUCCESS,0,49,
view_riksdagen_coalition_alignment_matrix,view,SUCCESS,0,47,
view_riksdagen_committee_decisions,materialized_view,SUCCESS,0,47,
view_riksdagen_committee_roles,view,SUCCESS,0,48,
view_riksdagen_crisis_resilience_indicators,view,SUCCESS,0,50,
view_riksdagen_document_type_daily_summary,materialized_view,SUCCESS,0,46,
view_riksdagen_election_year_behavioral_patterns,view,SUCCESS,0,49,
view_riksdagen_goverment_proposals,view,SUCCESS,0,47,
view_riksdagen_goverment_roles,view,SUCCESS,0,46,
view_riksdagen_member_proposals,view,SUCCESS,0,46,
view_riksdagen_org_document_daily_summary,materialized_view,SUCCESS,0,46,
view_riksdagen_party_coalation_against_annual_summary,view,SUCCESS,0,47,
view_riksdagen_party_decision_flow,view,SUCCESS,0,48,
view_riksdagen_party_momentum_analysis,view,SUCCESS,0,48,
view_riksdagen_party_signatures_document_summary,view,SUCCESS,0,46,
view_riksdagen_party_transition_history,view,SUCCESS,0,48,
view_riksdagen_person_signed_document_summary,view,SUCCESS,0,46,
view_riksdagen_politician_decision_pattern,view,SUCCESS,0,49,
view_riksdagen_politician_document,materialized_view,SUCCESS,0,46,
view_riksdagen_politician_experience_summary,view,SUCCESS,0,52,
view_riksdagen_politician_influence_metrics,view,SUCCESS,0,47,
view_riksdagen_politician_longevity_analysis,view,SUCCESS,0,48,
view_riksdagen_politician_role_evolution,view,SUCCESS,0,47,
view_riksdagen_seasonal_quarterly_activity,view,SUCCESS,0,46,
view_riksdagen_vote_data_ballot_summary,materialized_view,SUCCESS,0,46,
view_riksdagen_voting_anomaly_detection,view,SUCCESS,0,49,
view_risk_score_evolution,view,SUCCESS,0,52,
view_worldbank_indicator_data_country_summary,materialized_view,SUCCESS,0,46,
view_election_cycle_anomaly_pattern,view,SUCCESS,37,57,
view_election_cycle_decision_intelligence,view,SUCCESS,0,51,
view_election_cycle_network_analysis,view,SUCCESS,0,51,
view_riksdagen_committee,view,SUCCESS,0,48,
view_riksdagen_committee_ballot_decision_summary,materialized_view,SUCCESS,0,46,
view_riksdagen_committee_decision_type_org_summary,materialized_view,SUCCESS,0,45,
view_riksdagen_committee_decision_type_summary,materialized_view,SUCCESS,0,46,
view_riksdagen_committee_role_member,view,SUCCESS,0,49,
view_riksdagen_election_year_anomalies,view,SUCCESS,0,50,
view_riksdagen_election_year_vs_midterm,view,SUCCESS,3,53,
view_riksdagen_goverment,view,SUCCESS,0,47,
view_riksdagen_goverment_role_member,view,SUCCESS,0,47,
view_riksdagen_party_defector_analysis,view,SUCCESS,0,49,
view_riksdagen_party_document_daily_summary,materialized_view,SUCCESS,0,44,
view_riksdagen_party_role_member,view,SUCCESS,0,47,
view_riksdagen_party_switcher_outcomes,view,SUCCESS,0,48,
view_riksdagen_politician_document_daily_summary,materialized_view,SUCCESS,0,45,
view_riksdagen_politician_document_summary,materialized_view,SUCCESS,0,45,
view_riksdagen_q4_election_year_comparison,view,SUCCESS,0,49,
view_riksdagen_seasonal_activity_patterns,view,SUCCESS,0,50,
view_riksdagen_seasonal_anomaly_detection,view,SUCCESS,0,48,
view_riksdagen_vote_data_ballot_party_summary,materialized_view,SUCCESS,0,46,
view_riksdagen_vote_data_ballot_summary_daily,materialized_view,SUCCESS,0,46,
view_committee_productivity,view,SUCCESS,0,51,
view_committee_productivity_matrix,view,SUCCESS,0,49,
view_riksdagen_committee_ballot_decision_party_summary,materialized_view,SUCCESS,0,45,
view_riksdagen_committee_parliament_member_proposal,view,SUCCESS,0,48,
view_riksdagen_party_ballot_support_annual_summary,view,SUCCESS,0,47,
view_riksdagen_party_member,view,SUCCESS,0,47,
view_riksdagen_politician_career_trajectory,view,SUCCESS,0,47,
view_riksdagen_vote_data_ballot_party_summary_daily,materialized_view,SUCCESS,0,46,
view_riksdagen_vote_data_ballot_politician_summary,materialized_view,SUCCESS,0,46,
view_riksdagen_vote_data_ballot_summary_annual,materialized_view,SUCCESS,0,45,
view_riksdagen_vote_data_ballot_summary_monthly,materialized_view,SUCCESS,0,46,
view_riksdagen_vote_data_ballot_summary_weekly,materialized_view,SUCCESS,0,45,
view_riksdagen_committee_ballot_decision_politician_summary,materialized_view,SUCCESS,0,46,
view_riksdagen_party,view,SUCCESS,0,47,
view_riksdagen_politician,view,SUCCESS,0,50,
view_riksdagen_vote_data_ballot_party_summary_annual,materialized_view,SUCCESS,0,45,
view_riksdagen_vote_data_ballot_party_summary_monthly,materialized_view,SUCCESS,0,45,
view_riksdagen_vote_data_ballot_party_summary_weekly,materialized_view,SUCCESS,0,47,
view_riksdagen_vote_data_ballot_politician_summary_daily,materialized_view,SUCCESS,0,46,
view_party_effectiveness_trends,view,SUCCESS,0,49,
view_politician_behavioral_trends,view,SUCCESS,0,49,
view_riksdagen_party_coalition_evolution,view,SUCCESS,0,50,
view_riksdagen_party_summary,view,SUCCESS,0,53,
view_riksdagen_vote_data_ballot_politician_summary_annual,materialized_view,SUCCESS,0,46,
view_riksdagen_vote_data_ballot_politician_summary_monthly,materialized_view,SUCCESS,0,47,
view_riksdagen_vote_data_ballot_politician_summary_weekly,materialized_view,SUCCESS,0,46,
view_election_cycle_predictive_intelligence,view,SUCCESS,10,58,
view_election_cycle_temporal_trends,view,SUCCESS,10,65,
view_party_performance_metrics,view,SUCCESS,10,52,
view_riksdagen_election_proximity_trends,view,SUCCESS,0,62,
view_riksdagen_politician_ballot_summary,view,SUCCESS,0,49,
view_riksdagen_politician_career_path_10level,view,SUCCESS,0,60,
view_riksdagen_pre_election_quarterly_activity,view,SUCCESS,0,59,
view_election_cycle_comparative_analysis,view,SUCCESS,10,70,
view_riksdagen_party_electoral_trends,view,SUCCESS,0,55,
view_riksdagen_party_longitudinal_performance,view,SUCCESS,0,56,
